new_index,s_time,e_time,delta_time,old_index
0,22440,25840,0,68
1,22440,25924,0,67
2,22500,23843,0,53
3,22500,25317,0,77
4,22500,23829,0,52
5,22500,25347,0,63
6,22500,25532,0,78
7,22500,26049,0,4
8,22500,25333,0,64
9,22500,25249,0,22
10,22500,26102,0,13
11,22500,26550,0,70
12,22500,26086,0,12
13,22500,23132,0,71
14,22800,26026,0,84
15,22800,25919,0,29
16,22800,25718,0,28
17,22860,26252,0,83
18,22980,26464,540,67
19,22980,27030,480,70
20,22980,26529,480,4
21,22980,26380,540,68
22,23040,26072,540,78
23,23040,23672,540,71
24,23040,25857,540,77
25,23040,26432,180,83
26,23040,26626,540,12
27,23040,25887,540,63
28,23040,26642,540,13
29,23040,25873,540,64
30,23040,26365,0,50
31,23100,26617,0,51
32,23100,26326,300,84
33,23100,27013,0,69
34,23160,24489,660,52
35,23160,24503,660,53
36,23340,26889,840,4
37,23340,26089,840,22
38,23400,26135,0,1
39,23400,26518,0,42
40,23400,26167,0,0
41,23400,26023,0,3
42,23400,26725,0,30
43,23400,26081,0,31
44,23400,26140,0,2
45,23400,25881,0,54
46,23400,27323,0,47
47,23400,26405,0,48
48,23400,27378,0,46
49,23400,26428,0,49
50,23400,27535,0,81
51,23400,26238,0,37
52,23400,27640,0,82
53,23400,26240,0,36
54,23400,26078,0,55
55,23400,26482,0,43
56,23400,26751,0,41
57,23400,26871,0,44
58,23400,26119,0,16
59,23400,25985,0,24
60,23400,26191,0,39
61,23400,26404,0,25
62,23400,26180,0,38
63,23400,26517,0,19
64,23400,27033,0,10
65,23400,26461,0,18
66,23400,27017,0,11
67,23400,25636,0,35
68,23400,27688,0,79
69,23400,25677,0,34
70,23400,27426,0,80
71,23400,26452,0,8
72,23400,26289,0,9
73,23400,26156,0,76
74,23400,26296,0,75
75,23400,26181,0,59
76,23400,26910,0,5
77,23400,26730,0,40
78,23400,25974,0,65
79,23400,26269,0,61
80,23400,24751,0,15
81,23400,26101,0,26
82,23400,26117,0,27
83,23400,26890,0,45
84,23400,26336,0,66
85,23400,26388,0,17
86,23460,26785,420,50
87,23460,24996,0,86
88,23460,26335,0,23
89,23520,26353,1020,64
90,23520,27037,420,51
91,23520,26367,1020,63
92,23520,27122,1020,13
93,23520,27570,1020,70
94,23520,26337,1020,77
95,23520,27106,1020,12
96,23580,26498,780,28
97,23580,26612,1080,78
98,23640,27553,540,69
99,23640,27124,1200,67
100,23640,26759,840,29
101,23640,27040,1200,68
102,23640,24272,1140,71
103,23700,27092,840,83
104,23700,26926,900,84
105,23760,26540,360,38
106,23760,26788,360,49
107,23760,25103,1260,53
108,23760,25089,1260,52
109,23760,26765,360,48
110,23760,26551,360,39
111,23820,26385,0,58
112,23820,26405,420,24
113,23820,26824,420,25
114,23820,26537,420,27
115,23820,26601,420,59
116,23880,27370,480,45
117,23880,26561,480,31
118,23880,27210,480,40
119,23880,26581,480,26
120,23880,26636,480,76
121,23880,27351,480,44
122,23880,27231,480,41
123,23880,26454,480,65
124,23880,26776,480,75
125,23940,27265,900,50
126,23940,26876,540,66
127,23940,26829,540,9
128,23940,26421,540,54
129,24000,27978,600,46
130,24000,26833,1500,64
131,24000,27923,600,47
132,24000,25706,0,60
133,24000,26767,600,0
134,24000,27517,900,51
135,24000,27082,600,43
136,24000,26735,600,1
137,24000,26678,600,55
138,24000,26236,600,35
139,24060,26337,660,34
140,24060,26877,1560,77
141,24060,28110,1560,70
142,24060,27112,660,8
143,24060,27693,660,10
144,24060,27662,1560,13
145,24060,28086,660,80
146,24120,27737,720,11
147,24120,28408,720,79
148,24120,27238,720,42
149,24120,27152,1620,78
150,24120,26860,720,2
151,24120,27706,1620,12
152,24120,26967,1620,63
153,24180,26960,780,38
154,24180,26803,780,3
155,24180,27185,780,48
156,24180,27580,1740,68
157,24180,26971,780,39
158,24180,27055,720,23
159,24180,28093,1080,69
160,24240,27750,840,5
161,24240,27268,840,49
162,24240,27078,840,37
163,24240,26959,840,16
164,24240,27244,840,25
165,24240,27570,840,40
166,24240,27724,1800,67
167,24240,26825,840,24
168,24300,27361,900,18
169,24300,27081,900,59
170,24300,27849,1800,4
171,24300,25629,1800,52
172,24300,27140,900,36
173,24300,27049,1800,22
174,24300,27189,900,9
175,24300,25643,1800,53
176,24300,27056,900,76
177,24300,27526,1500,84
178,24300,27692,1440,83
179,24300,27417,900,19
180,24360,26925,540,58
181,24360,27348,960,17
182,24360,27831,960,44
183,24420,27338,1620,28
184,24420,27137,1020,27
185,24420,27121,1020,26
186,24420,27937,1320,51
187,24420,27101,1020,31
188,24420,26994,1020,65
189,24420,27745,1380,50
190,24480,27376,1080,75
191,24480,27416,1080,66
192,24480,27313,1980,64
193,24480,27831,1080,41
194,24480,27598,1080,42
195,24480,27562,1080,43
196,24480,27599,1680,29
197,24480,27970,1080,45
198,24480,27805,1080,30
199,24540,27545,1140,48
200,24540,27568,1140,49
201,24540,27275,1140,1
202,24540,27218,1140,55
203,24540,27021,1140,54
204,24600,27391,1200,39
205,24600,27475,1140,23
206,24600,28523,1200,47
207,24600,27367,1200,0
208,24600,28186,2100,12
209,24600,26836,1200,35
210,24600,28202,2100,13
211,24600,28735,1200,81
212,24600,28578,1200,46
213,24600,28840,1200,82
214,24660,27507,2160,63
215,24660,27416,1260,76
216,24660,26196,1200,86
217,24660,27440,1260,38
218,24660,27245,1260,24
219,24660,28293,1260,10
220,24660,27664,1260,25
221,24720,28337,1320,11
222,24720,28633,1620,69
223,24720,28770,2220,70
224,24720,27772,1320,8
225,24720,26997,1320,34
226,24720,27752,2220,78
227,24780,28180,2340,68
228,24780,29068,1380,79
229,24780,27520,1380,2
230,24780,28297,1680,51
231,24780,28806,1380,80
232,24780,28105,1740,50
233,24840,26169,2340,52
234,24840,28232,1980,83
235,24840,28324,2400,67
236,24840,26183,2340,53
237,24840,27621,1440,59
238,24840,28350,1440,5
239,24840,28191,1440,41
240,24840,27405,1020,58
241,24840,27463,1440,3
242,24840,28170,1440,40
243,24840,28311,1440,44
244,24900,27928,1500,49
245,24900,27818,2100,28
246,24900,28126,2100,84
247,24900,27905,1500,48
248,24900,27733,2400,64
249,24900,25532,2400,71
250,24900,27796,1500,75
251,24960,28078,1560,42
252,24960,27777,2460,77
253,24960,27751,1560,39
254,24960,27740,1560,38
255,24960,28042,1560,43
256,24960,28450,1560,45
257,24960,27534,1560,65
258,24960,28079,2160,29
259,25020,28024,1620,25
260,25020,28606,2520,12
261,25020,27698,1620,55
262,25020,27701,1620,31
263,25020,27956,1620,66
264,25020,27776,1620,76
265,25020,28998,1620,46
266,25020,28943,1620,47
267,25020,28622,2520,13
268,25080,27969,1680,9
269,25080,27385,0,85
270,25080,27797,1680,27
271,25080,28410,1680,40
272,25080,27815,1680,1
273,25080,27665,1680,24
274,25080,26786,1080,60
275,25080,27781,1680,26
276,25080,27847,1680,0
277,25140,28128,1740,17
278,25140,28773,1740,10
279,25140,29190,2640,70
280,25140,28172,2640,78
281,25140,26483,2640,53
282,25140,28465,2100,50
283,25140,28201,1740,18
284,25200,28075,1740,23
285,25200,28972,1800,11
286,25200,26529,2700,52
287,25200,29113,2100,69
288,25200,27516,1800,35
289,25200,28912,1800,5
290,25200,28134,1800,16
291,25200,28468,1800,36
292,25200,28833,1800,19
293,25200,28811,1800,41
294,25200,27878,1800,54
295,25200,28357,2700,63
296,25200,28196,1800,37
297,25260,28985,1860,44
298,25260,28170,1860,59
299,25260,29014,2760,4
300,25260,27825,1440,58
301,25260,28717,1860,49
302,25260,28992,2160,51
303,25260,28343,2760,77
304,25260,28204,2760,22
305,25260,28798,2400,83
306,25320,25952,2820,71
307,25320,29233,2820,13
308,25320,27597,1920,34
309,25320,28236,1920,39
310,25320,28477,1920,48
311,25320,29037,2520,84
312,25380,28390,1980,38
313,25380,29790,1980,79
314,25380,29109,2880,12
315,25380,28825,2580,28
316,25380,29074,2940,68
317,25380,28213,2880,64
318,25380,29226,2940,67
319,25380,28477,1980,8
320,25380,28803,2580,29
321,25440,28612,2040,75
322,25440,29535,2040,47
323,25440,28860,2040,43
324,25440,28922,2040,42
325,25440,29418,2040,46
326,25440,29004,2040,40
327,25440,29625,2040,80
