new_index,s_time,e_time,delta_time,old_index
0,19800,24032,0,0
1,19800,20788,0,64
2,19800,24386,0,1
3,19800,20823,0,65
4,19800,21761,0,2
5,19800,24469,0,9
6,19800,22051,0,58
7,19800,22615,0,59
8,19800,21618,0,3
9,19800,24539,0,8
10,20160,22411,360,58
11,20220,23035,420,59
12,20220,24959,420,8
13,20220,24806,420,1
14,20220,22573,0,54
15,20220,22379,0,53
16,20280,24949,480,9
17,20400,24632,600,0
18,20400,22651,600,58
19,20520,22481,720,2
20,20640,22993,420,54
21,20640,25226,840,1
22,20640,22799,420,53
23,20700,25369,900,9
24,20700,23515,900,59
25,20700,25439,900,8
26,20820,23071,1020,58
27,21060,25646,1260,1
28,21180,25919,1380,8
29,21180,23995,1380,59
30,21180,25849,1380,9
31,21180,23533,960,54
32,21180,23141,1380,2
33,21180,23431,1380,58
34,21180,25412,1380,0
35,21180,23339,960,53
36,21480,26066,1680,1
37,21540,23791,1740,58
38,21540,23699,1320,53
39,21540,23893,1320,54
40,21600,24705,0,7
41,21600,25233,0,22
42,21600,24825,0,38
43,21600,25467,0,15
44,21600,25804,0,14
45,21600,23814,0,48
46,21600,24694,0,33
47,21600,23881,0,56
48,21600,24341,0,32
49,21600,24846,0,37
50,21600,23990,0,34
51,21600,26544,0,30
52,21600,24674,0,49
53,21600,25302,0,23
54,21600,24143,0,46
55,21600,24687,0,31
56,21600,24729,0,6
57,21600,24608,0,50
58,21600,23977,0,47
59,21600,26035,0,29
60,21600,23973,0,55
61,21600,24935,0,18
62,21660,26399,1860,8
63,21660,26329,1860,9
64,21660,24475,1860,59
65,21720,25952,1920,0
66,21780,23741,1980,2
67,21840,22863,2040,65
68,21840,23658,2040,3
69,21840,22828,2040,64
70,21900,24059,1680,53
71,21900,25602,300,23
72,21900,24273,300,55
73,21900,26486,2100,1
74,21900,24151,2100,58
75,21900,24908,300,50
76,21900,24253,1680,54
77,21960,26904,360,30
78,21960,25593,360,22
79,22020,24761,420,32
80,22020,25114,420,33
81,22020,24301,420,56
82,22020,25266,420,37
83,22080,26312,2280,0
84,22080,25167,480,31
85,22080,24470,480,34
86,22140,26575,540,29
87,22140,24391,2340,58
88,22140,25214,540,49
89,22140,24955,2340,59
90,22140,24683,540,46
91,22140,25365,540,38
92,22140,26879,2340,8
93,22140,26809,2340,9
94,22200,26328,0,13
95,22200,26288,0,12
96,22260,25268,660,50
97,22260,25962,660,23
98,22260,24419,2040,53
99,22260,24613,2040,54
100,22320,24693,720,55
101,22320,26906,2520,1
102,22320,24281,2520,2
103,22320,25953,720,22
104,22380,24631,2580,58
105,22440,27384,840,30
106,22440,26644,840,14
107,22500,25629,900,6
108,22500,25605,900,7
109,22500,26367,900,15
110,22500,25594,900,33
111,22500,24781,900,56
112,22500,24890,900,34
113,22560,24913,2340,54
114,22560,25806,960,37
115,22560,24719,2340,53
116,22560,25895,960,18
117,22560,25301,960,32
118,22560,25375,2760,59
119,22560,25647,960,31
120,22620,26852,2820,0
121,22620,25628,1020,50
122,22620,27359,2820,8
123,22620,27289,2820,9
124,22620,26322,1020,23
125,22680,27115,1080,29
126,22680,25223,1080,46
127,22740,25814,1140,49
128,22740,26367,0,19
129,22740,24701,2940,2
130,22740,25965,1140,38
131,22740,24991,2940,58
132,22740,25113,1140,55
133,22740,27326,2940,1
134,22800,25177,1200,47
135,22800,26433,1200,22
136,22860,27804,1260,30
137,22860,25074,1260,48
138,22920,25310,1320,34
139,22920,26014,1320,33
140,22920,25273,2700,54
141,22920,25079,2700,53
142,22980,26067,1380,31
143,22980,25988,1380,50
144,22980,25721,1380,32
145,22980,25795,3180,59
146,22980,26226,1380,37
147,23040,27168,840,13
148,23040,27779,3240,8
149,23040,26742,1440,23
150,23040,27272,3240,0
151,23040,25321,1440,56
152,23040,25291,3240,58
153,23100,27769,3300,9
154,23160,25533,1560,55
155,23160,27746,3360,1
156,23220,25181,3420,2
157,23220,26853,1620,22
158,23220,28164,1620,30
159,23280,27715,1680,29
160,23280,26095,3480,59
161,23280,27484,1680,14
162,23280,25633,3060,54
163,23280,25531,3480,58
164,23280,25439,3060,53
165,23340,27042,1740,23
166,23340,26348,1740,50
167,23340,25883,1740,46
168,23340,26565,1740,38
169,23340,26675,1740,18
170,23400,27267,1800,15
171,23400,27488,1200,12
172,23400,24532,0,43
173,23400,26529,1800,6
174,23400,26648,0,17
175,23400,26474,1800,49
176,23400,25516,0,62
177,23400,26505,1800,7
178,23400,25878,0,20
179,23400,24534,0,44
180,23400,25494,0,63
181,23400,26632,0,16
182,23400,27097,0,35
183,23400,25230,0,4
184,23400,25684,0,27
185,23460,26706,1860,37
186,23460,25526,0,21
187,23460,25850,1860,34
188,23460,26554,1860,33
189,23460,25376,0,5
190,23460,26201,1860,32
191,23460,25741,1860,56
192,23580,26667,1980,31
193,23580,27812,3780,0
194,23580,28319,3780,8
195,23580,28166,3780,1
196,23580,28249,3780,9
197,23640,28584,2040,30
198,23640,25891,3840,58
199,23640,27273,2040,22
200,23640,27342,2040,23
201,23640,26455,3840,59
202,23640,25993,3420,54
203,23640,26013,2040,55
204,23640,25799,3420,53
205,23700,27828,1500,13
206,23700,26708,2100,50
207,23700,25661,3900,2
208,23760,26303,2160,46
209,23880,24903,4080,65
210,23880,28315,2280,29
211,23880,26270,2280,34
212,23880,25698,4080,3
213,23880,26233,3660,54
214,23880,28112,4080,0
215,23880,24868,4080,64
216,23880,26974,2280,33
217,23880,26131,4080,58
218,23880,26039,3660,53
219,23880,26954,2280,49
220,23940,27642,2340,23
221,23940,27186,2340,37
222,23940,26681,2340,32
223,23940,27165,2340,38
224,23940,27567,1200,19
225,23940,26317,2340,47
226,24000,28586,4200,1
227,24000,26815,4200,59
228,24000,27633,2400,22
229,24000,26281,2400,56
230,24000,27087,2400,31
231,24000,26214,2400,48
232,24060,27068,2460,50
233,24060,28729,4260,9
234,24060,29004,2460,30
235,24060,28799,4260,8
236,24180,26553,2580,55
237,24180,28384,2580,14
238,24180,26141,4380,2
239,24240,26399,4020,53
240,24240,26593,4020,54
241,24240,28107,2640,15
242,24240,26491,4440,58
243,24240,28368,2040,13
244,24240,27942,2640,23
245,24300,28532,4500,0
246,24300,27635,2700,18
247,24300,26690,2700,34
248,24300,27405,2700,7
249,24300,27429,2700,6
250,24300,27394,2700,33
251,24300,27115,4500,59
252,24360,28795,2760,29
253,24360,27434,2760,49
254,24360,27993,2760,22
255,24420,26963,2820,46
256,24420,27428,2820,50
257,24420,27645,2820,38
258,24420,29006,4620,1
259,24420,27161,2820,32
