new_index,s_time,e_time,delta_time,old_index
0,19800,22535,0,40
1,20400,23842,0,5
2,20400,24522,0,78
3,20580,24764,0,79
4,20640,24762,240,78
5,20700,24489,0,2
6,20700,22909,0,70
7,20700,23081,0,69
8,20700,24181,0,30
9,20760,22926,0,32
10,20760,23397,0,4
11,20820,25004,240,79
12,20880,24607,0,8
13,20940,24167,0,3
14,20940,24382,540,5
15,21000,24086,0,19
16,21000,24789,300,2
17,21000,23996,0,18
18,21000,25126,0,38
19,21000,24562,0,43
20,21000,24727,120,8
21,21000,24810,0,35
22,21060,25182,660,78
23,21060,25011,0,21
24,21060,25316,0,39
25,21060,24287,120,3
26,21060,24402,0,31
27,21120,23757,360,4
28,21120,23085,0,33
29,21120,24682,120,43
30,21120,25304,540,79
31,21180,24393,0,47
32,21240,24682,840,5
33,21240,24467,300,3
34,21240,23406,480,32
35,21300,23681,600,69
36,21300,25556,240,39
37,21300,24802,0,48
38,21300,24802,0,48
39,21300,24761,0,20
40,21360,25149,660,2
41,21360,23569,660,70
42,21360,24727,0,72
43,21420,24057,660,4
44,21420,24719,0,41
45,21420,25542,1020,78
46,21480,24898,0,71
47,21480,23445,360,33
48,21480,24707,540,3
49,21480,25207,600,8
50,21480,25467,0,9
51,21480,25664,900,79
52,21540,24958,60,71
53,21540,25021,840,30
54,21540,24882,480,31
55,21600,26760,0,59
56,21600,25103,0,93
57,21600,25042,1200,5
58,21600,24791,0,91
59,21600,24791,0,91
60,21600,25726,600,38
61,21600,24813,420,47
62,21600,25388,0,42
63,21600,25314,0,82
64,21600,25844,0,60
65,21600,25061,300,20
66,21600,23905,0,52
67,21600,26427,0,23
68,21600,23486,0,58
69,21660,25611,600,21
70,21660,25916,600,39
71,21660,24344,0,54
72,21720,25222,420,48
73,21720,25062,660,31
74,21720,25082,0,62
75,21720,24947,780,3
76,21780,24417,1020,4
77,21780,25964,1200,79
78,21780,25902,1380,78
79,21780,23946,1020,32
80,21840,24221,1140,69
81,21900,23865,780,33
82,21960,25441,1260,30
83,21960,25522,960,43
84,21960,25302,900,31
85,21960,24169,1260,70
86,21960,25327,600,72
87,21960,25911,900,21
88,22020,26276,960,39
89,22020,26204,1440,79
90,22020,25233,840,47
91,22020,25481,720,20
92,22020,25462,1620,5
93,22020,25319,600,41
94,22080,25545,0,90
95,22080,25545,0,90
96,22080,26206,1080,38
97,22140,25621,1440,30
98,22140,25642,840,48
99,22140,25558,660,71
100,22140,24777,1380,4
101,22140,26262,1740,78
102,22140,26091,1080,21
103,22140,25367,1200,3
104,22200,25642,1800,5
105,22200,25927,1320,8
106,22200,24526,0,46
107,22200,26187,720,9
108,22260,26070,1260,35
109,22260,26545,0,45
110,22320,24649,0,49
111,22320,24649,0,49
112,22320,25020,0,50
113,22320,24206,720,58
114,22320,25781,1020,20
115,22320,26109,1620,2
116,22320,25511,720,91
117,22380,26636,1320,39
118,22380,26564,1800,79
119,22380,25942,1380,43
120,22440,26228,840,42
121,22440,27178,0,22
122,22440,25653,1260,47
123,22440,24405,1320,33
124,22440,23818,0,64
125,22440,25667,1500,3
126,22440,24821,1740,69
127,22440,25782,1380,31
128,22440,27267,840,23
129,22500,24666,1740,32
130,22500,25942,2100,5
131,22500,26622,2100,78
132,22500,24709,1800,70
133,22560,25295,2760,40
134,22560,25927,1200,72
135,22560,26686,1560,38
136,22560,26062,1260,48
137,22620,26122,1320,48
138,22620,26101,1920,30
139,22620,26804,2040,79
140,22620,26409,1920,2
141,22620,26330,0,1
142,22680,26022,1620,31
143,22680,26042,960,62
144,22680,26631,1620,21
145,22740,26182,2340,5
146,22740,26996,1680,39
147,22740,25967,1800,3
148,22740,25377,1980,4
149,22800,24765,1680,33
150,22800,26922,2400,78
151,22800,26091,0,61
152,22800,24589,0,84
153,22800,26265,720,90
154,22800,25437,2040,4
155,22800,26218,1320,71
156,22800,26255,0,0
157,22860,25026,2100,32
158,22860,26649,2160,2
159,22920,26647,2040,8
160,22920,26381,1620,20
161,22920,26133,1740,47
162,22980,26422,2580,5
163,22980,26461,2280,30
164,22980,25189,2280,70
165,22980,27164,2400,79
166,22980,26769,2280,2
167,22980,26322,1920,31
168,22980,27106,1980,38
169,23040,26407,1680,72
170,23040,25421,2340,69
171,23040,26231,1440,91
172,23100,26327,2160,3
173,23100,26888,1500,42
174,23100,27356,2040,39
175,23100,25325,0,74
176,23160,24538,720,64
177,23160,26662,1860,48
178,23220,25185,2100,33
179,23220,27207,1740,9
180,23220,27342,2820,78
181,23220,25857,2460,4
182,23220,26662,2820,5
183,23220,26701,2520,30
184,23220,26519,1800,41
185,23280,25489,2580,70
186,23280,26493,2100,47
187,23340,28078,900,22
188,23340,27291,2280,21
189,23340,28167,1740,23
190,23340,25506,2580,32
191,23340,27524,2760,79
192,23340,26702,1620,62
193,23340,26682,2280,31
194,23340,26758,1860,71
195,23400,26962,2400,43
196,23400,25233,0,7
197,23400,25134,0,6
198,23400,25002,0,56
199,23400,24885,0,27
200,23400,26914,0,11
201,23400,27271,0,44
202,23400,25222,0,26
203,23400,27210,2400,35
204,23400,27644,1800,60
205,23400,27685,1140,45
206,23400,25726,1200,46
207,23460,27170,840,1
208,23460,26902,3060,5
209,23460,27586,2460,38
210,23460,27716,2400,39
211,23460,26962,2160,48
212,23520,25901,2820,69
213,23520,26161,0,57
214,23520,25485,2400,33
215,23520,26887,2160,72
216,23520,26862,2460,31
217,23520,27022,2220,48
218,23580,27369,2880,2
219,23580,26217,2820,4
220,23580,27702,3180,78
221,23580,27764,3000,79
222,23580,26793,2400,47
223,23640,27101,2340,20
224,23640,27202,2640,43
225,23640,26867,2700,3
226,23700,25734,0,67
227,23700,26891,2100,91
228,23700,27155,900,0
229,23700,26384,2040,54
230,23700,27427,2820,8
231,23700,25866,2940,32
232,23700,27142,3300,5
233,23700,27488,2100,42
234,23760,26846,2760,19
235,23760,27944,3180,79
236,23760,25646,2160,58
237,23760,27747,2280,9
238,23760,26756,2760,18
239,23820,27162,2760,31
240,23880,26046,3120,32
241,23880,26261,3180,69
242,23880,27179,2460,41
243,23880,28131,0,83
