new_index,s_time,e_time,delta_time,old_index
0,19200,20838,0,131
1,19500,22018,0,80
2,19800,23704,0,15
3,19800,21956,0,56
4,19920,22438,420,80
5,20340,22858,840,80
6,20400,24029,0,32
7,20400,24304,600,15
8,20400,27139,0,25
9,20700,24092,0,62
10,20700,22714,0,85
11,20760,23278,1260,80
12,21000,23533,0,9
13,21000,24904,1200,15
14,21000,25049,0,114
15,21000,24621,0,79
16,21180,25087,0,77
17,21180,23698,1680,80
18,21240,24869,840,32
19,21240,24632,540,62
20,21300,24388,0,44
21,21300,23600,0,21
22,21480,25529,480,114
23,21540,23801,0,22
24,21540,24628,240,44
25,21600,23023,0,60
26,21600,25416,0,14
27,21600,25507,420,77
28,21600,25779,0,75
29,21600,24707,0,88
30,21600,25221,600,79
31,21600,25155,0,41
32,21600,26112,0,7
33,21600,24465,0,72
34,21600,23513,0,108
35,21600,25038,0,102
36,21600,25294,0,3
37,21600,25819,0,19
38,21600,24868,0,4
39,21600,23614,900,85
40,21600,24542,0,92
41,21600,22513,0,34
42,21600,24146,0,93
43,21600,24806,0,89
44,21600,25447,0,10
45,21600,24118,2100,80
46,21600,25471,0,113
47,21600,25444,0,11
48,21600,24076,0,104
49,21600,25641,0,20
50,21600,24847,0,91
51,21600,26658,0,116
52,21600,23962,0,81
53,21600,23543,0,38
54,21600,25504,1800,15
55,21600,24372,0,64
56,21600,23354,0,123
57,21600,24834,0,18
58,21600,24983,0,5
59,21600,22522,0,33
60,21600,23180,0,107
61,21600,23087,0,50
62,21600,25376,0,74
63,21660,23221,0,57
64,21780,25335,180,41
65,21780,24313,780,9
66,21780,24080,480,21
67,21840,25232,1140,62
68,21900,25417,0,52
69,21900,24418,2400,80
70,21900,25744,300,11
71,21900,24988,600,44
72,21960,25579,0,95
73,21960,26009,960,114
74,21960,25867,780,77
75,22020,25714,420,3
76,22020,25641,1020,79
77,22020,25867,420,10
78,22020,24538,2520,80
79,22020,25226,420,89
80,22080,24341,540,22
81,22080,24442,480,81
82,22140,26652,540,7
83,22140,25228,840,44
84,22140,26319,540,75
85,22140,26181,540,20
86,22140,26359,540,19
87,22140,25916,540,74
88,22140,25769,1740,32
89,22140,25247,540,88
90,22140,25578,540,102
91,22200,23722,0,35
92,22200,23502,0,65
93,22200,28939,1800,25
94,22200,26104,2400,15
95,22200,25558,0,43
96,22200,25794,0,78
97,22200,25545,0,90
98,22200,26330,0,76
99,22260,24274,1560,85
100,22260,24778,2760,80
101,22320,24620,1020,21
102,22320,25567,720,91
103,22320,26164,720,11
104,22380,26287,1200,77
105,22380,26429,1380,114
106,22380,23960,780,107
107,22440,24516,0,71
108,22440,26752,0,115
109,22440,26061,1440,79
110,22440,25832,1740,62
111,22440,26287,840,10
