new_index,s_time,e_time,delta_time,old_index
0,19200,21881,0,126
1,19500,22845,0,230
2,19620,22301,420,126
3,19980,22661,780,126
4,20100,22653,0,127
5,20280,22961,1080,126
6,20340,24248,0,79
7,20400,23002,0,15
8,20400,22747,0,5
9,20400,22711,0,144
10,20400,23268,0,112
11,20400,23307,0,153
12,20400,23649,0,64
13,20400,23142,0,125
14,20400,23302,0,26
15,20400,23121,0,124
16,20400,23606,0,65
17,20400,23230,0,14
18,20400,23850,0,71
19,20400,24084,0,166
20,20400,24299,0,78
21,20400,22691,0,4
22,20400,23254,0,154
23,20520,23073,420,127
24,20580,23487,180,153
25,20580,23434,180,154
26,20700,23643,0,111
27,20700,23381,1500,126
28,20700,24599,300,78
29,20700,23211,0,123
30,20700,23492,0,157
31,20700,23562,0,158
32,20700,24928,0,28
33,20700,23483,0,196
34,20700,24045,1200,230
35,20700,23211,0,119
36,20700,23316,0,120
37,20700,24608,360,79
38,20700,23361,0,218
39,20760,23590,360,14
40,20820,24504,420,166
41,20820,23131,420,144
42,20820,23688,420,112
43,20820,23541,420,124
44,20820,23562,420,125
45,20820,23111,420,4
46,20820,23763,120,111
47,20880,24788,540,79
48,20880,23787,480,153
49,20880,24129,480,64
50,20880,23482,480,15
51,20940,23287,540,5
52,20940,23732,240,157
53,20940,23794,540,154
54,20940,23493,840,127
55,20940,23842,540,26
56,20940,24146,540,65
57,21000,25038,0,234
58,21000,24035,0,213
59,21000,22911,0,134
60,21000,24332,0,212
61,21000,24268,0,0
62,21000,21766,0,216
63,21000,24359,0,3
64,21000,24535,0,246
65,21000,23631,0,117
66,21000,24425,0,2
67,21000,24113,0,178
68,21000,24289,0,245
69,21000,23552,0,176
70,21000,24097,0,35
71,21000,24030,0,177
72,21000,23970,0,18
73,21000,23390,0,68
74,21000,23641,0,69
75,21000,24616,0,143
76,21000,22915,0,139
77,21000,24063,0,19
78,21060,24272,0,34
79,21060,23057,0,138
80,21120,24063,420,111
81,21120,23722,720,15
82,21120,24409,120,245
83,21120,23988,720,112
84,21120,23801,1920,126
85,21180,24429,780,64
86,21180,24010,780,14
87,21180,24087,780,153
88,21180,23471,780,4
89,21180,23901,780,124
90,21180,23922,780,125
91,21240,23901,540,218
92,21240,23751,540,119
93,21240,24775,240,246
94,21240,23856,540,120
95,21240,24102,540,158
96,21300,24092,600,157
97,21300,23667,0,135
98,21300,23853,1200,127
99,21300,23811,600,123
100,21300,23611,900,144
101,21300,24984,900,166
102,21360,24228,960,112
103,21360,23707,960,5
104,21420,24626,1020,65
105,21420,24274,1020,154
106,21420,24101,2220,126
107,21420,24455,420,213
108,21420,24808,0,170
109,21420,24450,420,177
110,21480,24543,480,19
111,21480,24812,480,212
112,21480,24769,480,245
113,21480,24387,1080,153
114,21480,25388,1140,79
115,21480,24593,480,178
116,21480,25379,1080,78
117,21480,25096,480,143
118,21540,24051,840,119
119,21540,24370,1140,14
120,21540,24442,1140,26
121,21540,24637,540,35
122,21540,24156,840,120
123,21540,24323,840,196
124,21540,24990,1140,71
125,21540,24483,840,111
126,21540,24282,1140,125
127,21540,24261,1140,124
128,21540,24510,540,18
129,21540,23831,1140,4
130,21600,24300,0,17
131,21600,24132,0,115
132,21600,24524,0,147
133,21600,24320,0,116
134,21600,24252,0,148
135,21600,24268,0,85
136,21600,24062,0,162
137,21600,25025,600,2
138,21600,25011,0,91
139,21600,25477,0,165
140,21600,24028,0,161
141,21600,24849,1200,64
142,21600,25636,0,169
143,21600,26994,0,72
144,21600,24019,0,175
145,21600,24785,0,90
146,21600,25501,0,45
147,21600,24477,0,16
148,21600,25135,600,246
149,21600,24959,600,3
150,21600,29924,0,13
151,21600,25152,0,129
152,21600,25336,0,128
153,21600,23465,0,46
154,21660,24872,600,34
155,21660,24213,1560,127
156,21660,24212,660,176
157,21660,24316,0,41
158,21660,24262,1260,15
159,21660,24528,1260,112
160,21660,24381,1260,124
161,21660,23571,660,134
162,21660,25698,660,234
163,21660,25192,0,70
164,21720,25404,1320,166
165,21720,24067,1320,5
166,21720,24486,0,118
167,21720,24087,420,135
168,21720,24582,1020,158
169,21720,24262,0,40
170,21720,24351,720,117
171,21780,24091,1380,144
172,21780,25688,1440,79
173,21780,25168,360,170
174,21780,24634,1380,154
175,21780,24461,2580,126
176,21780,24572,1080,157
177,21840,24351,1140,123
178,21840,24875,840,213
179,21840,24747,1440,153
180,21840,25185,2340,230
181,21840,24501,1140,218
182,21840,24670,1440,14
183,21840,24131,1440,4
184,21840,24481,840,69
185,21840,24783,1140,111
186,21900,25516,900,143
187,21900,24930,900,177
188,21900,24411,1200,119
189,21900,25137,0,229
190,21900,25013,900,178
191,21900,24290,900,68
192,21900,24642,1500,125
193,21900,25189,900,245
194,21900,24516,1200,120
195,21960,25166,1560,65
196,21960,23980,0,54
197,22020,25269,1620,64
198,22020,25897,420,165
199,22020,23935,1020,139
200,22020,24573,1920,127
201,22020,24622,1620,15
202,22080,24427,1680,5
203,22080,24508,480,161
204,22080,25615,1080,246
205,22080,25498,0,80
206,22080,24800,480,116
207,22080,25412,0,81
208,22080,25050,1080,18
209,22080,25023,1380,111
210,22140,25472,1140,212
211,22140,25064,540,147
212,22140,24821,2940,126
213,22140,25565,1140,2
214,22140,24431,1740,4
215,22140,25008,1740,112
216,22140,25824,1740,166
217,22140,25047,1740,153
218,22140,25499,1140,3
219,22140,25237,1140,35
220,22140,24994,1740,154
221,22140,24792,540,148
222,22140,24672,540,115
223,22200,24868,600,85
224,22200,24127,0,55
225,22200,23646,0,208
226,22200,24843,0,58
227,22200,25187,0,27
228,22200,24197,1140,138
229,22200,24992,1500,157
230,22200,25102,1800,26
231,22200,25030,1800,14
232,22200,25263,1200,19
233,22200,24932,0,59
234,22200,24080,0,37
235,22200,23583,0,102
236,22200,25489,1200,245
237,22200,24567,900,135
238,22200,24921,1800,124
239,22200,23898,0,137
240,22200,24201,0,36
241,22200,24081,0,60
242,22260,24876,1560,120
243,22260,24571,1860,144
244,22260,24771,1560,119
245,22260,25295,1260,213
246,22260,25122,1560,158
247,22260,25472,1200,34
248,22260,24268,0,61
249,22260,25648,840,170
250,22260,24722,660,162
251,22260,24802,540,40
252,22260,26161,660,45
253,22320,24231,1320,134
254,22320,25086,600,118
255,22320,25062,1920,125
256,22320,24872,1320,176
257,22320,26219,1920,78
258,22320,25263,1620,111
259,22320,24340,360,54
260,22320,24922,1920,15
261,22320,25526,1920,65
262,22320,26356,720,169
263,22380,24933,2280,127
264,22380,25493,1380,178
265,22380,25287,1980,153
266,22380,24671,1980,4
267,22380,26418,1380,234
268,22380,25791,780,91
269,22380,25996,1380,143
270,22380,25163,1680,196
271,22380,25262,0,197
272,22380,25410,1380,177
273,22380,24727,1980,5
274,22440,25768,0,1
275,22440,25972,780,70
276,22440,25294,2040,154
277,22440,25625,840,90
278,22440,25121,3240,126
279,22440,25101,1740,218
280,22440,25689,2040,64
281,22440,25270,2040,14
282,22440,24951,1740,123
283,22440,25096,780,41
284,22440,25975,1440,246
285,22500,25220,900,116
286,22500,26463,0,233
287,22500,26236,900,128
288,22500,24919,900,175
289,22500,26377,900,165
290,22500,25470,1500,18
291,22500,25834,0,252
292,22500,26052,900,129
293,22560,25092,960,115
294,22560,26244,2160,166
295,22560,24988,960,161
296,22560,25849,1560,245
297,22560,25547,360,27
298,22560,25191,1560,117
299,22560,25422,1860,158
300,22560,25428,2160,112
301,22620,25952,1620,212
302,22620,25655,1620,213
303,22620,25717,1620,35
304,22620,24911,2220,4
305,22620,25222,2220,15
306,22620,25173,2520,127
307,22620,25341,2220,124
308,22680,25623,1980,111
309,22680,25886,2280,65
310,22680,25361,3480,126
311,22680,25070,1680,68
312,22680,25422,2280,125
313,22680,25743,1680,19
314,22680,25472,1980,157
315,22680,25348,1080,85
316,22680,25587,2280,153
317,22680,25332,1080,148
318,22680,25604,1080,147
319,22680,25027,2280,5
320,22740,25570,2340,14
321,22740,25594,2340,154
322,22740,24655,1740,139
323,22740,25642,2340,26
324,22740,25051,2340,144
325,22740,24667,540,55
326,22740,25356,2040,120
327,22740,25251,2040,119
328,22740,24760,780,54
329,22740,26190,2340,71
330,22740,25107,1440,135
331,22800,26708,2460,79
332,22800,26012,1740,34
333,22800,26188,1380,170
334,22800,25756,0,251
335,22800,25518,0,84
336,22800,26225,1800,2
337,22800,24352,0,174
338,22800,25891,0,172
339,22800,30657,0,249
340,22800,25441,1800,69
341,22800,25491,0,222
342,22800,26159,1800,3
343,22800,25027,0,207
344,22800,25145,0,255
345,22800,24711,1800,134
346,22800,24156,0,42
347,22860,26896,1260,169
348,22860,25371,2160,123
349,22860,26395,1860,246
350,22860,25402,1140,40
351,22860,26109,2460,64
352,22860,25581,2460,124
353,22860,25830,1860,18
354,22860,26768,2520,79
355,22860,25973,1860,178
356,22860,25412,1860,176
357,22860,25569,0,223
358,22860,25151,2460,4
359,22860,25890,1860,177
360,22920,26536,1920,143
361,22920,25802,540,197
362,22920,25473,2820,127
363,22920,25581,2220,218
364,22920,25662,2520,125
365,22920,25522,2520,15
366,22920,25641,2520,124
367,22920,26209,1920,245
368,22920,25415,0,219
369,22920,26797,1320,165
370,22920,25686,1200,118
371,22980,26015,1980,213
372,22980,25862,600,197
373,22980,25661,3780,126
374,22980,25327,2580,5
375,22980,25596,2280,120
376,22980,26881,1380,45
377,22980,25887,2580,153
378,22980,25848,2580,112
379,22980,25491,2280,119
380,22980,25967,780,27
381,22980,26879,2580,78
382,22980,26664,2580,166
383,22980,25810,2580,14
384,22980,26186,2580,65
385,22980,24981,780,36
386,22980,25512,1380,115
387,22980,26312,1980,212
388,23040,26277,1140,229
389,23040,25983,2340,111
390,23040,25823,2340,196
391,23040,25758,240,84
392,23040,26385,3540,230
393,23040,25502,1440,162
394,23040,26368,600,1
395,23040,24920,840,37
396,23040,26137,2040,35
397,23040,25760,1440,116
398,23040,26948,2700,79
399,23100,25411,2700,144
400,23100,25821,2700,124
401,23100,27063,600,233
402,23100,25962,2400,158
403,23100,24981,900,60
404,23100,27138,2100,234
405,23100,25391,2700,4
406,23160,25527,1860,135
407,23160,25168,900,61
408,23160,26223,2160,19
409,23160,26492,2160,212
410,23160,26571,1560,91
411,23160,25828,1560,85
412,23220,25962,2820,125
413,23220,26012,2520,157
414,23220,26127,2820,153
415,23220,25773,3120,127
416,23220,24608,0,101
417,23220,25567,2820,5
418,23280,25277,2220,138
419,23280,26250,2280,18
420,23280,25708,1680,161
421,23280,25961,4080,126
422,23280,26134,2880,154
423,23280,26204,1680,147
424,23280,26315,2280,213
425,23280,26310,2280,177
426,23280,25911,2280,117
427,23280,25191,2280,134
428,23280,26812,1620,70
429,23280,26815,2280,246
430,23280,26668,1860,170
431,23280,26223,2580,111
432,23280,26148,2880,112
433,23280,26569,2280,245
434,23340,25992,1740,148
435,23340,26061,2940,124
436,23340,25631,2940,4
437,23340,26956,2340,143
438,23340,26060,1740,116
439,23340,25996,1680,41
440,23340,26170,2940,14
441,23340,26525,1740,90
442,23340,25851,2640,119
443,23340,25956,2640,120
444,23340,25267,1140,55
445,23340,25983,1140,58
446,23340,26453,2340,178
447,23340,26001,2640,218
448,23340,25360,1380,54
449,23340,26072,1140,59
450,23340,27024,2940,166
451,23340,26242,2940,26
452,23400,23946,0,107
453,23400,23946,0,108
454,23400,26081,4200,126
455,23400,25628,0,220
456,23400,26082,0,95
457,23400,25942,1680,40
458,23400,24671,0,242
459,23400,26297,0,44
460,23400,31257,600,249
461,23400,24900,0,191
462,23400,26952,1800,129
463,23400,25714,0,9
464,23400,28794,1800,72
465,23400,24776,0,209
466,23400,26649,3000,64
467,23400,27136,1800,128
468,23400,25705,0,83
469,23400,26606,3000,65
470,23400,26065,0,62
471,23400,26420,0,52
472,23400,25315,0,50
473,23400,25911,2700,123
474,23400,27678,0,6
475,23400,24836,0,110
476,23400,28794,0,73
477,23400,25146,0,31
