new_index,s_time,e_time,delta_time,old_index
0,0,3224,0,938
1,0,2244,0,1277
2,60,2025,0,945
3,60,1960,0,907
4,300,3439,0,1272
5,900,3103,0,1276
6,1020,2858,0,906
7,1020,2875,0,946
8,1740,4489,0,943
9,1800,4624,0,944
10,2700,4903,1800,1276
11,2760,4598,1740,906
12,2760,4615,1740,946
13,3540,6764,0,937
14,3600,6824,3600,938
15,3600,5565,3540,945
16,3600,5500,3540,907
17,3600,5844,3600,1277
18,4800,6655,3780,946
19,4800,6638,3780,906
20,6300,8503,5400,1276
21,6360,8325,6300,945
22,6360,8260,6300,907
23,6420,8275,5400,946
24,6420,8258,5400,906
25,7200,10424,7200,938
26,7200,9444,7200,1277
27,7200,10424,3660,937
28,7260,9225,7200,945
29,7260,9160,7200,907
30,9900,12103,9000,1276
31,10140,11995,9120,946
32,10140,11978,9120,906
33,10740,13964,10740,938
34,10800,12765,10740,945
35,10800,14024,7260,937
36,10800,12700,10740,907
37,10800,13044,10800,1277
38,12300,14138,11280,906
39,12300,14155,11280,946
40,12540,15364,10740,944
41,12600,15349,10860,943
42,13500,15703,12600,1276
43,13680,15535,12660,946
44,13680,15518,12660,906
45,13800,15700,13740,907
46,13800,15765,13740,945
47,14340,17564,10800,937
48,14340,17564,14340,938
49,14400,16644,14400,1277
50,14460,16360,14400,907
51,14460,16425,14400,945
52,15480,18229,13740,943
53,15960,17789,0,257
54,16200,19024,14400,944
55,16440,18269,480,257
56,16740,19015,0,258
57,17100,18929,1140,257
58,17100,19303,16200,1276
59,17400,18994,0,562
60,17400,19255,16380,946
61,17400,19238,16380,906
62,17760,19354,360,562
63,17940,19534,540,562
64,17940,21164,17940,938
65,17940,21164,14400,937
66,18000,19900,17940,907
67,18000,19965,17940,945
68,18000,20244,18000,1277
69,18000,21574,0,1639
70,18000,24483,0,243
71,18000,23074,0,230
72,18000,23428,0,1255
73,18540,20134,1140,562
74,18600,20875,1860,258
75,18660,24239,0,758
76,18840,23392,0,1056
77,18840,25323,840,243
78,18900,20548,0,561
79,18900,20494,1500,562
80,18960,22965,0,1250
81,19020,21295,2280,258
82,19140,21105,19080,945
83,19140,24568,1140,1255
84,19140,21040,19080,907
85,19200,21584,0,1279
86,19200,23010,0,1552
87,19200,21702,0,1032
88,19260,20908,360,561
89,19320,23130,120,1552
90,19380,21028,480,561
91,19380,24959,720,758
92,19440,21034,2040,562
93,19500,24574,1500,230
94,19500,21533,0,926
95,19560,21398,18540,906
96,19560,21415,18540,946
97,19740,21705,19680,945
