new_index,s_time,e_time,delta_time,old_index
0,18840,20445,0,3
1,18900,20578,0,4
2,19200,22047,0,63
3,19800,24086,0,15
4,19800,23771,0,111
5,19800,23566,0,85
6,19800,22611,0,113
7,19860,24474,0,125
8,20280,24894,420,125
9,20340,21945,1500,3
10,20340,22018,1440,4
11,20400,24842,0,70
12,20400,25014,540,125
13,20700,22616,0,6
14,20700,24986,900,15
15,20940,24911,1140,111
16,20940,25382,540,70
17,20940,25554,1080,125
18,21000,23961,0,73
19,21000,23315,0,0
20,21300,24962,0,20
21,21300,22905,2460,3
22,21540,23218,2640,4
23,21600,26214,1740,125
24,21600,25886,1800,15
25,21600,23408,0,80
26,21600,23910,0,106
27,21600,25418,0,34
28,21600,26042,1200,70
29,21600,26503,0,132
30,21600,25202,0,71
31,21600,23684,0,81
32,21600,25519,0,65
33,21600,25932,0,130
34,21600,25366,1800,85
35,21600,26637,0,121
36,21600,26950,0,124
37,21600,24489,0,1
38,21600,24881,0,122
39,21600,25688,0,31
40,21600,24057,0,94
41,21600,26127,0,33
42,21600,26127,0,33
43,21600,25144,0,123
44,21780,24095,780,0
45,21840,23445,3000,3
46,21900,25953,0,75
47,21900,25562,600,20
48,21900,24711,2100,113
49,22080,25682,480,71
50,22080,24969,480,1
51,22080,23996,1380,6
52,22140,24987,2940,63
53,22140,26582,1740,70
54,22140,26228,540,31
55,22140,24224,540,81
56,22200,23756,0,48
57,22200,24765,0,52
58,22200,26141,0,83
59,22200,24603,0,42
60,22200,25372,0,82
61,22200,24577,0,79
62,22200,26171,2400,111
63,22200,25335,0,50
64,22200,26486,2400,15
65,22200,27550,600,124
66,22200,23930,0,72
67,22200,26018,600,34
68,22200,24116,1500,6
69,22320,26934,2460,125
70,22380,23985,3540,3
71,22380,26907,780,33
72,22440,24118,3540,4
73,22500,24987,0,107
74,22500,26553,600,75
75,22500,24308,900,80
76,22500,24815,1500,0
77,22500,25360,0,57
78,22500,26060,0,58
79,22500,25790,0,86
