new_index,s_time,e_time,delta_time,old_index
0,20880,24085,0,9
1,20880,24164,0,10
2,21000,24176,0,0
3,21000,23659,0,32
4,21000,24041,0,6
5,21000,24287,0,5
6,21000,24114,0,1
7,21180,24221,180,6
8,21480,24685,600,9
9,21540,24824,660,10
10,21540,24716,540,0
11,21600,23985,0,22
12,21600,24641,600,6
13,21600,23776,0,21
14,21600,24986,0,14
15,21600,24887,600,5
16,21600,24403,0,31
17,21660,24774,660,1
18,21960,25136,960,0
19,22020,25061,1020,6
20,22080,25285,1200,9
21,22080,25364,1200,10
22,22140,24223,0,24
23,22200,25487,1200,5
24,22200,25530,0,13
25,22260,25301,1260,6
26,22380,25494,1380,1
27,22680,25885,1800,9
28,22740,26027,1740,5
29,22740,25125,1140,22
30,22800,25535,0,28
31,22800,26139,0,38
32,22800,26184,0,39
33,22800,26431,0,11
34,22800,24996,0,23
35,22860,25901,1860,6
36,22980,26264,2100,10
37,23040,26216,2040,0
38,23100,26486,1500,14
39,23100,26214,2100,1
40,23160,26336,2160,0
41,23280,26485,2400,9
42,23280,25456,1680,21
43,23280,26564,2400,10
44,23340,26381,2340,6
45,23340,26627,2340,5
46,23400,26232,0,40
47,23400,25483,1260,24
48,23640,26671,0,45
49,23640,26681,2640,6
50,23700,26705,0,34
51,23760,27090,1560,13
52,23820,27104,2940,10
53,23820,27107,2820,5
54,23880,27085,3000,9
55,23880,26994,2880,1
56,23940,27116,2940,0
57,24000,27631,1200,11
58,24000,27041,3000,6
59,24000,27176,3000,0
60,24180,26565,2580,22
61,24240,26436,1440,23
62,24360,27690,2160,13
63,24360,27647,3360,5
64,24420,27461,3420,6
65,24480,27866,2880,14
66,24540,27654,3540,1
67,24540,27199,3540,32
68,24600,26683,2460,24
69,24600,26875,0,3
70,24600,26395,0,48
71,24660,26836,3060,21
72,24660,27944,3780,10
73,24720,27925,3840,9
74,24720,27761,3720,6
75,24780,28067,3780,5
76,24840,28124,3960,10
77,24900,27732,1500,40
78,24900,28076,3900,0
79,24900,28230,2700,13
80,25080,26861,0,20
81,25140,27943,3540,31
82,25140,28345,4260,9
83,25140,28254,4140,1
84,25140,28171,1500,45
85,25200,28647,4200,5
86,25200,28484,4200,6
87,25200,27749,0,30
88,25260,28912,4380,10
89,25260,29349,2460,11
90,25320,28184,0,35
91,25380,28664,4380,6
92,25440,27773,2640,23
93,25440,28826,3840,14
94,25500,29451,0,12
95,25500,27797,3360,24
96,25500,28062,3900,22
97,25620,29067,4620,5
98,25680,29298,4800,9
99,25680,28964,4680,6
100,25740,28675,0,41
101,25740,29392,4860,10
102,25740,28854,4740,1
103,25800,28311,0,2
104,25800,28976,4800,0
105,25800,29472,0,46
106,25800,28808,0,44
107,25800,28485,0,16
108,25920,29178,0,33
109,26040,29487,5040,5
110,26100,29430,3900,13
111,26160,28457,4020,24
112,26280,30369,3480,11
113,26280,29932,5400,10
114,26280,29086,0,7
115,26340,28710,4740,21
116,26340,29958,5460,9
117,26340,29075,3540,28
118,26340,29724,3540,39
119,26340,29679,3540,38
120,26400,28214,0,49
121,26400,29684,5400,6
122,26400,29576,5400,0
123,26400,27890,0,43
124,26460,29574,5460,1
125,26460,29007,0,26
126,26580,30027,5580,5
127,26700,29033,3900,23
128,26760,29592,3360,40
129,26820,30267,5820,5
130,26820,30206,5220,14
131,26820,28553,0,19
132,26880,30831,1380,12
133,26880,30532,6000,10
134,26940,30054,5940,1
135,26940,30558,6060,9
136,27000,30284,6000,6
137,27000,30176,6000,0
138,27000,28333,0,18
139,27000,28392,0,17
140,27120,28962,0,4
141,27180,30627,6180,5
142,27180,29742,5580,22
143,27240,29537,5100,24
144,27300,30584,6300,6
145,27360,30690,5160,13
146,27420,30806,5820,14
147,27480,31098,6600,9
148,27480,31569,4680,11
149,27540,29873,4740,23
150,27540,30987,6540,5
151,27540,30475,1800,41
152,27600,30714,6600,1
153,27660,30944,6660,6
154,27720,30896,6720,0
155,27720,31372,6840,10
156,27840,30848,2040,44
157,27900,30829,0,29
158,27900,31347,6900,5
159,27960,30330,6360,21
160,27960,31074,6960,1
161,28080,30739,7080,32
162,28140,31254,7140,1
163,28140,31758,7260,9
164,28200,31252,0,8
165,28200,31278,0,36
166,28200,31586,6600,14
167,28200,32151,2700,12
168,28260,31912,7380,10
169,28260,31707,7260,5
170,28320,30653,5520,23
171,28320,31604,7320,6
172,28500,30797,6360,24
173,28560,31736,7560,0
174,28620,31904,7620,6
175,28620,32067,7620,5
176,28680,31242,7080,22
177,28680,31483,7080,31
178,28680,32298,7800,9
179,28740,31854,7740,1
180,28800,29952,0,37
181,28800,32452,7920,10
182,28800,31925,0,25
183,28920,31752,5520,40
184,28980,32427,7980,5
185,28980,32264,7980,6
186,29040,32379,6240,38
187,29040,33129,6240,11
188,29040,31775,6240,28
189,29040,32424,6240,39
190,29100,30553,0,42
191,29160,32165,5460,34
192,29160,32191,5520,45
193,29220,32550,7020,13
194,29280,33231,3780,12
195,29280,32898,8400,9
196,29340,32787,8340,5
197,29400,31181,4320,20
198,29400,31195,4800,48
199,29400,32786,7800,14
200,29400,32576,8400,0
201,29400,32440,0,15
202,29460,32744,8460,6
203,29520,31890,7920,21
204,29520,31853,6720,23
205,29640,32151,3840,2
206,29700,31092,2700,17
207,29700,31033,2700,18
208,29760,33207,8760,5
209,29760,32057,7620,24
210,29820,33472,8940,10
211,29880,33056,8880,0
212,29880,33498,9000,9
213,29880,32994,8880,1
214,29940,32948,4140,44
215,29940,32875,4200,41
216,30000,33284,9000,6
217,30060,33507,9060,5
218,30120,32682,8520,22
219,30240,33892,9360,10
220,30300,33584,9300,6
221,30300,33952,9420,10
222,30480,33286,4200,7
223,30480,33927,9480,5
224,30480,34098,9600,9
225,30540,32873,7740,23
226,30540,34491,5040,12
227,30540,33654,9540,1
228,30600,33884,9600,6
229,30600,32875,6000,3
230,30600,33149,5400,30
231,30720,34809,7920,11
232,30780,33439,9780,32
233,30780,34432,9900,10
234,30780,34166,9180,14
235,30840,33210,9240,21
236,30900,34076,9900,0
237,30900,34230,8700,13
238,30900,33197,8760,24
239,31020,34304,10020,6
240,31020,33852,7620,40
241,31080,34698,10200,9
242,31080,34256,10080,0
243,31140,34254,10140,1
244,31140,32873,4320,19
245,31200,33014,4800,49
246,31320,34604,10320,6
247,31380,34183,9780,31
248,31440,34471,7800,45
249,31500,34947,10500,5
250,31500,32652,2700,37
251,31560,35007,10560,5
252,31740,35079,8940,38
253,31740,34475,8940,28
254,31740,35358,10860,9
255,31740,34604,6420,35
256,31740,35124,8940,39
257,31740,34854,10740,1
258,31800,34133,9000,23
259,31800,35084,10800,6
260,31800,35452,10920,10
261,31800,34808,6000,44
262,31860,35512,10980,10
263,31860,35118,5940,33
264,31920,34217,9780,24
265,31920,35096,10920,0
266,31980,35427,10980,5
267,31980,35931,6480,12
268,32040,34975,6300,41
269,32100,35384,11100,6
270,32160,34722,10560,22
271,32220,35396,11220,0
272,32220,35334,11220,1
273,32220,35667,11220,5
274,32280,35610,10080,13
275,32280,35898,11400,9
276,32340,35454,11340,1
277,32340,35392,4140,8
278,32400,35684,11520,10
279,32400,36031,9600,11
280,32400,33792,5400,17
281,32400,33733,5400,18
282,32520,35067,6060,26
283,32520,35906,10920,14
284,32520,35561,11520,6
285,32520,34696,10920,21
286,32580,34070,6180,43
287,32640,35927,11640,5
288,32700,35905,11820,9
289,32700,35741,11700,6
290,32820,35749,4920,29
291,32820,35996,11820,0
292,32940,35136,10140,23
293,32940,35023,10800,24
294,32940,36054,11940,1
295,33000,36284,12120,10
296,33000,35685,7200,16
297,33120,36151,9480,45
298,33120,34962,6000,4
299,33180,36385,12300,9
300,33180,36467,12180,5
301,33240,36416,12240,0
302,33300,36341,12300,6
303,33480,36764,12600,10
304,33480,36767,12480,5
305,33480,36415,7740,41
306,33480,36139,12480,32
307,33540,37171,10740,11
308,33540,35321,8460,20
309,33600,36641,12600,6
310,33660,37223,8160,12
311,33780,36612,10380,40
312,33780,36165,12180,22
313,33780,36985,12900,9
314,33840,37170,11640,13
315,33900,37187,12900,5
316,33960,37001,12960,6
317,34020,36216,11220,23
318,34080,36883,12480,31
319,34080,37256,13080,0
320,34080,37158,5880,36
321,34140,37424,13260,10
322,34140,37345,13260,9
323,34140,37148,8340,44
324,34140,37254,13140,1
325,34200,35352,5400,37
326,34200,35995,9600,48
327,34200,36283,12060,24
328,34260,36436,12660,21
329,34320,37607,13320,5
330,34440,37175,11640,28
331,34440,37824,11640,39
332,34440,37779,11640,38
333,34560,37946,12960,14
334,34740,37945,13860,9
335,34740,37546,8460,7
336,34740,37745,11040,34
337,34740,37854,13740,1
338,34740,38027,13740,5
339,34860,38144,13980,10
340,34980,38021,13980,6
341,34980,38611,12180,11
342,35040,38603,9540,12
343,35040,37236,12240,23
344,35040,38165,6240,25
345,35100,38276,14100,0
346,35160,38447,14160,5
347,35220,38261,14220,6
348,35280,38564,14400,10
349,35340,37073,8520,19
350,35340,38454,14340,1
351,35340,38516,14340,0
352,35400,38408,9600,44
353,35400,38605,14520,9
354,35460,36913,6360,42
355,35460,37543,13320,24
356,35520,38352,12120,40
357,35580,38091,9780,2
358,35580,38966,13980,14
359,35580,38756,14580,0
360,35580,38867,14580,5
361,35640,38025,14040,22
362,35700,39030,13500,13
363,35760,38801,14760,6
364,35760,38791,12120,45
365,35880,39164,15000,10
366,35940,38980,6540,15
367,35940,37332,8940,17
368,35940,38116,14340,21
369,35940,37273,8940,18
370,35940,39145,15060,9
371,36000,39114,15000,1
372,36000,39287,15000,5
373,36000,37814,9600,49
374,36180,39743,10680,12
375,36180,39356,15180,0
376,36300,38496,13500,23
377,36300,39587,15300,5
378,36360,38909,11160,30
379,36360,39401,15360,6
380,36420,39355,10680,41
381,36480,39685,15600,9
382,36480,39594,15480,1
383,36480,39764,15600,10
384,36540,38815,11940,3
385,36540,39592,8340,8
386,36600,38683,14460,24
387,36720,40007,15720,5
388,36780,39894,15780,1
389,36900,40531,14100,11
390,37020,39852,13620,40
391,37020,39679,16020,32
392,37080,40121,16080,6
393,37080,40256,16080,0
394,37080,40285,16200,9
395,37080,40364,16200,10
396,37080,40194,16080,1
397,37140,40427,16140,5
398,37200,40586,15600,14
399,37260,40590,15060,13
400,37380,39765,15780,22
401,37500,39696,14700,23
402,37500,40531,13860,45
403,37560,40736,16560,0
404,37560,39736,15960,21
405,37620,40904,16740,10
406,37620,39703,15480,24
407,37620,40423,16020,31
408,37680,40721,16680,6
409,37680,41243,12180,12
410,37680,40885,16800,9
411,37740,38892,8940,37
412,37860,41147,16860,5
413,37920,41034,16920,1
414,37980,41364,15180,39
415,37980,41319,15180,38
416,37980,40715,15180,28
417,38100,41035,12360,41
418,38160,41168,12360,44
419,38160,41201,17160,6
420,38280,41485,17400,9
