new_index,s_time,e_time,delta_time,old_index
0,18000,20772,0,158
1,18000,21141,0,36
2,18600,27633,0,128
3,18600,22454,0,130
4,18600,21289,0,159
5,19200,24372,0,127
6,19200,22433,0,124
7,19200,27705,0,129
8,19200,23779,0,125
9,19800,23607,0,123
10,19800,23964,0,31
11,19800,28833,1200,128
12,19800,22541,0,68
13,19800,23103,0,94
14,19800,22481,0,78
15,19800,22190,0,67
16,19800,23030,0,74
17,19800,23654,1200,130
18,19800,23462,0,98
19,19860,23185,0,170
20,20100,26397,0,145
21,20100,23942,0,14
22,20400,28905,1200,129
23,20400,22775,0,17
24,20400,22841,0,16
25,20400,22560,0,168
26,20700,24864,900,31
27,20700,24003,900,94
28,20880,24722,780,14
29,21000,23181,0,26
30,21000,23519,0,9
31,21000,23395,0,18
32,21000,30033,2400,128
33,21000,23160,600,168
34,21000,23445,0,10
35,21000,23175,0,21
36,21000,24035,0,37
37,21000,24233,1800,124
38,21000,24854,2400,130
39,21000,23598,0,155
40,21000,25579,1800,125
41,21000,24807,1200,123
42,21000,22922,0,19
43,21060,24385,1200,170
44,21300,23395,0,156
45,21300,24981,0,1
46,21300,23797,0,157
47,21360,24501,3360,36
48,21360,24132,3360,158
49,21420,23861,1020,16
50,21600,23482,0,106
51,21600,24417,0,79
52,21600,22374,0,85
53,21600,23068,0,91
54,21600,23578,0,38
55,21600,23353,0,43
56,21600,30105,2400,129
57,21600,22965,0,88
58,21600,23249,0,183
59,21600,25446,0,70
60,21600,22422,0,66
61,21600,22842,0,147
62,21600,22251,0,134
63,21600,22815,0,82
64,21600,22545,0,139
65,21600,23604,0,72
66,21600,23905,0,33
67,21600,23760,1200,168
68,21600,23365,0,12
69,21600,24903,1800,94
70,21600,24535,0,0
71,21600,23388,0,149
72,21600,22152,0,135
73,21600,24407,0,2
74,21600,23893,0,8
75,21600,23975,0,56
76,21600,23498,0,23
77,21600,25764,1800,31
78,21600,23970,0,57
79,21660,25502,1560,14
80,21660,23442,0,166
81,21900,24907,0,99
82,21900,25037,0,100
83,21960,24141,960,26
84,21960,24649,3360,159
85,22080,24525,1080,10
86,22080,23092,0,172
87,22080,24599,1080,9
88,22140,24300,1740,168
89,22200,28671,0,144
90,22200,25648,0,161
91,22200,31233,3600,128
92,22200,25772,0,160
93,22200,24122,1200,19
94,22200,25992,0,131
95,22200,25763,0,97
96,22200,24570,600,57
97,22200,26054,3600,130
98,22200,24281,0,77
99,22200,23506,0,102
100,22200,27241,0,126
101,22200,25228,0,118
102,22200,23442,0,101
103,22200,26200,0,30
104,22200,24575,600,56
105,22380,25705,2520,170
106,22440,26282,2340,14
107,22440,24881,2040,16
108,22500,23151,900,134
109,22500,23052,900,135
110,22500,27416,0,89
111,22500,26664,2700,31
112,22500,23445,900,139
113,22500,25803,2700,94
114,22500,24675,1500,21
115,22560,27732,3360,127
116,22680,24840,2280,168
117,22740,24389,1140,183
118,22800,25175,1200,56
119,22800,24816,0,182
120,22800,26033,3600,124
121,22800,24684,0,187
122,22800,24194,0,62
123,22800,27379,3600,125
124,22800,25066,0,15
125,22800,29271,600,144
126,22800,25297,1500,157
127,22800,24142,0,87
128,22800,23627,0,65
129,22800,24155,0,138
130,22800,24565,1200,12
131,22800,23556,0,165
132,22800,24165,1200,88
133,22800,25674,0,169
134,22800,31305,3600,129
135,22800,24895,1500,156
136,22800,24507,0,59
137,22800,24194,0,60
138,22800,25366,0,28
139,22800,24507,0,61
140,22800,25170,1200,57
141,22800,23598,0,86
142,22860,24861,0,163
143,22920,23694,1320,85
144,22920,24708,1320,149
145,22920,25101,1920,26
146,23100,26806,0,93
147,23100,24789,0,179
148,23100,27100,900,30
149,23160,26390,3360,74
150,23160,26822,3360,98
151,23160,25320,2760,168
152,23160,25841,3360,78
153,23160,25679,2160,9
154,23160,25605,2160,10
155,23160,25550,3360,67
