new_index,s_time,e_time,delta_time,old_index
0,0,3215,0,581
1,0,3030,0,460
2,0,3014,0,647
3,0,1944,0,601
4,1140,4396,0,648
5,1200,4641,0,699
6,18000,20575,0,401
7,18000,20464,0,2
8,18540,21004,540,2
9,18900,21288,0,3
10,19140,21604,1140,2
11,19200,24661,0,469
12,19320,24781,120,469
13,19740,22128,840,3
14,19740,22204,1740,2
15,19800,21598,0,602
16,19800,24434,0,351
17,19800,22098,0,582
18,19800,22950,0,448
19,19800,21744,19800,601
20,19800,23378,0,174
21,19800,21777,0,447
22,19800,24640,0,352
23,19800,22385,0,173
24,19860,22435,1860,401
25,20040,22625,240,173
26,20220,25060,420,352
27,20340,23918,540,174
28,20340,22638,540,582
29,20400,22985,600,173
30,20400,22864,2400,2
31,20400,24303,0,562
32,20580,25214,780,351
33,20640,25480,840,352
34,20640,23670,20640,460
35,20700,23088,1800,3
36,20760,23345,960,173
37,20940,23935,0,497
38,20940,24109,0,461
39,20940,24155,20940,581
40,20940,23404,2940,2
41,21000,26803,0,289
42,21000,26977,0,296
43,21000,27019,0,288
44,21000,22943,0,493
45,21000,23117,0,492
46,21000,25816,0,690
47,21000,27218,0,105
48,21000,25458,0,691
49,21000,25774,0,297
50,21000,24150,1200,448
51,21000,22944,21000,601
52,21060,25900,1260,352
53,21060,23358,1260,582
54,21120,23705,1320,173
55,21300,25378,0,576
56,21300,24594,0,147
57,21300,23098,1500,602
58,21420,27321,0,106
59,21420,27638,420,105
60,21480,23868,2580,3
61,21480,26114,1680,351
62,21480,24065,1680,173
63,21480,23778,1680,582
64,21540,24004,3540,2
65,21540,24709,600,461
66,21540,27517,540,296
67,21600,25814,0,695
68,21600,24006,0,674
69,21600,26051,0,480
70,21600,26197,0,481
71,21600,25186,0,402
72,21600,23834,0,316
73,21600,24369,0,241
74,21600,24595,660,497
75,21600,25936,0,278
76,21600,26236,0,279
77,21600,27770,0,308
78,21600,27840,0,309
79,21600,24865,0,455
80,21600,25445,0,657
81,21600,25219,0,658
82,21600,25724,0,407
83,21600,24722,0,702
84,21600,23846,0,703
85,21600,24630,21600,460
86,21600,25686,0,565
87,21600,29102,0,328
88,21600,26013,0,614
89,21600,24835,0,607
90,21600,27510,0,112
91,21600,26060,0,348
92,21600,23195,0,574
93,21600,27732,0,259
94,21600,28073,0,260
95,21600,26391,0,521
96,21600,27981,0,223
97,21600,27867,0,224
98,21600,22912,0,573
99,21600,25668,0,81
100,21600,23245,0,445
101,21600,24853,0,92
102,21600,27596,0,113
103,21600,25303,0,93
104,21600,27816,0,104
105,21600,26454,0,22
106,21600,26277,0,23
107,21600,27197,0,145
108,21600,27500,0,121
109,21600,27611,0,107
110,21600,25832,0,75
111,21600,26390,0,108
112,21600,26141,0,109
113,21600,28202,0,41
114,21600,25428,0,225
115,21600,24506,0,24
116,21600,27226,0,146
117,21600,29120,0,327
118,21600,28548,0,193
119,21600,25840,0,271
120,21600,24619,0,608
121,21600,26116,0,570
122,21600,25319,0,569
123,21600,28385,0,363
124,21600,26482,0,364
125,21600,25393,0,688
126,21600,24407,0,637
127,21600,23408,0,451
128,21600,23188,0,482
129,21600,24514,0,347
130,21600,26615,0,182
131,21600,26802,0,181
132,21600,28068,0,194
133,21600,28925,0,184
134,21600,27427,0,122
135,21600,24451,0,450
136,21600,26763,0,270
137,21600,26513,0,269
138,21600,24185,1800,173
139,21600,26243,0,263
140,21600,26358,0,264
141,21600,23475,0,705
142,21600,24095,0,511
143,21600,24107,0,510
144,21600,26949,0,272
145,21600,23854,0,704
146,21600,25493,0,585
147,21600,23133,0,483
148,21600,25660,0,408
149,21600,25041,20400,699
150,21600,26390,0,631
151,21600,25883,0,613
152,21600,25764,0,615
153,21600,27858,0,396
154,21600,26753,0,616
155,21600,25942,0,14
156,21600,26005,0,17
157,21600,25285,0,557
158,21600,26906,0,628
159,21600,27211,0,627
160,21600,24689,0,558
161,21600,26823,0,696
162,21600,26594,0,697
163,21600,25846,0,381
164,21600,26759,0,350
165,21600,27297,0,438
166,21600,26118,0,437
167,21600,26321,0,632
168,21600,26908,0,464
169,21600,24891,0,531
170,21600,25082,0,532
171,21600,25010,0,499
172,21600,25632,0,498
173,21600,27270,0,356
174,21600,27297,0,355
175,21600,26260,0,436
176,21600,26179,0,435
177,21600,25157,0,186
178,21600,28034,0,660
179,21600,24937,0,457
180,21600,26620,0,659
181,21600,24971,0,463
182,21600,26680,0,45
183,21600,25792,0,44
184,21600,27078,0,377
185,21600,27213,0,378
186,21600,26360,0,177
187,21600,25404,0,178
188,21600,27901,0,504
189,21600,24950,0,462
190,21600,22575,0,19
191,21600,27221,0,395
192,21600,26693,0,72
193,21600,26595,0,468
194,21600,26573,0,298
195,21600,27061,2400,469
196,21600,25441,0,698
197,21660,26803,0,299
198,21660,27679,660,288
199,21660,27448,0,566
200,21660,24235,3660,401
201,21660,26406,0,148
202,21660,25638,0,568
203,21660,25762,0,143
204,21660,26560,0,689
205,21660,25920,0,443
206,21660,27449,0,444
207,21660,26513,0,123
208,21660,24529,0,25
209,21660,26500,1860,352
210,21720,26066,0,319
211,21720,26205,0,320
212,21720,24738,0,487
213,21720,25623,1320,562
214,21780,26815,0,465
215,21780,25074,480,147
216,21780,27607,180,122
217,21840,23957,840,492
218,21840,28058,840,105
219,21900,29420,300,327
220,21900,24198,2100,582
221,21900,26114,300,695
222,21900,25050,2100,448
223,21900,27597,300,355
224,21960,29462,360,328
225,21960,26603,360,263
226,22020,28236,420,104
227,22080,26757,480,23
228,22080,27907,480,122
229,22080,23725,480,445
230,22080,26538,1080,691
231,22080,29176,0,183
232,22080,26896,1080,690
233,22140,26980,2340,352
234,22140,26559,0,603
235,22140,24604,4140,2
236,22140,25131,0,579
237,22140,26308,0,604
238,22140,29465,540,184
239,22140,25375,540,607
240,22140,25135,1200,497
241,22140,26394,0,580
242,22140,28574,540,660
243,22140,25843,540,93
244,22140,26423,540,613
245,22140,25309,1200,461
246,22140,26774,2340,351
247,22140,25396,21000,648
248,22140,24947,540,637
249,22140,27753,540,378
250,22200,26641,0,383
251,22200,26958,600,264
252,22200,28300,0,526
253,22200,27053,540,123
254,22200,28038,0,295
255,22200,26990,600,631
256,22200,24143,1200,493
257,22200,28101,780,106
258,22200,25573,0,575
259,22200,27422,0,593
260,22200,26718,600,437
261,22200,27826,600,146
262,22200,25449,0,415
263,22200,27549,600,272
264,22200,28418,1200,105
265,22200,26860,600,436
266,22200,28029,0,294
267,22200,27988,540,566
268,22200,25474,0,416
269,22200,26080,0,564
270,22200,26726,0,292
271,22200,26492,0,293
272,22200,24177,2400,447
273,22200,23795,600,574
274,22200,26169,0,500
275,22260,24845,2460,173
276,22260,27738,660,377
277,22260,25838,2460,174
278,22260,27160,600,689
279,22260,26474,660,695
280,22260,29780,660,327
281,22260,24558,2460,582
282,22260,26903,660,263
283,22260,25554,960,147
284,22260,26322,0,384
285,22320,23291,0,18
286,22320,26148,720,225
287,22320,26733,720,614
288,22320,27326,0,594
289,22320,26899,720,435
290,22320,28297,1320,296
291,22380,27154,1380,297
292,22380,25294,780,347
293,22380,27977,780,145
294,22380,28596,780,104
295,22380,28207,780,122
296,22380,26840,780,348
297,22380,26620,0,625
298,22380,28376,780,113
299,22380,26221,780,698
300,22380,27262,780,364
301,22380,28001,780,395
302,22380,25410,22380,460
303,22440,26244,840,178
304,22440,26956,840,570
305,22440,29942,840,328
306,22440,24828,3540,3
307,22440,26680,840,271
308,22440,29388,840,193
309,22440,26604,840,615
310,22440,24846,840,674
311,22440,25734,1140,147
312,22440,27294,840,22
313,22440,28110,840,356
314,22440,25881,21240,699
315,22440,26159,840,569
316,22440,28913,840,260
317,22440,27076,840,279
318,22440,28698,840,396
319,22440,27642,840,181
320,22500,23812,900,573
321,22500,28197,900,355
322,22500,25142,0,282
323,22500,26185,900,557
324,22500,26746,900,381
325,22500,26478,840,568
326,22500,27246,840,148
327,22500,26951,900,480
328,22500,26154,0,653
329,22500,27961,3300,469
330,22500,27097,900,481
331,22500,29285,900,363
332,22500,24477,2700,447
333,22500,25589,900,558
334,22500,26560,900,408
335,22500,28511,900,107
336,22560,25145,2760,173
337,22560,27281,960,632
338,22560,28412,0,525
339,22560,24858,2760,582
340,22560,26906,840,319
341,22560,28579,1560,288
342,22560,25135,4560,401
343,22620,27700,1020,45
344,22620,28838,1620,105
345,22620,25789,1680,461
346,22620,30140,1020,327
347,22620,28447,1020,122
348,22620,26834,1020,695
349,22620,27263,1020,263
350,22620,25855,1020,607
351,22680,27675,1080,468
352,22680,26090,1080,499
353,22680,28581,1260,106
354,22680,26758,1380,576
355,22680,24624,22680,601
356,22680,25936,21540,648
357,22680,29148,1080,194
358,22680,24325,1080,445
359,22680,25487,1080,637
360,22680,27099,540,603
361,22680,25830,2880,448
362,22680,28306,1080,146
363,22680,28469,1020,444
364,22740,26005,1140,455
365,22740,25955,22740,581
366,22740,27417,1140,23
367,22740,27258,1140,437
368,22740,26034,1440,147
369,22740,26709,540,500
370,22740,28840,540,526
371,22740,27755,1140,182
372,22740,28569,540,294
373,22740,25646,1140,24
374,22740,26864,1140,407
375,22740,26533,1140,688
376,22740,28351,1140,627
377,22740,30065,1140,184
378,22740,24857,1740,492
379,22740,28543,1740,289
380,22740,29041,1140,504
381,22740,29836,660,183
382,22740,26908,600,604
383,22740,25204,4740,2
384,22740,28046,1140,628
385,22740,24335,1140,574
386,22740,28353,1140,378
387,22740,27593,1080,123
388,22740,25735,1800,497
389,22740,24538,2940,602
390,22740,27082,1140,14
391,22800,27700,1140,689
392,22800,27640,3000,352
393,22800,26498,0,357
394,22800,25756,0,477
395,22800,26616,0,555
396,22800,27339,0,474
397,22800,24350,0,489
398,22800,26044,0,318
399,22800,25765,0,439
400,22800,27832,0,67
401,22800,28718,0,677
402,22800,27365,0,676
403,22800,26513,0,591
404,22800,25762,0,560
405,22800,26771,0,216
406,22800,28207,0,326
407,22800,27136,1200,278
408,22800,26446,0,358
409,22800,26704,0,233
410,22800,27067,0,215
411,22800,28588,1140,566
412,22800,26886,1200,565
413,22800,29234,1200,660
414,22800,27820,1200,659
415,22800,26680,600,564
416,22800,26503,1200,93
417,22800,25830,22800,460
418,22800,25793,0,590
419,22800,27285,1080,320
420,22800,29016,1200,104
421,22800,27040,1200,271
422,22800,24786,0,692
423,22800,26621,0,663
424,22800,28497,1200,438
425,22800,25951,0,534
426,22800,26288,0,533
427,22800,27558,1200,264
428,22800,24822,0,693
429,22800,26073,0,317
430,22800,26358,0,589
431,22800,24086,0,466
432,22800,26378,3000,174
433,22800,25415,0,559
434,22800,26928,0,501
435,22860,28209,1260,272
436,22860,27273,1260,614
437,22860,26928,1260,81
438,22920,28617,1320,355
439,22920,24381,0,446
440,22920,30422,1320,328
441,22920,26135,22920,581
442,22920,27580,1320,436
443,22920,29138,1920,105
444,22920,25505,3120,173
445,22920,27134,1320,695
446,22980,27770,1380,631
447,22980,28832,420,525
448,22980,27521,1380,109
449,22980,30500,1380,327
450,22980,25278,3180,582
451,22980,26353,780,575
452,23040,26314,840,416
453,23040,25428,4140,3
454,23040,27683,1440,263
455,23040,28518,1440,377
456,23040,27072,1440,498
457,23040,28964,0,654
458,23040,28867,1440,122
459,23100,29270,1500,308
460,23100,25346,1500,703
461,23100,26062,300,560
462,23100,24688,1500,482
463,23160,26814,660,653
464,23160,26329,2220,461
465,23160,27739,1560,435
466,23160,29070,1560,112
467,23160,25270,0,706
468,23160,28323,1560,270
469,23160,29171,1560,107
470,23220,27348,420,501
471,23220,28133,1620,269
472,23220,28060,3420,352
473,23220,27048,1620,225
474,23220,30168,1620,193
475,23220,29438,2220,105
476,23220,26473,1620,92
477,23280,27121,1680,698
478,23280,28071,1680,521
479,23280,26574,1980,147
480,23280,28010,0,545
481,23280,27073,0,635
482,23280,24925,1680,445
483,23280,28893,1680,378
484,23280,29753,1680,260
485,23280,27923,1680,263
486,23280,29181,1860,106
487,23280,29107,1680,122
488,23280,26721,22080,699
489,23280,26536,22140,648
490,23280,27738,2280,691
491,23280,25223,2280,493
492,23280,28038,1680,264
493,23280,29661,1680,223
494,23340,26331,1200,579
495,23340,27759,1200,603
496,23340,29607,1740,224
497,23340,26420,0,388
498,23340,28100,1740,177
499,23340,25634,0,552
500,23340,27594,1200,580
501,23340,28156,2340,690
502,23340,29336,1740,113
503,23340,26583,0,619
504,23340,24504,0,656
505,23340,27905,540,676
506,23340,27743,0,204
507,23340,29556,1740,104
508,23340,25746,1740,674
509,23340,25457,2340,492
510,23340,26897,1740,186
511,23340,29258,540,677
512,23340,26835,0,668
513,23340,29178,1140,295
514,23340,27402,1080,384
515,23340,27144,1740,178
516,23340,26254,1740,347
517,23340,28966,1740,146
518,23340,25638,3540,582
519,23340,27974,3540,351
520,23340,27871,0,203
521,23340,27554,1740,695
522,23340,25955,540,559
523,23340,27043,1740,93
524,23340,26922,0,535
525,23340,26191,1740,450
526,23340,24282,0,7
527,23340,28409,0,303
528,23340,29169,1140,294
529,23340,27309,1140,500
530,23340,24538,0,287
531,23340,27092,0,672
532,23340,26256,0,449
533,23340,24922,0,718
534,23340,25925,3540,173
535,23340,26898,540,589
536,23340,27025,1740,557
537,23340,26390,0,486
538,23340,29010,1740,356
539,23340,30860,1740,327
540,23340,27976,1740,279
541,23340,26147,1740,637
542,23340,27781,1140,383
543,23340,27508,1200,604
544,23400,26217,0,83
545,23400,24775,0,390
546,23400,27409,0,200
547,23400,26983,0,277
548,23400,27954,0,538
549,23400,26665,0,166
550,23400,28299,0,159
551,23400,25255,0,669
552,23400,27430,0,686
553,23400,27556,0,191
554,23400,27216,0,370
555,23400,26743,0,80
556,23400,27553,0,687
557,23400,29047,0,371
558,23400,26193,0,132
559,23400,27203,0,515
560,23400,29097,1800,355
561,23400,29021,1800,395
562,23400,26141,0,650
563,23400,27050,0,285
564,23400,27861,0,139
565,23400,28156,0,265
566,23400,27518,0,494
567,23400,28861,4200,469
568,23400,28226,0,199
569,23400,24933,1800,483
570,23400,29500,1200,526
571,23400,29603,0,91
572,23400,26430,23400,460
573,23400,25401,0,176
574,23400,24982,0,719
575,23400,27564,1800,615
576,23400,26196,0,82
577,23400,28558,0,520
578,23400,28708,1800,464
579,23400,24712,1800,573
580,23400,26627,0,430
581,23400,27156,0,577
582,23400,27231,0,136
583,23400,27783,0,528
584,23400,27396,0,600
585,23400,26061,0,375
586,23400,24995,1800,574
587,23400,27511,0,192
588,23400,28814,0,372
589,23400,27557,0,103
590,23400,28433,0,266
591,23400,25377,3600,447
592,23400,27373,0,337
593,23400,24905,0,98
594,23400,27280,1200,564
595,23400,23890,0,434
596,23400,30599,0,583
597,23400,24334,0,479
598,23400,27266,0,338
599,23400,24702,0,8
600,23400,25601,0,641
601,23400,24932,0,31
602,23400,24755,0,21
603,23400,26016,0,52
604,23400,26700,0,53
605,23400,25933,0,50
606,23400,25117,0,643
607,23400,25934,0,51
608,23400,25634,1800,316
609,23400,29609,0,661
610,23400,28373,1800,298
611,23400,30496,1320,183
612,23400,29311,0,336
613,23400,27695,0,626
614,23400,27170,0,578
615,23400,28811,0,305
616,23400,25975,5400,401
617,23400,28862,0,304
618,23400,25732,0,353
619,23400,25645,0,359
620,23400,28945,0,169
621,23400,27124,0,623
622,23400,24524,0,509
623,23400,27315,0,311
624,23400,28753,0,541
625,23400,28946,0,170
626,23400,27095,0,414
627,23400,26326,0,367
628,23400,27646,1800,381
629,23400,27216,600,555
630,23400,27123,0,334
631,23400,26986,0,624
632,23400,28181,0,542
633,23400,26978,3600,174
634,23400,25349,0,642
635,23400,25918,0,34
636,23400,27378,1740,568
637,23400,24871,0,346
