new_index,s_time,e_time,delta_time,old_index
0,660,1694,0,244
1,15780,18292,0,100
2,18960,21127,0,99
3,20340,22343,0,96
4,20940,23514,0,249
5,21000,23998,0,20
6,21000,23707,0,106
7,21000,23707,0,19
8,21240,23421,0,160
9,21600,23973,0,195
10,21660,24732,0,252
11,21900,23547,0,95
12,21900,25926,0,216
13,22200,27333,0,282
14,22200,24700,0,159
15,22200,24752,0,98
16,22260,25726,0,135
17,22260,24600,0,162
18,22500,27720,0,270
19,22500,26828,0,134
20,22500,24681,1260,160
21,22560,26509,0,114
22,22620,26047,0,110
23,22620,26779,0,92
24,22620,26025,0,109
25,22620,24874,0,91
26,22680,26425,0,77
27,22680,25252,0,79
28,22740,26689,180,114
29,22740,25828,0,167
30,22800,25858,0,34
31,22800,27933,600,282
32,22800,25257,0,208
33,22800,26217,0,36
34,22800,25399,0,240
35,22800,27182,0,33
36,22800,26068,0,35
37,22800,24295,0,40
38,22800,26474,0,111
39,22800,25765,0,15
40,22800,26064,0,128
41,22800,25656,0,74
42,22800,25231,0,16
43,22860,26489,0,78
44,22860,26830,0,25
45,22860,26327,0,129
46,22860,26728,0,27
47,22860,27033,0,137
48,22860,26326,600,135
49,22860,26265,240,109
50,22860,27019,240,92
51,22980,26156,0,191
52,22980,26496,0,204
53,22980,26244,180,128
54,22980,26709,0,170
55,23040,26103,0,255
56,23040,26567,0,205
57,23040,25896,240,74
58,23040,26597,0,168
59,23040,26366,0,169
60,23100,30593,0,50
61,23100,25970,0,225
62,23100,25354,480,91
63,23100,26527,480,110
64,23100,25348,0,224
65,23100,27455,0,45
66,23100,29527,0,219
67,23160,26980,0,118
68,23160,26550,0,24
69,23160,25791,0,209
70,23160,27737,0,113
71,23160,26834,360,111
72,23160,24962,0,81
73,23160,27727,0,123
74,23160,27421,0,183
75,23220,26484,420,128
76,23220,24738,0,39
77,23220,27040,60,118
78,23220,26326,0,112
79,23280,26954,480,111
80,23280,25466,0,271
81,23280,27100,120,118
82,23280,24775,480,40
83,23340,25521,2100,160
84,23340,27243,0,80
85,23340,26666,300,169
86,23340,26577,0,166
87,23340,25797,540,208
88,23340,27755,0,122
89,23400,26867,540,129
90,23400,27977,240,113
91,23400,32752,0,86
92,23400,25901,0,194
93,23400,25176,0,184
94,23400,25292,0,228
95,23400,25669,0,229
96,23400,27201,0,186
97,23400,26671,0,246
98,23400,30607,0,83
99,23400,26295,0,248
100,23400,26450,0,187
101,23400,27370,540,25
102,23400,28558,0,52
103,23400,27268,540,27
104,23400,26049,0,105
105,23400,26311,0,230
106,23400,26241,0,68
107,23400,27013,0,138
108,23400,29827,300,219
109,23400,27018,0,200
110,23400,27043,0,201
111,23400,26916,420,204
112,23400,28114,0,163
113,23400,26319,0,73
114,23400,26291,0,280
115,23400,26256,600,74
116,23400,24683,0,286
117,23400,27752,0,139
118,23460,27359,0,182
119,23460,27205,780,77
120,23460,26724,660,128
121,23460,27875,120,122
122,23460,27089,600,78
123,23460,25663,0,250
124,23520,26794,0,117
125,23520,25774,900,91
126,23520,27805,0,210
127,23520,27384,0,211
128,23520,26947,900,110
129,23520,27077,480,168
130,23520,26092,840,79
131,23580,26686,360,112
132,23580,26275,0,223
133,23580,26673,0,192
134,23580,30593,0,49
135,23580,27529,1020,114
136,23640,28773,1440,282
137,23640,27901,480,183
138,23640,27106,1380,135
139,23640,25523,0,185
140,23640,25135,840,40
141,23700,26946,0,172
142,23700,27770,0,218
143,23700,26876,720,191
144,23700,27117,900,36
145,23700,26030,0,42
146,23700,26974,180,117
147,23700,26758,900,34
148,23700,26200,1500,159
149,23700,26971,300,246
150,23700,25218,480,39
151,23700,25886,420,271
152,23700,26864,0,67
153,23700,27269,0,69
154,23700,27157,0,125
155,23760,27489,780,170
156,23760,27434,960,111
157,23760,28061,0,226
158,23760,28337,600,113
159,23760,26616,960,74
160,23760,26217,960,208
161,23820,28235,480,122
162,23820,28105,300,210
163,23820,27540,0,155
164,23820,27377,780,168
165,23820,27684,300,211
166,23820,28387,660,123
167,23820,26443,0,261
168,23820,27769,1260,114
169,23880,27403,0,196
170,23880,27371,0,197
171,23880,27018,0,190
172,23880,26511,720,209
173,23880,27206,840,169
174,23880,27307,1260,110
175,23880,28631,0,227
176,23880,26134,1260,91
177,23940,27614,1140,111
178,23940,28099,1320,92
179,23940,27760,780,118
180,23940,26810,840,225
181,23940,27345,1320,109
182,23940,27839,480,182
183,24000,27527,960,205
184,24000,27106,780,112
185,24000,25552,0,32
186,24000,26427,0,272
187,24000,26685,0,193
188,24000,27970,1140,25
189,24000,27779,0,18
190,24000,27789,0,174
191,24000,25518,780,39
192,24000,27643,600,201
193,24000,30857,0,84
194,24000,26163,0,17
195,24000,26677,0,21
196,24000,27868,1140,27
197,24000,27582,0,5
198,24000,27516,1020,204
199,24000,27467,1140,129
200,24000,27274,480,117
201,24000,24642,0,256
202,24000,28837,0,149
203,24000,28071,0,4
204,24000,27593,0,188
205,24060,27915,0,8
206,24060,28233,1200,137
207,24060,25606,0,236
208,24060,27331,660,246
209,24060,26829,0,247
210,24060,27517,360,125
211,24060,28130,360,218
212,24060,26601,0,222
213,24060,26916,1260,74
214,24060,27963,720,80
215,24060,28637,900,113
216,24060,27780,240,155
217,24120,27525,1500,109
218,24120,27258,240,190
219,24120,26474,0,161
220,24120,27384,1320,128
221,24120,26961,720,68
222,24120,28405,600,210
223,24120,28279,1500,92
224,24120,27740,0,175
225,24120,27984,600,211
226,24180,26366,900,271
227,24180,28000,1020,118
228,24180,27268,1440,167
229,24180,27911,0,124
230,24180,27981,780,186
231,24180,28595,840,122
232,24180,25675,1380,40
233,24180,27230,780,187
234,24240,26613,2640,195
235,24240,27706,1980,135
236,24240,26016,840,184
237,24240,27159,840,73
238,24240,27081,840,68
239,24240,26697,1440,208
240,24300,25914,0,274
241,24300,26872,1620,79
242,24300,28370,600,218
243,24300,28867,1140,123
244,24300,27626,1260,169
245,24300,28240,0,189
246,24300,26727,300,272
247,24300,27476,1320,191
248,24300,25818,1080,39
249,24300,27393,720,192
250,24360,27929,660,69
251,24360,28105,1680,77
252,24360,28519,1740,92
253,24360,26048,0,202
254,24360,26991,1200,209
255,24360,27628,1560,35
256,24360,27765,1740,109
257,24360,28224,840,211
258,24360,28688,1860,134
259,24360,26616,0,41
260,24360,27953,360,188
261,24360,26846,0,153
262,24360,30787,1260,219
263,24360,28742,1560,33
264,24360,27750,1200,24
265,24420,28705,900,210
266,24420,27558,540,190
267,24420,28038,1020,200
268,24420,27105,420,193
269,24420,27311,1020,280
270,24420,28721,660,226
271,24420,27877,720,125
272,24420,26851,1620,16
273,24420,28094,1620,111
274,24420,26668,1320,224
275,24480,27754,960,117
276,24480,27907,1860,110
277,24480,26363,840,185
278,24480,26810,780,42
279,24480,28300,1320,118
280,24480,29231,600,227
281,24480,26734,1860,91
282,24480,28211,300,124
283,24480,27586,1260,112
284,24480,27773,0,279
285,24480,28200,660,155
286,24540,29117,1380,113
287,24540,26206,0,203
288,24540,27633,960,192
289,24540,27814,1020,117
290,24540,28169,1680,78
291,24540,28801,1380,183
292,24600,27295,1020,223
293,24600,28382,0,9
294,24600,28274,1800,111
295,24600,28499,1140,182
296,24600,27141,540,222
297,24600,29733,2400,282
298,24600,28728,0,63
299,24600,27706,1380,112
300,24600,26095,1800,40
301,24600,28169,900,69
302,24600,28127,1560,205
303,24660,28127,1800,129
304,24660,27718,1860,34
305,24660,27117,1860,208
306,24660,28389,1680,170
307,24660,26178,1440,39
308,24660,27516,1860,74
309,24660,28600,360,189
