new_index,s_time,e_time,delta_time,old_index
0,20400,23643,0,43
1,20640,24550,0,134
2,20760,24003,360,43
3,21000,24598,0,121
4,21240,24483,840,43
5,21300,22422,0,72
6,21420,25018,420,121
7,21480,25129,0,97
8,21600,22622,0,130
9,21600,26007,0,39
10,21600,24792,0,36
11,21600,25125,0,14
12,21600,24684,0,26
13,21600,26079,0,38
14,21600,25341,0,122
15,21600,25886,0,76
16,21600,25588,0,30
17,21600,25105,0,75
18,21600,24643,0,81
19,21600,23722,0,27
20,21600,23257,0,42
21,21600,26398,0,4
22,21600,22604,0,131
23,21600,24157,0,137
24,21600,25893,0,63
25,21600,24190,0,17
26,21600,24987,0,108
27,21600,26339,0,64
28,21600,24993,0,7
29,21600,25679,0,28
30,21600,25599,0,29
31,21600,24185,0,133
32,21600,24429,0,116
33,21600,22533,0,41
34,21600,25920,0,84
35,21600,24605,0,83
36,21600,26778,0,135
37,21600,23145,0,132
38,21600,24438,0,32
39,21600,25375,0,31
40,21660,25053,60,7
41,21720,24606,0,77
42,21720,24963,1320,43
43,21720,24932,0,15
44,21780,24223,0,16
45,21780,26612,0,5
46,21780,25378,780,121
47,21780,25130,0,69
48,21840,25828,240,30
49,21840,25919,240,28
50,21900,25425,300,14
51,21900,25810,1260,134
52,21960,24756,0,136
53,22080,25855,480,31
54,22080,26079,480,29
55,22080,26068,480,30
56,22080,25323,1680,43
57,22080,25272,480,36
58,22080,26159,480,28
59,22080,24523,300,16
60,22140,24411,0,49
61,22140,26426,540,76
62,22140,26606,0,125
63,22200,23621,0,51
64,22200,23745,600,132
65,22200,25095,0,115
66,22200,23926,0,67
67,22200,26320,0,3
68,22200,26998,600,4
69,22200,23224,0,52
70,22200,25725,600,14
71,22200,24925,0,34
72,22200,26116,0,37
73,22200,26460,0,58
74,22200,23020,0,74
75,22200,25562,0,95
76,22200,22880,0,73
77,22200,25654,0,96
78,22200,28735,0,40
79,22200,26075,0,57
80,22200,24379,0,99
81,22200,24735,0,100
82,22200,24322,600,27
83,22200,25849,720,97
84,22260,24817,660,137
85,22260,26271,0,12
86,22260,25653,660,7
87,22260,23634,0,22
88,22260,24845,660,133
89,22260,26580,660,84
90,22260,25146,540,77
91,22260,25344,660,26
92,22260,25635,0,79
93,22260,25038,0,8
94,22260,25084,0,9
95,22320,25149,720,116
96,22320,25532,600,15
97,22320,26184,0,80
98,22320,23822,0,71
99,22320,25603,0,53
100,22320,25058,0,33
101,22320,27152,540,5
102,22380,25978,1380,121
103,22380,25623,1980,43
104,22380,26155,780,31
105,22380,24970,780,17
106,22380,26379,780,29
107,22440,27618,840,135
108,22440,25445,840,83
109,22440,26356,240,37
110,22440,26919,840,38
111,22500,24701,0,105
112,22500,25166,0,18
113,22500,25885,0,11
114,22500,26579,900,28
115,22500,25640,0,10
116,22500,25090,900,17
117,22500,26488,900,30
118,22560,26967,960,39
119,22560,24850,0,13
120,22560,25603,960,81
121,22560,25003,780,16
122,22560,26853,960,63
123,22560,23934,300,22
124,22620,25251,0,114
125,22680,26455,1080,31
126,22680,26205,1080,14
127,22680,23802,1380,72
128,22680,26776,0,111
129,22680,25476,720,136
130,22680,26679,1080,29
131,22740,26245,1140,75
132,22740,25794,0,128
133,22740,27538,1140,4
134,22740,25932,1140,36
135,22740,26347,0,62
136,22740,25635,540,115
137,22740,25297,1140,137
138,22800,25744,0,35
139,22800,25476,0,126
140,22800,25596,0,89
141,22800,27089,0,1
142,22800,25713,0,88
143,22800,27539,1200,64
144,22800,25578,540,8
145,22800,26449,1320,97
146,22800,23822,1200,130
147,22800,23733,1200,41
148,22800,27632,1020,5
149,22800,25167,0,117
150,22800,23804,1200,131
151,22800,26187,1200,108
152,22800,25071,660,49
153,22800,25651,0,103
154,22800,24681,0,68
155,22800,27107,0,91
156,22800,26043,2400,43
157,22800,24457,1200,42
158,22800,25656,0,61
159,22800,26398,1800,121
160,22800,25797,0,60
161,22800,25638,1200,32
