new_index,s_time,e_time,delta_time,old_index
0,20400,22176,0,69
1,21420,23196,1020,69
2,21600,25933,0,3
3,21600,25779,0,44
4,21600,26095,0,45
5,21600,25565,0,51
6,22200,25855,0,55
7,22200,24563,0,10
8,22200,25453,0,16
9,22200,25640,0,12
10,22200,25622,0,13
11,22200,25006,0,28
12,22200,25222,0,40
13,22200,25245,0,34
14,22200,25214,0,35
15,22200,25718,0,15
16,22200,26695,600,45
17,22200,26179,0,54
18,22200,26384,0,24
19,22200,25524,0,33
20,22200,24989,0,29
21,22200,25670,0,63
22,22200,25392,0,23
23,22200,25016,0,43
24,22200,25151,0,42
25,22200,26680,0,25
26,22200,26379,600,44
27,22200,25830,0,14
28,22200,25440,0,32
29,22200,24501,0,11
30,22200,23412,0,71
31,22200,26401,0,30
32,22200,26179,0,31
33,22200,24626,0,47
34,22200,24669,0,46
35,22200,25356,0,57
36,22200,23524,0,19
37,22200,23339,0,70
38,22200,25672,0,8
39,22200,25540,0,9
40,22200,25477,0,48
41,22200,25456,0,49
42,22200,25563,0,17
43,22200,23458,0,20
44,22200,23527,0,21
45,22440,24216,2040,69
46,22800,25947,0,6
47,22800,25962,0,27
48,22800,25985,0,26
49,22800,27001,600,30
50,22800,26779,600,31
51,22800,26790,0,37
52,22800,25706,0,52
53,22800,25700,0,0
54,22800,26038,0,56
55,22800,25999,0,7
56,22800,24976,0,39
57,22800,25477,0,1
58,22800,26002,0,65
59,22800,26293,0,62
60,22800,26066,0,5
61,22800,26705,0,41
62,22800,25947,0,4
63,22800,25935,0,64
64,22800,27133,1200,3
65,22800,24936,0,38
66,22800,26579,0,36
67,22800,26765,1200,51
68,22800,24058,600,20
69,22800,25759,0,18
70,22800,24127,600,21
71,22800,26831,0,50
72,22920,26392,720,8
73,22920,26260,720,9
74,23100,27301,900,30
75,23100,27079,900,31
76,23220,26265,1020,34
77,23220,26642,1020,13
78,23220,24359,1020,70
79,23220,25583,1020,10
80,23220,25521,1020,11
81,23220,24432,1020,71
82,23220,26544,1020,33
83,23220,26497,1020,48
84,23220,26660,1020,12
85,23220,26412,1020,23
86,23220,26476,1020,49
87,23220,26376,1020,57
88,23220,26460,1020,32
89,23220,26234,1020,35
90,23220,25689,1020,46
91,23220,26473,1020,16
92,23220,25646,1020,47
93,23220,27404,1020,24
94,23220,26738,1020,15
95,23220,26583,1020,17
96,23220,26850,1020,14
97,23220,26690,1020,63
98,23220,27700,1020,25
99,23220,26242,1020,40
100,23400,26547,600,6
101,23400,25470,0,66
102,23400,26848,0,59
103,23400,26599,600,7
104,23400,26597,0,60
105,23400,26206,1200,28
106,23400,26352,0,22
107,23400,27908,0,2
108,23400,26189,1200,29
109,23400,25125,0,68
110,23400,27057,0,61
111,23400,26607,0,53
112,23400,25491,0,67
113,23400,26907,0,58
114,23400,24724,1200,19
115,23460,25236,3060,69
116,23520,26786,720,5
117,23520,27175,1320,55
118,23520,26667,720,4
119,23520,27499,1320,54
120,23640,26980,1440,9
121,23640,27112,1440,8
122,23700,25836,900,38
123,23700,26885,900,26
124,23700,26862,900,27
125,23700,27901,1500,30
126,23700,25876,900,39
127,23700,27679,1500,31
128,23820,27022,1020,65
129,23820,26720,1020,0
130,23820,27599,1020,36
131,23820,27725,1020,41
132,23820,27313,1020,62
133,23820,27810,1020,37
134,23820,26955,1020,64
135,23820,26726,1020,52
136,23820,26497,1020,1
137,23820,27058,1020,56
138,24000,28333,2400,3
139,24000,28031,1200,50
140,24000,28201,1800,30
141,24000,27965,2400,51
142,24000,27979,1800,31
143,24000,25327,1800,21
144,24000,26816,1800,43
145,24000,26951,1800,42
146,24000,25258,1800,20
147,24000,28179,2400,44
148,24000,28495,2400,45
149,24000,26959,1200,18
150,24240,27506,1440,5
151,24240,27870,2040,14
152,24240,27387,1440,4
153,24240,25452,2040,71
154,24240,25379,2040,70
155,24240,27496,2040,49
156,24240,27758,2040,15
157,24240,27680,2040,12
158,24240,27662,2040,13
159,24240,26666,2040,47
160,24240,26709,2040,46
161,24240,27517,2040,48
162,24240,27285,2040,34
163,24240,27262,2040,40
164,24240,27396,2040,57
165,24240,26603,2040,10
166,24240,26541,2040,11
167,24240,27480,2040,32
168,24240,27254,2040,35
169,24240,27564,2040,33
170,24240,27710,2040,63
171,24240,27432,2040,23
172,24240,28424,2040,24
173,24240,27493,2040,16
174,24240,27603,2040,17
175,24240,28720,2040,25
176,24300,27499,1500,7
177,24300,27447,1500,6
178,24360,27700,2160,9
179,24360,27832,2160,8
180,24420,27868,1020,59
181,24420,28077,1020,61
182,24420,26490,1020,66
183,24420,27927,1020,58
184,24420,27372,1020,22
185,24420,26511,1020,67
186,24420,27627,1020,53
187,24420,27617,1020,60
188,24420,26145,1020,68
189,24480,26256,4080,69
190,24600,27389,2400,29
191,24600,27406,2400,28
192,24600,26736,1800,38
193,24600,25927,2400,21
194,24600,29108,1200,2
195,24600,25858,2400,20
196,24600,28579,2400,31
197,24600,27785,1800,26
198,24600,26776,1800,39
199,24600,28801,2400,30
200,24600,28779,3000,44
201,24600,29095,3000,45
202,24600,27762,1800,27
203,24600,25924,2400,19
204,24840,28830,2040,37
205,24840,28745,2040,41
206,24840,28495,2640,55
207,24840,27975,2040,64
208,24840,28819,2640,54
209,24840,27517,2040,1
210,24840,27740,2040,0
211,24840,28333,2040,62
212,24840,27746,2040,52
213,24840,28619,2040,36
214,24840,28078,2040,56
215,24840,28042,2040,65
216,24900,29101,2700,30
217,24900,28047,2100,6
218,24900,28099,2100,7
219,24900,28879,2700,31
220,24960,28226,2160,5
221,24960,28107,2160,4
222,25080,28552,2880,8
223,25080,28420,2880,9
224,25200,28819,2400,18
225,25200,29165,3600,51
226,25200,29231,2400,50
227,25200,29533,3600,3
228,25260,29187,3060,14
229,25260,28516,3060,49
230,25260,28685,3060,16
231,25260,29473,3060,24
232,25260,29123,3060,33
233,25260,29096,3060,12
234,25260,27941,3060,47
235,25260,27720,3060,10
236,25260,27877,3060,46
237,25260,28778,3060,15
238,25260,29740,3060,25
239,25260,28867,3060,48
240,25260,28993,3060,23
241,25260,28613,3060,35
242,25260,29382,3060,13
243,25260,28500,3060,32
244,25260,28416,3060,57
245,25260,26590,3060,71
246,25260,28623,3060,17
247,25260,28282,3060,40
248,25260,26399,3060,70
249,25260,28624,3060,34
250,25260,28956,3060,63
251,25260,27561,3060,11
252,25440,29521,2040,61
253,25440,28647,2040,53
254,25440,27689,2040,67
255,25440,27644,2040,66
256,25440,28637,2040,60
257,25440,28875,2040,22
258,25440,28888,2040,59
259,25440,27367,2040,68
260,25440,29346,2040,58
261,25500,28685,2700,26
262,25500,28224,2700,38
263,25500,28757,2700,27
264,25500,28450,2700,39
265,25500,27276,5100,69
266,25500,29746,3300,31
267,25500,29705,3300,30
268,25680,28963,2880,5
269,25680,28987,2880,4
270,25800,29559,3600,28
271,25800,29408,3600,29
272,25800,28947,3000,6
273,25800,27058,3600,20
274,25800,27127,3600,21
275,25800,29272,3600,8
276,25800,27573,3600,19
277,25800,28954,3600,42
278,25800,29140,3600,9
279,25800,28906,3600,43
280,25800,29187,3000,7
281,25800,30046,3600,31
282,25800,30005,3600,30
283,25800,30308,2400,2
284,25860,28766,3060,52
285,25860,28760,3060,0
286,25860,30265,3060,36
287,25860,29569,3060,65
288,25860,29098,3060,56
289,25860,30489,3060,37
290,25860,29081,3060,1
291,25860,29103,3060,64
292,25860,29617,3060,62
293,25860,30273,3060,41
294,25980,29165,3180,26
295,25980,29237,3180,27
296,26100,29719,3300,18
297,26100,28781,3900,47
298,26100,30580,3900,25
299,26100,29618,3900,15
300,26100,28717,3900,46
301,26100,28560,3900,10
302,26100,29453,3900,35
303,26100,29256,3900,57
304,26100,29050,3300,39
305,26100,28401,3900,11
306,26100,30433,4500,3
307,26100,29936,3900,12
308,26100,30313,3900,24
309,26100,28824,3300,38
310,26100,29122,3900,40
311,26100,30222,3900,13
312,26100,29356,3900,49
313,26100,29833,3900,23
314,26100,29464,3900,34
315,26100,29963,3900,33
316,26100,29707,3900,48
317,26100,27239,3900,70
318,26100,29796,3900,63
319,26100,30131,3300,50
320,26100,29340,3900,32
321,26100,29463,3900,17
322,26100,30065,4500,51
323,26100,29525,3900,16
324,26100,30027,3900,14
325,26100,27430,3900,71
326,26160,29443,3360,5
327,26160,30430,3960,54
328,26160,30067,3960,55
329,26160,29467,3360,4
330,26280,28484,2880,66
331,26280,29728,2880,59
332,26280,28207,2880,68
333,26280,29620,4080,9
334,26280,28529,2880,67
335,26280,29715,2880,22
336,26280,30186,2880,58
337,26280,29477,2880,60
338,26280,29487,2880,53
339,26280,30361,2880,61
340,26280,29752,4080,8
341,26340,28116,5940,69
342,26400,27727,4200,21
343,26400,29547,3600,6
344,26400,30646,4200,31
345,26400,27658,4200,20
346,26400,31081,4800,45
347,26400,30931,4800,44
348,26400,30605,4200,30
349,26400,29787,3600,7
350,26460,29717,3660,27
351,26460,29645,3660,26
352,26640,29947,3840,4
353,26640,29923,3840,5
354,26700,30946,4500,31
355,26700,31105,3900,36
356,26700,28473,4500,19
357,26700,31329,3900,37
358,26700,30308,4500,29
359,26700,30905,4500,30
360,26700,29424,3900,38
361,26700,30457,3900,62
362,26700,29650,3900,39
363,26700,30409,3900,65
364,26700,31113,3900,41
365,26700,29938,3900,56
366,26700,31208,3300,2
367,26700,29600,3900,0
368,26700,29943,3900,64
369,26700,30459,4500,28
370,26700,29606,3900,52
371,26700,29921,3900,1
372,26760,30232,4560,8
373,26760,30100,4560,9
374,26940,31153,4740,24
375,26940,30180,4740,32
376,26940,29621,4740,47
377,26940,30196,4740,49
378,26940,30303,4740,17
379,26940,31420,4740,25
380,26940,30458,4740,15
381,26940,30096,4740,57
382,26940,29241,4740,11
383,26940,30197,4140,27
384,26940,30636,4740,63
385,26940,28270,4740,71
386,26940,29400,4740,10
387,26940,30803,4740,33
388,26940,29962,4740,40
389,26940,30293,4740,35
390,26940,29557,4740,46
391,26940,30673,4740,23
392,26940,30365,4740,16
393,26940,28079,4740,70
394,26940,30776,4740,12
395,26940,31062,4740,13
396,26940,30125,4140,26
397,26940,30867,4740,14
398,26940,30547,4740,48
399,26940,30304,4740,34
400,27000,31031,4200,50
401,27000,31333,5400,3
402,27000,31681,5400,45
403,27000,31531,5400,44
404,27000,30965,5400,51
405,27000,30619,4200,18
406,27120,30317,3720,60
407,27120,29369,3720,67
408,27120,29047,3720,68
409,27120,30327,3720,53
410,27120,31201,3720,61
411,27120,29324,3720,66
412,27120,30555,3720,22
