new_index,s_time,e_time,delta_time,old_index
0,18900,22980,0,13
1,19140,23220,240,13
2,20400,23550,0,55
3,20460,22982,0,1
4,20460,23354,0,22
5,20700,23312,0,77
6,20700,26496,0,32
7,20820,23970,420,55
8,20880,24960,1980,13
9,21000,24092,0,12
10,21000,26062,0,24
11,21060,23717,0,54
12,21300,22474,0,67
13,21360,24379,0,6
14,21360,25440,2460,13
15,21600,25297,0,89
16,21600,26215,0,48
17,21600,25764,0,96
18,21600,23795,0,20
19,21600,25984,0,47
20,21600,24257,540,54
21,21600,26292,0,107
22,21600,23563,0,100
23,21600,24989,0,40
24,21600,24255,0,126
25,21600,26282,0,38
26,21600,26177,0,95
27,21600,24915,0,7
28,21600,25373,0,33
29,21600,24654,0,44
30,21600,24911,0,43
31,21600,25774,0,14
32,21600,24895,0,72
33,21600,24192,0,85
34,21600,24294,0,66
35,21600,24812,0,39
36,21600,23547,0,9
37,21720,24583,0,0
38,21780,24930,1380,55
39,21780,23964,0,3
40,21840,26347,0,10
41,21900,25980,3000,13
42,21900,24422,1440,1
43,21960,27196,0,37
44,22080,26464,480,47
45,22200,25465,0,25
46,22200,26093,0,75
47,22200,26141,0,30
48,22260,25314,660,44
49,22260,26434,660,14
50,22260,28056,1560,32
51,22320,26935,720,48
52,22320,24977,1260,54
53,22380,26038,0,74
54,22440,25755,840,7
55,22440,27132,840,107
56,22440,25934,0,65
57,22500,27736,540,37
58,22500,25712,900,39
59,22500,25811,900,43
60,22560,25949,960,40
61,22560,25494,0,76
62,22740,27124,1140,47
63,22800,26009,0,105
64,22800,25492,0,53
65,22800,26077,0,83
66,22800,25819,1440,6
67,22800,27415,1200,48
68,22800,26880,3900,13
69,22800,25457,1740,54
70,22800,25237,0,81
71,22800,24752,0,68
72,22800,25455,1200,126
73,22800,26016,0,82
74,22860,26370,0,56
75,22860,25974,0,52
76,22860,26010,2460,55
77,22860,25754,2400,22
78,22860,25318,0,92
79,22920,26126,0,106
80,22980,25502,2520,1
81,22980,25592,2280,77
82,23040,25903,1320,0
83,23100,25284,1320,3
84,23100,27802,0,18
85,23100,26993,900,75
86,23160,26372,1560,39
87,23160,26818,780,74
88,23160,26214,1560,44
89,23220,27604,1620,47
90,23280,28516,1320,37
91,23280,27454,1680,14
92,23280,27895,1680,48
93,23280,26774,840,65
94,23340,26651,1740,43
95,23340,26032,540,53
96,23340,26549,540,105
97,23340,26655,1740,7
98,23400,27520,0,79
99,23400,24092,0,104
100,23400,26092,0,113
101,23400,27340,0,78
102,23400,24048,0,103
103,23400,26348,0,94
104,23400,26012,2700,77
105,23400,26057,2340,54
106,23400,26285,0,101
107,23400,24245,0,97
108,23400,27176,0,34
109,23400,27673,0,36
110,23400,26094,1800,66
111,23400,27955,0,49
112,23400,26343,0,28
113,23400,26695,1800,72
