new_index,s_time,e_time,delta_time,old_index
0,19800,21170,0,13
1,19800,21182,0,12
2,20400,25552,0,98
3,20460,24805,0,35
4,20700,24067,0,46
5,20940,22459,0,22
6,20940,22476,0,23
7,21000,24732,0,20
8,21000,24511,0,21
9,21000,24639,0,91
10,21000,24187,0,95
11,21000,22860,0,1
12,21300,24413,0,96
13,21420,26094,0,38
14,21600,24901,0,31
15,21600,25019,0,81
16,21600,24832,0,82
17,21600,24709,0,87
18,21600,25333,0,2
19,21600,25294,0,69
20,21600,25284,0,60
21,21600,24688,0,89
22,21600,25507,0,90
23,21600,24779,0,7
24,21600,25422,0,17
25,21600,25085,0,68
26,21600,26430,0,30
27,21600,25079,0,10
28,21600,25199,0,3
29,21600,24238,0,66
30,21600,25663,0,75
31,21600,25660,0,76
32,21600,25394,0,26
33,21600,25575,0,77
34,21600,25364,0,29
35,21600,25690,0,78
36,21600,24159,0,62
37,21600,25372,0,27
38,21600,24288,0,67
39,21600,25066,0,61
40,21600,25404,0,92
41,21600,26995,0,34
42,21660,25769,0,48
43,21660,25171,660,21
44,21660,25424,0,88
45,21900,25718,0,11
46,21900,24739,0,86
47,21900,25267,1200,46
48,21960,25147,960,95
49,22080,26425,1620,35
50,22140,25872,1140,20
51,22140,26115,540,77
52,22140,25158,0,24
53,22140,26200,540,76
54,22140,25739,540,3
55,22200,24711,0,64
56,22200,24801,0,65
57,22200,24262,0,85
58,22200,25193,0,100
59,22200,24673,0,56
60,22200,24683,0,63
61,22200,26459,0,18
62,22200,25209,0,99
63,22200,26269,0,19
64,22200,25695,0,14
65,22200,25744,0,15
66,22200,25313,900,96
67,22260,23630,2460,13
68,22260,25328,0,9
69,22260,25348,660,89
70,22260,25944,660,60
71,22260,23642,2460,12
72,22260,25745,660,68
73,22320,26092,720,27
74,22320,25552,720,82
75,22320,26053,720,2
76,22320,26142,720,17
77,22320,26084,720,29
78,22320,26014,720,69
79,22380,25891,1380,21
80,22440,25549,840,87
81,22440,25279,540,86
82,22500,26609,840,48
83,22500,26563,900,75
84,22500,26590,900,78
85,22500,27267,0,39
86,22680,25191,480,64
87,22740,25341,540,65
88,22740,25378,1140,66
89,22740,26800,1140,76
90,22740,26715,1140,77
91,22740,25428,1140,67
92,22740,26544,1140,92
93,22800,27292,0,49
94,22800,27630,1200,30
95,22800,25195,0,59
96,22800,25403,0,93
97,22800,26101,1200,31
98,22800,25796,0,94
99,22800,24862,600,85
100,22800,25757,0,8
101,22800,24660,1800,1
102,22800,26825,0,16
103,22800,26285,1200,68
104,22800,25593,0,58
105,22800,24363,0,102
106,22800,26494,1200,69
107,22800,26594,1200,26
108,22800,24909,0,101
109,22800,26707,1200,90
110,22860,28255,1260,34
