new_index,s_time,e_time,delta_time,old_index
0,18780,21064,0,50
1,19800,21659,0,102
2,19800,21624,0,103
3,19800,23008,0,65
4,19800,24127,0,89
5,19800,23875,0,108
6,19800,22403,0,98
7,19860,24479,0,109
8,19920,24201,0,88
9,20040,23517,0,11
10,20280,23519,0,114
11,20340,22624,1560,50
12,20400,23468,0,115
13,20880,23427,0,99
14,21000,23746,0,121
15,21000,25922,0,92
16,21000,24657,0,23
17,21000,24491,0,111
18,21000,23183,0,49
19,21000,23590,0,12
20,21000,24477,960,11
21,21000,25527,0,19
22,21000,23900,0,110
23,21000,24350,0,24
24,21000,25695,0,67
25,21360,23963,1560,98
26,21360,23873,0,57
27,21360,24260,360,110
28,21360,25687,1560,89
29,21360,24568,1560,65
30,21420,26115,420,67
31,21480,25761,1560,88
32,21540,26462,540,92
33,21600,25640,0,133
34,21600,23879,0,129
35,21600,24713,0,32
36,21600,26115,0,101
37,21600,24184,0,35
38,21600,26557,0,76
39,21600,24102,0,36
40,21600,24390,0,59
41,21600,24763,0,8
42,21600,23699,0,128
43,21600,25773,0,77
44,21600,26672,0,93
45,21600,24989,0,31
46,21600,24124,0,62
47,21600,25266,0,13
48,21600,25607,0,61
49,21600,26369,0,107
50,21600,24797,0,37
51,21600,25374,0,38
52,21600,24835,0,9
53,21600,23369,0,45
54,21600,24916,0,95
55,21600,24576,0,64
56,21600,26127,600,19
57,21600,25570,0,74
58,21600,25119,0,119
59,21600,24466,0,75
60,21600,25120,0,14
61,21600,24466,0,117
62,21600,24826,0,48
63,21600,24473,0,78
64,21660,24346,0,79
65,21660,24676,0,94
66,21660,24793,0,39
67,21720,24627,0,60
68,21720,25119,0,91
69,21780,25257,1740,11
70,21780,24293,420,57
71,21840,24908,1440,115
72,21900,24184,3120,50
73,21900,25557,900,23
74,21960,24550,960,12
75,21960,24936,360,64
76,22020,23789,420,45
77,22080,25746,480,13
78,22080,25600,480,14
79,22080,24987,360,60
80,22140,24328,0,2
81,22140,27097,540,76
82,22140,25040,1140,110
83,22140,26835,1140,67
84,22140,24653,780,57
85,22140,27062,1140,92
86,22140,27212,540,93
87,22140,26313,540,77
88,22200,25236,0,27
89,22200,27046,0,106
90,22200,25054,0,16
91,22200,24990,600,59
92,22200,24471,0,3
93,22200,25516,600,95
94,22200,25550,1200,24
95,22200,25138,0,17
96,22200,25123,0,33
97,22200,26969,600,107
98,22200,23665,0,53
99,22200,24756,0,43
100,22200,24829,0,30
101,22200,26047,0,82
102,22200,26329,0,34
103,22200,25313,600,32
104,22200,25397,600,37
105,22200,24906,0,80
106,22200,25403,0,81
107,22200,24717,0,29
108,22200,25439,1920,114
109,22200,25974,600,38
110,22200,25374,0,15
111,22200,25333,540,39
112,22260,25495,660,9
113,22260,25486,660,48
114,22260,25649,660,31
115,22260,25423,660,8
116,22320,24822,720,36
117,22320,24904,720,35
118,22320,24311,0,1
119,22320,25261,0,5
120,22380,25324,0,18
121,22440,26410,840,74
122,22440,24987,1560,99
123,22440,25839,720,91
124,22500,25516,840,94
125,22500,25476,900,64
126,22500,28823,0,86
127,22500,24873,0,135
128,22500,26507,900,61
129,22500,25373,900,78
130,22560,25467,840,60
131,22560,26217,1560,23
132,22560,25073,1200,57
133,22560,24743,1560,49
134,22620,24389,1020,45
135,22620,26286,1020,13
136,22620,26140,1020,14
137,22620,24808,480,2
138,22620,27577,1020,76
139,22620,26793,1020,77
140,22680,25603,480,33
141,22680,25197,480,29
142,22680,26809,480,34
143,22680,25470,1080,59
144,22680,25278,0,58
145,22680,25270,1680,12
146,22680,25519,0,44
147,22740,26217,2700,11
148,22740,25681,420,5
149,22740,27662,1740,92
150,22740,25426,1080,79
151,22740,25715,0,47
152,22740,27812,1140,93
153,22800,25748,0,66
154,22800,26191,0,40
155,22800,25534,0,42
156,22800,25683,0,0
157,22800,25429,600,30
158,22800,25300,0,52
159,22800,25218,0,46
160,22800,26228,0,70
161,22800,24963,0,51
162,22800,26047,0,71
163,22800,27475,0,20
164,22800,25424,0,28
165,22800,27910,0,100
166,22800,27315,1200,101
167,22800,25786,0,63
168,22800,26630,0,90
169,22800,24791,480,1
170,22800,26647,600,82
171,22800,26554,0,85
172,22800,25997,1200,37
173,22800,27036,0,68
174,22800,25154,0,4
175,22800,27872,1200,93
176,22860,26023,1260,8
177,22860,24325,660,53
178,22860,25896,660,27
179,22860,27555,1860,67
180,22860,25131,660,3
181,22860,26634,1260,38
182,22920,26094,720,15
183,22920,25827,1200,60
184,22920,25444,1320,62
185,22920,25433,1560,57
186,22920,26053,1260,39
187,22920,25523,3120,98
188,22920,26250,0,41
189,22920,25504,1320,35
190,22920,26128,3120,65
191,22920,27247,3120,89
192,22920,26033,1320,32
193,22980,25956,1380,64
194,22980,24749,1380,45
195,22980,26369,1380,31
196,22980,26215,1380,9
