new_index,s_time,e_time,delta_time,old_index
0,21600,23890,0,22
1,21600,24293,0,26
2,21600,25767,0,76
3,21600,25162,0,25
4,21600,25588,0,77
5,21600,23487,0,21
6,21600,26131,0,66
7,21600,25588,0,77
8,21600,25646,0,67
9,21720,25708,120,77
10,21780,24473,180,26
11,21780,26311,180,66
12,21840,25402,240,25
13,21840,26007,240,76
14,21900,24190,300,22
15,21900,23787,300,21
16,21960,25948,360,77
17,22020,26551,420,66
18,22020,26187,420,76
19,22020,26066,420,67
20,22140,24833,540,26
21,22200,26546,0,137
22,22200,25966,0,24
23,22200,25583,0,60
24,22200,27365,0,131
25,22200,26159,0,138
26,22200,25965,0,23
27,22200,25573,0,146
28,22200,27274,0,106
29,22200,27518,0,107
30,22200,28084,0,130
31,22260,24147,660,21
32,22260,25822,660,25
33,22260,26248,660,77
34,22260,25321,0,61
35,22260,26427,660,76
36,22380,24670,780,22
37,22380,26911,780,66
38,22380,25073,780,26
39,22440,26607,840,76
40,22440,26486,840,67
41,22560,27878,360,107
42,22560,26548,960,77
43,22560,26122,960,25
44,22620,25984,0,145
45,22620,26003,420,60
46,22620,27694,420,106
47,22680,28564,480,130
48,22680,27211,1080,66
49,22740,26506,540,24
50,22740,25433,1140,26
51,22740,26786,1140,67
52,22740,27905,540,131
53,22740,26907,1140,76
54,22740,27086,540,137
55,22800,27176,0,88
56,22800,25805,0,135
57,22800,24726,0,161
58,22800,27522,0,52
59,22800,26003,0,89
60,22800,26905,0,80
61,22800,26759,600,138
62,22800,26995,0,93
63,22800,27159,0,87
64,22800,25764,0,43
65,22800,25108,0,162
66,22800,27382,0,1
67,22800,27304,0,75
68,22800,27581,0,53
69,22800,26211,0,57
70,22800,27098,0,124
71,22800,27983,0,86
72,22800,24776,0,29
73,22800,27184,0,94
74,22800,27341,0,74
75,22800,26670,0,79
76,22800,27783,0,128
77,22800,26271,0,117
78,22800,26741,0,125
79,22800,25104,0,111
80,22800,28324,0,105
81,22800,25779,0,136
82,22800,28237,0,104
83,22800,26365,0,116
84,22800,26175,0,56
85,22800,27816,0,81
86,22800,27067,0,82
87,22800,28056,0,85
88,22800,25634,0,42
89,22800,27827,0,129
90,22800,26256,0,90
91,22860,25150,1260,22
92,22860,26625,660,23
93,22920,27451,1320,66
94,22920,26908,1320,77
95,22920,24807,1320,21
96,22980,26542,1380,25
97,22980,27147,1380,76
98,22980,28298,780,107
99,22980,25673,1380,26
100,23040,24949,0,28
101,23100,26473,900,146
102,23160,28234,960,106
103,23160,27206,1560,67
104,23220,25107,1620,21
105,23220,28476,420,85
106,23220,27208,1620,77
107,23220,26603,1020,60
108,23220,26631,420,57
109,23220,27387,1620,76
110,23220,28236,420,81
111,23220,27090,420,79
112,23280,25588,480,162
113,23280,27547,480,82
114,23280,27639,480,87
115,23280,27656,480,88
116,23280,27221,480,125
117,23280,28002,480,52
118,23280,25973,1680,26
119,23280,27811,1680,66
120,23280,25256,480,29
121,23280,27385,480,80
122,23280,26842,1680,25
123,23340,27922,540,1
124,23340,26543,540,89
125,23340,27891,0,0
126,23340,29224,1140,130
127,23340,26174,540,42
128,23340,26401,1080,61
129,23340,26304,540,43
130,23340,26704,720,145
131,23340,28523,540,86
132,23340,25266,540,161
133,23340,26319,540,136
134,23340,26905,540,116
135,23340,25630,1740,22
136,23400,26744,0,123
137,23400,26351,0,72
138,23400,26920,0,70
139,23400,27179,0,34
140,23400,26891,0,32
141,23400,25006,0,164
142,23400,27605,0,63
143,23400,25445,0,69
144,23400,27087,0,58
145,23400,25007,0,163
146,23400,28037,0,62
147,23400,26871,600,117
148,23400,27107,0,18
149,23400,27388,1800,77
150,23400,26052,0,35
151,23400,27022,0,71
152,23400,26993,0,17
153,23400,27603,0,50
154,23400,27186,0,59
155,23400,26627,0,40
156,23400,26621,0,41
157,23400,27148,0,91
158,23400,25757,0,148
159,23400,26511,0,122
160,23400,27166,1200,24
161,23400,26190,0,46
162,23400,27125,0,49
163,23400,26856,600,90
164,23400,27090,0,92
165,23400,27904,0,51
166,23400,23972,0,144
167,23400,26584,0,139
168,23400,26160,0,73
169,23400,25436,0,68
170,23400,26541,0,47
171,23400,26997,0,48
172,23400,27303,0,134
173,23400,27315,0,30
174,23400,25209,0,96
175,23400,28565,1200,131
176,23400,27470,0,133
177,23400,26243,0,140
178,23460,28487,660,129
179,23460,28897,660,104
180,23460,28984,660,105
181,23460,27806,1260,137
182,23460,27627,1860,76
183,23460,27419,1260,138
184,23460,27758,660,124
185,23460,28241,660,53
186,23520,26525,720,135
187,23520,28051,1920,66
188,23520,26363,120,140
189,23520,26895,720,56
190,23520,25429,480,28
191,23520,28838,1320,107
192,23580,27205,0,33
193,23580,26273,1980,26
194,23580,28563,780,128
195,23580,27775,780,93
196,23580,28654,1380,106
197,23580,25884,780,111
198,23580,27580,0,31
199,23580,28084,780,75
200,23580,27345,1380,23
201,23640,26751,240,122
202,23640,27202,2040,25
203,23640,27023,1440,60
204,23640,27004,1020,145
205,23640,25527,2040,21
206,23640,27807,2040,76
207,23700,27746,2100,67
208,23700,27297,300,48
209,23700,28241,900,74
210,23760,27353,360,17
211,23760,27748,2160,77
212,23760,27485,360,49
213,23820,27231,1020,57
214,23820,26128,1020,162
215,23820,25856,420,68
216,23820,29076,1020,85
217,23820,26513,2220,26
218,23880,28264,1080,94
219,23880,28411,2280,66
220,23880,27064,480,139
221,23880,27750,1080,79
222,23880,25806,1080,161
223,23880,28239,1080,87
224,23880,28047,2280,76
225,23940,28045,1140,80
226,23940,27647,540,18
227,23940,28956,1140,81
228,23940,28010,540,133
229,23940,28491,600,0
230,23940,27081,540,47
231,23940,27051,540,122
232,23940,25985,540,69
233,23940,27881,1140,125
234,23940,28316,1140,88
235,23940,28207,1140,82
236,24000,25725,0,127
237,24000,27203,0,142
238,24000,28205,600,63
239,24000,29884,1800,130
240,24000,29437,1200,104
241,24000,26843,600,140
242,24000,27344,600,123
243,24000,27097,0,141
244,24000,27562,2400,25
245,24000,27565,1200,116
246,24000,27491,600,32
247,24000,28046,2400,67
248,24000,26107,0,126
249,24000,27471,1200,117
250,24000,25909,960,28
251,24000,26317,0,11
252,24000,26290,2400,22
