new_index,s_time,e_time,delta_time,old_index
0,20400,21889,0,147
1,22200,29408,0,158
2,22200,25658,0,153
3,22200,25801,0,152
4,22200,25710,0,59
5,22200,26511,0,63
6,22200,26652,0,79
7,22200,26100,0,60
8,22200,26899,0,61
9,22200,23401,0,183
10,22200,31669,0,49
11,22200,27193,0,83
12,22200,25987,0,82
13,22200,26826,0,100
14,22200,25388,0,167
15,22200,26635,0,99
16,22200,26484,0,70
17,22200,27115,0,26
18,22200,23920,0,133
19,22200,25770,0,166
20,22200,26661,0,98
21,22200,26037,0,148
22,22200,27163,0,32
23,22200,26577,0,91
24,22200,27052,0,31
25,22200,29264,0,161
26,22200,26333,0,14
27,22200,26315,0,13
28,22200,26117,0,5
29,22200,26503,0,12
30,22200,26039,0,4
31,22200,26702,0,126
32,22200,26864,0,127
33,22200,26844,0,120
34,22200,26642,0,117
35,22200,26535,0,21
36,22200,26689,0,22
37,22200,26518,0,69
38,22200,26598,0,101
39,22200,26930,0,87
40,22200,26845,0,86
41,22200,25802,0,85
42,22200,24757,0,121
43,22200,24832,0,122
44,22200,26660,0,33
45,22200,26631,0,57
46,22200,26242,0,56
47,22200,27232,0,165
48,22200,26117,0,95
49,22200,27537,0,71
50,22200,26302,0,52
51,22200,25307,0,145
52,22200,26660,0,44
53,22200,27377,0,74
54,22200,25780,0,40
55,22200,24414,0,177
56,22200,24096,0,176
57,22200,25588,0,107
58,22200,28398,0,30
59,22200,24322,0,129
60,22200,23689,1800,147
61,22200,28260,0,29
62,22200,26219,0,130
63,22200,27054,0,38
64,22200,26460,0,2
65,22200,29529,0,41
66,22200,23879,0,132
67,22200,28244,0,15
68,22200,26888,0,51
69,22200,26481,0,55
70,22200,26866,0,47
71,22200,25879,0,43
72,22200,25680,0,42
73,22200,25353,0,18
74,22200,24247,0,128
75,22200,28071,0,8
76,22200,27339,0,156
77,22200,26743,0,90
78,22200,24913,0,17
79,22260,28242,0,109
80,22260,26432,0,102
81,22260,26460,0,45
82,22260,26579,0,155
83,22260,28195,0,157
84,22260,24796,0,76
85,22260,24732,0,77
86,22260,26228,0,118
87,22260,26738,0,78
88,22260,27111,0,37
89,22260,26461,0,68
90,22260,27198,0,46
91,22260,26819,0,67
92,22260,26690,0,20
93,22260,26136,0,149
94,22260,26297,0,93
95,22260,26402,0,94
96,22260,26182,0,54
97,22260,30767,0,136
98,22260,26447,0,113
99,22260,26477,0,3
100,22260,26541,0,53
101,22260,26871,0,115
102,22260,25870,0,62
103,22260,25964,0,81
104,22260,25638,0,80
105,22260,30768,0,16
106,22260,27232,0,10
107,22260,27059,0,9
108,22260,26909,0,65
109,22260,26224,0,96
110,22260,26964,0,50
111,22260,26603,0,75
112,22260,26625,0,34
113,22260,27240,0,137
114,22260,25863,0,84
115,22260,26132,0,11
116,22260,27228,0,92
117,22260,25080,0,108
118,22320,29640,0,116
119,22320,31067,0,48
120,22320,25736,0,131
121,22320,26835,0,19
122,22320,26607,0,89
123,22320,25569,0,144
124,22320,27320,0,27
125,22320,26735,0,119
126,22320,26723,0,112
127,22320,26151,0,124
128,22320,26029,0,58
129,22320,26442,0,154
130,22380,25917,0,123
131,22380,26590,0,64
132,22380,28032,0,114
133,22380,27084,120,50
134,22380,29834,0,125
135,22380,28251,180,8
136,22380,26190,0,36
137,22380,26560,0,66
138,22500,26948,0,88
139,22560,25713,360,18
140,22620,24516,420,176
141,22620,24834,420,177
142,22620,26753,420,14
143,22680,26983,480,12
144,22680,27346,480,47
145,22680,26822,420,94
146,22680,24359,480,132
147,22680,27479,420,9
148,22680,26999,420,155
149,22680,27680,360,27
150,22680,26281,480,152
151,22680,27384,420,50
152,22740,27678,480,46
153,22740,27470,540,87
154,22740,31247,480,136
155,22740,27083,480,75
156,22740,26342,540,85
157,22740,26782,540,56
158,22740,24460,540,133
159,22740,26912,480,102
160,22740,26527,540,82
161,22740,27366,540,100
162,22740,26350,480,62
163,22800,26700,600,60
164,22800,28860,600,29
165,22800,27444,600,120
166,22800,27000,540,45
167,22800,28452,420,114
168,22800,27772,540,10
169,22800,26258,600,153
170,22800,27230,540,20
171,22800,27081,600,55
172,22800,27445,600,86
173,22800,27248,300,88
174,22800,27939,600,156
175,22800,26676,540,149
176,22800,26216,480,131
177,22800,27118,600,69
178,22800,26819,600,130
179,22800,27260,600,44
180,22800,27315,480,19
181,22800,25336,540,76
182,22800,27411,540,115
183,22800,27793,600,83
184,22800,27488,600,51
185,22800,25272,540,77
186,22800,27652,600,31
187,22800,28671,600,8
188,22800,28782,540,109
189,22800,27763,600,32
190,22860,26962,660,52
191,22860,26238,600,80
192,22860,29058,660,30
193,22860,27320,660,33
194,22860,26539,660,43
195,22860,27302,660,117
196,22860,27509,600,65
197,22860,27077,600,3
198,22860,28037,660,74
199,22860,27295,660,99
200,22860,27828,600,92
201,22860,26697,660,148
202,22860,27321,660,98
203,22860,27775,660,26
204,22860,27338,600,78
205,22920,27297,720,91
206,22920,28257,720,71
207,22920,27231,720,63
208,22920,26400,720,42
209,22920,30128,720,158
210,22920,30240,600,116
211,22920,32389,720,49
212,22920,27584,720,127
213,22980,27102,660,154
214,22980,26897,780,95
215,22980,25800,720,108
216,22980,27469,780,22
217,22980,24700,780,133
218,22980,27383,660,112
219,22980,27539,720,67
220,22980,26133,780,18
221,22980,27834,780,38
222,22980,27181,720,68
223,22980,27411,780,57
224,22980,27960,720,137
225,22980,27831,720,37
226,22980,27345,720,34
227,22980,27159,0,97
228,22980,27482,780,126
229,22980,27432,780,79
230,22980,27261,720,53
231,22980,30434,600,125
232,23040,27739,840,61
233,23040,27324,840,70
234,23040,27744,780,50
235,23040,26289,720,144
236,23040,26871,720,124
237,23040,27227,780,113
238,23040,27327,720,89
239,23040,27583,840,90
240,23040,26912,780,11
241,23040,27375,840,21
242,23040,31787,720,48
243,23040,27438,840,101
244,23100,27017,900,5
245,23100,27064,840,96
246,23100,27215,900,13
247,23100,26680,900,40
248,23100,26809,780,58
249,23100,27310,720,64
250,23100,25314,900,177
251,23100,24996,900,176
252,23100,26939,900,4
253,23160,26763,900,84
254,23160,27479,900,155
255,23160,28192,960,165
256,23160,26670,960,59
257,23160,27826,960,47
258,23160,31668,900,16
259,23160,27293,960,14
260,23220,27362,960,94
261,23220,28019,960,9
262,23220,28213,1020,83
263,23220,25342,1020,129
264,23220,30549,1020,41
265,23220,27655,1020,99
266,23220,25267,1020,128
267,23220,27262,1020,56
268,23280,25000,1080,133
269,23280,27460,900,66
270,23280,26387,1080,145
271,23280,28457,1080,74
272,23280,24959,1080,132
273,23280,27202,1020,54
274,23280,27695,960,119
275,23280,26881,1080,152
276,23280,29324,1080,15
277,23280,27925,1080,86
278,23340,29211,1140,8
279,23340,25972,1140,122
280,23340,27984,1140,120
281,23340,26942,1140,85
282,23340,27643,1140,12
283,23340,27651,1140,63
284,23340,27127,1140,82
285,23340,27801,1140,98
286,23340,28479,1140,156
287,23340,28303,1140,32
288,23400,25539,0,174
289,23400,27368,1140,118
290,23400,27572,1140,102
291,23400,26816,1080,131
292,23400,27600,1140,45
293,23400,27848,900,88
294,23400,28338,1140,46
295,23400,27437,1140,93
296,23400,28315,1200,26
297,23400,26553,1200,18
298,23400,27096,0,173
299,23400,27166,0,169
300,23400,26113,1200,17
301,23400,27010,1140,62
302,23400,26880,1200,42
303,23400,27860,1200,44
304,23400,27830,1140,20
305,23400,25667,0,111
306,23400,29382,1140,109
307,23400,25652,0,110
308,23400,28252,1200,31
309,23400,27878,1140,78
310,23400,27842,1200,117
311,23400,27617,1140,3
312,23400,27502,1200,52
313,23400,27718,1200,69
314,23400,28088,1200,51
315,23400,28011,1140,115
316,23400,28026,1200,100
317,23400,31907,1140,136
318,23460,27975,1140,19
319,23460,27920,1260,33
320,23460,30780,1140,116
321,23460,25932,1200,77
322,23460,29112,1080,114
323,23460,25996,1200,76
324,23460,29520,1260,29
325,23460,27803,1200,75
326,23460,26918,1260,153
327,23460,27479,1260,130
328,23520,28079,1260,67
329,23520,29455,1260,157
330,23520,27357,1320,148
331,23520,27224,1260,81
332,23520,25734,1320,177
333,23520,27955,1320,99
334,23520,27420,1320,60
335,23580,28552,1320,10
336,23580,28548,1320,92
337,23580,28229,1320,65
338,23580,26958,1320,80
339,23580,33049,1380,49
340,23580,27861,1380,55
341,23580,30788,1380,158
342,23580,27622,1380,56
343,23580,27713,1380,14
344,23580,28284,1320,50
345,23640,27557,1440,95
346,23640,28017,1440,91
347,23640,25360,1440,133
348,23640,27028,1440,107
349,23640,27319,1440,43
350,23640,26353,1440,17
351,23640,27782,1380,94
352,23640,28306,1440,47
353,23640,27516,1380,149
354,23640,25536,1440,176
355,23640,27471,1320,124
356,23640,27841,1380,68
357,23640,29838,1440,30
358,23640,27762,1320,154
359,23640,28640,1320,27
360,23640,28620,1380,137
361,23640,27959,1380,155
362,23700,27237,1320,123
363,23700,28189,1500,22
364,23700,26257,1500,121
365,23700,27981,1440,53
366,23700,28131,1500,57
367,23700,27270,1500,166
368,23700,27510,1320,36
369,23700,26520,1440,108
370,23700,27572,1440,11
371,23760,28163,1440,112
372,23760,28424,1560,127
373,23760,26948,1560,167
374,23760,27547,1560,82
375,23760,29097,1560,71
376,23760,28125,1500,34
377,23760,32507,1440,48
378,23760,28212,1560,79
379,23760,27970,1380,64
380,23760,28095,1560,21
381,23760,28614,1560,38
382,23760,28262,1560,126
383,23820,30884,1620,161
384,23820,28813,1620,83
385,23820,28007,1560,113
386,23820,28519,1620,61
387,23820,28619,1560,9
388,23820,27069,1500,144
389,23820,27421,1620,152
390,23820,28464,1620,120
391,23820,28107,1500,89
392,23880,28525,1680,86
393,23880,25559,1680,132
394,23880,28198,1680,69
395,23880,28423,1680,90
396,23880,29940,1680,29
397,23880,28140,1680,2
398,23880,31334,1500,125
399,23940,27398,1740,153
400,23940,28243,1740,12
401,23940,28157,1680,3
402,23940,29592,1560,114
403,23940,28400,1740,44
404,23940,28338,1740,101
405,23940,27840,1740,60
406,23940,27862,1680,54
407,23940,27977,1680,93
408,23940,27093,1740,18
409,23940,29117,1740,74
410,23940,27777,1740,148
411,23940,28401,1740,98
412,23940,28418,1680,78
413,23940,27543,1680,84
