new_index,s_time,e_time,delta_time,old_index
0,22800,25799,0,53
1,22800,26096,0,54
2,22800,25912,0,78
3,22800,25680,0,73
4,22800,25708,0,72
5,22800,25564,0,65
6,22860,24711,0,95
7,22860,24713,0,94
8,22860,25714,0,87
9,22920,24899,0,85
10,22920,25866,0,86
11,22920,25662,0,90
12,22920,25417,0,92
13,22980,25924,0,84
14,22980,24719,0,61
15,23040,24759,0,60
16,23040,25541,0,69
17,23100,26929,0,51
18,23100,26929,0,51
19,23100,26123,0,91
20,23100,25630,0,46
21,23160,25891,0,93
22,23160,25924,360,65
23,23160,25891,0,93
24,23220,25684,0,82
25,23220,25503,0,83
26,23280,26226,360,86
27,23280,26134,420,87
28,23280,27499,0,50
29,23280,26160,480,73
30,23280,26188,480,72
31,23340,26082,420,90
32,23400,26344,420,84
33,23400,27668,0,3
34,23400,27783,0,2
35,23400,25395,0,14
36,23400,25930,300,46
37,23400,24638,0,42
38,23400,25831,0,68
39,23400,24851,0,43
40,23400,25636,0,59
41,23400,25897,480,92
42,23400,26113,0,15
43,23460,25575,0,52
44,23460,26572,660,78
45,23460,26439,0,64
46,23460,26459,660,53
47,23460,25678,0,62
48,23460,26756,660,54
49,23460,25199,480,61
50,23460,25767,0,79
51,23460,26483,360,91
52,23520,27511,0,45
53,23520,26121,0,63
54,23520,25499,600,85
55,23580,25863,360,83
56,23580,26044,360,82
57,23580,26311,420,93
58,23580,26171,0,47
59,23580,26344,780,65
60,23640,27469,540,51
61,23640,27859,360,50
62,23640,26619,180,64
63,23640,28082,0,44
64,23640,25359,600,60
65,23700,25606,0,81
66,23700,26442,780,90
67,23700,28232,0,1
68,23700,26557,0,56
69,23700,27118,0,55
70,23700,28097,0,30
71,23760,26257,840,92
72,23760,26704,780,84
73,23760,26640,960,73
74,23760,26290,660,46
75,23760,26668,960,72
76,23820,26766,900,86
77,23820,26674,960,87
78,23880,26879,1080,53
79,23940,26919,480,64
80,23940,26531,360,47
81,23940,26704,1140,65
82,23940,26247,480,79
83,24000,24874,0,48
84,24000,27246,0,71
85,24000,26464,780,82
86,24000,27344,0,70
87,24000,30317,0,0
88,24000,28318,0,31
89,24000,26283,780,83
90,24000,25739,1020,61
91,24000,27252,0,19
92,24000,27023,900,91
93,24000,27296,1200,54
94,24060,26039,1140,85
95,24060,28279,780,50
96,24060,27172,1260,78
97,24060,28443,660,2
98,24060,26791,900,93
99,24120,28834,0,33
100,24120,27492,0,76
101,24120,27480,0,77
102,24180,26922,1260,90
103,24180,28448,780,3
104,24180,28009,1080,51
105,24180,26677,1260,92
106,24180,28577,480,30
107,24180,25945,0,80
108,24240,27148,1440,72
109,24240,27120,1440,73
110,24240,28069,1140,51
111,24240,26770,1140,46
112,24240,28322,0,36
113,24240,25959,1200,60
114,24240,26235,840,14
115,24300,27154,1440,87
116,24300,27246,1380,86
117,24300,25538,900,42
118,24300,26891,720,47
119,24300,27064,1500,65
120,24360,27339,900,64
121,24360,27304,1380,84
122,24360,27383,1260,91
123,24420,26884,1200,82
124,24420,27133,1020,15
125,24480,26787,1020,79
126,24480,26219,1500,61
127,24480,27479,1680,53
128,24480,28699,1200,50
129,24480,28886,0,32
130,24540,29072,840,1
131,24540,25861,0,75
132,24540,27836,1740,54
133,24540,27271,1380,93
134,24540,26823,1320,83
135,24540,27154,0,17
136,24540,28990,0,37
137,24600,26579,1680,85
138,24600,28997,900,30
139,24600,27342,1680,90
140,24660,27190,1560,46
141,24660,27157,1740,92
142,24660,27639,1200,64
143,24660,27424,1860,65
144,24660,28489,1560,51
145,24720,27832,1920,78
146,24720,27628,1920,72
147,24720,27743,1620,91
148,24720,27600,1920,73
149,24720,27311,1140,47
150,24780,27726,1860,86
151,24780,26090,0,74
152,24840,29223,1440,2
153,24840,26559,1800,60
154,24840,29059,1560,50
155,24840,31157,840,0
156,24840,27694,1980,87
157,24900,27183,1680,83
158,24900,27844,1920,84
159,24900,27631,1740,93
160,24900,26753,2040,94
161,24900,26351,1500,43
162,24900,26751,2040,95
163,24960,27702,2040,90
164,24960,27424,1740,82
165,24960,27959,2160,53
166,25020,28380,900,77
167,25020,29288,1620,3
168,25020,26759,2040,61
169,25020,28392,900,76
170,25020,27009,0,98
171,25020,27550,1920,46
172,25020,27611,1440,47
173,25020,26330,0,99
174,25080,27059,2160,85
175,25080,27577,2160,92
176,25080,28376,2280,54
177,25080,27075,1680,14
178,25080,27844,2280,65
179,25080,28059,1620,64
180,25080,27581,2040,69
181,25140,27754,600,17
182,25140,29672,1440,1
183,25140,28969,2040,51
184,25140,27447,1680,79
185,25140,28392,1140,19
186,25200,27096,0,96
187,25200,27245,0,97
188,25200,28150,2400,72
189,25200,27833,0,20
190,25200,28080,2400,73
191,25200,26064,0,49
192,25200,28225,2100,91
193,25200,26521,660,75
194,25200,29612,1200,31
195,25200,29562,1920,50
196,25260,28227,2400,87
197,25260,29710,1560,30
198,25260,28629,0,11
199,25320,26630,540,74
200,25320,29897,780,37
