new_index,s_time,e_time,delta_time,old_index
0,23400,27213,0,12
1,23400,26818,0,9
2,23400,27138,0,11
3,23400,25814,0,6
4,23400,25883,0,5
5,23400,27987,0,7
6,23400,28154,0,8
7,23580,26710,0,10
8,24000,24710,0,13
9,24000,24712,0,14
10,24000,26414,600,6
11,24000,28587,600,7
12,24000,26483,600,5
13,24000,28754,600,8
14,24000,27738,600,11
15,24000,27813,600,12
16,24060,27478,660,9
17,24240,27370,660,10
18,24600,29187,1200,7
19,24600,25312,600,14
20,24600,27730,1020,10
21,24600,27083,1200,5
22,24600,28338,1200,11
23,24600,28413,1200,12
24,24600,26376,0,16
25,24600,25310,600,13
26,24600,27014,1200,6
27,24600,26371,0,15
28,24600,29354,1200,8
29,24600,28018,1200,9
30,24720,28138,1320,9
31,24900,28030,1320,10
32,25200,27827,1800,6
33,25200,29408,1800,11
34,25200,25912,1200,14
35,25200,29322,1800,12
36,25200,25910,1200,13
37,25200,26971,600,15
38,25200,27387,0,4
39,25200,26772,0,1
40,25200,30304,1800,7
41,25200,26719,0,0
42,25200,27868,1800,5
43,25200,26976,600,16
44,25200,30584,1800,8
45,25260,28919,1860,9
46,25260,27543,0,3
47,25260,28762,1680,10
48,25380,29039,1980,9
49,25560,29062,1980,10
50,25740,28023,480,3
51,25800,31184,2400,8
52,25800,30008,2400,11
53,25800,27319,600,0
54,25800,27576,1200,16
55,25800,29922,2400,12
56,25800,27372,600,1
57,25800,27571,1200,15
58,25800,28468,2400,5
59,25800,28427,2400,6
60,25800,30904,2400,7
61,25860,28047,660,4
62,25920,29422,2340,10
63,25920,29579,2520,9
64,26040,29699,2640,9
65,26040,27559,840,0
66,26160,27732,960,1
67,26220,29722,2640,10
68,26400,31784,3000,8
69,26400,29027,3000,6
70,26400,28176,1800,16
71,26400,30608,3000,11
72,26400,27112,2400,14
73,26400,31504,3000,7
74,26400,28171,1800,15
75,26400,30522,3000,12
76,26400,27110,2400,13
77,26400,28587,1200,4
78,26400,29068,3000,5
79,26460,27979,1260,0
80,26580,30239,3180,9
81,26580,30082,3000,10
82,26700,30359,3300,9
83,26820,29103,1560,3
84,26880,28399,1680,0
85,26880,30382,3300,10
86,26940,28512,1740,1
87,27000,29187,1800,4
88,27000,29668,3600,5
89,27000,31208,3600,11
90,27000,29627,3600,6
91,27000,31122,3600,12
92,27000,28771,2400,15
93,27000,32384,3600,8
94,27000,28776,2400,16
95,27000,32104,3600,7
96,27240,30742,3660,10
97,27240,30899,3840,9
98,27300,28819,2100,0
99,27300,28872,2100,1
100,27360,31019,3960,9
101,27420,29703,2160,3
102,27540,31042,3960,10
103,27600,29371,3000,15
104,27600,32984,4200,8
105,27600,28312,3600,14
106,27600,30268,4200,5
107,27600,31808,4200,11
108,27600,32704,4200,7
109,27600,29376,3000,16
110,27600,30227,4200,6
111,27600,31722,4200,12
112,27600,28310,3600,13
113,27660,29179,2460,0
114,27660,29847,2460,4
115,27720,29292,2520,1
116,27900,31402,4320,10
117,27900,31559,4500,9
118,28020,31679,4620,9
119,28140,29712,2940,1
120,28200,31702,4620,10
121,28200,33584,4800,8
122,28200,30868,4800,5
123,28200,33304,4800,7
124,28200,32408,4800,11
125,28200,30483,2940,3
126,28200,29976,3600,16
127,28200,29971,3600,15
128,28200,29719,3000,0
129,28200,32322,4800,12
130,28200,30827,4800,6
131,28260,30447,3060,4
132,28560,32219,5160,9
133,28560,30132,3360,1
134,28560,32062,4980,10
135,28680,32339,5280,9
136,28800,29512,4800,14
137,28800,31083,3540,3
138,28800,34184,5400,8
