new_index,s_time,e_time,delta_time,old_index
0,17100,23894,0,324
1,17400,21976,0,474
2,17760,21034,0,437
3,18000,22149,0,251
4,18000,20843,0,622
5,18000,21464,0,93
6,18000,24213,0,582
7,18000,21700,0,467
8,18000,23003,0,681
9,18000,21465,0,564
10,18000,22820,0,620
11,18000,22335,0,553
12,18000,20843,0,622
13,18000,23567,0,619
14,18000,24558,0,706
15,18000,20920,0,240
16,18000,24033,0,220
17,18000,22604,0,554
18,18000,23352,0,682
19,18000,22576,600,474
20,18060,23412,60,682
21,18060,21863,0,599
22,18060,22209,0,420
23,18120,24914,1020,324
24,18120,21863,0,711
25,18300,22692,0,562
26,18300,20711,0,237
27,18480,21038,0,527
28,18600,25268,0,325
29,18600,25325,0,216
30,18600,23963,0,521
31,18600,23606,0,254
32,18600,23176,1200,474
33,18600,24048,0,520
34,18600,25696,0,273
35,18600,21874,840,437
36,18600,22300,600,467
37,18600,23204,600,554
38,18720,23540,720,620
39,18780,24132,780,682
40,18840,22305,840,564
41,18840,24873,840,220
42,18900,22582,0,638
43,18900,23521,0,1
44,18900,22365,0,715
45,18900,23252,0,28
46,18900,25106,0,568
47,18900,23132,0,354
48,18960,21518,480,527
49,18960,24527,960,619
50,18960,22703,840,711
51,19080,24443,480,521
52,19140,24588,540,520
53,19140,25934,2040,324
54,19200,22664,1200,93
55,19200,22415,0,491
56,19200,21013,0,23
57,19200,25208,0,636
58,19200,22088,0,131
59,19200,22973,0,558
60,19200,22120,1200,240
61,19200,23592,900,562
62,19200,24536,0,593
63,19200,23133,0,33
64,19200,22984,0,634
65,19200,22028,0,143
66,19200,22887,0,69
67,19200,22640,0,381
68,19200,21209,0,326
69,19200,21168,0,374
70,19200,23229,0,47
71,19200,22904,0,455
72,19200,23804,1200,554
73,19200,22117,0,24
74,19200,22898,0,406
75,19260,26356,660,273
76,19260,22920,0,11
77,19260,23836,1860,474
78,19260,23307,0,383
79,19320,22163,1320,622
80,19320,22627,0,531
81,19320,22451,0,530
82,19320,25601,0,707
83,19440,21998,960,527
84,19440,22714,1680,437
85,19440,24260,1440,620
86,19500,23835,1500,553
87,19500,24852,1500,682
88,19500,21316,0,652
89,19500,23257,0,460
90,19560,21923,0,550
91,19560,26285,960,216
92,19560,24923,960,521
93,19680,21476,0,226
94,19680,23145,1680,564
95,19740,23670,0,585
96,19740,24316,2340,474
97,19740,25188,1140,520
98,19740,24344,1740,554
99,19800,23755,0,268
100,19800,22555,0,449
101,19800,24572,0,555
102,19800,23686,0,402
103,19800,23500,1800,467
104,19800,23526,0,533
105,19800,23949,1800,251
106,19800,23975,0,336
107,19800,24614,0,705
108,19800,26577,0,286
109,19800,22197,0,351
110,19800,24311,0,295
111,19800,24724,0,708
112,19800,23732,0,269
113,19800,22876,0,725
114,19800,23208,0,371
115,19800,26721,0,484
116,19800,24861,0,594
117,19800,26360,0,485
118,19800,23352,0,38
119,19800,21863,0,136
120,19800,22984,0,684
121,19800,24982,0,709
122,19800,23397,0,342
123,19800,23026,0,642
124,19800,24046,0,267
125,19800,23949,1740,420
126,19800,22545,0,394
127,19800,21768,600,374
128,19800,25367,1800,619
129,19800,26326,0,265
130,19800,26006,0,571
131,19800,21867,0,472
132,19800,23767,0,519
133,19800,23078,0,536
134,19800,25901,0,569
135,19800,24206,0,217
136,19800,24538,0,604
137,19800,26214,0,272
138,19800,23168,0,386
139,19800,23291,0,576
140,19800,22522,0,189
141,19800,23682,0,627
142,19800,24263,0,701
143,19800,22884,0,444
144,19800,26358,1800,706
145,19800,21946,0,547
146,19800,21708,0,703
147,19860,24092,960,354
148,19860,23889,0,686
149,19860,21348,0,557
150,19860,25893,1860,220
151,19860,23350,0,500
152,19860,23674,0,633
153,19860,21832,0,546
154,19860,23053,0,518
155,19920,23693,720,558
156,19980,26186,1080,568
157,19980,25343,1380,521
158,20040,23783,1920,711
159,20040,26834,2940,324
160,20040,23255,840,491
161,20040,23722,1140,638
162,20040,27136,1440,273
