new_index,s_time,e_time,delta_time,old_index
0,19200,20575,0,15
1,19800,24481,0,68
2,19800,23945,0,67
3,20400,22940,0,46
4,20400,24418,0,56
5,20400,22714,0,17
6,20400,25775,0,69
7,20400,27133,0,13
8,20400,22922,0,45
9,21000,23351,0,18
10,21000,26022,0,100
11,21000,23318,0,22
12,21000,26123,0,21
13,21000,26059,0,99
14,21000,25409,0,12
15,21000,25619,0,97
16,21600,25814,0,55
17,21600,24557,0,89
18,21600,24012,0,179
19,21600,25306,0,74
20,21600,25441,0,63
21,21600,26975,1200,69
22,21600,25634,0,92
23,21600,26346,0,66
24,21600,25306,0,73
25,21600,27577,0,75
26,21600,23851,0,20
27,21600,24815,0,23
28,21600,26372,0,61
29,21600,23376,0,54
30,21600,26187,0,86
31,21600,25506,0,212
32,21600,26952,0,70
33,21600,26084,0,85
34,21600,26290,0,91
35,21600,23652,0,53
36,21600,24457,0,90
37,21600,24965,0,72
38,21600,29050,0,14
39,21600,26301,0,62
40,21600,23074,0,244
41,21600,24969,0,71
42,21600,23074,0,243
43,21600,26346,0,65
44,21600,23918,0,19
45,21600,25418,0,64
46,22200,24922,0,124
47,22200,28933,1800,13
48,22200,25568,0,123
49,22200,27575,1800,69
50,22500,23875,3300,15
51,22800,25937,0,199
52,22800,24726,0,125
53,22800,27387,1200,86
54,22800,25096,0,149
55,22800,28152,1200,70
56,22800,25429,0,230
57,22800,27284,1200,85
58,22800,24606,0,126
59,22800,25202,0,229
60,22800,25363,0,150
61,22800,26506,1200,73
62,22800,26164,0,200
63,22800,25482,0,211
64,22800,25286,0,180
65,22800,27546,1200,65
66,22800,25294,0,309
67,22800,26195,0,213
68,22800,24050,0,240
69,22800,30250,1200,14
70,22800,26567,0,214
71,22800,25349,0,308
72,22800,24274,1200,243
73,23100,27245,3300,67
74,23100,26468,900,123
75,23100,27781,3300,68
76,23100,25822,900,124
77,23400,25632,0,26
78,23400,27387,0,178
79,23400,26586,0,177
80,23400,25423,0,41
81,23400,27463,0,283
82,23400,28775,3000,69
83,23400,27307,0,282
84,23400,30850,1800,14
85,23700,27718,3300,56
86,23700,25062,0,16
87,23700,26240,3300,46
88,23700,26014,3300,17
89,23700,26222,3300,45
90,24000,27137,1200,199
91,24000,27767,1200,214
92,24000,28484,2400,85
93,24000,27364,1200,200
94,24000,26535,0,270
95,24000,27395,1200,213
96,24000,27368,1800,123
97,24000,26722,1800,124
