new_index,s_time,e_time,delta_time,old_index
0,0,1914,0,230
1,0,2335,0,331
2,0,4212,0,542
3,0,2768,0,424
4,0,5409,0,253
5,0,2300,0,428
6,0,2959,0,528
7,0,1939,0,231
8,0,3462,0,922
9,0,2718,0,629
10,0,2586,0,1325
11,0,2812,0,372
12,0,3552,0,295
13,0,3828,0,157
14,0,3973,0,158
15,0,2047,0,1650
16,0,3822,0,298
17,0,2768,0,234
18,0,3329,0,289
19,0,4344,0,288
20,60,2711,0,235
21,60,2624,0,423
22,120,3469,0,453
23,300,2069,0,567
24,300,2094,0,566
25,360,2236,0,301
26,360,2640,0,1400
27,540,2624,0,1401
28,600,3325,0,310
29,600,3691,0,452
30,600,3468,0,627
31,600,1782,0,383
32,900,5187,0,1349
33,900,3854,0,216
34,900,7443,0,1318
35,900,3373,0,427
36,1140,4057,0,1041
37,1140,4815,0,399
38,1200,2897,0,300
39,1200,6429,0,1317
40,1200,3999,0,1299
41,1200,3238,0,1418
42,1200,5325,0,1348
43,1200,4875,0,398
44,1200,5049,0,299
45,1200,4125,0,626
46,1200,4402,0,1342
47,1260,4762,0,294
48,1260,4442,0,1341
49,1260,4677,0,921
50,1320,4038,0,628
51,1500,5839,0,543
52,1500,4015,0,1053
53,1500,4063,0,311
54,1620,3777,0,620
55,1680,5029,1560,453
56,1800,4082,0,332
57,1800,7112,0,252
58,1800,5129,1800,289
59,1800,4707,0,526
60,1800,8863,0,159
61,1800,5646,0,420
62,1800,4490,0,233
63,1800,3695,0,621
64,1800,5474,0,144
65,1800,4568,1800,234
66,1800,6144,1800,288
67,1800,5510,0,143
68,1800,3754,0,389
69,1860,4511,1800,235
70,1860,4117,0,1419
71,2100,5022,0,1054
72,2100,4152,0,1651
73,2100,6312,2100,542
74,2100,5191,1500,452
75,2160,4036,1800,301
76,2400,5862,2400,922
77,2400,4484,1860,1401
78,2400,5242,0,1297
79,2400,5265,0,1298
80,2400,5711,0,1324
81,2400,4700,2400,428
82,2400,3571,0,384
83,2460,5112,0,232
84,2700,9964,0,160
85,2700,9243,1800,1318
86,2700,5132,0,413
87,3000,6552,3000,295
88,3000,5429,0,412
89,3060,6409,2940,453
90,3060,7347,2160,1349
91,3300,4997,2100,300
92,3300,7639,1800,543
93,3300,5773,2400,427
94,3600,7275,2400,398
95,3600,4782,3000,383
96,3600,6368,3600,234
97,3600,6186,3600,1325
98,3600,6517,2460,1041
99,3600,5539,3600,231
100,3600,6570,0,1300
101,3600,6691,3000,452
102,3600,5394,3300,566
103,3600,6412,0,371
104,3600,7275,2460,399
105,3600,5369,3300,567
106,3600,7944,3600,288
107,3600,7573,3600,158
108,3600,6164,3540,423
109,3600,6527,0,217
110,3600,5880,3240,1400
111,3600,7422,3600,298
112,3600,8829,2400,1317
113,3600,6368,3600,424
114,3600,5514,3600,230
115,3660,6378,2340,628
116,3660,7785,2460,1348
117,3720,6371,3660,235
118,3720,5877,2100,620
119,3780,7629,2580,299
120,3900,6625,3300,310
121,3900,5795,2100,621
122,4200,7702,2940,294
123,4200,6076,3840,301
124,4200,6763,2700,311
125,4500,6464,0,390
126,4500,8712,4500,542
127,4500,7218,4500,629
128,4500,7849,4380,453
129,4500,11043,3600,1318
130,4800,7668,4200,627
131,4800,8262,4800,922
132,4800,7057,2940,1419
133,4800,7315,3300,1053
134,4800,8217,3540,921
135,4800,7100,4800,428
136,4860,7659,3660,1299
137,5100,8191,4500,452
138,5100,9387,4200,1349
139,5100,9439,3600,543
140,5340,9160,0,419
141,5340,8071,0,529
142,5400,7735,5400,331
143,5400,8325,4200,626
144,5400,6571,3000,384
145,5400,8168,5400,234
146,5400,10712,3600,252
147,5400,10809,5400,253
148,5400,7438,4200,1418
149,5400,7447,5400,1650
150,5400,9228,5400,157
151,5400,8322,3300,1054
152,5460,8111,5400,235
153,5700,8882,4440,1341
154,5700,8173,4800,427
155,5700,7397,4500,300
156,5700,9825,4500,1348
157,5760,8962,4560,1342
158,5820,7977,4200,620
159,6000,8432,3300,413
160,6000,8084,5460,1401
161,6000,9311,3600,1324
162,6000,8842,3600,1297
163,6000,11229,4800,1317
164,6000,8865,3600,1298
165,6000,10344,6000,288
166,6000,9329,6000,289
167,6000,9675,4800,398
168,6120,9469,6000,453
169,6300,10512,6300,542
170,6300,8195,4500,621
171,6300,12843,5400,1318
172,6600,9517,5460,1041
173,6600,10275,5460,399
174,6600,8476,6240,301
175,6600,7782,6000,383
176,6600,10152,6600,295
177,6600,9290,4800,233
178,6600,9029,3600,412
179,6660,9312,4200,232
180,6900,8669,6600,567
181,6900,9625,6300,310
182,6900,8694,6600,566
183,7020,10111,6420,452
184,7200,9139,7200,231
185,7200,10910,5400,143
186,7200,9918,7200,629
187,7200,11173,7200,158
188,7200,11049,6000,299
189,7200,10627,0,527
190,7200,9968,7200,424
191,7200,10702,5940,294
192,7200,9764,7140,423
193,7200,10874,5400,144
194,7200,9114,7200,230
195,7200,9968,7200,234
196,7200,11022,7200,298
197,7200,9500,7200,428
198,7260,9542,5460,332
199,7260,10230,3660,1300
200,7260,9214,5460,389
201,7260,9911,7200,235
202,7380,11667,6480,1349
203,7380,10192,7380,372
204,7440,9720,7080,1400
205,7500,11839,6000,543
206,7500,10063,6000,311
207,7620,10969,7500,453
