new_index,s_time,e_time,delta_time,old_index
0,17400,19314,0,347
1,18000,20595,0,383
2,18000,21411,0,41
3,18000,20358,0,39
4,18000,24217,0,184
5,18000,21613,0,123
6,18000,21775,0,171
7,18000,20970,0,343
8,18000,22008,0,83
9,18000,21354,0,452
10,18060,21273,0,263
11,18060,22824,0,301
12,18060,25924,0,169
13,18060,21168,0,303
14,18600,21570,600,343
15,18780,21993,720,263
16,18840,21948,780,303
17,18840,22453,840,123
18,18960,21555,960,383
19,19020,22795,1020,171
20,19080,22491,1080,41
21,19140,22110,1140,343
22,19200,23964,1140,301
23,19200,22183,0,27
24,19200,23208,1200,83
25,19200,22520,0,151
26,19200,22925,0,175
27,19200,27877,0,506
28,19200,21278,0,467
29,19200,21825,0,304
30,19200,22784,0,143
31,19200,24413,0,325
32,19260,22650,0,163
33,19320,23826,0,313
34,19500,24227,0,324
35,19560,22914,1560,452
36,19560,22773,1500,263
37,19740,23353,1740,123
38,19740,22710,1740,343
39,19800,23507,0,46
40,19800,24413,0,110
41,19800,24121,0,78
42,19800,25087,0,29
43,19800,23017,0,26
44,19800,24586,0,220
45,19800,24334,0,109
46,19800,27339,0,505
47,19800,26870,0,20
48,19800,24669,0,2
49,19800,23777,0,332
50,19800,22470,0,530
51,19800,23237,0,283
52,19800,25196,0,320
53,19800,23814,0,289
54,19800,22328,0,288
55,19800,28682,0,507
56,19800,24082,0,157
57,19800,23469,0,316
58,19800,22764,0,210
59,19800,25359,0,484
60,19800,23298,0,273
61,19800,25123,0,322
62,19800,23024,0,217
63,19800,24336,0,231
64,19800,26113,0,438
65,19800,23763,0,84
66,19800,23048,0,218
67,19800,24303,0,373
68,19800,24662,0,32
69,19800,22956,0,119
70,19800,24631,0,36
71,19800,23187,0,250
72,19800,23373,0,260
73,19800,22856,0,126
74,19800,23956,0,259
75,19800,22604,0,251
76,19800,26194,0,13
77,19860,24726,0,3
78,19860,23431,0,48
79,19860,23251,0,450
80,19860,24896,0,62
81,19860,23600,0,370
82,19860,22968,1800,303
83,19920,22653,0,125
84,19920,22515,1920,383
85,19920,22545,720,304
86,19920,26137,1920,184
87,19980,23755,1980,171
88,19980,25003,0,63
89,20040,23765,840,175
90,20040,23624,840,143
91,20100,24437,0,104
92,20100,25313,900,325
93,20160,23571,2160,41
94,20160,24926,0,75
95,20280,23493,2220,263
96,20340,25067,840,324
97,20340,22935,2340,383
98,20340,23730,1080,163
99,20340,23323,1140,27
100,20340,24348,2340,83
101,20400,22276,0,523
102,20400,24320,0,42
103,20400,23370,2400,343
104,20400,25110,0,33
105,20400,30987,0,508
106,20400,24363,600,84
107,20400,24137,0,4
108,20400,23306,0,154
109,20400,25378,0,14
110,20400,24173,0,60
111,20400,24191,0,190
112,20400,23622,0,146
113,20400,24248,0,76
114,20400,24137,0,187
115,20400,23720,1200,151
116,20400,23617,0,408
117,20400,24411,0,15
118,20400,23153,0,318
119,20400,25502,0,357
120,20400,24190,0,124
121,20400,24229,0,43
122,20400,22711,0,296
123,20400,24426,0,314
124,20400,23199,0,142
125,20400,24216,0,47
126,20400,25337,0,448
127,20400,23542,0,69
128,20400,22499,0,276
129,20400,23989,0,61
130,20460,23978,0,182
131,20460,24268,0,77
132,20460,23789,0,145
133,20460,25765,0,356
134,20460,24854,0,447
135,20460,25651,0,387
136,20460,25224,2400,301
137,20460,25086,0,53
138,20520,22970,0,243
139,20520,28384,2460,169
140,20580,27650,780,20
141,20580,21826,0,24
142,20580,23636,780,126
143,20640,29317,1440,506
144,20640,25502,840,32
145,20640,23373,720,125
146,20640,23444,840,251
147,20640,24027,840,250
148,20640,25676,780,62
149,20640,23265,1440,304
150,20640,24253,2640,123
151,20640,25253,840,110
152,20640,25853,1440,325
153,20700,25203,900,373
154,20700,24413,0,287
155,20700,26233,0,97
156,20700,23856,900,119
157,20700,24211,0,282
158,20700,26350,0,323
159,20700,24137,900,283
160,20700,23872,0,478
161,20700,24198,900,273
162,20700,24440,840,370
163,20700,27695,0,538
164,20700,24751,0,391
165,20700,25406,0,28
166,20700,26647,0,98
167,20700,23917,900,26
168,20700,25234,900,109
169,20760,23868,2700,303
170,20760,24333,960,260
171,20760,22948,0,115
172,20760,25129,0,392
173,20760,23288,960,288
174,20760,23291,0,156
175,20760,24151,900,450
176,20760,28071,0,489
177,20820,24545,1620,175
178,20820,24976,1020,259
179,20880,26439,1080,484
180,20880,23850,2880,343
181,20940,24730,540,124
182,20940,24294,2940,452
183,20940,26227,1140,29
184,21000,25625,0,494
185,21000,23038,0,266
186,21000,26203,0,389
187,21000,24707,0,189
188,21000,25118,0,85
189,21000,23070,0,535
190,21000,25282,1200,157
191,21000,24700,0,439
192,21000,23670,1200,530
193,21000,24761,0,188
194,21000,24669,1200,316
195,21000,23038,0,534
196,21000,24912,0,114
197,21000,29016,0,504
198,21000,25014,1200,289
199,21000,24905,0,515
200,21000,27591,0,208
201,21000,25890,0,390
202,21000,24761,0,5
203,21000,23353,0,384
204,21000,24977,1200,332
205,21000,24589,0,99
206,21000,24584,1800,143
207,21000,28873,0,170
