new_index,s_time,e_time,delta_time,old_index
0,20400,22794,0,80
1,20700,25206,0,111
2,21000,24159,0,130
3,21000,23996,0,2
4,21000,25247,0,110
5,21000,24470,0,96
6,21000,24001,0,136
7,21000,24617,0,69
8,21180,23872,0,126
9,21600,26741,0,20
10,21600,25173,0,135
11,21600,24690,0,156
12,21600,26774,0,100
13,21600,25838,0,66
14,21600,26106,900,111
15,21600,25114,0,25
16,21600,24552,0,159
17,21600,27967,0,105
18,21600,25171,0,63
19,21600,25322,0,82
20,21600,27042,0,173
21,21600,26959,0,21
22,21600,24794,0,62
23,21600,24523,0,160
24,21600,25487,0,114
25,21600,25108,0,91
26,21600,25502,0,93
27,21600,24646,0,155
28,21600,24899,0,92
29,21600,23664,0,149
30,21600,25339,0,148
31,21600,25596,0,115
32,21600,25031,0,87
33,21600,25303,0,58
34,21600,25715,0,158
35,21600,23802,0,86
36,21600,26305,0,27
37,21600,24965,0,68
38,21600,25543,0,172
39,21600,23969,0,85
40,21600,26683,0,143
41,21600,25538,0,171
42,21600,26418,0,8
43,21600,24948,0,16
44,21600,25655,0,9
45,21600,24850,0,127
46,21600,26998,0,174
47,21600,25314,0,151
48,21600,24549,0,17
49,21600,26999,0,142
50,21600,24824,0,139
51,21600,26983,0,38
52,21600,25576,0,49
53,21600,24126,0,138
54,21600,25026,0,128
55,21600,25227,0,48
56,21600,25411,0,44
57,21600,25174,0,55
58,21600,26435,0,24
59,21600,27561,0,132
60,21600,25666,0,59
61,21600,25080,0,34
62,21600,26757,0,30
63,21600,25109,0,52
64,21600,26110,0,83
65,21600,25349,0,147
66,21600,24902,0,3
67,21600,25292,0,150
68,21600,24983,0,19
69,21600,24519,0,176
70,21600,26226,0,168
71,21600,26532,0,89
72,21600,24701,0,97
73,21600,25816,0,5
74,21600,25530,0,12
75,21600,24376,0,141
76,21600,25870,0,90
77,21600,25628,0,4
78,21600,24333,0,175
79,21600,25728,0,166
80,21600,27561,0,131
81,21600,27273,0,103
82,21600,24206,0,123
83,21600,24681,0,71
84,21600,25037,0,70
85,21600,25355,0,81
86,21600,26022,0,162
87,21600,26057,0,113
88,21600,25149,0,14
89,21600,27241,0,39
90,21600,25916,0,161
91,21660,25532,0,45
92,21660,25212,0,157
93,21660,24508,0,98
94,21660,25756,0,84
95,21660,23988,0,145
96,21660,27534,0,104
97,21660,25147,0,53
98,21660,25059,0,47
99,21660,26907,0,31
100,21660,25771,0,77
101,21720,25313,0,46
102,21720,25425,0,13
103,21720,25734,0,74
104,21720,25253,0,95
105,21720,24774,0,54
106,21720,24929,0,179
107,21720,25053,0,88
108,21720,25867,0,75
109,21720,26000,0,170
110,21720,25519,0,140
111,21720,26248,0,26
112,21720,24232,0,129
113,21780,25912,0,67
114,21840,26330,0,76
115,21840,26054,0,101
116,21900,26147,900,110
117,21900,25199,0,94
118,22080,24678,0,23
119,22080,25560,480,34
120,22080,25654,480,55
121,22080,26350,480,90
122,22140,24607,0,125
123,22200,27132,600,89
124,22200,27765,0,106
125,22200,26586,0,169
126,22200,26424,0,165
127,22200,27136,0,99
128,22260,27417,660,30
129,22260,25982,660,82
130,22260,25036,660,141
131,22260,26965,660,27
132,22260,26015,660,81
133,22320,26119,600,140
134,22320,26941,0,112
135,22320,26848,600,26
136,22320,25685,720,68
137,22320,25514,720,62
138,22440,26950,840,83
139,22440,26011,840,63
140,22440,25992,780,157
141,22440,26897,840,113
142,22440,26416,840,49
143,22440,24952,720,129
144,22500,26216,0,146
145,22500,27747,840,31
146,22500,27006,1800,111
147,22500,26738,900,66
148,22500,27046,0,167
149,22500,25590,900,156
150,22500,26615,900,158
151,22560,26364,0,35
152,22560,26177,1560,69
153,22560,26187,960,48
154,22560,26574,840,74
155,22560,25252,1380,126
156,22560,26265,840,13
157,22560,26692,780,67
158,22620,27241,300,112
159,22620,26492,960,45
160,22680,26776,1020,84
161,22680,25734,960,54
162,22680,27498,1080,8
163,22680,26028,1080,16
164,22680,26950,1080,90
165,22680,26676,1080,115
166,22680,26150,1680,96
167,22740,27672,1140,89
168,22740,26313,1140,135
169,22740,26987,1740,110
170,22740,24804,1140,149
171,22740,26551,1140,44
172,22800,25801,1800,136
173,22800,25366,0,163
174,22800,26602,0,41
175,22800,26333,1080,95
176,22800,26492,1200,150
177,22800,26514,1200,151
178,22800,26536,0,108
179,22800,26149,0,107
180,22800,26555,1200,81
181,22800,25803,0,51
182,22860,26291,1260,87
183,22860,26915,1260,9
184,22860,25985,0,134
185,22920,28794,1260,104
186,22980,26174,1380,62
187,22980,27685,1380,27
188,22980,28137,1380,30
189,22980,27296,1380,161
190,23040,26611,1440,63
191,23040,25816,1440,141
192,23040,26970,1440,12
193,23040,26927,1440,114
194,23040,26762,1440,82
195,23040,26789,1440,147
196,23100,27590,1260,76
197,23100,27370,1500,90
198,23100,27211,1440,77
199,23100,27522,1500,162
200,23160,27617,1560,113
201,23160,27688,1440,26
202,23160,28559,1560,142
203,23160,26959,1440,140
204,23160,26669,1560,52
205,23160,28801,1560,39
206,23340,26781,0,42
207,23340,26441,1740,97
208,23340,28272,1740,89
209,23340,27056,840,146
210,23340,26336,2340,2
211,23400,26657,0,22
212,23400,27571,0,102
213,23400,27414,1680,74
214,23400,27614,1560,101
215,23400,27155,1800,81
216,23400,25794,3000,80
217,23400,26006,1800,123
218,23400,26339,0,10
219,23400,26799,1740,47
220,23400,25912,1680,129
221,23400,27638,1800,66
222,23400,26490,1800,156
223,23400,26734,0,28
224,23400,27376,1800,49
225,23400,27906,2700,111
226,23400,27515,1800,158
227,23460,27556,1800,84
228,23460,26619,2460,130
229,23460,27970,1860,83
230,23460,27332,1800,45
231,23460,28707,1800,31
232,23460,26793,1740,88
233,23460,27087,1860,48
234,23460,27592,1680,67
235,23520,29193,1920,103
236,23520,27225,1800,13
237,23580,27827,2580,110
238,23640,26765,780,134
239,23640,27173,1920,95
240,23640,26488,1980,98
241,23640,27362,2040,82
242,23640,27214,2040,55
243,23700,26894,2100,62
244,23700,28857,2100,30
245,23700,27970,2100,90
246,23760,26814,2040,54
247,23760,28381,1440,112
248,23760,27377,2760,69
249,23760,28465,2160,27
250,23820,27290,2820,96
251,23820,26287,1680,125
252,23820,27300,2220,34
253,23820,27185,2220,68
254,23820,27967,2100,75
255,23820,27391,2220,63
256,23820,26596,2220,141
257,23820,28277,2220,113
258,23880,26829,2280,17
259,23880,27691,2280,44
260,23880,28408,2160,26
261,23940,26142,2340,86
262,23940,29382,2340,173
263,23940,26309,2340,85
264,23940,27878,2340,171
265,23940,28758,2340,8
266,23940,28256,2340,161
267,23940,27288,2340,16
268,23940,27190,2340,127
269,23940,27995,2340,9
270,23940,27242,2340,3
271,23940,29338,2340,174
272,23940,28566,2340,168
273,23940,27366,2340,128
274,23940,26175,0,124
275,23940,28775,2340,24
276,23940,28156,2340,5
277,23940,29114,2340,100
278,23940,30307,2340,105
279,23940,29081,2340,20
280,23940,28068,2340,166
281,23940,29299,2340,21
282,23940,27021,2340,71
283,23940,27448,2340,91
284,23940,27968,2340,4
285,23940,27842,2340,93
286,23940,26004,2340,149
287,23940,29901,2340,132
288,23940,29901,2340,131
289,23940,27377,2340,70
290,23940,27239,2340,92
291,23940,27883,2340,172
292,23940,27489,2340,14
293,23940,26892,2340,159
294,23940,26859,2340,176
295,23940,26673,2340,175
296,23940,26863,2340,160
297,23940,27454,2340,25
298,23940,27695,2340,81
299,24000,27552,2340,157
300,24000,27692,2400,150
301,24000,27032,0,137
302,24000,28932,2400,89
303,24000,27799,2280,140
304,24000,27573,2400,135
305,24000,27714,2400,151
306,24060,27864,1500,35
307,24060,28340,2340,170
308,24060,26752,2880,126
309,24060,28466,0,7
310,24120,27551,2520,87
311,24120,28116,2520,115
312,24180,28450,2580,90
313,24180,27404,2580,139
314,24180,28686,3480,111
315,24180,28156,2580,49
316,24240,27956,1740,146
317,24240,27539,2340,94
318,24240,28478,2640,66
319,24240,27962,2640,82
320,24240,26766,2640,138
321,24240,28254,2520,74
322,24300,28547,3300,110
323,24300,28432,2520,67
324,24300,26812,2580,129
325,24300,28810,2700,83
326,24360,28109,2760,147
327,24360,27987,2760,48
328,24360,28456,2700,84
329,24360,29607,2700,31
330,24420,28175,2820,81
331,24420,29577,2820,30
332,24420,27994,2820,55
333,24420,29041,2100,112
334,24420,28877,2820,113
335,24420,27018,2340,23
336,24420,27614,2820,62
337,24540,28470,2940,12
338,24540,28764,2340,165
339,24540,28427,2940,114
340,24540,28926,2340,169
341,24540,28111,2940,63
342,24540,30105,2340,106
343,24540,29476,2340,99
344,24540,28279,2940,148
345,24600,26264,0,65
346,24600,30241,3000,39
347,24600,28087,2940,53
348,24600,27759,3600,130
349,24600,28070,3600,96
350,24600,29128,2880,26
351,24600,29999,3000,142
352,24600,29090,2760,76
353,24600,29109,0,6
354,24600,28133,2880,95
355,24600,28109,3000,52
356,24600,28399,2880,140
357,24600,26255,0,64
358,24660,29743,3060,143
359,24660,27661,3660,136
360,24660,28532,3000,45
361,24660,30043,3060,38
362,24660,29592,3060,89
363,24660,28771,3000,77
364,24720,28990,3120,90
365,24780,30654,3120,104
366,24780,27870,3180,156
367,24780,28895,3180,158
368,24840,29386,2340,167
369,24840,27446,3240,123
370,24900,28265,3300,68
371,24900,27676,3300,141
372,24900,28517,3900,69
373,24960,28014,3240,54
374,24960,29466,4260,111
375,25020,29167,3300,75
376,25020,28775,3420,81
377,25080,29327,4080,110
378,25080,28794,3480,151
379,25080,27144,3480,149
380,25080,28772,3480,150
381,25140,27706,2340,163
382,25140,28862,3540,82
383,25140,29761,2820,112
384,25140,29456,3540,161
385,25140,28942,2340,41
386,25140,28951,3540,44
387,25140,28143,2340,51
388,25200,27592,0,79
389,25200,28246,3600,155
390,25200,29635,3540,84
391,25200,29643,3360,101
392,25200,29266,3600,59
393,25200,29440,0,78
394,25200,29584,3600,66
395,25200,27998,0,117
396,25200,27639,0,154
397,25200,29103,3480,13
398,25200,27594,4800,80
399,25200,31229,0,133
400,25200,27937,0,116
401,25200,28903,3600,58
402,25200,27224,0,152
403,25200,30566,3600,30
404,25200,29504,3480,74
405,25200,29176,3600,49
406,25200,28757,3600,34
407,25200,30290,3600,8
408,25200,28910,3480,46
409,25200,29023,3600,148
410,25200,28534,1800,28
411,25200,28548,3600,16
412,25200,27193,0,153
413,25200,28821,0,15
414,25200,27602,0,122
415,25200,28773,3600,135
416,25200,27633,0,121
417,25200,27785,3480,129
418,25200,29059,2700,146
419,25200,28116,0,118
420,25200,29815,3600,9
421,25260,30628,3660,83
422,25260,29140,3540,140
423,25260,30338,3660,89
424,25260,28308,3600,98
425,25260,29272,2700,35
426,25260,28701,3660,62
427,25260,28923,3600,47
428,25260,29392,3540,88
429,25260,29965,3660,27
430,25260,29029,3660,48
431,25320,28445,2460,134
432,25320,27941,0,0
433,25320,29848,3600,26
434,25320,29669,1920,102
