new_index,s_time,e_time,delta_time,old_index
0,1800,4364,0,788
1,1800,4076,0,918
2,1800,6232,0,326
3,1800,5383,0,315
4,1800,5272,0,316
5,1860,4166,0,917
6,1920,4458,0,787
7,7140,10723,5340,315
8,7200,11509,0,327
9,7200,10672,5400,316
10,7200,9738,5280,787
11,7200,9764,5400,788
12,16980,22136,0,6
13,17100,23250,0,62
14,17400,23550,300,62
15,18000,22098,0,702
16,18000,22713,0,654
17,18000,21978,0,578
18,18000,24495,0,719
19,18000,24856,0,64
20,18000,23209,0,1158
21,18000,25229,0,720
22,18000,24740,0,63
23,18000,21391,0,914
24,18000,22172,0,466
25,18000,20276,0,915
26,18000,24827,0,696
27,18000,22776,0,998
28,18000,24317,0,1007
29,18000,22267,0,441
30,18000,22597,0,891
31,18000,22296,0,92
32,18000,23252,0,380
33,18000,23983,0,508
34,18000,24849,0,83
35,18000,22312,0,665
36,18000,23653,0,666
37,18000,23736,0,368
38,18000,20598,0,20
39,18000,22583,0,24
40,18060,21460,0,942
41,18060,23293,0,856
42,18060,22715,0,948
43,18060,20166,0,4
44,18060,25186,0,82
45,18060,23133,0,857
46,18060,24210,960,62
47,18060,22542,0,91
48,18060,21695,0,876
49,18060,22121,0,946
50,18060,22062,0,319
51,18060,25999,0,537
52,18120,21966,0,786
53,18120,23329,120,1158
54,18180,22770,0,630
55,18300,25040,300,63
56,18540,23696,1560,6
57,18600,24287,0,362
58,18600,23183,600,24
59,18600,23284,0,708
60,18600,21460,0,752
61,18600,23326,0,967
62,18720,22111,720,914
63,18720,24456,720,368
64,18840,24990,1740,62
65,18840,22842,780,319
66,18900,23615,0,760
67,18900,21176,900,915
68,18900,26129,900,720
69,18900,23252,0,516
70,18900,24262,0,526
71,18900,21342,0,741
72,18900,22371,0,981
73,18900,26026,840,82
74,18900,25019,0,177
75,18900,23347,0,747
76,18900,23237,0,975
77,18900,21288,0,766
78,18900,22838,0,272
79,18900,23338,0,510
80,18900,23310,0,591
81,18960,23500,0,271
82,18960,23546,0,761
83,18960,25455,960,719
84,18960,22358,0,718
85,18960,25787,960,696
86,19020,23610,840,630
87,19020,25760,1020,63
88,19080,23178,1080,702
89,19200,22763,0,894
90,19200,26250,0,325
91,19200,23992,0,941
92,19200,27139,1140,537
93,19200,23628,0,56
94,19200,22734,0,717
95,19200,22600,1140,942
96,19200,27969,0,536
97,19200,23278,0,881
98,19200,23215,0,606
99,19200,21438,0,731
100,19200,24187,0,729
101,19200,23682,1140,91
102,19200,22124,0,592
103,19200,23913,1200,654
104,19200,21989,0,902
105,19200,21585,0,1256
106,19200,22163,0,627
107,19200,21821,0,901
108,19200,21861,0,21
109,19200,23875,0,144
110,19200,23707,0,143
111,19200,23013,0,617
112,19200,21323,0,5
113,19200,21707,0,742
114,19200,21592,0,11
115,19200,23122,0,1130
116,19200,23046,1080,786
117,19200,23783,1200,24
118,19200,21666,0,147
119,19200,22395,0,1000
120,19200,24450,0,81
121,19260,22895,1200,876
122,19260,25243,1260,508
123,19260,21400,0,983
124,19260,23432,1260,466
125,19260,21690,0,10
126,19320,24476,2340,6
127,19320,23381,1260,946
128,19440,22831,1440,914
129,19440,25176,1440,368
130,19500,25817,1500,1007
131,19500,23767,1500,441
132,19500,24276,1500,998
133,19500,22489,0,756
134,19500,23796,1500,92
135,19500,23305,0,392
136,19500,23812,1500,665
137,19560,25213,1560,666
138,19560,24359,0,735
139,19560,24812,1560,380
140,19680,24277,1680,891
141,19680,25830,2580,62
142,19740,26480,1740,63
143,19740,26589,1740,83
144,19740,23742,1680,319
145,19740,24323,1740,24
146,19800,23723,0,875
147,19800,24653,0,314
148,19800,25715,0,61
149,19800,24965,0,882
150,19800,26926,1740,82
151,19800,22796,0,1266
152,19800,23555,0,1270
153,19800,25189,0,164
154,19800,22025,0,594
155,19800,24484,1200,708
156,19800,23117,0,245
157,19800,22109,0,601
158,19800,22731,0,196
159,19800,24883,0,178
160,19800,23988,0,336
161,19800,21592,0,1063
162,19800,22759,0,375
163,19800,23622,0,131
164,19800,21825,0,1053
165,19800,23373,0,408
166,19800,24490,0,765
167,19800,21406,0,643
168,19800,24486,0,908
169,19800,25009,1800,1158
