new_index,s_time,e_time,delta_time,old_index
0,19800,24935,0,66
1,20400,24128,0,10
2,20700,23943,0,56
3,20760,24093,0,28
4,20760,23656,0,108
5,20760,24398,0,73
6,20940,26075,1140,66
7,21060,24589,0,65
8,21600,24231,0,29
9,21600,25012,0,239
10,21600,26176,0,209
11,21600,24330,0,16
12,21600,25044,0,232
13,21600,28541,0,118
14,21600,25045,0,64
15,21600,26577,0,141
16,21600,25672,0,84
17,21600,26309,0,140
18,21600,25621,0,24
19,21600,25636,0,85
20,21600,26446,0,189
21,21600,27013,0,190
22,21600,25378,0,25
23,21600,27272,0,191
24,21600,25465,0,97
25,21600,27276,0,192
26,21600,25016,0,240
27,21600,25510,0,27
28,21600,26781,0,43
29,21600,26786,0,42
30,21660,26648,0,210
31,21780,28540,0,119
32,21900,25233,1140,28
33,22140,26176,540,85
34,22200,26108,0,188
35,22200,27769,0,164
36,22200,26773,0,215
37,22200,26335,0,117
38,22200,27707,0,165
39,22200,26376,0,237
40,22200,25732,0,114
41,22200,28651,0,156
42,22200,25516,0,238
43,22200,25735,0,116
44,22200,26108,0,188
45,22200,28753,0,157
46,22200,25401,0,205
47,22200,26276,0,196
48,22200,27272,0,197
49,22200,26289,0,195
50,22200,27278,0,198
51,22200,26272,600,84
52,22260,27446,660,42
53,22260,26082,0,206
54,22260,27395,2460,66
55,22260,25762,0,187
56,22260,26779,0,216
57,22320,27308,660,210
58,22320,26896,720,209
59,22320,25255,0,115
60,22440,25170,840,16
61,22440,28112,840,191
62,22500,26008,0,204
63,22500,27209,900,140
64,22500,25916,900,240
65,22500,26029,1440,65
66,22500,28176,900,192
67,22740,26605,1140,97
68,22740,26776,1140,85
69,22740,26812,1140,84
70,22800,28827,0,146
71,22800,26797,0,228
72,22800,28645,0,123
73,22800,28350,0,122
74,22800,26320,0,203
75,22800,28307,600,165
76,22800,28369,600,164
77,22800,27757,0,219
78,22800,27757,0,220
79,22800,27777,1200,141
80,22800,29741,1200,118
81,22800,26739,0,227
82,22800,26335,600,116
83,22800,24457,0,234
84,22800,26212,1200,239
85,22800,25431,1200,29
86,22800,26369,0,45
87,22800,26935,600,117
88,22800,24456,0,233
89,22800,26092,0,96
90,22860,25774,0,173
91,22860,26753,0,207
92,22860,26250,0,222
93,22920,27196,0,208
94,22920,26253,0,221
95,22980,27968,1320,210
96,22980,28166,1380,42
97,23040,26373,2280,28
98,23040,26768,2640,10
99,23040,26818,1440,25
100,23100,27956,0,93
101,23100,27121,1500,24
102,23100,27676,1500,209
103,23100,27619,840,216
104,23100,26545,1500,64
105,23220,27793,1020,215
106,23340,28475,3540,66
107,23340,27250,1740,27
108,23340,27412,1740,84
109,23340,27376,1740,85
110,23400,29072,1800,191
111,23400,25965,0,137
112,23400,28131,0,92
113,23400,27535,1200,117
114,23400,26524,0,185
115,23400,27999,0,177
116,23400,26369,0,8
117,23400,27813,0,6
118,23400,24953,0,235
119,23400,28109,1800,140
120,23400,26586,0,184
121,23400,27782,0,7
122,23400,28246,1800,189
123,23400,27424,0,72
124,23400,26587,0,110
125,23400,26775,0,172
126,23400,24947,0,33
127,23400,25629,0,113
128,23400,26953,0,130
129,23400,26967,0,48
130,23400,26677,0,98
131,23400,28206,0,171
132,23400,26888,0,169
133,23400,26910,0,49
134,23400,27262,0,170
135,23400,26935,1200,116
136,23400,26257,0,9
137,23400,26642,0,44
138,23400,27520,0,168
139,23400,25018,0,32
140,23400,27662,0,181
141,23400,25940,0,136
142,23400,27247,0,182
143,23400,26296,2640,108
144,23400,27170,0,135
145,23400,28581,1800,43
146,23400,27820,0,183
147,23400,27776,0,87
148,23400,27850,0,86
149,23400,27961,0,159
150,23400,27424,0,11
151,23400,26888,0,107
152,23400,27212,0,106
153,23400,25816,0,109
154,23400,26549,0,213
155,23400,27557,0,13
156,23400,27070,0,39
157,23400,27072,0,38
158,23400,26860,0,79
159,23400,26130,1800,16
160,23400,26902,1140,187
161,23400,27547,0,12
162,23400,28034,0,17
163,23400,27861,0,4
164,23400,27990,0,5
165,23400,26643,2700,56
166,23400,26408,0,50
167,23400,26682,0,54
168,23400,26220,0,2
169,23400,29076,1800,192
170,23400,27163,0,246
171,23400,26675,0,90
172,23400,26614,0,91
173,23400,28969,1200,164
174,23400,26668,0,134
175,23400,28334,0,161
176,23400,28275,0,160
177,23400,27662,0,126
178,23400,27451,0,127
