new_index,s_time,e_time,delta_time,old_index
0,1800,5063,0,190
1,1800,5163,0,188
2,18000,22683,0,86
3,18000,22636,0,85
4,18000,23866,0,84
5,18000,22690,0,87
6,18000,25650,0,350
7,18720,23403,720,86
8,18720,24586,720,84
9,18720,23410,720,87
10,18900,25573,0,352
11,19200,23130,0,10
12,19200,23254,0,50
13,19200,23810,0,204
14,19200,25030,0,342
15,19440,24130,1440,87
16,19440,24123,1440,86
17,19440,25306,1440,84
18,19800,23655,0,294
19,19800,22740,0,267
20,19800,23719,0,346
21,19800,26325,0,303
22,19800,24129,0,258
23,19800,23801,0,262
24,19800,22600,0,265
25,19800,27326,0,348
26,19800,21809,0,103
27,19800,27373,0,351
28,19800,24952,0,17
29,19800,25189,0,260
30,19980,27630,1980,350
31,20100,24790,2100,87
32,20100,24783,2100,86
33,20160,26026,2160,84
34,20340,25492,540,17
35,20400,26088,0,287
36,20400,23720,0,193
37,20400,26041,0,286
38,20400,23177,0,165
39,20400,24818,0,337
40,20400,24858,0,336
41,20400,27848,0,349
42,20400,23636,0,123
43,20400,24284,0,347
44,20400,24083,0,124
45,20400,23416,0,237
46,20400,26969,0,344
47,20400,23253,0,213
48,20400,24561,0,341
49,20400,24582,0,340
50,20700,26089,900,260
51,20700,24701,900,262
52,20700,28530,0,355
53,20760,24690,1560,10
54,20880,25563,2880,86
55,20880,25570,2880,87
56,20880,26746,2880,84
57,20940,26092,1140,17
58,21000,24737,0,295
59,21000,23605,0,264
60,21000,26911,0,207
61,21000,25518,0,328
62,21000,24194,0,272
63,21000,23996,0,318
64,21000,26830,1800,342
65,21000,23732,0,266
66,21000,27514,0,302
67,21000,25293,0,329
68,21000,24336,0,131
69,21000,25183,0,251
70,21000,24513,0,154
71,21000,25647,0,168
72,21000,25553,0,156
73,21000,23838,0,104
74,21060,23459,0,240
75,21120,25039,1320,346
76,21180,24416,780,123
77,21180,24863,780,124
78,21300,28873,1500,351
79,21300,24100,1500,265
80,21300,24316,900,237
81,21300,25507,0,99
82,21300,24240,1500,267
83,21300,25447,0,166
84,21300,25629,1500,258
85,21360,24680,960,193
86,21480,25151,0,184
87,21540,25470,2340,10
88,21600,24594,0,320
89,21600,24344,0,321
90,21600,24052,0,35
91,21600,24443,0,176
92,21600,25623,0,333
93,21600,24583,0,75
94,21600,26387,0,97
95,21600,24657,0,130
96,21600,25295,0,1
97,21600,25252,0,70
98,21600,25297,0,71
99,21600,25082,0,72
100,21600,25631,0,76
101,21600,25985,0,77
102,21600,25156,0,73
103,21600,25169,0,0
104,21600,26752,1800,17
105,21600,26457,0,158
106,21600,25836,0,69
107,21600,26187,0,68
108,21600,25105,0,61
109,21600,25745,0,67
110,21600,26483,0,66
111,21600,24862,0,60
112,21600,24220,0,179
113,21600,26621,0,96
114,21600,25695,0,181
115,21600,26076,0,62
116,21600,24792,0,312
117,21600,26053,0,102
118,21600,23827,0,34
119,21600,26837,0,149
120,21600,23640,0,372
121,21600,25609,0,259
122,21600,25947,0,114
123,21600,23609,1800,103
124,21600,26083,0,115
125,21600,25364,0,144
126,21600,26157,0,143
127,21600,26591,0,83
128,21600,27466,3600,84
129,21600,26290,3600,87
130,21600,26206,0,63
131,21600,26162,0,169
132,21600,25601,1800,262
133,21600,26261,0,157
134,21600,26989,1800,260
135,21600,27343,0,46
136,21600,27431,0,45
137,21600,25720,0,167
138,21600,25212,0,225
139,21600,26283,3600,86
140,21600,24585,0,313
141,21600,24943,0,241
142,21600,24797,0,242
143,21600,24369,0,3
144,21600,28373,0,288
145,21600,26947,0,296
146,21600,28125,1800,303
147,21600,28126,0,334
148,21600,28083,0,335
149,21600,26121,0,79
150,21600,24496,0,74
151,21600,24197,0,256
152,21600,24040,0,257
153,21600,25352,0,82
154,21600,25947,0,194
155,21600,25174,0,197
156,21600,26023,0,196
157,21600,25943,0,195
158,21600,24895,0,117
159,21600,25574,0,116
160,21600,23630,0,327
161,21600,24613,0,309
162,21600,26000,0,81
163,21600,26231,0,80
164,21600,26416,0,360
165,21660,25057,0,155
166,21720,25930,0,180
167,21720,24914,720,272
168,21720,24527,0,182
169,21720,26011,0,252
170,21840,24736,240,74
171,21840,26393,840,156
172,21840,26476,3840,85
173,21900,24505,900,264
174,21900,27729,0,290
175,21900,24883,300,75
176,21900,26295,0,25
177,21900,27794,0,291
178,21900,25669,0,26
179,21900,26418,900,328
180,21900,24632,900,266
181,21900,26193,900,329
182,21960,29610,3960,350
183,21960,24994,0,230
184,21960,25937,0,228
185,22020,26203,1020,251
186,22080,26112,0,129
187,22080,24847,0,236
188,22080,25763,1680,124
189,22080,25316,1680,123
190,22080,26602,0,128
191,22140,26024,1740,347
192,22140,25036,540,74
193,22200,25952,600,82
194,22200,25316,0,109
195,22200,25552,0,121
196,22200,25539,0,120
197,22200,26224,0,51
198,22200,26055,2400,294
199,22200,26600,600,81
200,22200,26176,0,88
201,22200,25713,1200,154
202,22200,26810,3000,204
203,22200,27665,0,30
204,22200,27954,0,29
205,22200,25209,0,93
206,22200,24556,0,187
207,22200,26474,0,22
208,22200,26423,0,89
209,22200,25875,0,28
210,22200,25612,0,27
211,22200,27191,600,83
212,22200,25183,600,75
213,22200,26879,0,21
214,22200,26831,600,80
215,22200,26295,600,181
216,22200,27352,2400,17
217,22200,25216,0,119
