new_index,s_time,e_time,delta_time,old_index
0,19200,24520,0,70
1,19800,21668,0,56
2,19800,23726,0,36
3,19800,21378,0,57
4,20400,25781,0,69
5,20460,24342,0,34
6,20700,22568,900,56
7,20700,22278,900,57
8,20820,26140,1620,70
9,21000,22868,1200,56
10,21000,22578,1200,57
11,21600,25224,0,68
12,21600,23468,1800,56
13,21600,23858,0,20
14,21600,25345,0,67
15,21600,23178,1800,57
16,21660,25586,1860,36
17,21900,23768,2100,56
18,21900,23478,2100,57
19,22020,27401,1620,69
20,22200,26082,1740,34
21,22440,27760,3240,70
22,22500,24368,2700,56
23,22500,24078,2700,57
24,22800,25058,1200,20
25,22800,24378,3000,57
26,22800,24668,3000,56
27,23220,26965,1620,67
28,23220,26844,1620,68
29,23400,29828,0,0
30,23400,25216,0,49
31,23400,29339,0,33
32,23400,25824,0,16
33,23400,26533,0,23
34,23400,25268,3600,56
35,23400,25435,0,58
36,23400,27690,0,17
37,23400,26815,0,2
38,23400,25043,0,43
39,23400,25462,0,35
40,23400,25938,0,15
41,23400,29466,0,3
42,23400,26767,0,39
43,23400,24978,3600,57
44,23400,26535,0,11
45,23460,27502,0,18
46,23460,26284,0,51
47,23460,25984,0,21
48,23460,27386,3660,36
49,23460,27192,0,48
50,23460,25579,0,9
51,23520,26279,0,7
52,23520,25694,0,42
53,23520,25512,0,13
54,23640,29021,3240,69
55,23640,26282,0,47
56,23700,25278,3900,57
57,23700,25568,3900,56
58,24060,29380,4860,70
59,24060,28256,0,46
60,24120,26378,2520,20
61,24180,28062,3720,34
62,24300,26407,0,50
63,24300,27264,0,24
64,24300,26168,4500,56
65,24300,26665,0,37
66,24300,25878,4500,57
67,24300,27433,900,23
68,24360,26898,960,15
69,24480,27162,0,25
70,24540,26575,1140,58
71,24600,27534,0,31
72,24600,27585,0,22
73,24600,26468,4800,56
74,24600,26178,4800,57
75,24600,28247,0,32
76,24660,26838,0,38
77,24660,27271,0,14
78,24840,28464,3240,68
79,24840,28255,1440,2
80,24840,28585,3240,67
81,24900,29993,0,5
82,24900,27424,1440,21
83,25020,31448,1620,0
84,25020,27444,1620,16
85,25020,29310,1620,17
86,25020,27082,1620,35
87,25020,31086,1620,3
88,25080,28215,1680,11
89,25140,31079,1740,33
90,25200,26108,0,28
91,25200,27959,1680,7
92,25200,26601,0,71
93,25200,26590,0,72
94,25200,28333,1800,23
95,25200,27068,5400,56
96,25200,26106,0,29
97,25200,25983,0,27
98,25200,25901,0,26
99,25200,26020,0,60
100,25200,26299,0,30
101,25200,25804,0,63
102,25200,26778,5400,57
103,25200,26231,0,62
104,25200,27567,3600,20
105,25200,26076,0,55
106,25200,25800,0,64
107,25200,27877,0,41
108,25200,27814,0,40
109,25200,25916,0,59
110,25200,26226,0,61
111,25260,30801,4860,69
112,25260,27379,1800,9
113,25260,29221,1800,48
114,25260,29526,1200,46
115,25320,27913,1920,15
116,25380,28204,1920,51
117,25380,29466,5580,36
118,25440,27614,1920,42
119,25500,27368,5700,56
120,25500,27143,2100,43
121,25500,27078,5700,57
122,25560,30692,660,5
123,25680,31223,6480,70
124,25740,28564,2280,51
125,25740,27775,2340,58
126,25800,29029,1500,24
127,25800,28165,1500,37
128,25860,27967,1560,50
129,25860,28038,1200,38
130,25860,29838,5400,34
131,25920,32164,0,4
132,26100,28145,0,6
133,26100,27968,6300,56
134,26100,29034,1500,31
135,26100,29284,1500,22
136,26100,27678,6300,57
137,26100,28117,0,8
138,26160,28771,1500,14
139,26160,28753,2760,15
140,26220,29353,2820,23
141,26340,28707,4740,20
142,26340,30606,2280,46
143,26340,29987,1740,32
144,26400,28268,6600,56
145,26400,28392,2880,13
146,26400,28924,2940,21
147,26400,29014,1200,40
148,26400,29077,1200,41
149,26400,29623,0,10
150,26400,28380,3000,49
151,26400,30436,0,19
152,26400,27978,6600,57
153,26460,28634,2940,42
154,26460,29102,2820,47
155,26460,31592,1560,5
156,26460,30198,4860,68
157,26460,30343,4860,67
158,26460,29595,3060,11
159,26520,28163,3120,43
160,26520,28639,3060,9
161,26580,28572,0,12
162,26640,33326,3240,0
163,26640,30233,0,1
164,26640,30930,3240,17
165,26640,28702,3240,35
166,26640,29064,3240,16
167,26640,32945,3240,3
168,26640,29470,2160,25
169,26700,29459,3180,7
170,26700,28090,1500,72
171,26700,30661,3240,48
172,26700,29067,5100,20
173,26700,28101,1500,71
174,26760,32301,6360,69
175,27000,30133,3600,23
176,27000,29636,0,66
177,27000,29611,2340,14
178,27000,31086,7200,36
179,27000,29035,3600,58
180,27000,30229,2700,24
181,27000,28578,7200,57
182,27000,29870,0,65
183,27000,28868,7200,56
184,27060,31308,3600,18
185,27060,30475,3660,2
186,27060,30244,2460,22
187,27060,31326,3000,46
188,27120,33540,3720,33
189,27180,29545,2880,37
190,27180,31529,3780,39
191,27180,32723,7980,70
192,27180,29773,3780,15
193,27300,29168,7500,56
194,27300,28878,7500,57
195,27360,29377,1260,8
196,27360,29538,2700,38
197,27420,30835,4020,2
198,27420,29465,1320,6
199,27540,31576,1140,19
200,27600,30277,2400,41
201,27600,29967,6000,20
202,27600,30242,3960,47
203,27600,30124,4140,21
204,27600,30214,2400,40
205,27600,31561,4140,48
206,27660,30419,4140,7
207,27660,29767,3360,50
208,27660,30490,3180,25
209,27720,30943,1320,10
210,27840,29959,4380,9
211,27900,29768,8100,56
212,27900,32148,4440,18
213,27900,29880,4500,49
214,27900,29478,8100,57
215,27900,31084,3300,22
216,27900,31878,7440,34
217,27960,31189,3660,24
218,27960,30553,4560,15
219,27960,32226,3900,46
220,27960,31843,6360,67
221,27960,31095,4560,11
222,27960,31698,6360,68
223,27960,30571,3300,14
224,28020,31153,4620,23
225,28140,30175,4740,58
226,28140,31787,3540,32
227,28140,32430,4740,17
228,28140,33272,3240,5
229,28140,30564,4740,16
230,28140,30202,4740,35
231,28140,34826,4740,0
232,28140,34445,4740,3
233,28200,31793,1560,1
234,28200,31024,4740,51
235,28200,30565,3900,37
236,28200,29778,8400,57
237,28200,29601,3000,71
238,28200,30068,8400,56
239,28200,29590,3000,72
240,28200,32549,4800,39
241,28260,33801,7860,69
242,28320,29963,4920,43
243,28320,30494,4800,42
244,28380,34624,2460,4
245,28500,30517,2400,8
246,28500,31370,1500,65
247,28500,31136,1500,66
248,28620,31450,4140,25
249,28620,32035,5220,2
250,28620,30665,2520,6
251,28680,34223,9480,70
252,28740,31264,5280,21
253,28740,31924,4140,22
254,28800,30668,9000,56
255,28800,31477,3600,41
256,28800,30378,9000,57
257,28800,31414,3600,40
258,28800,35220,5400,33
259,28860,30979,5400,9
260,28860,31453,5460,15
261,28860,32821,5400,48
262,28920,32053,5520,23
263,28920,31531,4260,14
264,28980,31739,5460,7
265,29100,30968,9300,56
266,29100,32034,4500,31
267,29100,30678,9300,57
