new_index,s_time,e_time,delta_time,old_index
0,20700,22266,0,96
1,20940,24372,0,160
2,21000,25472,0,97
3,21000,24789,0,92
4,21060,23818,0,144
5,21420,24529,0,145
6,21480,24589,60,145
7,21540,24972,600,160
8,21600,25348,0,150
9,21600,24930,0,91
10,21600,24133,0,140
11,21600,24348,0,109
12,21600,25806,0,93
13,21600,23767,0,30
14,21600,25773,0,106
15,21600,24067,0,141
16,21600,24722,0,107
17,21600,24674,0,36
18,21600,25192,0,152
19,21600,25111,0,23
20,21660,24330,0,21
21,21660,24126,0,38
22,21780,24606,0,108
23,21840,26157,0,99
24,21840,25992,0,100
25,21840,24949,420,145
26,21900,26333,0,104
27,21900,27935,0,88
28,21900,24720,0,163
29,21960,24786,180,108
30,21960,24426,300,38
31,21960,26290,0,105
32,21960,27974,0,87
33,21960,26133,360,106
34,21960,25082,360,107
35,22020,24768,420,109
36,22020,24487,420,141
37,22080,25374,0,37
38,22080,29307,0,122
39,22140,25214,540,36
40,22140,25732,540,152
41,22140,25564,0,153
42,22200,25762,0,9
43,22200,24600,0,83
44,22200,28991,0,103
45,22200,25905,0,86
46,22200,23917,0,95
47,22200,26280,0,94
48,22200,26198,0,12
49,22200,25386,0,56
50,22200,25634,0,55
51,22200,25551,0,81
52,22200,24992,0,42
53,22200,26973,0,82
54,22200,25309,780,145
55,22200,25989,1200,92
56,22200,24733,600,140
57,22200,24773,0,84
58,22260,25018,1200,144
59,22260,25611,60,81
60,22320,26472,480,100
61,22380,25942,180,9
62,22440,30014,0,123
63,22440,26757,600,99
64,22440,26613,840,106
65,22440,25266,660,108
66,22440,25562,840,107
67,22440,25260,540,163
68,22500,27104,0,5
69,22500,25248,900,109
70,22500,24762,0,131
71,22500,25638,0,3
72,22500,25603,0,2
73,22500,23698,0,132
74,22500,25038,0,142
75,22500,26933,600,104
76,22500,25932,1560,160
77,22500,24576,0,143
78,22500,25661,0,48
79,22500,25574,900,36
80,22560,25854,480,37
81,22560,25026,900,38
82,22560,25861,0,46
83,22560,27536,0,4
84,22560,24852,0,47
85,22620,26212,1020,152
86,22620,28634,660,87
87,22620,25729,1200,145
88,22620,26024,0,8
89,22620,26488,0,13
90,22680,26678,480,12
91,22680,26112,1740,160
92,22740,29967,660,122
93,22740,27237,0,129
94,22740,26070,1140,91
95,22740,25757,0,34
96,22800,27006,1200,93
97,22800,24597,0,0
98,22800,25876,0,7
99,22800,25619,0,49
100,22800,27117,960,99
101,22800,27662,0,148
102,22800,25544,0,33
103,22800,27314,0,114
104,22800,26020,0,77
105,22800,25015,0,1
106,22800,27417,0,76
107,22800,24863,0,157
108,22800,24366,2100,96
109,22800,26224,660,153
110,22800,25874,0,79
111,22800,26952,960,100
112,22800,25985,0,80
113,22800,25121,0,156
114,22800,25496,0,26
115,22800,25756,0,6
116,22860,26097,0,35
117,22860,26422,660,9
118,22920,27093,1320,106
119,22920,25746,1140,108
120,22920,26042,1320,107
121,22980,26140,0,128
122,22980,25728,1380,109
123,22980,27753,780,82
124,22980,25380,780,83
125,22980,25800,1080,163
126,23040,26334,960,37
127,23040,25506,1380,38
128,23040,26201,540,48
129,23040,25860,1140,163
130,23040,26114,1440,36
131,23100,26209,1680,145
132,23100,25556,0,164
133,23100,26286,900,56
134,23100,26889,2100,92
135,23100,26222,1500,107
136,23100,26504,480,8
137,23100,24943,0,170
138,23100,25673,900,84
139,23100,26451,900,81
140,23100,25315,300,1
141,23160,27158,960,12
142,23160,25986,1380,108
143,23160,29195,1260,88
144,23160,26594,960,55
145,23220,25277,0,116
146,23220,25687,1620,141
147,23280,27432,1440,100
148,23280,26389,1860,145
149,23280,25077,480,0
150,23280,27597,1440,99
151,23280,27610,1320,105
152,23280,27148,660,13
153,23280,27028,1680,150
154,23340,27773,1440,104
155,23340,25873,1740,140
156,23340,26443,840,2
157,23340,27045,1140,86
158,23400,27417,0,57
159,23400,26522,1800,107
160,23400,26226,1620,108
161,23400,24731,0,113
162,23400,27480,1200,94
163,23400,27107,0,59
164,23400,26964,0,118
165,23400,27853,0,45
166,23400,27512,0,19
167,23400,24901,0,90
168,23400,26708,0,74
169,23400,26804,780,8
170,23400,26468,0,110
171,23400,25476,900,143
172,23400,25868,0,136
173,23400,26538,900,3
174,23400,26190,0,54
175,23400,25407,0,138
176,23400,25721,600,156
177,23400,28004,900,5
178,23400,25567,1800,30
179,23400,26992,1800,152
180,23400,26701,840,46
181,23400,25692,840,47
182,23400,28141,0,147
183,23400,26453,0,125
184,23400,24673,0,39
185,23460,26884,1320,153
186,23460,26130,1800,21
187,23460,26218,2400,144
188,23460,24658,960,132
189,23460,25863,0,16
190,23460,26825,0,73
191,23460,28436,900,4
192,23460,26944,0,85
193,23520,26312,1320,42
194,23580,27142,1380,9
195,23580,26237,0,162
196,23580,26802,0,102
197,23580,31154,1140,123
198,23580,27448,960,13
199,23640,27383,0,101
200,23640,27638,1440,12
201,23640,26106,1980,38
202,23640,26356,0,159
203,23640,26825,840,80
204,23640,26801,1140,48
205,23640,26714,2040,36
206,23700,26994,1620,37
207,23700,25497,900,0
208,23700,27030,2100,91
209,23700,27737,0,115
210,23700,26238,1200,142
211,23700,28473,1500,82
212,23700,27051,1500,81
213,23760,27912,1920,100
214,23760,26160,1560,83
215,23760,26869,2340,145
216,23760,26333,1560,84
217,23760,26586,1980,108
218,23760,25975,960,1
219,23760,26834,960,79
220,23880,26628,2280,109
221,23880,30671,1680,103
222,23880,28497,1080,76
223,23880,25943,1080,157
224,23880,28053,2280,106
225,23880,27100,1080,77
226,23880,28197,2040,99
227,23940,26527,0,53
228,23940,29954,1980,87
229,23940,27451,2340,23
230,23940,26760,2040,163
231,23940,28146,2340,93
232,23940,28270,1980,105
233,23940,26698,2880,144
234,23940,26759,1140,49
235,23940,27808,1320,13
236,24000,28497,1260,129
237,24000,27262,0,161
238,24000,27915,0,65
239,24000,28433,2100,104
240,24000,25793,0,72
241,24000,27885,0,68
242,24000,27109,2580,145
243,24060,27622,1860,9
244,24060,28058,1860,12
245,24060,27134,2460,36
246,24060,26352,1500,47
247,24060,26526,2400,38
248,24060,27464,1440,8
249,24120,27414,2040,37
250,24120,27544,1980,153
251,24120,26177,900,116
252,24120,27306,1920,56
253,24120,27554,1920,55
254,24120,27631,2520,23
255,24120,26653,2520,140
256,24120,27552,3180,160
257,24120,27137,1380,34
258,24180,26501,1380,156
259,24180,25977,1380,0
260,24240,28392,2400,100
261,24240,27548,840,74
262,24240,26131,0,117
263,24240,27687,0,22
264,24240,28557,2400,99
265,24300,27422,2700,107
266,24300,27892,2700,152
267,24300,26376,1800,143
268,24300,28904,1800,5
269,24300,27403,1800,2
270,24300,26756,1200,164
271,24300,29276,1740,4
272,24300,26017,2100,95
273,24300,27126,2520,108
274,24300,26957,720,162
275,24300,27438,1800,3
276,24300,28473,2700,106
277,24300,27461,1800,48
278,24360,27661,1800,46
279,24360,25248,0,18
280,24360,27118,3300,144
281,24360,26760,2160,83
282,24360,28813,960,45
283,24360,31587,2280,122
284,24360,27597,1500,35
285,24420,27682,420,161
286,24420,26635,1620,1
287,24420,27168,2820,109
288,24480,27589,3060,145
289,24480,27831,2280,81
290,24480,27018,1980,142
291,24540,25738,2040,132
292,24540,25712,0,133
293,24540,29313,2340,82
294,24540,28329,3540,92
295,24540,28620,2340,94
296,24540,28245,2340,86
297,24540,27113,2340,84
298,24540,27700,1560,128
299,24600,27894,2520,37
300,24600,27390,1200,54
301,24600,28084,1140,85
302,24600,28473,0,51
303,24600,27067,3000,141
304,24600,28275,0,151
305,24600,30614,2640,87
306,24600,27261,0,158
307,24600,28917,2760,99
308,24600,27930,3000,91
309,24660,28990,2700,105
310,24660,28367,1260,59
311,24660,27418,3600,144
312,24660,30695,2760,88
313,24660,28011,2460,81
314,24660,27193,3060,140
315,24720,28124,2100,8
316,24720,26517,1920,0
317,24720,28144,2580,153
318,24720,27546,2940,108
319,24720,28737,1320,57
320,24720,29153,2820,104
321,24720,27323,0,29
322,24720,27186,3060,38
323,24720,28312,3120,152
324,24720,28588,2100,13
325,24720,27794,3120,36
326,24780,28000,1980,77
327,24780,27528,3180,109
328,24780,28778,2580,12
329,24780,28342,2580,9
330,24780,27072,2220,47
331,24840,27962,3240,107
332,24840,27914,2040,79
333,24840,27307,3240,141
334,24840,28992,3000,100
335,24900,28061,2400,48
336,24900,29073,3300,106
337,24900,29517,2100,76
338,24900,27720,3000,163
339,24960,27547,1020,53
340,24960,28069,3540,145
341,24960,27281,2160,156
342,24960,27718,3900,144
343,25020,29172,3180,100
344,25020,29337,3180,99
345,25020,29793,2820,82
346,25020,28454,2820,55
347,25020,28371,2820,81
348,25080,27872,2880,42
349,25080,29684,2580,5
350,25080,29240,0,98
351,25080,27156,2580,143
352,25080,27547,3480,141
353,25080,28265,2280,80
354,25080,28266,2880,56
355,25080,28672,3480,152
356,25080,28097,2340,34
357,25080,26877,2280,0
358,25080,29821,1680,147
359,25080,27137,1860,116
360,25140,28434,3060,37
361,25140,29031,0,60
362,25140,28278,2640,3
363,25140,28441,2580,46
364,25140,28888,3540,150
365,25140,28505,1680,73
366,25140,27540,2940,83
367,25140,27203,2340,157
368,25140,29055,1140,65
369,25140,28943,0,58
370,25140,28243,2640,2
371,25140,28704,1740,118
372,25200,28920,0,124
373,25200,26237,0,15
374,25200,29406,3600,93
375,25200,29206,0,146
376,25200,27666,3540,38
377,25200,27207,1800,138
378,25200,29236,1200,68
379,25200,30287,2400,114
380,25200,28025,1800,136
381,25200,29183,0,52
382,25200,28490,1200,161
383,25200,27784,2700,131
384,25200,30028,2460,129
385,25200,27312,0,130
386,25200,27915,0,165
387,25200,26085,0,17
388,25200,33216,3120,122
389,25200,28650,2580,8
390,25200,28141,0,20
391,25200,26534,0,112
392,25200,28683,3600,36
393,25200,26096,0,14
394,25200,27773,3000,84
395,25200,28322,3600,107
396,25200,29584,3600,106
397,25260,29998,3360,104
398,25260,27053,1260,72
399,25260,28012,3600,21
400,25260,26863,4560,96
401,25260,27793,3660,140
402,25260,26458,2760,132
403,25260,28988,3060,9
404,25260,29258,3060,12
405,25260,27427,3660,30
406,25260,29981,1860,45
407,25260,28911,1860,74
408,25260,28440,0,32
409,25320,27535,2520,1
410,25320,28146,3540,108
411,25320,30404,2760,4
412,25320,28831,4380,160
413,25320,28078,4260,144
414,25320,29096,3180,153
