new_index,s_time,e_time,delta_time,old_index
0,21600,23040,0,39
1,21600,23101,0,40
2,23400,26395,0,163
3,23400,24740,0,92
4,23400,26264,0,37
5,23400,25432,0,182
6,23400,25061,0,165
7,23400,26187,0,160
8,23400,24709,0,91
9,23400,26103,0,5
10,23400,25283,0,177
11,23400,24950,0,186
12,23400,26374,0,162
13,23400,25360,0,176
14,23400,25963,0,38
15,23400,25115,0,178
16,23460,25779,0,6
17,23520,26190,0,4
18,23700,27470,0,56
19,23700,27398,0,85
20,23700,27368,0,86
21,23700,27556,0,55
22,23700,25564,0,16
23,23700,25524,0,17
24,23700,25858,0,168
25,23700,26618,0,161
26,23940,26727,540,160
27,24000,27454,0,14
28,24000,27073,0,103
29,24000,27847,0,102
30,24000,27414,0,15
31,24000,26335,0,62
32,24000,27255,0,104
33,24000,26024,0,31
34,24000,26493,0,23
35,24000,27659,0,100
36,24000,26493,0,22
37,24000,26268,0,136
38,24000,27700,0,121
39,24000,26210,0,29
40,24000,26022,0,137
41,24000,26818,0,49
42,24000,27419,0,122
43,24000,26619,0,50
44,24000,27873,0,44
45,24000,25988,0,13
46,24000,27899,0,43
47,24000,28295,0,129
48,24000,26088,0,28
49,24000,25837,0,111
50,24000,26204,0,133
51,24000,26365,0,89
52,24000,26974,600,162
53,24000,27097,0,126
54,24000,26115,0,90
55,24000,26120,0,59
56,24000,27449,0,8
57,24000,26197,0,187
58,24000,27349,0,9
59,24000,26332,0,35
60,24000,26232,0,36
61,24000,25538,0,164
62,24000,26388,0,117
63,24000,26365,0,118
64,24000,26564,0,69
65,24000,27025,0,12
66,24000,26828,0,65
67,24000,27053,0,3
68,24000,26995,600,163
69,24000,27018,0,2
70,24000,27038,0,0
71,24000,27006,0,180
72,24000,27127,0,1
73,24000,26997,0,181
74,24000,25936,0,179
75,24000,25905,0,99
76,24000,25564,0,146
77,24000,26172,0,169
78,24000,26032,0,149
79,24000,25586,0,150
80,24000,25542,0,151
81,24000,27186,0,26
82,24000,25750,0,32
83,24000,26981,0,167
84,24000,26065,0,60
85,24000,26738,0,166
86,24000,26091,0,46
87,24000,27489,0,19
88,24000,25548,0,138
89,24000,25951,0,124
90,24000,26124,0,45
91,24000,25832,0,123
92,24060,27210,0,27
93,24060,25756,0,172
94,24060,26502,0,173
95,24060,26432,0,70
96,24120,26938,0,66
97,24120,26289,0,132
98,24120,26456,0,61
99,24240,27158,540,161
100,24240,27334,0,125
101,24300,28156,600,55
102,24300,26621,0,84
103,24300,28801,0,131
104,24300,26905,0,145
105,24300,27164,900,37
106,24300,25048,0,112
107,24300,26863,900,38
108,24300,26639,0,83
109,24300,27321,0,58
110,24300,25114,0,30
111,24300,27322,0,128
112,24300,28829,0,48
113,24300,27754,0,57
114,24300,27620,0,141
115,24300,27041,0,142
116,24300,27968,600,86
117,24300,27457,0,127
118,24300,26516,0,10
119,24300,27129,0,73
120,24300,27998,600,85
121,24300,28430,0,130
122,24300,27009,0,74
123,24360,26294,0,183
124,24420,26785,420,89
125,24420,26535,420,90
126,24420,27187,0,144
127,24420,25860,2820,39
128,24420,25921,2820,40
129,24480,26317,480,111
130,24480,27267,1080,160
131,24480,26385,480,99
132,24540,28310,840,56
133,24600,25909,1200,91
134,24600,28473,600,44
135,24600,26868,600,136
136,24600,28499,600,43
137,24600,27855,600,104
138,24600,28054,600,14
139,24600,26622,600,137
140,24600,25940,1200,92
141,24600,26804,600,133
142,24600,27574,1200,162
143,24600,26098,0,81
144,24600,26823,0,11
145,24600,27595,1200,163
146,24600,26313,0,82
147,24600,26632,1200,182
148,24660,28074,660,15
149,24660,27733,660,103
150,24720,27039,1260,6
151,24720,27339,720,50
152,24720,27538,720,49
153,24780,27698,1080,161
154,24840,26955,840,90
155,24900,27897,900,181
156,24900,28598,1200,85
157,24900,28568,1200,86
158,24900,27058,1200,168
159,24900,27918,900,2
160,24900,27393,900,23
161,24960,26865,960,99
162,24960,26797,960,111
163,25020,27807,1620,160
164,25080,28133,1080,3
165,25140,28996,1440,55
166,25140,27461,840,84
167,25140,27479,840,83
168,25140,27076,1140,179
169,25140,28290,1080,27
170,25200,29691,900,130
171,25200,28636,1200,104
172,25200,27188,1200,13
173,25200,26748,1200,138
174,25200,27778,0,68
175,25200,28294,1800,163
176,25200,27693,1200,22
177,25200,28454,1200,12
178,25200,27222,1200,137
179,25200,28651,1200,15
180,25200,28382,1200,65
181,25200,27468,1200,136
182,25200,26904,0,148
183,25200,29970,1200,129
184,25200,29420,1200,102
185,25200,28259,1800,162
186,25200,27825,0,78
187,25200,28792,0,174
188,25200,29142,1200,14
189,25200,27829,0,77
190,25200,29393,1200,26
191,25200,28779,0,175
192,25200,26896,1140,172
193,25200,27073,0,108
194,25200,27766,1200,169
195,25260,27476,960,10
196,25260,27106,0,147
197,25260,27375,1260,90
198,25260,27194,900,183
199,25260,27112,1260,150
200,25260,27104,1860,178
201,25260,27622,1260,29
202,25260,27610,1260,28
203,25260,28384,1260,180
204,25260,27625,1260,89
205,25320,29509,1320,43
206,25320,28426,1620,161
207,25320,29090,1620,56
208,25320,28682,1320,1
209,25320,28565,1320,103
210,25320,28149,1020,73
211,25320,29317,1320,44
212,25320,28477,1020,127
213,25320,28342,1020,128
214,25320,28706,1320,126
215,25380,27285,1380,99
216,25380,27217,1380,111
217,25380,28050,1860,4
218,25440,29104,1440,122
219,25440,28688,1440,0
220,25440,29144,1440,121
221,25440,28722,1200,125
222,25500,29497,1800,86
223,25500,27532,2100,182
224,25500,30235,0,47
225,25500,30167,1200,48
226,25500,29291,1500,100
227,25560,28019,1440,132
228,25560,28672,2160,160
229,25560,29636,1860,85
230,25680,28045,1680,89
231,25680,29130,1680,2
232,25680,29813,1980,55
233,25680,27795,1680,90
234,25800,28859,2400,162
235,25800,28894,2400,163
236,25800,28135,1800,133
237,25800,28162,1800,29
238,25800,29249,1800,8
239,25800,28293,1800,23
240,25800,28597,1800,69
241,25800,29064,1800,181
242,25800,28509,1500,74
243,25800,27410,1800,151
244,25800,28150,1800,28
245,25800,30592,1500,131
246,25860,29181,1560,141
247,25860,29630,2160,56
248,25860,28966,2160,161
249,25860,29524,1860,122
250,25920,29092,1920,49
251,25920,27985,1920,60
252,25920,28040,1920,59
253,25920,28584,1860,70
254,25920,28603,1920,50
255,25920,29624,1920,121
256,25980,28507,1680,84
257,25980,28557,1980,117
258,25980,28979,0,106
259,25980,28599,1980,118
260,25980,28504,1680,83
261,26040,29288,2040,0
262,26040,29402,2040,1
263,26040,30037,2040,44
264,26040,27974,1680,183
265,26100,30591,1800,130
266,26100,29212,2700,160
267,26100,28666,2100,169
268,26100,28821,2400,168
269,26100,28465,2100,89
270,26100,30097,2400,86
271,26100,29551,2100,15
272,26100,29449,2100,9
273,26100,28215,2100,90
274,26100,28136,2100,179
275,26100,30042,2100,14
276,26160,29510,2160,3
277,26220,27897,2820,186
278,26220,28042,2820,165
279,26220,28125,2220,99
280,26220,28180,2820,176
281,26220,28057,2220,111
282,26220,28103,2820,177
283,26280,29126,1980,142
284,26280,28496,1980,10
285,26280,28503,1680,11
286,26280,29716,2280,104
287,26280,30405,1980,58
288,26340,30103,2040,57
289,26340,29497,2040,127
290,26340,29362,2040,128
291,26400,28735,2400,133
292,26400,29506,2700,161
293,26400,28000,3000,92
294,26400,29381,2400,167
295,26400,29524,2400,180
296,26400,29459,3000,162
297,26400,31170,2400,129
298,26400,29582,2400,65
299,26400,28893,2400,22
300,26400,28422,2400,137
301,26400,30149,0,18
302,26400,30613,2340,27
303,26400,29494,3000,163
304,26400,29264,3000,37
305,26400,30104,2400,121
306,26400,30620,2400,102
307,26400,30064,2400,122
308,26400,28668,2400,136
309,26400,28750,2400,28
310,26400,29654,2400,12
311,26400,29138,2400,166
312,26400,28968,3000,38
313,26400,28388,2400,13
314,26400,28096,2340,172
315,26400,27825,3000,91
316,26400,28087,2400,146
317,26400,28252,2400,150
318,26460,28822,2460,29
319,26460,28634,2460,149
320,26460,29658,2340,66
321,26520,29692,2520,49
322,26520,29765,2520,103
323,26520,29970,2520,2
324,26580,29263,2580,50
325,26640,29752,3240,160
326,26640,30773,2940,55
327,26640,30026,2640,126
328,26640,30002,2640,1
329,26700,28537,2700,111
330,26700,30697,3000,86
331,26700,29964,2700,181
332,26700,28605,2700,99
333,26700,28248,2700,138
334,26700,29193,2700,23
335,26700,30136,2700,104
336,26700,28732,3300,182
337,26760,30757,2760,44
338,26760,30949,2760,43
339,26760,28510,2760,32
340,26820,30567,2820,19
341,26820,29017,2820,187
342,26820,28538,2820,164
343,26820,29344,2520,83
344,26820,29347,2520,84
345,26880,29339,2760,132
346,26880,29110,2880,31
