new_index,s_time,e_time,delta_time,old_index
0,20400,26973,0,101
1,20400,27047,0,102
2,21600,28533,0,91
3,21600,25307,0,61
4,21600,26088,0,36
5,21600,28996,0,90
6,21600,25949,0,6
7,21600,25724,0,34
8,21600,28660,0,65
9,21660,27523,0,32
10,22200,29682,0,64
11,22500,26109,0,35
12,22800,28143,0,92
13,22800,27070,0,8
14,22800,27217,0,93
15,23400,32558,0,103
16,23400,26984,0,60
17,23400,28122,0,9
18,23400,30847,0,63
19,23400,26522,0,57
20,23400,32617,0,104
21,23400,28472,0,88
22,23400,27690,0,30
23,23400,29846,0,62
24,23700,27970,900,8
25,24000,31346,0,67
26,24000,27305,0,115
27,24000,26603,0,97
28,24000,27174,0,54
29,24000,28738,0,66
30,24000,26597,0,96
31,24300,27740,0,98
32,24600,27902,0,99
33,24600,29583,0,84
34,24600,28870,1800,8
35,24600,28422,0,100
36,24600,27082,0,106
37,24600,27486,0,7
38,25200,27803,1200,97
39,25200,27954,1200,96
40,25200,26990,0,119
41,25200,28588,0,5
42,25500,26147,0,116
43,25500,29770,2700,8
44,25500,26327,0,117
45,25500,30845,0,33
46,25800,29240,1500,98
47,25920,30903,1320,84
48,26100,29409,0,56
49,26160,32807,5760,102
50,26160,32733,5760,101
51,26400,30670,3600,8
52,26700,29303,2700,97
53,26700,29454,2700,96
54,27000,34346,3000,67
55,27000,31045,0,31
56,27240,32223,2640,84
57,27300,30176,0,105
58,27300,31570,4500,8
59,27360,34293,5760,91
60,27360,31067,5760,61
61,27360,34420,5760,65
62,27360,34756,5760,90
63,27360,31848,5760,36
64,27360,31484,5760,34
65,27420,33283,5760,32
66,27600,32583,3600,66
67,27600,31040,3300,98
68,27900,30503,3900,97
69,27900,30654,3900,96
70,27960,35442,5760,64
71,28200,32470,5400,8
72,28200,33302,6600,6
73,28260,31869,5760,35
74,28560,33903,5760,92
75,28560,33543,3960,84
76,28560,32977,5760,93
77,28800,29533,0,18
78,28800,30653,0,118
79,28800,29602,0,19
80,28800,29595,0,21
81,28800,33090,5400,30
82,28800,30005,0,15
83,28800,29596,0,20
84,29100,31854,5100,96
85,29100,33370,6300,8
86,29100,31703,5100,97
87,29160,32282,5760,57
88,29160,33882,5760,9
89,29160,34232,5760,88
90,29160,38377,5760,104
91,29160,35606,5760,62
92,29160,32744,5760,60
93,29160,36607,5760,63
94,29160,38318,5760,103
95,29400,31882,4800,106
96,29400,32840,5100,98
97,29400,31073,0,47
98,29400,31520,0,86
99,29520,34865,4020,33
100,29520,30167,4020,116
101,29520,30347,4020,117
102,29760,33065,5760,115
103,29760,32934,5760,54
104,29880,34863,5280,84
105,30000,32603,6000,97
106,30000,32754,6000,96
107,30000,34270,7200,8
108,30000,33321,0,4
109,30120,33429,4020,56
110,30180,36827,9780,102
111,30180,36753,9780,101
112,30600,35583,6600,66
113,30600,31800,0,14
114,30600,35702,9000,6
115,30600,37946,6600,67
116,30900,35170,8100,8
117,31200,33803,7200,97
118,31200,33954,7200,96
119,31200,36183,6600,84
120,31380,38776,9780,90
121,31380,35087,9780,61
122,31380,35868,9780,36
123,31380,35504,9780,34
124,31380,38313,9780,91
125,31380,38440,9780,65
126,31440,37303,9780,32
127,31500,34940,7200,98
128,31800,34686,7200,7
129,31800,36070,9000,8
130,31980,39462,9780,64
131,32100,34854,8100,96
132,32100,34703,8100,97
133,32280,35889,9780,35
134,32400,35276,5100,105
135,32400,35107,0,13
136,32400,34258,0,46
137,32400,36445,5400,31
138,32580,36997,9780,93
139,32580,37923,9780,92
140,32700,36970,9900,8
141,32700,37683,8100,84
142,32820,33553,4020,18
143,32820,33616,4020,20
144,32820,33622,4020,19
145,32820,33615,4020,21
