new_index,s_time,e_time,delta_time,old_index
0,17880,19240,0,40
1,18720,20080,840,40
2,19260,20526,0,39
3,20160,21426,900,39
4,21000,25586,0,18
5,21600,24311,0,16
6,21600,25656,0,90
7,21600,26071,0,22
8,21600,26895,0,13
9,21720,25842,0,59
10,21960,28123,0,105
11,22080,26551,480,22
12,22140,26726,1140,18
13,22140,26196,540,90
14,22200,27522,0,21
15,22200,24942,0,49
16,22200,27610,0,110
17,22260,25113,0,37
18,22260,27670,60,110
19,22260,25142,0,38
20,22440,25182,240,49
21,22440,24407,0,78
22,22500,28381,0,14
23,22500,26990,0,42
24,22500,25752,0,34
25,22620,25387,0,26
26,22620,23455,0,58
27,22620,28783,660,105
28,22740,27211,1140,22
29,22800,24642,0,100
30,22800,28697,0,162
31,22800,27891,0,161
32,22800,26965,0,108
33,22800,26922,1080,59
34,22800,26038,0,33
35,22800,24910,0,27
36,22800,27386,1800,18
37,22800,24092,0,102
38,22800,24430,0,87
39,22800,27290,300,42
40,22800,25252,0,61
41,22800,24659,0,88
42,22800,32383,0,133
43,22800,27792,0,41
44,22800,24307,0,101
45,22860,25336,0,50
46,22860,25475,0,12
47,22860,24796,0,85
48,22860,24853,0,28
49,22920,28215,1320,13
50,22920,26868,0,46
51,22920,26172,420,34
52,22980,25833,720,37
53,22980,25722,780,49
54,22980,25862,720,38
55,22980,28302,780,21
56,23040,25202,0,143
57,23100,27156,1500,90
58,23160,26398,360,33
59,23160,25654,0,25
60,23220,25808,0,62
61,23280,26047,660,26
62,23340,26592,840,34
63,23340,28332,540,41
64,23400,26345,0,187
65,23400,25466,0,96
66,23400,29563,1440,105
67,23400,24270,0,57
68,23400,25466,0,95
69,23400,25367,960,78
70,23400,26603,0,23
71,23400,23744,0,83
72,23400,26151,0,45
73,23400,23766,0,98
74,23400,27890,900,42
75,23400,26630,0,52
76,23400,29281,900,14
77,23400,26111,1800,16
78,23460,26075,600,12
79,23520,24812,720,102
80,23520,26758,720,33
81,23520,25027,720,101
82,23580,26960,0,66
83,23580,26832,1080,34
