new_index,s_time,e_time,delta_time,old_index
0,24000,26043,0,31
1,25800,27494,0,39
2,25800,27566,0,40
3,26400,27691,0,17
4,26400,27695,0,16
5,26400,27696,0,12
6,26400,27763,0,13
7,26400,26791,0,44
8,26700,27930,0,25
9,27600,27991,1200,44
10,27600,27941,0,43
11,27600,29136,0,33
12,27900,28820,0,1
13,28500,29799,0,24
14,28800,29191,2400,44
15,28800,30381,0,3
16,28800,30373,0,2
17,28800,29141,1200,43
18,30000,30341,2400,43
19,30000,30391,3600,44
20,31200,32174,0,0
21,31200,31541,3600,43
22,31200,31591,4800,44
23,31320,33086,5520,40
24,31320,33014,5520,39
25,31920,33283,5520,13
26,31920,33216,5520,12
27,31920,33211,5520,17
28,31920,33215,5520,16
29,32400,32741,4800,43
30,33000,33321,6600,44
31,33420,34340,5520,1
32,34800,35121,8400,44
33,34800,35141,7200,43
34,36600,36921,10200,44
35,36600,36941,9000,43
36,36720,37694,5520,0
37,36840,38606,11040,40
38,36840,38534,11040,39
39,37440,38735,11040,16
40,37440,38736,11040,12
41,37440,38731,11040,17
42,37440,38803,11040,13
43,38400,38721,12000,44
44,38400,38741,10800,43
45,40200,40521,13800,44
46,40200,40541,12600,43
47,40500,41730,13800,25
48,42000,42321,15600,44
49,42000,42341,14400,43
50,42300,43599,13800,24
51,42600,44643,0,32
52,42960,43880,15060,1
53,43200,43521,16800,44
54,44400,44741,16800,43
55,46260,47234,15060,0
56,46380,48146,20580,40
57,46380,48074,20580,39
58,46980,48276,20580,12
59,46980,48343,20580,13
60,46980,48271,20580,17
61,46980,48275,20580,16
62,48600,50643,24600,31
63,49200,49541,21600,43
64,49800,51030,23100,25
65,50400,50721,24000,44
66,51600,51921,25200,44
67,51600,52899,23100,24
68,51600,53136,24000,33
69,52200,52541,24600,43
70,52500,53420,24600,1
71,54000,55573,25200,2
72,54000,55581,25200,3
73,54000,54341,26400,43
74,55800,56774,24600,0
75,55800,56121,29400,44
76,55920,57686,30120,40
77,55920,57614,30120,39
78,56520,57815,30120,16
79,56520,57816,30120,12
80,56520,57883,30120,13
81,56520,57811,30120,17
82,58200,58521,31800,44
83,58200,58541,30600,43
84,58800,60030,32100,25
85,60600,60941,33000,43
86,60600,60921,34200,44
87,60600,61899,32100,24
88,61800,62191,35400,44
89,62040,62960,34140,1
90,62400,64007,0,34
91,62400,62741,34800,43
92,63600,63991,37200,44
93,63600,63941,36000,43
94,65340,66314,34140,0
95,78000,80043,35400,32
96,80100,82143,37500,32
