new_index,s_time,e_time,delta_time,old_index
0,14400,17722,0,103
1,14400,16081,0,257
2,14400,15973,0,258
3,15960,17533,1560,258
4,15960,17641,1560,257
5,16200,19100,0,412
6,16740,19640,540,412
7,16800,21763,0,56
8,16800,22323,0,4
9,16800,21159,0,72
10,17340,22863,540,4
11,17340,20240,1140,412
12,17400,24051,0,165
13,17400,20360,0,213
14,17400,20353,0,387
15,17400,20601,0,102
16,17520,19093,3120,258
17,17520,19201,3120,257
18,17940,20840,1740,412
19,17940,22299,1140,72
20,18000,21951,0,406
21,18000,22486,0,12
22,18000,22920,0,84
23,18000,21667,0,293
24,18000,22114,0,146
25,18000,20960,600,213
26,18000,22114,0,146
27,18000,21534,0,225
28,18000,23426,0,15
29,18000,20960,0,0
30,18000,24822,0,156
31,18000,22508,0,112
32,18000,21151,0,134
33,18000,23426,0,15
34,18000,23498,0,158
35,18000,24815,0,246
36,18000,21026,0,422
37,18000,21796,0,249
38,18000,23523,1200,4
39,18000,22435,0,160
40,18060,21035,0,408
41,18060,20418,0,307
42,18120,21073,720,387
43,18300,22414,300,146
44,18300,21451,300,134
45,18300,22747,0,40
46,18300,20836,0,402
47,18300,20750,0,211
48,18300,22929,0,68
49,18300,20658,240,307
50,18360,21320,960,213
51,18360,22311,360,406
52,18360,23323,1560,56
53,18420,21954,420,225
54,18420,23846,420,15
55,18420,21446,420,422
56,18420,21395,360,408
57,18420,23049,120,68
58,18480,23109,180,68
59,18540,20898,480,307
60,18540,21440,2340,412
61,18600,21685,0,137
62,18600,19931,0,357
63,18600,22904,0,201
64,18600,21560,600,0
65,18600,21988,0,501
66,18600,21585,0,155
67,18600,22781,0,118
68,18600,21606,0,413
69,18600,23108,600,112
70,18600,22394,0,120
71,18600,22396,600,249
72,18600,22291,0,439
73,18660,21811,660,134
74,18660,24183,1860,4
75,18660,22774,660,146
76,18720,21680,1320,213
77,18720,21805,120,137
78,18720,24146,720,15
79,18780,21755,720,408
80,18780,22731,780,406
81,18840,22162,4440,103
82,18840,23760,840,84
83,18840,21290,540,211
84,18840,23326,840,12
85,18840,21198,780,307
86,18840,21925,240,137
87,18900,19926,0,75
88,18900,22364,0,508
89,18900,22567,900,293
90,18900,22624,0,509
91,18900,23259,2100,72
92,18900,22694,0,27
93,18900,22861,0,335
94,18900,22434,900,225
95,18900,23231,0,428
96,18900,21853,1500,387
97,18960,21985,0,35
98,18960,21986,960,422
99,18960,22835,0,96
100,18960,21185,0,212
101,19020,23134,1020,146
102,19020,22171,1020,134
103,19020,23201,420,118
104,19020,21973,1620,387
105,19020,23528,1020,112
106,19020,23649,720,68
107,19080,22876,1080,249
108,19080,20761,4680,257
109,19080,22771,480,439
110,19080,20653,4680,258
111,19080,22040,1680,213
112,19080,23194,1080,146
113,19080,22033,1680,387
114,19140,22093,1740,387
115,19140,21498,1080,307
116,19140,22010,0,400
117,19140,22040,2940,412
118,19140,20471,540,357
119,19200,23338,0,132
120,19200,22994,600,120
121,19200,22319,0,140
122,19200,22597,0,22
123,19200,21928,0,394
124,19200,20705,0,203
125,19200,23886,0,139
126,19200,22413,0,3
127,19200,23486,0,435
128,19200,23205,0,215
129,19200,21607,0,209
130,19200,23151,1200,406
131,19200,23604,0,434
132,19200,22567,0,281
133,19200,23086,0,440
134,19200,22769,0,436
135,19200,25949,0,364
136,19200,22792,0,302
137,19200,21629,0,46
138,19200,22512,0,92
139,19200,23440,0,267
140,19200,22285,600,137
141,19200,22160,1200,0
142,19200,24463,0,416
143,19200,23440,0,267
144,19200,21883,0,304
145,19200,22574,0,329
146,19260,21551,0,523
147,19260,22779,0,418
148,19260,22235,1200,408
149,19260,22266,660,413
150,19260,22090,0,409
151,19260,21990,0,334
152,19320,22404,0,116
153,19320,22854,1320,225
154,19320,22280,1920,213
155,19320,22273,1920,387
156,19320,24746,1320,15
157,19320,22577,0,108
158,19320,24843,2520,4
159,19320,22346,1320,422
160,19320,23526,0,25
161,19380,22531,1380,134
162,19380,22333,1980,387
163,19380,23793,0,50
164,19380,23341,480,335
165,19440,23236,1440,249
166,19440,22525,840,137
167,19440,24069,0,70
168,19440,22524,120,116
169,19440,23131,840,439
170,19440,22400,2040,213
171,19440,22697,120,108
172,19500,23804,900,201
173,19500,23681,900,118
174,19500,22514,0,214
175,19500,22420,0,405
176,19500,23505,300,215
177,19500,22183,300,304
178,19500,21725,540,212
179,19500,21950,1200,211
180,19500,23444,0,426
181,19500,23872,0,384
182,19500,22258,0,386
183,19500,23774,0,37
184,19500,23947,1200,40
185,19500,21858,1440,307
186,19500,22585,900,137
187,19500,22485,900,155
188,19500,23673,0,328
189,19500,23831,600,428
190,19560,21851,300,523
191,19560,23435,600,96
192,19560,23846,360,435
193,19560,26375,1560,246
194,19620,22520,3420,412
195,19620,24128,1620,112
196,19620,21125,420,203
197,19620,23755,0,337
198,19620,22739,420,140
199,19620,22573,2220,387
200,19680,22408,480,394
201,19680,23272,480,302
202,19680,22937,360,108
203,19680,22655,1620,408
204,19680,23631,1680,406
205,19680,22216,1380,402
206,19740,23309,540,436
207,19740,24426,540,139
208,19740,22147,540,209
209,19740,23607,0,142
210,19740,21071,1140,357
211,19740,24381,0,54
212,19740,22891,1740,134
213,19740,23114,540,329
214,19740,22098,1680,307
215,19740,22997,420,108
216,19740,23407,1740,293
217,19740,23062,5340,103
218,19740,22766,1740,422
219,19800,21753,0,261
220,19800,21753,0,261
221,19800,23914,1800,146
222,19800,21359,0,233
223,19800,22516,0,81
224,19800,22182,0,259
225,19800,24335,0,99
226,19800,25343,0,66
227,19800,22581,0,150
228,19800,22387,0,514
229,19800,23112,600,92
230,19800,25063,600,416
231,19800,22091,540,523
232,19800,23938,600,132
233,19800,21534,0,248
234,19800,24172,300,384
235,19800,22431,0,442
236,19800,23744,300,426
237,19800,22156,0,229
238,19800,24593,0,73
239,19800,21655,0,145
240,19800,23686,600,440
241,19800,25879,0,432
242,19800,22760,1800,0
243,19800,23831,0,243
244,19800,22806,1200,413
245,19800,22755,0,272
246,19800,24720,1800,84
247,19800,22464,0,295
248,19800,22884,480,116
249,19800,25121,0,525
250,19800,23701,0,503
251,19800,23594,900,27
252,19800,23273,0,502
253,19800,24500,0,497
254,19800,25587,0,447
255,19800,25541,0,446
256,19800,21175,0,449
257,19800,22156,0,527
258,19800,24092,0,122
259,19800,23167,600,281
260,19800,25476,0,114
261,19800,22186,0,270
262,19800,24770,0,115
263,19800,23005,0,495
264,19800,24214,0,344
265,19800,21610,0,269
266,19800,22910,0,430
267,19800,25616,0,433
268,19800,24879,0,347
269,19800,24657,0,123
270,19800,23596,1800,249
271,19800,24204,600,434
272,19800,23693,0,39
273,19800,22394,0,403
274,19800,23592,0,283
275,19800,22918,0,206
276,19800,22918,0,206
277,19800,23594,1200,120
278,19800,24495,0,424
279,19800,21905,0,280
280,19800,22011,0,305
281,19800,23658,0,376
282,19800,24060,0,107
283,19800,21225,0,341
284,19800,25226,1800,15
285,19800,23335,0,301
286,19800,21346,0,339
287,19800,23850,0,175
288,19800,24589,0,138
289,19800,23197,600,22
290,19800,24286,1800,12
291,19800,22530,540,334
292,19800,22885,1200,137
293,19800,22342,0,298
294,19800,22988,0,445
295,19800,22263,0,251
296,19800,23263,0,38
297,19800,21434,0,343
298,19800,22868,0,126
299,19800,23318,0,284
300,19860,24033,360,328
301,19860,23394,1860,225
302,19860,24066,540,25
303,19860,24041,1260,118
304,19860,24168,0,44
305,19860,22059,0,522
306,19860,24219,3060,72
307,19860,22310,1560,211
308,19860,22543,660,304
309,19860,23962,0,124
310,19860,23821,960,335
311,19860,25390,0,362
312,19860,24576,0,10
313,19860,23262,0,208
314,19920,24883,3120,56
315,19920,22268,0,520
316,19920,24549,1620,68
317,19920,22891,0,218
318,19920,23925,720,215
319,19920,22873,2520,387
320,19980,22409,780,46
321,19980,23499,720,418
322,19980,23099,0,273
323,19980,22430,1680,211
324,19980,23498,180,284
325,19980,22443,180,251
326,19980,22900,480,405
327,19980,24266,780,435
328,19980,23099,780,140
329,19980,25503,3180,4
330,19980,22195,0,477
331,20040,24669,600,70
332,20040,22331,780,523
333,20040,24669,1740,68
334,20040,24332,240,122
335,20040,23065,1080,35
336,20040,22422,240,259
337,20040,24371,1140,428
338,20040,22081,0,78
339,20040,22910,900,400
340,20040,21586,240,339
341,20040,23991,2040,406
342,20040,23731,1440,439
343,20040,21850,240,269
344,20040,25570,180,362
345,20040,23125,1440,137
346,20040,24300,240,107
347,20040,22398,1980,307
348,20100,23040,0,42
349,20100,23040,0,42
350,20100,23251,2100,134
351,20100,22828,900,394
352,20100,23636,0,8
353,20100,23892,300,283
354,20100,23100,0,60
355,20100,23075,2040,408
356,20100,24235,480,337
357,20100,22299,240,522
358,20100,22881,300,150
359,20100,24044,600,426
360,20100,21605,900,203
361,20100,23060,2700,213
362,20100,23114,600,214
363,20160,24274,2160,146
364,20160,24876,300,10
365,20160,23060,3960,412
366,20160,22113,360,261
367,20160,23482,5760,103
368,20160,22385,1200,212
369,20160,22824,360,295
370,20160,24345,0,385
371,20160,25148,0,314
372,20160,23417,840,108
373,20160,22364,0,378
374,20160,24532,660,384
375,20220,23812,1020,302
376,20220,22424,60,378
377,20220,24071,0,354
378,20220,23246,2220,422
379,20220,24225,1020,215
380,20220,22683,420,251
381,20220,24915,420,424
382,20220,25646,2220,15
383,20220,22345,0,195
384,20220,22756,1920,402
385,20220,23564,0,369
386,20220,24270,420,175
387,20220,23161,0,18
388,20220,24728,2220,112
389,20220,22814,0,358
390,20220,24078,420,376
391,20280,23240,2280,0
392,20280,24155,1320,96
393,20280,24461,1680,118
394,20280,23235,480,272
395,20280,24554,780,37
396,20280,23251,360,218
397,20280,23038,780,386
398,20280,22963,1080,304
399,20280,24074,1680,120
400,20280,24136,0,65
401,20280,24311,480,243
402,20280,24566,1080,435
403,20280,22385,480,280
404,20280,23233,2880,387
405,20280,23364,960,116
406,20280,24584,1680,201
407,20280,23398,480,206
408,20280,23682,420,208
409,20280,23798,480,284
410,20340,22698,2280,307
411,20340,24301,1440,335
412,20340,23714,1140,329
413,20340,23121,540,150
414,20340,22790,2040,211
415,20340,24226,1140,440
416,20340,24621,0,375
417,20340,23874,2340,225
418,20340,24580,1140,267
419,20340,25419,540,347
420,20340,23170,1080,409
421,20340,23909,1140,436
422,20340,25901,0,363
423,20340,21671,1740,357
424,20340,25883,540,66
425,20340,23425,1740,137
426,20340,24207,600,142
427,20340,22726,540,270
428,20340,22150,540,269
429,20340,25197,540,123
430,20340,23056,540,81
431,20340,23639,0,177
432,20340,23325,1740,155
433,20340,22551,540,305
434,20340,22722,540,259
435,20340,25026,1140,139
436,20340,24632,540,122
437,20400,23657,1080,108
438,20400,23302,0,135
439,20400,22879,0,90
440,20400,22309,0,414
441,20400,25388,240,314
442,20400,24194,1500,27
443,20400,21997,0,326
444,20400,22901,0,392
445,20400,24886,2400,12
446,20400,24920,0,353
447,20400,25041,660,54
448,20400,26495,0,169
449,20400,24757,0,98
450,20400,22067,0,325
451,20400,21946,600,339
452,20400,23271,0,52
453,20400,23712,1200,92
454,20400,22704,0,308
455,20400,23992,0,182
456,20400,23074,0,420
457,20400,23073,0,297
458,20400,23314,0,423
459,20400,24378,0,277
460,20400,24242,0,186
461,20400,24451,0,181
462,20400,23360,3000,213
463,20400,24226,0,153
464,20400,23130,1140,334
465,20400,22756,600,229
466,20400,21427,0,481
467,20400,24939,0,133
468,20400,24777,0,200
469,20400,24804,1200,434
470,20400,23744,0,105
471,20400,24171,0,147
472,20400,24196,2400,249
473,20400,26346,0,67
474,20400,22599,540,522
475,20400,23376,0,1
476,20400,24847,2100,40
477,20400,24279,0,427
478,20400,21305,0,513
479,20400,22807,1200,209
480,20400,22214,0,94
481,20400,21933,0,356
482,20400,24192,600,283
483,20400,23243,0,264
484,20400,23586,0,411
485,20400,24344,900,426
486,20400,23320,0,263
487,20400,21444,0,74
488,20400,23797,1200,22
489,20400,24115,0,285
490,20400,24660,600,107
491,20400,23031,600,442
492,20400,25826,2400,15
493,20400,26508,0,14
494,20460,24353,660,39
495,20460,24595,840,337
496,20460,23582,0,254
497,20460,23978,660,284
498,20460,24411,2460,406
499,20460,24832,960,384
500,20460,22501,420,78
501,20460,24574,2460,146
