new_index,s_time,e_time,delta_time,old_index
0,17400,19822,0,29
1,17400,20306,0,22
2,17700,20152,0,2
3,17940,20362,540,29
4,18000,20249,0,114
5,18000,19455,0,46
6,18000,20617,0,125
7,18420,20842,1020,29
8,18600,20567,0,176
9,18600,21052,900,2
10,18840,21089,840,114
11,18960,20415,960,46
12,18960,21382,1560,29
13,19080,21532,1380,2
14,19140,21107,540,176
15,19140,22046,1740,22
16,19200,20847,0,180
17,19200,21443,0,167
18,19200,23646,0,143
19,19200,21864,0,83
20,19200,22914,0,78
21,19200,23142,0,144
22,19200,22041,0,155
23,19200,23749,0,142
24,19200,21534,0,161
25,19200,22029,0,63
26,19200,23111,0,145
27,19200,21630,0,166
28,19200,20396,0,191
29,19200,22096,0,154
30,19260,21732,0,28
31,19380,21866,0,3
32,19380,21802,1980,29
33,19440,21892,1740,2
34,19500,22164,300,83
35,19500,22222,0,24
36,19500,21557,0,113
37,19500,20914,0,47
38,19740,22357,1740,125
39,19740,22162,2340,29
40,19740,20936,540,191
41,19740,21989,1740,114
42,19800,22823,0,12
43,19800,23074,0,90
44,19800,21633,0,212
45,19800,22272,540,28
46,19800,25001,0,134
47,19800,21935,0,179
48,19800,21492,0,103
49,19800,22159,0,175
50,19800,21652,0,186
51,19800,21575,0,187
52,19800,21792,0,211
53,19800,23821,0,107
54,19800,23217,0,157
55,19800,23467,0,133
56,19800,22464,600,83
57,19800,22541,0,137
58,19800,21255,1800,46
59,19800,23231,0,82
60,19800,22212,0,32
61,19800,21832,0,185
62,19800,22613,0,152
63,19800,22484,0,93
64,19800,21653,0,21
65,19800,22446,0,136
66,19800,21150,0,71
67,19800,21817,0,184
68,19800,22268,0,91
69,19800,23769,0,106
70,19800,22212,0,19
71,19800,22738,0,153
72,19800,22008,0,30
73,19800,22375,0,174
74,19800,22706,2400,22
75,19800,21133,0,61
76,19800,23594,0,130
77,19800,22512,0,80
78,19860,22593,0,126
79,19860,22655,0,98
80,19860,22312,2160,2
81,19860,22940,0,23
82,19980,22809,780,63
83,20040,22704,840,83
84,20040,22462,2640,29
85,20100,23006,2700,22
86,20160,21574,660,47
87,20160,22882,660,24
88,20220,23934,1020,78
89,20280,22732,2580,2
90,20340,21795,2340,46
91,20340,23024,540,93
92,20340,22307,1740,176
93,20340,23246,2940,22
94,20340,23363,540,12
95,20340,23169,1140,63
96,20340,21536,1140,191
97,20340,21987,1140,180
98,20340,23004,1140,83
99,20340,22193,540,21
100,20400,22726,0,188
101,20400,22938,0,141
102,20400,22221,0,172
103,20400,22649,2400,114
104,20400,22822,3000,29
105,20400,24421,600,107
106,20400,22886,1020,3
107,20400,22457,900,113
108,20400,23831,600,82
109,20400,23063,0,140
110,20460,23172,660,80
111,20460,24429,660,106
112,20520,22992,1260,28
113,20580,23486,3180,22
114,20640,24307,840,133
115,20640,23304,1440,83
116,20640,23052,840,32
117,20640,23062,3240,29
118,20640,24434,840,130
119,20640,22848,840,30
120,20640,23362,1140,24
121,20700,23941,0,204
122,20700,23112,900,19
123,20700,23317,2700,125
124,20700,23168,900,91
125,20700,22050,900,71
126,20700,22392,900,103
127,20700,22698,0,177
128,20760,23212,3060,2
129,20820,22016,1620,191
130,20820,22673,1020,21
131,20820,23292,1560,28
132,20880,23366,1500,3
133,20880,23786,3480,22
134,20880,22335,2880,46
135,20940,23963,1140,12
136,20940,23769,1740,63
