new_index,s_time,e_time,delta_time,old_index
0,19800,22308,0,2
1,19800,23555,0,21
2,20100,23855,300,21
3,20160,22623,0,3
4,20400,22908,600,2
5,20940,23403,780,3
6,21000,23596,0,13
7,21000,23687,0,18
8,21000,22954,0,14
9,21000,23672,0,26
10,21000,23334,0,25
11,21060,26482,0,28
12,21060,24049,0,17
13,21060,24815,1260,21
14,21240,23332,0,15
15,21420,24409,360,17
16,21420,23928,1620,2
17,21480,24076,480,13
18,21540,26962,480,28
19,21540,24227,540,18
20,21600,23063,0,0
21,21600,23081,0,1
22,21600,24383,0,8
23,21600,23244,0,19
24,21600,26770,0,27
25,21600,23216,0,20
26,21600,23160,0,5
27,21600,24932,0,12
28,21600,23554,600,14
29,21600,24287,0,22
30,21600,23794,0,24
31,21600,23627,0,4
32,21600,27299,0,7
33,21600,23643,0,11
34,21660,22598,0,10
35,21660,23791,0,23
36,21720,24054,720,25
37,21720,25475,1920,21
38,21780,24452,780,26
39,21840,24527,840,18
40,21840,24436,840,13
41,21900,24889,840,17
42,21900,23992,660,15
43,21960,24468,2160,2
44,21960,25715,2160,21
45,22020,24707,420,22
46,22020,24483,1860,3
47,22140,27310,540,27
48,22200,24154,1200,14
49,22200,23138,540,10
50,22200,24663,2040,3
51,22200,27622,1140,28
52,22260,25249,1200,17
53,22260,24947,1260,18
54,22260,24856,1260,13
55,22320,24412,1080,15
56,22380,24714,1380,25
57,22380,28079,780,7
58,22440,24084,840,19
59,22440,23921,840,1
60,22440,24467,840,4
61,22440,24056,840,20
62,22440,23903,840,0
63,22440,25223,840,8
64,22440,24000,840,5
65,22500,28199,900,7
66,22500,24963,2340,3
67,22500,25008,2700,2
68,22560,26315,2760,21
69,22560,28259,960,7
70,22560,24652,1320,15
71,22680,24772,1440,15
72,22680,27850,1080,27
73,22740,25427,1140,22
74,22740,25427,1740,18
75,22740,25729,1680,17
76,22740,28162,1680,28
77,22800,24843,1200,11
78,22800,23738,1140,10
79,22800,24754,1800,14
80,22800,26132,1200,12
81,22860,25456,1860,13
82,22860,25368,3060,2
83,22860,23796,0,9
84,23040,25712,2040,26
85,23100,26089,2040,17
86,23100,26855,3300,21
87,23220,25312,1980,15
88,23220,25907,2220,18
89,23220,28390,1620,27
90,23220,26975,3420,21
91,23280,24896,1680,20
92,23280,24840,1680,5
93,23280,24761,1680,1
94,23280,24743,1680,0
95,23280,24924,1680,19
96,23280,25743,3120,3
97,23280,25307,1680,4
98,23280,25876,2280,13
99,23280,28702,2220,28
100,23280,26063,1680,8
101,23280,24216,420,9
102,23340,26027,1740,22
103,23340,25674,2340,25
104,23400,25354,2400,14
105,23460,25968,3660,2
106,23460,24398,1800,10
107,23460,29159,1860,7
108,23520,25651,1860,23
109,23520,26509,2460,17
110,23640,26236,2640,13
111,23640,26103,3480,3
112,23640,26327,2040,22
113,23700,26387,2700,18
114,23700,26372,2700,26
115,23700,27455,3900,21
116,23700,25894,2100,24
117,23820,28990,2220,27
118,23820,26809,2760,17
119,23880,29302,2820,28
120,23880,26343,3720,3
121,23940,26448,4140,2
122,24000,26043,2400,11
123,24000,25954,3000,14
124,24000,27332,2400,12
125,24060,24998,2400,10
126,24060,26656,3060,13
127,24120,25680,2520,5
128,24120,26212,2880,15
129,24120,25583,2520,0
130,24120,26147,2520,4
131,24120,25764,2520,19
132,24120,25736,2520,20
133,24120,26903,2520,8
134,24120,26807,3120,18
135,24120,25601,2520,1
136,24180,26867,2580,22
137,24180,26852,3180,26
138,24240,27995,4440,21
139,24240,29939,2640,7
140,24240,26434,2640,24
141,24240,27229,3180,17
142,24300,25236,1440,9
143,24300,26431,2640,23
144,24300,26763,4140,3
145,24360,26868,4560,2
146,24360,29782,3300,28
147,24360,26452,3120,15
148,24420,26883,4260,3
149,24420,29590,2820,27
150,24480,25416,1620,9
151,24540,28295,4740,21
