new_index,s_time,e_time,delta_time,old_index
0,18060,20607,0,15
1,18120,20643,0,16
2,18600,22252,0,53
3,19140,21663,1020,16
4,19200,21747,1140,15
5,19800,21845,0,19
6,19800,22691,0,17
7,19860,22910,0,18
8,19920,23572,1320,53
9,19980,22527,1920,15
10,20220,22743,2100,16
11,20220,24746,0,3
12,20340,22385,540,19
13,20400,24175,0,11
14,20400,23008,0,62
15,20400,22499,0,20
16,20400,23247,0,49
17,20400,22750,0,39
18,20400,22563,0,57
19,20400,23158,0,56
20,20400,23246,0,50
21,20460,23306,60,50
22,20520,23868,0,31
23,20520,23278,120,56
24,20520,23962,0,33
25,20700,24318,0,54
26,20700,22312,0,63
27,20700,23304,0,40
28,20880,23930,1020,18
29,20940,24592,2340,53
30,20940,23831,1140,17
31,20940,23463,2820,16
32,20940,23039,540,20
33,21000,23350,600,39
34,21000,23608,600,62
35,21000,23853,0,55
36,21000,24652,0,12
37,21000,24050,1140,18
38,21000,23232,0,37
39,21240,23998,840,56
40,21240,23339,840,20
41,21300,25075,900,11
42,21300,23345,1500,19
43,21300,24918,600,54
44,21360,24118,960,56
45,21420,24768,900,31
46,21420,24862,900,33
47,21480,24333,480,55
48,21480,23525,1680,19
49,21480,25132,480,12
50,21540,24386,1140,50
51,21540,24148,1140,62
52,21540,24087,3480,15
53,21540,26066,1320,3
54,21540,25315,1140,11
55,21540,25192,2940,53
56,21540,23890,1140,39
57,21600,25082,0,68
58,21600,25068,0,27
59,21600,24447,1200,49
60,21600,24123,3480,16
61,21600,23699,1200,20
62,21600,23941,0,47
63,21600,24982,0,67
64,21600,24705,0,70
65,21600,24457,0,9
66,21600,24446,1200,50
67,21660,23752,0,60
68,21660,24487,0,10
69,21720,24324,1020,40
70,21720,25874,0,36
71,21780,24186,0,1
72,21840,24352,0,0
73,21840,24552,0,2
74,21840,23885,2040,19
75,21900,26025,0,35
76,21960,25010,2100,18
77,21960,23846,0,22
78,21960,24851,2160,17
79,21960,24310,1560,39
80,22020,24624,1320,40
81,22020,24543,3900,16
82,22080,24933,1080,55
83,22080,25855,1680,11
84,22080,24627,4020,15
85,22080,24179,1680,20
86,22140,24898,1740,56
87,22200,25614,0,66
88,22200,25046,1800,50
89,22200,25852,1200,12
90,22200,24160,0,48
91,22200,25582,600,67
92,22200,24452,0,85
93,22200,25818,1500,54
94,22200,23871,0,45
95,22200,24461,0,84
96,22200,24245,2400,19
97,22260,25608,1740,31
98,22260,25113,1260,55
99,22260,24868,1860,62
100,22260,25820,0,28
101,22260,25702,1740,33
102,22320,25788,720,27
103,22320,25167,1920,49
104,22320,24670,1920,39
105,22440,25490,2580,18
106,22440,26000,180,28
107,22440,26092,1440,12
108,22500,24663,2100,57
109,22500,25047,4440,15
110,22500,26152,3900,53
111,22500,26275,2100,11
112,22500,25968,900,27
113,22500,25104,1800,40
114,22560,24605,2760,19
115,22560,26042,960,68
116,22560,24659,2160,20
117,22620,25404,0,58
118,22620,25143,4500,16
119,22680,25730,2820,18
120,22680,25533,1680,55
121,22740,24972,1740,37
122,22740,26865,840,35
123,22740,25090,2340,39
124,22740,26122,0,32
125,22740,26038,0,34
126,22740,25348,2340,62
127,22800,25627,1140,10
128,22800,24206,0,81
129,22800,26452,1800,12
130,22800,24120,0,42
131,22800,24324,0,64
132,22800,26575,2400,11
133,22800,26360,540,28
134,22800,25443,0,61
135,22860,24472,2160,63
136,22860,25464,2160,40
137,22860,25266,1080,1
138,22860,26242,1260,67
139,22920,25766,2520,50
140,22920,25270,2520,39
141,22920,24965,3120,19
142,22920,26480,660,28
143,22980,25837,1380,9
144,22980,26080,0,24
145,22980,25871,3180,17
146,22980,25527,4920,15
147,22980,25833,1980,55
148,22980,27134,1260,36
149,22980,25079,2580,20
150,23040,26658,2340,54
151,23040,26508,1440,27
152,23040,25552,1200,0
153,23040,25798,2640,56
154,23100,26752,2100,12
155,23100,26568,1500,27
156,23160,26508,2640,31
157,23160,26602,2640,33
158,23160,25205,3360,19
159,23220,26067,2820,49
160,23220,25824,2520,40
161,23280,26133,2280,55
162,23280,27055,2880,11
163,23280,26748,1680,27
164,23280,25621,1680,47
165,23340,27661,0,4
166,23340,25983,540,61
167,23340,25887,5280,15
168,23340,26900,1080,28
169,23340,25690,2940,39
170,23400,25302,0,76
