new_index,s_time,e_time,delta_time,old_index
0,17700,21104,0,40
1,17700,19876,0,107
2,17760,20609,0,108
3,18000,18664,0,208
4,18000,20049,0,64
5,18000,21463,0,122
6,18000,21868,0,55
7,18000,20826,0,41
8,18120,20235,0,65
9,18300,20476,0,115
10,18300,20277,0,140
11,18480,21943,480,122
12,18600,22123,0,109
13,18600,21621,0,149
14,18600,22570,0,137
15,18600,20835,0,145
16,18600,21370,0,27
17,18600,22032,0,112
18,18600,21014,0,181
19,18780,21606,780,41
20,18840,22244,1140,40
21,18840,21689,1080,108
22,18960,22423,960,122
23,19020,22888,1020,55
24,19200,19694,0,209
25,19200,22647,0,123
26,19200,21249,1200,64
27,19200,21492,0,196
28,19200,22667,0,133
29,19260,21237,960,140
30,19380,22206,1380,41
31,19380,22843,1380,122
32,19500,23267,0,54
33,19500,20686,0,93
34,19500,21227,0,91
35,19500,22555,0,136
36,19620,22177,0,169
37,19620,22390,1020,27
38,19680,21972,480,196
39,19800,21892,0,26
40,19800,24533,0,129
41,19800,22214,0,116
42,19800,23053,0,119
43,19800,22313,0,57
44,19800,21614,0,84
45,19800,21453,0,160
46,19800,24350,0,128
47,19800,21915,1680,65
48,19800,23323,1200,109
49,19800,23232,1200,112
50,19800,23281,0,187
51,19800,22330,0,12
52,19800,23175,0,127
53,19800,23324,0,126
54,19800,21644,0,78
55,19800,21806,0,144
56,19800,23640,0,132
57,19800,22996,0,15
58,19800,21777,1500,140
59,19860,21837,1560,140
60,19920,23383,1920,122
61,19920,22395,0,148
62,20040,23908,2040,55
63,20040,22089,2040,64
64,20100,22926,2100,41
65,20100,23077,0,24
66,20100,22392,900,196
67,20220,22294,0,139
68,20220,24953,420,129
69,20220,23473,420,119
70,20280,24120,0,125
71,20340,23787,1140,123
72,20340,22246,0,77
73,20340,23536,540,15
74,20340,23803,2340,122
75,20340,22246,0,74
76,20400,23000,0,204
77,20400,24822,0,207
78,20400,22721,0,69
79,20400,22253,0,94
80,20400,23249,2640,108
81,20400,22742,0,79
82,20400,22439,0,50
83,20400,24950,600,128
