new_index,s_time,e_time,delta_time,old_index
0,22500,26332,0,14
1,22500,25980,0,15
2,22560,25242,0,41
3,22560,25928,0,24
4,22620,25709,0,42
5,22620,26610,0,33
6,22620,26528,0,32
7,22620,25769,0,4
8,22620,27065,0,28
9,22680,26495,0,26
10,22680,26359,0,31
11,22680,27272,0,29
12,22740,26120,0,30
13,22800,25439,0,22
14,22800,26121,0,38
15,22800,25507,0,13
16,22800,25508,0,12
17,22800,25399,0,21
18,22800,26711,0,6
19,22800,24818,0,8
20,22800,26141,0,37
21,22800,26790,0,5
22,22800,29481,0,16
23,22800,27379,0,0
24,22800,26744,0,9
25,22800,25910,0,44
26,22860,26416,0,39
27,22860,26872,0,43
28,22860,26241,0,40
29,22860,24868,0,7
30,22860,27852,0,1
31,22920,26297,0,3
32,22920,27003,0,10
33,23100,26372,0,2
34,23340,26708,780,24
35,23400,26549,780,4
36,23400,27390,780,33
37,23400,26780,660,30
38,23400,27436,0,23
39,23400,27308,780,32
40,23400,27412,540,43
41,23460,26837,540,3
42,23460,26570,660,44
43,23460,26732,360,2
44,23460,27139,780,31
45,23520,27000,1020,15
46,23580,27136,720,39
47,23580,27524,780,9
48,23580,26288,780,12
49,23580,27412,1080,14
50,23640,27021,780,40
51,23640,28232,960,29
52,23700,27783,780,10
53,23760,27671,960,6
54,23820,27614,0,27
55,23820,27810,1020,5
56,23880,28872,1020,1
57,23880,28459,1080,0
58,23940,27755,1260,26
59,24000,28540,0,36
60,24000,28998,0,35
61,24060,27381,1260,38
62,24060,27401,1260,37
63,24120,27500,1380,30
64,24120,27497,1200,3
65,24120,27392,1020,2
66,24180,28088,1560,32
67,24180,26819,1380,22
68,24180,27859,1500,31
69,24240,26839,1440,21
70,24240,26258,1440,8
71,24300,27856,1440,39
72,24300,27449,1680,4
73,24300,27410,1500,44
74,24360,27741,1500,40
75,24360,28350,1740,33
76,24420,27102,1860,41
77,24420,28456,1020,23
78,24420,26428,1560,7
79,24420,27788,1860,24
80,24480,27188,1680,12
81,24480,28563,1560,10
82,24480,28424,1680,9
83,24480,27187,1680,13
84,24540,28020,2040,15
85,24540,28372,2040,14
86,24600,28590,1800,5
87,24600,28511,1800,6
88,24660,29252,1980,29
89,24720,29165,2100,28
90,24780,28052,1680,2
91,24780,28157,1860,3
92,24840,29419,2040,0
93,24900,28808,2280,32
94,24900,28280,2160,30
95,24960,29952,2100,1
96,24960,28972,2100,43
97,24960,28070,2160,44
98,25020,28576,2160,39
99,25020,28699,2340,31
100,25020,29010,2400,33
101,25080,28461,2220,40
102,25140,28934,1320,27
103,25200,30695,1200,35
104,25200,32360,2400,16
105,25200,29740,1200,36
106,25320,29755,2400,10
107,25320,28641,2520,38
108,25320,28028,2520,12
109,25320,28661,2520,37
110,25380,28087,2580,13
111,25380,29624,2580,9
112,25440,29476,2040,23
113,25440,28817,2520,3
114,25440,28712,2340,2
115,25500,29728,2820,26
116,25500,29023,2940,24
117,25500,30141,0,11
118,25500,28605,2700,22
119,25560,29471,2760,6
120,25560,29392,3060,14
121,25560,28940,2820,30
122,25560,27578,2760,8
123,25560,29860,2880,31
124,25560,27568,2700,7
125,25620,28428,2820,21
126,25620,29579,2760,39
127,25680,28790,2880,44
128,25680,29160,3180,15
129,25680,29926,2820,43
130,25680,29243,2820,40
131,25740,30355,3060,29
132,25740,30076,3120,33
133,25740,29196,3120,4
134,25740,30101,3120,32
135,25740,30352,3120,28
136,25980,31628,3120,1
137,26040,30475,3120,10
138,26100,31071,3300,0
139,26100,28989,3540,41
140,26100,30344,3300,9
141,26100,29189,3480,42
142,26100,29372,3000,2
143,26160,28868,3360,12
144,26160,29537,3240,3
145,26160,28867,3360,13
146,26220,30485,2400,27
147,26220,30052,3720,14
148,26280,29736,3660,4
149,26340,30330,3540,5
150,26340,30640,3660,31
151,26340,29903,3480,40
152,26400,30311,3600,6
153,26400,29880,3900,15
154,26400,29510,3600,44
155,26400,30646,3540,43
156,26400,30736,3780,33
157,26460,29840,3720,30
158,26460,30419,3600,39
159,26460,30821,3840,32
160,26520,30556,3120,23
161,26580,29901,3780,38
162,26580,29921,3780,37
163,26640,30017,3720,3
164,26640,31255,3960,29
165,26640,31075,3720,10
166,26700,29972,3600,2
167,26700,30946,3840,43
168,26700,30944,3900,9
169,26760,29870,3960,44
170,26760,31372,4140,28
171,26880,30870,4080,5
172,26880,29985,4080,22
173,26940,32588,4080,1
174,26940,30851,4140,6
175,26940,31911,4140,0
176,26940,29748,4140,21
177,27000,27814,0,18
178,27000,30380,4260,30
179,27000,29008,4140,7
180,27000,29707,4200,13
181,27000,32495,3000,35
182,27000,31540,3000,36
183,27060,31360,4380,31
184,27060,31701,1560,11
185,27060,29078,4260,8
186,27120,30643,4560,24
187,27120,31079,4260,39
188,27120,30683,4260,40
189,27120,30392,4020,2
190,27180,30636,4560,4
191,27180,31541,4560,32
192,27240,31576,4620,33
193,27300,31336,3900,23
194,27420,31648,4740,26
195,27420,30797,4500,3
196,27420,31252,4920,14
197,27420,30900,4920,15
198,27480,30569,4860,42
199,27480,30590,4680,44
200,27480,31724,4680,9
201,27480,31726,4620,43
202,27540,31975,4620,10
203,27600,31865,3780,27
204,27600,34760,4800,16
205,27660,30549,5100,41
206,27660,30932,4560,2
207,27720,31100,4980,30
208,27720,31097,4800,3
209,27780,32392,5160,28
210,27780,32080,5100,31
211,27840,31161,5040,38
212,27840,31181,5040,37
213,27900,32261,5280,32
214,27900,31859,5040,39
215,27900,31811,5100,6
216,27900,31463,5040,40
217,27960,30668,5160,12
218,28020,31476,5400,4
219,28020,32010,5220,5
220,28020,32356,5400,33
