new_index,s_time,e_time,delta_time,old_index
0,18000,22862,0,61
1,18000,22695,0,62
2,18900,22950,0,43
3,18900,23203,0,42
4,18900,20075,0,149
5,19020,23715,1020,62
6,19020,23070,120,43
7,19020,23882,1020,61
8,19020,23323,120,42
9,19200,22602,0,100
10,19200,23239,0,41
11,19200,22505,0,101
12,19200,24026,0,44
13,19380,23683,480,42
14,19380,23430,480,43
15,19500,21768,0,60
16,19500,21359,0,73
17,19620,21211,0,103
18,19680,23983,780,42
19,19680,23730,780,43
20,19740,23779,540,41
21,19740,24566,540,44
22,19800,23042,0,83
23,19800,25363,0,0
24,19800,22979,0,48
25,19800,25765,0,11
26,19800,25528,0,37
27,19800,23099,0,47
28,19800,25303,0,18
29,19800,23248,0,147
30,19800,22202,0,110
31,20040,23345,840,101
32,20100,24403,1200,42
33,20100,24150,1200,43
34,20160,21401,0,148
35,20220,25046,1020,44
36,20220,24259,1020,41
37,20220,22079,720,73
38,20280,23682,1080,100
39,20340,23639,540,47
40,20400,22558,0,39
41,20400,22567,0,40
42,20400,24314,0,124
43,20400,24487,0,123
44,20400,22843,0,82
45,20400,26232,0,38
46,20460,25322,2460,61
47,20520,25215,2520,62
48,20520,24570,1620,43
49,20520,23630,0,114
50,20520,22588,0,99
51,20520,26485,720,11
52,20520,24823,1620,42
53,20580,22848,1080,60
54,20700,26495,0,19
55,20700,26645,0,1
56,20760,25063,1860,42
57,20760,24810,1860,43
58,20820,25316,0,94
59,20820,24062,1020,83
60,20880,23644,0,127
61,20940,23098,540,39
62,21000,22818,0,139
63,21000,22737,0,138
64,21000,24645,0,5
65,21060,25363,2160,42
66,21060,25110,2160,43
67,21120,26623,1320,18
68,21180,25219,1980,41
69,21180,26006,1980,44
70,21240,24350,720,114
71,21300,24813,0,146
72,21300,22591,0,88
73,21300,24192,0,15
74,21300,24439,0,155
75,21360,29070,0,34
76,21360,27305,660,1
77,21360,23219,1860,73
78,21420,25723,2520,42
79,21420,24599,1620,48
80,21420,22888,0,104
81,21420,25470,2520,43
82,21420,23578,1020,39
83,21480,24779,1680,47
84,21480,23923,1080,82
85,21480,26342,3480,61
86,21540,26235,3540,62
87,21540,23707,1140,40
88,21600,24756,0,78
89,21600,25514,1200,124
90,21600,25263,0,58
91,21600,24938,0,22
92,21600,29432,0,33
93,21600,24883,0,175
94,21600,24362,0,177
95,21600,27395,900,19
96,21600,26842,0,141
97,21600,24834,0,174
98,21600,27545,900,1
99,21600,27315,0,140
100,21600,27624,0,9
101,21600,27714,0,10
102,21600,23573,0,133
103,21600,24329,0,176
104,21600,24494,0,4
105,21600,24895,0,23
106,21600,24593,0,64
107,21600,25687,1200,123
108,21600,24470,0,121
109,21600,24256,0,91
110,21600,24242,0,92
111,21600,25161,0,159
112,21600,25325,0,158
113,21600,23868,2100,60
114,21600,26291,0,30
115,21600,24497,0,122
116,21600,26291,0,24
117,21600,24637,0,12
118,21600,24464,0,63
119,21600,25286,0,172
120,21600,25175,0,173
121,21600,24364,720,127
122,21600,25162,0,84
123,21600,24972,0,26
124,21600,23841,0,71
125,21600,25277,0,27
126,21600,24509,0,163
127,21600,24905,2400,101
128,21600,25260,0,125
129,21660,24765,0,89
130,21660,23331,0,96
131,21660,23582,0,119
132,21660,24092,0,81
133,21660,24739,0,77
134,21660,24543,0,86
135,21660,25062,2460,100
136,21660,24818,0,154
137,21660,24592,0,142
138,21660,24274,0,117
139,21660,23845,0,116
140,21660,26156,840,94
141,21660,24780,0,53
142,21720,26322,0,93
143,21720,25916,0,152
144,21720,26090,0,153
145,21720,23011,420,88
146,21780,23643,0,108
147,21780,23702,0,66
148,21840,25879,2640,41
149,21840,25185,0,85
150,21840,23908,1320,99
151,21840,25178,240,22
152,21840,26666,2640,44
153,21900,29610,540,34
154,21900,25348,2100,147
155,21960,25259,0,113
156,21960,23818,0,74
157,21960,25015,0,79
158,22020,24239,0,59
159,22020,23798,0,98
160,22020,25017,0,143
161,22020,25319,2220,47
162,22080,28045,2280,11
163,22080,25322,2280,83
164,22140,26443,3240,42
165,22140,25279,840,155
166,22140,25435,540,23
167,22140,24904,1260,127
168,22140,26190,3240,43
169,22140,24298,1740,39
170,22200,25602,3000,100
171,22200,25538,600,22
172,22200,24632,540,81
173,22200,25064,600,63
174,22200,25310,1680,114
175,22200,23491,900,88
176,22260,25130,660,121
177,22260,25559,300,113
178,22320,26516,600,152
179,22320,25217,720,122
180,22320,26045,720,158
181,22320,26690,600,153
182,22320,25619,360,113
183,22320,24179,2820,73
184,22320,27146,3120,44
185,22320,27823,2520,18
186,22320,30152,720,33
187,22320,26359,3120,41
188,22380,28175,1680,19
189,22380,24389,0,150
190,22380,27622,780,141
191,22440,26490,3540,43
192,22440,27135,4440,62
193,22440,24659,420,59
194,22440,28155,840,140
195,22440,26743,3540,42
196,22440,26002,840,84
197,22500,24091,2880,103
198,22500,25838,900,22
199,22500,25579,840,77
200,22500,25158,0,68
201,22560,25794,960,174
202,22560,25003,2160,82
203,22560,25855,960,23
204,22560,25526,0,80
205,22560,28585,0,8
206,22560,25324,1680,127
207,22560,24533,960,133
208,22620,26133,1320,146
209,22620,25725,960,89
210,22620,26265,1620,5
211,22620,25382,1020,177
212,22620,25958,1020,22
213,22680,25838,1020,154
214,22680,24847,2280,40
215,22680,25836,1080,78
216,22680,24838,2280,39
217,22680,30390,1320,34
218,22680,25800,1020,53
219,22680,25859,2880,48
220,22680,28243,2880,0
221,22680,25082,2880,110
222,22680,25819,1380,155
223,22740,28705,2940,11
224,22740,23915,3840,149
225,22740,26023,1140,175
226,22740,27602,4740,61
227,22740,25850,2220,114
228,22740,24808,2220,99
229,22740,26426,1140,172
230,22800,28632,2400,38
231,22800,24659,3300,73
232,22800,26362,1200,84
233,22800,27170,1080,153
234,22800,26996,1080,152
235,22800,26714,2400,124
236,22800,24091,1500,88
237,22800,27105,0,16
238,22860,25621,0,126
239,22860,23635,0,128
240,22860,23704,0,129
241,22860,27163,3960,42
242,22860,25915,900,79
243,22860,26159,3060,47
244,22860,24273,0,87
245,22860,25474,1200,117
246,22860,26910,3960,43
247,22860,26899,3660,41
248,22860,27686,3660,44
249,22920,24778,960,74
250,22920,27007,2520,123
251,22920,26495,1320,173
252,22920,26481,1320,159
253,22920,29034,1320,10
254,22980,27476,2160,94
255,22980,27119,0,17
256,22980,25709,1380,176
257,23040,25207,2640,40
258,23040,30872,1440,33
259,23040,26765,1440,158
260,23040,26385,1200,85
261,23040,29065,480,8
262,23040,26442,3840,100
263,23040,26345,3840,101
264,23040,26033,1440,64
265,23100,26438,1500,22
266,23100,27791,1500,30
267,23160,26455,1560,23
268,23160,26299,1860,155
269,23160,24573,300,87
270,23160,27199,3960,41
271,23160,27986,3960,44
272,23220,27270,4320,43
273,23220,27523,4320,42
274,23220,27915,5220,62
275,23220,26462,3420,83
276,23280,26726,0,3
277,23280,26579,3480,47
278,23280,28142,5280,61
279,23280,26459,3480,48
280,23280,30990,1920,34
281,23280,29075,2580,19
282,23340,25498,2940,39
283,23340,28843,3540,18
284,23340,29364,1740,9
285,23340,25608,3840,60
286,23340,24931,3720,103
287,23340,26450,2820,114
288,23340,24631,2040,88
289,23340,28582,1740,141
290,23340,29055,1740,140
291,23400,25641,1800,71
292,23400,28002,1680,93
293,23400,26738,1800,22
294,23400,25563,0,183
295,23400,26294,1800,4
296,23400,26961,1800,159
297,23400,25723,0,115
298,23400,27130,0,52
299,23400,25178,1380,98
300,23400,26283,1740,86
301,23400,24692,0,184
302,23400,25153,0,57
303,23400,25742,0,182
304,23400,25142,0,25
305,23400,26888,0,51
306,23400,26634,1800,174
307,23400,27440,0,50
308,23400,24692,0,185
309,23400,27404,0,49
310,23400,26297,1800,122
311,23460,27763,4560,42
312,23460,27510,4560,43
313,23460,26330,1860,121
314,23460,25382,1800,119
315,23460,24834,0,107
316,23460,26759,1500,113
317,23460,26224,2580,127
318,23520,29545,960,8
319,23520,25952,1860,81
320,23520,26678,1860,154
321,23520,25383,1740,108
322,23580,26719,2280,155
323,23580,25657,0,132
324,23580,28406,4380,44
325,23580,27619,4380,41
326,23580,25735,0,120
327,23580,25747,3180,40
328,23640,26939,1680,113
329,23640,25695,0,72
330,23640,23790,0,105
331,23640,29203,3840,0
332,23640,29754,2040,10
333,23640,27836,1920,152
334,23640,28010,1920,153
335,23700,27038,2100,22
336,23700,27239,0,2
337,23700,26779,2040,77
338,23700,26462,2100,177
339,23700,27425,2100,158
340,23700,25768,3180,99
341,23700,31532,2100,33
342,23700,27102,4500,100
343,23760,25733,2160,133
344,23760,25619,4260,73
345,23760,26865,2100,89
346,23760,25769,1380,150
347,23820,27333,2520,146
348,23820,27115,2220,23
349,23820,26930,3300,114
350,23820,25411,4200,103
351,23880,28185,1080,16
352,23880,27000,2220,53
353,23880,25617,2880,138
354,23880,26323,3480,82
355,23880,27252,2280,26
356,23880,26917,2280,12
357,23880,25293,1020,87
358,23880,25698,2880,139
359,23940,28243,5040,42
360,23940,27626,2340,172
361,23940,26701,1080,126
362,23940,26704,3060,127
363,23940,27990,5040,43
364,23940,27515,2340,173
365,23940,27239,4140,47
366,23940,27603,2340,58
367,23940,25798,1980,74
368,23940,26098,3540,39
369,23940,27979,4740,41
370,23940,28766,4740,44
371,23940,27278,2340,22
372,24000,25241,3840,148
373,24000,25175,5100,149
374,24000,26268,4500,60
375,24000,27175,0,54
376,24000,26405,0,168
377,24000,25641,0,97
378,24000,28087,3600,123
379,24000,27562,2400,84
380,24000,26542,0,118
381,24000,26954,0,162
382,24000,28411,0,56
383,24000,26614,2340,117
384,24000,27914,3600,124
385,24000,27561,2400,159
386,24000,27390,0,90
387,24000,27722,0,35
388,24000,27179,4200,48
389,24000,26395,0,130
390,24000,26864,2400,63
391,24060,26229,0,157
392,24060,28199,1080,17
393,24060,25982,2280,66
394,24060,26245,2400,116
395,24060,26279,2040,59
396,24120,26188,3600,99
397,24120,27276,2520,78
398,24120,27403,2520,175
399,24120,31830,2760,34
400,24120,29915,3420,19
401,24120,26990,2520,121
402,24180,28875,6180,62
403,24180,27173,2580,64
404,24180,28230,5280,43
405,24180,29042,6180,61
406,24180,28676,3360,94
407,24180,30205,1620,8
408,24180,27319,2880,155
409,24180,26039,4680,73
410,24180,28483,5280,42
411,24180,27475,2580,23
412,24240,29482,2640,141
413,24240,27578,2640,22
414,24240,25708,2820,104
415,24240,25531,2940,88
416,24300,26541,2700,71
417,24300,27748,4500,147
418,24300,28339,5100,41
419,24300,26523,0,65
420,24300,26467,3900,40
421,24300,27406,0,13
422,24300,26024,0,95
423,24300,27605,5100,101
424,24300,29126,5100,44
425,24300,27534,2700,174
426,24360,26138,2340,98
427,24360,27326,1800,80
428,24360,30075,2760,140
429,24360,25773,1500,87
430,24360,27470,3840,114
431,24420,27184,3540,127
432,24420,27981,2820,159
433,24420,27822,5220,100
434,24420,26278,2460,74
435,24420,28145,2820,158
436,24420,26497,840,132
437,24420,27149,2820,176
438,24480,28140,2880,125
439,24480,30445,4680,11
440,24480,27825,2640,85
441,24480,27122,2880,92
442,24480,27870,480,90
443,24480,26923,4080,82
444,24480,29983,4680,18
445,24480,25255,1620,128
446,24480,25324,1620,129
447,24480,30425,3780,1
448,24480,26638,4080,39
449,24480,27136,2880,91
450,24540,27878,2940,22
451,24540,26808,5040,60
452,24540,28590,5640,43
453,24540,32372,2940,33
454,24540,27437,2940,122
455,24540,27782,4740,83
456,24540,29142,2820,93
457,24540,26131,4920,103
458,24540,28843,5640,42
459,24600,27593,3000,64
460,24600,27739,3300,155
461,24600,27926,0,31
462,24600,25444,0,14
463,24600,27655,2640,79
464,24660,26728,4140,99
465,24660,27955,3060,23
466,24660,28235,3060,173
467,24660,29486,5460,44
468,24660,28699,5460,41
469,24720,29582,6720,61
470,24720,26579,5220,73
471,24720,27481,1860,126
472,24720,29415,6720,62
473,24720,28365,3720,5
474,24720,30745,2160,8
475,24720,27830,4200,114
476,24720,27895,720,54
477,24780,26071,3480,88
478,24780,29471,3180,30
479,24780,27223,4380,82
480,24780,27859,3120,77
481,24780,27644,3180,63
482,24780,27959,4980,48
483,24840,27604,3960,127
484,24840,28178,3240,22
485,24840,29145,2040,16
486,24840,28135,3240,23
487,24840,27945,3180,89
488,24900,27332,3240,81
489,24900,28199,2940,113
490,24960,26135,6060,149
491,24960,29263,6060,42
492,24960,29010,6060,43
493,24960,27127,4560,40
494,25020,28319,5220,47
495,25020,27929,3420,163
496,25020,28934,4620,124
497,25020,28130,4500,114
498,25020,29059,5820,41
499,25020,28254,3420,174
500,25020,29846,5820,44
501,25020,27781,2160,126
502,25080,28379,3120,113
503,25080,27950,3480,121
504,25080,28219,3780,155
505,25080,26671,5460,103
506,25080,32790,3720,34
507,25080,26371,3780,88
508,25080,26454,1620,107
509,25080,28385,5880,101
510,25080,31045,5280,11
511,25080,28641,3480,159
512,25080,31104,3480,9
513,25140,28803,3540,58
514,25140,28653,3840,146
515,25140,28542,5940,100
516,25140,28439,3180,113
517,25140,26730,0,151
518,25140,27113,3540,133
519,25140,28817,3540,27
520,25140,30935,4440,19
521,25140,28260,3480,53
522,25140,31254,3540,10
523,25140,28023,3480,86
524,25140,27149,2760,150
525,25140,26856,0,75
526,25200,28217,2640,80
527,25200,29657,1200,56
528,25200,29748,3480,152
529,25200,31216,3600,141
530,25200,27112,3180,98
531,25200,27369,3540,119
532,25200,28701,0,167
533,25200,27079,0,170
534,25200,29287,4800,123
535,25200,27791,0,46
536,25200,28763,0,166
537,25200,29871,3480,153
538,25200,27468,5700,60
539,25200,31825,3600,140
540,25200,28604,3600,23
541,25200,27240,0,106
542,25200,28618,0,145
543,25200,27358,4800,39
544,25200,29014,3540,154
545,25200,33199,3600,33
546,25200,29581,2220,17
547,25260,29389,6360,43
548,25260,28767,3660,22
549,25260,27445,4740,99
550,25260,29933,6360,42
551,25260,28189,1260,118
552,25260,29573,3660,158
553,25260,28349,3660,177
554,25260,27287,3480,108
555,25260,27118,3300,74
556,25260,26673,2400,87
557,25260,27741,1620,72
558,25320,28167,3660,117
559,25320,27179,5820,73
560,25320,28332,3720,4
561,25320,30359,6120,44
562,25320,28317,3300,143
563,25320,30293,4500,94
564,25320,28662,4440,127
565,25320,26788,3900,104
566,25320,28737,3720,78
567,25320,29986,6120,41
568,25320,28881,3720,175
569,25320,29444,3720,172
570,25320,27588,0,134
571,25380,26892,0,164
572,25380,31961,2820,8
573,25380,28448,3780,122
574,25380,28145,2880,68
575,25380,28312,3720,142
576,25440,31128,5640,0
577,25440,30474,7440,61
578,25440,31761,5640,37
579,25500,28869,4980,114
580,25500,30431,7500,62
581,25500,28679,5700,48
582,25500,28396,3900,71
583,25500,27719,3480,59
584,25500,29007,3900,22
585,25560,26801,5400,148
586,25560,28225,5760,110
587,25560,30548,3840,93
588,25620,29318,1620,90
589,25620,28510,4020,176
590,25620,29434,3960,154
591,25620,28063,5220,82
592,25620,28593,4020,63
593,25620,27532,3600,98
594,25620,29235,4320,155
595,25680,29075,5880,83
596,25680,30228,3960,152
597,25680,27148,4260,104
598,25680,27838,5280,39
599,25680,30351,3960,153
600,25680,28979,5880,47
601,25740,26584,2880,129
602,25740,29602,3780,113
603,25740,30926,4140,24
604,25740,29142,6540,100
605,25740,30406,6540,41
606,25740,26515,2880,128
607,25740,30779,6540,44
608,25740,29353,5940,147
609,25740,29082,4860,127
610,25800,29204,4200,23
611,25800,27985,5280,99
612,25800,27091,4500,88
613,25800,30113,4200,158
614,25860,28027,5460,40
615,25860,29229,5340,114
616,25860,29367,4260,22
617,25860,29774,5460,124
618,25920,29942,4320,84
619,25920,27997,2340,132
620,25920,27779,6420,73
621,25920,32019,5520,38
622,25920,27333,3060,87
623,25920,29611,4320,174
624,25920,32545,4320,140
625,25920,31936,4320,141
626,25980,29487,4380,22
627,25980,34467,4620,34
628,25980,30038,4380,159
629,25980,27838,4020,74
630,25980,29124,3120,126
631,25980,29595,4680,155
632,25980,29222,4320,77
633,26040,29057,3480,80
634,26040,27631,6420,103
635,26040,28308,6540,60
636,26040,32016,5340,1
637,26040,32355,4440,10
638,26100,28850,2700,115
639,26100,29054,0,67
640,26100,29934,4500,173
641,26100,29546,2820,3
642,26100,28591,2520,120
643,26100,28258,5700,39
644,26100,31031,8100,62
645,26100,28073,4500,133
646,26160,29458,2160,54
647,26160,29564,4560,23
648,26160,34159,4560,33
649,26160,31194,8160,61
650,26160,29197,4560,12
651,26160,27451,4860,88
652,26160,29337,4560,121
653,26220,28438,0,156
654,26220,32046,5520,19
655,26220,29562,5340,127
656,26220,28652,4560,81
657,26220,30850,3420,16
658,26220,27810,1080,151
659,26220,30034,4560,154
660,26280,27572,2880,184
661,26280,28443,2880,183
