new_index,s_time,e_time,delta_time,old_index
0,21600,23764,0,151
1,21600,23969,0,92
2,21600,23677,0,138
3,21600,24111,0,111
4,21600,25030,0,102
5,21600,26142,0,25
6,21600,24246,0,112
7,22020,24240,0,145
8,22800,25203,0,44
9,22800,25481,0,118
10,23400,25735,0,27
11,23400,25534,0,150
12,23400,26318,0,101
13,23400,25753,0,158
14,23400,25486,0,137
15,23400,24936,0,90
16,23400,28207,0,26
17,23400,26257,0,80
18,23700,25361,0,125
19,23700,29341,0,24
20,23760,27007,0,74
21,23820,27250,2220,102
22,24000,26307,0,91
23,24300,26819,0,67
24,24600,28030,3000,102
25,24600,26777,0,109
26,24600,27816,0,22
27,24600,27031,0,51
28,24600,29925,0,23
29,24600,27719,0,86
30,24600,27762,0,21
31,24900,28603,0,75
32,25200,29238,0,16
33,25200,28219,1800,80
34,25200,26736,1800,90
35,25200,28044,0,10
36,25200,26596,0,126
37,25200,28630,1440,74
38,25200,27602,0,43
39,25200,28208,0,8
40,25200,27435,0,159
41,25200,27062,0,107
42,25320,28236,2520,118
43,25500,28854,0,79
44,25500,27036,0,89
45,25500,27790,0,68
46,25500,31360,1800,24
47,25500,28418,2100,101
48,25800,28746,0,148
49,26400,30079,0,5
50,26400,27230,0,63
51,26400,30054,4800,102
52,26400,27159,0,70
53,26400,27227,0,64
54,26700,28715,0,28
55,26700,30112,0,30
56,26880,29798,3480,101
57,27000,28875,0,108
58,27120,28700,0,122
59,27300,30654,1800,79
60,27300,28059,900,70
61,27600,28427,1200,64
62,27600,28430,1200,63
63,27600,33460,3900,24
64,27600,28435,0,69
65,28200,30697,0,19
66,28200,31854,6600,102
67,28200,31021,0,9
68,28200,33608,3600,23
69,28680,31598,5280,101
70,28800,33137,0,17
71,28800,30336,5400,90
72,28800,31341,0,120
73,28800,32838,3600,16
74,28800,32288,0,29
75,28800,31203,6000,44
76,28800,31168,0,34
77,28800,31819,5400,80
78,28800,31014,0,110
79,28800,29635,1200,69
80,28800,31090,3300,68
81,28800,32138,0,20
82,29100,32512,2400,30
83,29220,31440,7200,145
84,29400,33043,0,4
85,29400,31753,6000,158
86,29640,32556,6840,118
87,29640,31301,5940,125
88,29700,31562,4500,107
89,30000,33778,0,76
90,30000,32597,0,11
91,30000,35860,6300,24
92,30000,32164,8400,151
93,30300,34842,8700,25
94,30300,32605,0,52
95,30300,32811,8700,111
96,30300,32377,8700,138
97,30300,32946,8700,112
98,30300,32669,8700,92
99,30480,33398,7080,101
100,30600,36008,6000,23
101,30720,34150,0,73
102,30900,34254,5400,79
103,30900,33836,0,149
104,31200,33602,6000,43
105,31200,34316,0,85
106,31200,33719,6900,67
107,31200,33215,4500,28
108,31200,34688,2400,29
109,31500,33375,4500,108
110,31500,33735,6300,159
111,31800,35454,10200,102
112,31800,35138,3000,20
113,31800,36137,3000,17
114,31800,33196,6600,126
115,32100,34435,8700,27
116,32100,34186,8700,137
117,32100,36907,8700,26
118,32400,35454,0,48
119,32400,33990,0,121
120,32400,34941,3600,120
121,32400,34823,0,33
122,32400,36438,7200,16
123,32700,38341,9000,24
124,32700,34834,9300,150
125,32700,35007,8700,91
126,33000,35681,10200,118
127,33000,38325,8400,23
128,33300,36516,8700,22
129,33300,35477,8700,109
130,33300,35514,4500,110
131,33300,36462,8700,21
132,33600,36031,9000,51
133,34080,36998,10680,101
134,34200,36697,6000,19
135,34200,37146,8400,148
136,34200,36726,0,18
137,34200,36062,9000,107
138,34200,36553,10800,158
139,34440,36020,7320,122
140,34800,39342,13200,25
141,34800,37311,13200,111
142,34800,36877,13200,138
143,34800,37446,13200,112
144,34800,37644,9600,10
145,34800,37919,10200,86
146,34800,37169,13200,92
147,35400,41041,11700,24
148,35400,40725,10800,23
149,35400,38738,6600,20
150,35400,38830,13800,102
151,35400,39737,6600,17
152,35700,37715,9000,28
153,36000,38541,7200,120
154,36000,38290,10500,68
155,36000,38403,13200,44
156,36000,37875,9000,108
157,36000,38857,12600,80
158,36000,40038,10800,16
159,36300,38535,11100,159
160,36600,38686,13200,137
161,36600,41407,13200,26
162,36600,38935,13200,27
163,37200,39364,15600,151
164,37200,39957,10500,30
165,37680,40598,14280,101
166,37800,43125,13200,23
167,38100,41044,12600,79
168,38400,40802,13200,43
169,38400,44041,14700,24
170,38400,40919,14100,67
171,39000,42116,7800,85
172,39000,41681,16200,118
173,39000,42160,10200,29
174,39000,41597,9000,11
175,39000,42338,10200,20
176,39000,40661,15300,125
177,39000,43337,10200,17
178,39000,42430,17400,102
179,39600,42654,7200,48
180,39600,41190,7200,121
181,39600,42097,11400,19
182,39600,43638,14400,16
183,39600,42126,5400,18
184,39600,42536,8700,149
185,39900,42034,16500,150
186,40020,42240,18000,145
187,40200,45525,15600,23
188,40800,43168,12000,34
189,40800,43557,14100,30
190,40980,42376,15780,126
191,41280,44198,17880,101
192,41400,43707,17400,91
193,41400,43941,12600,120
194,41400,47041,17700,24
195,41400,43753,18000,158
196,42000,44214,13200,110
197,42000,45162,17400,21
198,42000,45216,17400,22
199,42000,44177,17400,109
200,42300,45460,13500,29
201,42600,45938,13800,20
202,42600,46030,21000,102
203,42600,45719,18000,86
204,42600,46937,13800,17
205,42900,44762,17700,107
206,42900,48225,18300,23
207,43200,47238,18000,16
208,43200,46057,19800,80
209,43200,45490,17700,68
210,43200,45603,20400,44
211,43500,45869,21900,92
212,43500,47203,18600,75
213,43500,45577,21900,138
214,43500,48042,21900,25
215,43500,45735,18300,159
216,43500,46146,21900,112
217,43500,46011,21900,111
218,43800,46746,18000,148
219,44400,46415,17700,28
220,44700,46575,17700,108
221,44880,47798,21480,101
222,45000,47497,16800,19
223,45000,47526,10800,18
224,45300,47386,21900,137
225,45300,47635,21900,27
226,45300,50107,21900,26
227,45300,48244,19800,79
228,45600,48002,20400,43
229,45600,51241,21900,24
230,45600,50925,21000,23
231,45600,48119,21300,67
232,46200,49538,17400,20
233,46200,49630,24600,102
234,46200,50537,17400,17
235,46200,48881,23400,118
236,46800,48964,25200,151
237,46800,49864,0,47
238,46800,50838,21600,16
239,47400,50336,16500,149
240,47400,49823,15000,33
241,47400,50516,16200,85
242,48000,53641,24300,24
243,48480,51398,25080,101
244,48600,52378,18600,76
245,48600,51141,19800,120
246,49500,51634,26100,150
247,49800,53230,28200,102
248,49800,54137,21000,17
249,49800,55125,25200,23
250,49800,53138,21000,20
251,50100,52407,26100,91
252,50400,56041,26700,24
253,50400,54438,25200,16
254,50400,52897,22200,19
255,50400,53257,27000,80
256,50400,52753,27000,158
257,50400,53346,24600,148
258,50400,52926,16200,18
259,50400,52803,27600,44
260,50700,53916,26100,22
261,50700,52914,21900,110
262,50700,53862,26100,21
263,50700,52877,26100,109
264,50820,53040,28800,145
265,51000,53290,25500,68
266,51480,53141,27780,125
267,51600,54281,28800,118
268,51600,53462,26400,107
269,51600,56925,27000,23
270,52080,54998,28680,101
271,52200,54569,30600,92
272,52200,54846,30600,112
273,52200,54277,30600,138
274,52200,54711,30600,111
275,52200,56742,30600,25
276,52200,54568,23400,34
277,52200,54435,27000,159
278,52500,55444,27000,79
279,52800,58441,29100,24
280,52800,55202,27600,43
281,52800,55919,28200,86
282,53100,54496,27900,126
283,53100,55115,26400,28
284,53400,55919,29100,67
285,53400,56830,31800,102
286,53400,55275,26400,108
287,53400,57737,24600,17
288,53400,58725,28800,23
289,53400,56738,24600,20
290,54000,56844,28800,10
291,54000,56086,30600,137
292,54000,58807,30600,26
293,54000,56541,25200,120
294,54000,56757,27300,30
295,54000,56335,30600,27
296,54600,58638,29400,16
297,54900,60541,31200,24
298,55200,60525,30600,23
299,55680,58598,32280,101
300,55800,58153,32400,158
301,55800,58326,21600,18
302,55800,58736,24900,149
303,55800,58105,25500,52
304,56700,59860,27900,29
305,57000,60430,35400,102
306,57000,60679,30600,5
307,57000,60116,25800,85
308,57000,59423,24600,33
309,57300,62941,33600,24
310,57300,62625,32700,23
311,57600,61937,28800,17
312,57600,60097,29400,19
313,57600,60938,28800,20
314,57600,59764,36000,151
315,57600,60457,34200,80
316,57600,60654,25200,48
317,57600,59835,32400,159
318,57900,61603,33000,75
319,58200,60797,28200,11
320,58500,60161,34800,125
321,58500,60790,33000,68
322,58800,61481,36000,118
323,58800,62047,35040,74
324,58800,61107,34800,91
325,58800,62838,33600,16
326,59280,62198,35880,101
327,59400,62562,34800,21
328,59400,62464,12600,47
329,59400,62616,34800,22
330,59400,62346,33600,148
331,59400,64725,34800,23
332,59400,61831,34800,51
333,59400,61577,34800,109
334,59400,61614,30600,110
335,59400,65041,35700,24
336,59700,62644,34200,79
337,60000,62368,31200,34
338,60000,61536,34500,89
339,60000,63008,34800,8
340,60300,62162,35100,107
341,60300,61696,35100,126
342,60300,62434,36900,150
343,60600,61359,34200,70
344,60600,61430,34200,63
345,60600,64030,39000,102
346,60600,61427,34200,64
347,60900,62977,39300,138
348,60900,63411,39300,111
349,60900,63269,39300,92
350,60900,63419,36600,67
351,60900,65442,39300,25
352,60900,63546,39300,112
353,61200,64219,37800,80
354,61200,63553,37800,158
355,61200,64843,31800,4
356,61200,64319,36600,86
357,61200,63697,33000,19
358,61200,64116,38400,118
359,61500,65278,31500,76
360,61620,63840,39600,145
361,61800,65138,33000,20
362,61800,64341,33000,120
363,61800,66137,33000,17
364,61800,67208,37200,23
365,61800,64090,36300,68
366,62100,67960,38400,24
