new_index,s_time,e_time,delta_time,old_index
0,19800,24706,0,65
1,19800,22596,0,38
2,19800,24589,0,66
3,19800,21354,0,81
4,19800,22561,0,39
5,20400,22266,0,113
6,20400,24512,0,10
7,20400,23541,0,29
8,20400,24622,0,9
9,20400,23447,0,28
10,20400,21985,0,35
11,20400,23084,0,75
12,20700,23496,900,38
13,20700,22545,0,114
14,20700,23461,900,39
15,20700,24680,0,87
16,21000,23920,0,74
17,21000,25493,0,107
18,21000,25763,0,108
19,21000,22681,0,34
20,21000,23293,0,41
21,21000,22942,0,42
22,21000,23403,0,43
23,21000,23800,0,32
24,21000,24400,0,61
25,21000,22789,0,89
26,21300,24618,0,58
27,21300,23418,0,48
28,21300,22596,0,12
29,21300,23863,0,73
30,21600,24370,0,1
31,21600,25023,0,49
32,21600,22979,0,83
33,21600,25712,1200,10
34,21600,24718,0,50
35,21600,24375,0,7
36,21600,25146,0,102
37,21600,25253,0,62
38,21600,23279,0,82
39,21600,23030,0,80
40,21600,24361,1800,39
41,21600,24081,0,24
42,21600,25153,0,101
43,21600,24496,0,46
44,21600,25822,1200,9
45,21600,23109,0,79
46,21600,24234,0,5
47,21600,24427,0,0
48,21600,24627,0,76
49,21600,24269,0,45
50,21600,24199,0,30
51,21600,24929,0,14
52,21600,23553,0,78
53,21600,23980,0,16
54,21600,26299,0,70
55,21600,23414,0,68
56,21600,26143,0,106
57,21600,26696,0,69
58,21600,25890,0,105
59,21600,23522,0,84
60,21600,23923,0,15
61,21600,24879,0,13
62,21600,24396,1800,38
63,21600,24745,0,57
64,21600,24708,0,52
65,21600,23556,0,77
66,21600,23724,0,110
67,21600,24987,0,56
68,21600,24903,0,71
69,21600,23576,0,47
70,21600,23669,0,109
71,21900,25041,1500,29
72,21900,24947,1500,28
73,22200,24318,900,48
74,22200,25491,0,99
75,22200,25191,0,37
76,22200,24003,0,90
77,22320,25491,0,8
78,22500,25261,2700,39
79,22500,25296,2700,38
80,22500,24476,900,47
81,22560,25229,960,45
82,22800,25152,0,17
83,22800,26278,0,26
84,22800,27022,2400,9
85,22800,26912,2400,10
86,22800,25279,0,23
87,23100,26241,2700,29
88,23100,25218,1800,48
89,23100,26147,2700,28
90,23100,25769,1500,45
91,23400,26381,0,20
92,23400,27431,0,88
93,23400,26090,0,96
94,23400,24275,0,3
95,23400,25092,0,67
96,23400,26309,0,95
97,23400,24779,1800,83
98,23400,24480,0,22
99,23400,26041,0,33
100,23400,28099,1800,70
101,23400,24589,0,54
102,23400,28496,1800,69
103,23400,25322,1800,84
104,23400,25801,0,104
105,23400,25770,0,103
106,23400,26161,3600,39
107,23400,25909,0,44
108,23400,25376,1800,47
109,23400,26196,3600,38
110,23400,25125,0,53
111,23520,26189,1920,45
112,23700,26057,0,40
113,23700,26991,0,100
114,24000,26118,2700,48
115,24000,28112,3600,10
116,24000,27602,0,59
117,24000,27624,0,60
118,24000,28222,3600,9
119,24000,27339,0,55
120,24000,26775,2400,7
121,24060,26729,2460,45
122,24060,28849,4260,66
123,24060,25614,4260,81
124,24060,28966,4260,65
125,24300,27096,4500,38
126,24300,26990,900,96
127,24300,26276,2700,47
128,24300,26899,0,4
129,24300,27209,900,95
130,24300,25730,2700,80
131,24300,27105,0,6
132,24300,27441,3900,29
133,24300,25809,2700,79
134,24300,27347,3900,28
135,24300,27061,4500,39
136,24360,26869,960,44
137,24480,27149,2880,45
138,24600,27569,0,19
139,24600,25678,0,21
140,24600,27928,0,86
141,24600,27975,0,85
142,24660,26245,4260,35
143,24660,26526,4260,113
144,24660,27344,4260,75
145,24900,28453,3300,101
146,24900,27018,3600,48
147,24900,27747,0,36
148,24960,26805,4260,114
149,25020,27689,3420,45
150,25200,27176,3600,47
151,25200,27327,3600,84
152,25200,27996,5400,38
153,25200,27709,1800,44
154,25200,27961,5400,39
155,25200,29422,4800,9
156,25200,26389,1800,54
157,25200,26925,1800,53
158,25200,26579,3600,83
159,25200,28600,4200,61
160,25200,28746,3600,102
161,25200,28853,3600,62
162,25200,28377,0,18
163,25200,29312,4800,10
164,25200,28098,0,72
165,25200,28280,1800,95
166,25200,29899,3600,70
167,25200,26072,0,2
168,25200,28018,1800,96
169,25200,31782,3600,69
170,25200,27941,0,111
171,25200,28239,0,31
172,25200,27878,0,51
173,25260,27049,4260,89
174,25260,29753,4260,107
175,25260,27202,4260,42
176,25260,26941,4260,34
177,25260,27663,4260,43
178,25260,27553,4260,41
179,25260,28060,4260,32
180,25260,28180,4260,74
181,25260,30023,4260,108
182,25320,27829,1920,44
183,25440,28109,3840,45
184,25500,29213,5100,29
185,25500,29293,5100,28
186,25500,28994,0,27
187,25560,26856,4260,12
188,25560,28878,4260,58
189,25560,28123,4260,73
190,25560,28321,5760,39
191,25560,28356,5760,38
192,25800,27918,4500,48
193,25860,27539,4260,82
194,25860,28341,4260,24
195,25860,27674,4260,68
196,25860,28756,4260,46
197,25860,28183,4260,15
198,25860,30403,4260,106
199,25860,28240,4260,16
200,25860,29005,4260,57
201,25860,27929,4260,109
202,25860,30150,4260,105
203,25860,27984,4260,110
204,25860,28968,4260,52
205,25860,28630,4260,1
206,25860,28887,4260,76
207,25860,28459,4260,30
208,25860,29247,4260,56
209,25860,29139,4260,13
210,25860,29189,4260,14
211,25860,29283,4260,49
212,25860,28978,4260,50
213,25860,28687,4260,0
214,25920,27896,4320,47
215,25920,28716,6120,38
216,25920,28681,6120,39
217,25980,28649,4380,45
218,26100,27825,2700,53
219,26100,27289,2700,54
220,26160,28669,2760,44
221,26280,28789,2880,44
222,26280,29076,6480,38
223,26280,29041,6480,39
224,26400,28527,4800,84
225,26400,29069,4800,45
226,26400,30622,6000,9
227,26400,27779,4800,83
228,26400,29455,3600,17
229,26400,30512,6000,10
230,26460,29751,4260,99
231,26460,28263,4260,90
232,26460,29451,4260,37
233,26520,28638,5220,48
234,26580,29751,4260,8
235,26640,29436,6840,38
236,26640,29401,6840,39
237,26640,28616,5040,47
238,26700,30493,6300,28
239,26700,30413,6300,29
240,26940,29609,5340,45
241,27000,28725,3600,53
242,27000,29290,0,112
243,27000,29818,3600,96
244,27000,29127,5400,84
245,27000,28379,5400,83
246,27000,30980,6300,87
247,27000,30080,3600,95
248,27000,30112,2700,6
249,27000,28189,3600,54
250,27000,28953,5400,78
251,27000,28956,5400,77
252,27000,29761,7200,39
253,27000,33582,5400,69
254,27000,31699,5400,70
255,27000,29796,7200,38
256,27060,29539,4260,23
257,27120,29629,3720,44
258,27240,29358,5940,48
259,27240,29749,3840,44
260,27360,30029,5760,45
261,27360,29336,5760,47
262,27360,30121,7560,39
263,27360,30156,7560,38
264,27600,31822,7200,9
265,27600,28979,6000,83
266,27600,30234,6000,5
267,27600,31712,7200,10
268,27600,29727,6000,84
269,27660,29352,4260,67
270,27660,28740,4260,22
271,27660,30061,4260,104
272,27660,30030,4260,103
273,27660,30641,4260,20
274,27660,30301,4260,33
275,27660,28535,4260,3
276,27720,30516,7920,38
277,27720,30481,7920,39
278,27780,28652,2580,2
279,27780,30521,2580,111
280,27780,30819,2580,31
281,27780,30458,2580,51
282,27840,32333,6840,107
283,27840,30640,6840,32
284,27840,29521,6840,34
285,27840,30243,6840,43
286,27840,32603,6840,108
287,27840,30133,6840,41
288,27840,29782,6840,42
289,27840,29629,6840,89
290,27840,30760,6840,74
291,27900,30980,4500,95
292,27900,29089,4500,54
293,27900,29625,4500,53
294,27900,31693,7500,28
295,27900,30569,6300,45
296,27900,30718,4500,96
297,27900,31613,7500,29
298,27960,30317,4260,40
299,27960,31251,4260,100
300,27960,30078,6660,48
301,28080,30841,8280,39
302,28080,30589,4680,44
303,28080,30876,8280,38
304,28080,30056,6480,47
305,28140,29436,6840,12
306,28140,31458,6840,58
307,28140,30703,6840,73
308,28200,31377,3000,18
309,28200,30709,4800,44
310,28260,31599,4260,55
311,28260,31884,4260,60
312,28260,31862,4260,59
313,28320,33226,8520,65
314,28320,29874,8520,81
315,28320,30989,6720,45
316,28320,33109,8520,66
317,28440,30763,6840,15
318,28440,30921,6840,24
319,28440,31201,8640,39
320,28440,31236,8640,38
321,28440,31039,6840,30
322,28440,31558,6840,50
323,28440,31336,6840,46
324,28440,31769,6840,14
325,28440,30820,6840,16
326,28440,30119,6840,82
327,28440,31863,6840,49
328,28440,30509,6840,109
329,28440,31267,6840,0
330,28440,31719,6840,13
331,28440,31827,6840,56
332,28440,31585,6840,57
333,28440,30254,6840,68
334,28440,31210,6840,1
335,28440,31467,6840,76
336,28440,31548,6840,52
337,28440,32730,6840,105
338,28440,32983,6840,106
339,28440,30564,6840,110
340,28680,30798,7380,48
341,28800,30525,5400,53
342,28800,31618,5400,96
343,28800,33185,0,92
344,28800,32353,7200,101
345,28800,32912,8400,10
346,28800,29989,5400,54
347,28800,32453,7200,62
348,28800,32346,7200,102
349,28800,31596,9000,38
350,28800,31561,9000,39
351,28800,30927,7200,84
352,28800,32103,7200,71
353,28800,30179,7200,83
354,28800,33022,8400,9
355,28800,33218,0,91
356,28800,30776,7200,47
357,28800,31880,5400,95
358,28800,32200,7800,61
359,28800,32225,7200,7
360,28800,32278,6000,26
361,28800,33499,7200,70
362,28800,35382,7200,69
363,28860,31829,4260,19
364,28860,31529,7260,45
365,28860,29938,4260,21
366,28920,30786,8520,113
367,28920,30505,8520,35
368,28920,31604,8520,75
369,29040,32331,6840,99
370,29040,30549,7440,79
371,29040,32031,6840,37
372,29040,30470,7440,80
373,29040,30843,6840,90
374,29040,31549,5640,44
375,29100,32893,8700,28
376,29100,32813,8700,29
377,29160,32007,4260,36
378,29160,31921,9360,39
379,29160,32331,6840,8
380,29160,31669,5760,44
381,29160,31956,9360,38
382,29220,31065,8520,114
383,29280,31949,7680,45
384,29400,31518,8100,48
385,29520,32281,9720,39
386,29520,31496,7920,47
387,29520,32316,9720,38
388,29580,31870,2580,112
389,29640,32119,6840,23
390,29700,31827,8100,84
391,29700,31079,8100,83
392,29700,30889,6300,54
393,29700,31425,6300,53
394,29820,32489,8220,45
395,29880,32641,10080,39
396,29880,32676,10080,38
397,30000,32509,6600,44
398,30120,32629,6720,44
399,30120,32238,8820,48
400,30240,32216,8640,47
401,30240,32881,6840,33
402,30240,33001,10440,39
403,30240,31320,6840,22
404,30240,31932,6840,67
405,30240,32610,6840,103
406,30240,31115,6840,3
407,30240,33221,6840,20
408,30240,33036,10440,38
409,30240,32909,8640,45
410,30240,32641,6840,104
411,30300,34093,9900,28
412,30300,34013,9900,29
413,30360,33399,5160,31
414,30360,33101,5160,111
415,30360,31232,5160,2
416,30360,33038,5160,51
417,30420,35183,9420,108
418,30420,32823,9420,43
419,30420,32713,9420,41
420,30420,32362,9420,42
421,30420,32101,9420,34
422,30420,33340,9420,74
423,30420,32209,9420,89
424,30420,33220,9420,32
425,30420,34913,9420,107
426,30540,33831,6840,100
427,30540,32897,6840,40
428,30600,33759,0,64
429,30600,33396,10800,38
430,30600,33361,10800,39
431,30600,33199,6300,4
432,30600,37182,9000,69
433,30600,31789,7200,54
434,30600,33418,7200,96
435,30600,34631,7200,88
436,30600,33655,7800,17
437,30600,34712,10200,10
438,30600,33680,7200,95
439,30600,35299,9000,70
440,30600,34822,10200,9
441,30600,32727,9000,84
442,30600,31979,9000,83
443,30600,32325,7200,53
444,30720,34038,9420,58
445,30720,33283,9420,73
446,30720,32016,9420,12
447,30780,33449,9180,45
448,30840,34464,6840,60
449,30840,32958,9540,48
450,30840,34179,6840,55
451,30840,34442,6840,59
452,30900,35689,11100,66
453,30900,32454,11100,81
454,30900,35806,11100,65
455,30960,33756,11160,38
456,30960,32936,9360,47
457,30960,33721,11160,39
458,30960,33469,7560,44
459,31020,33847,9420,0
460,31020,33144,9420,110
461,31020,33343,9420,15
462,31020,34128,9420,52
463,31020,33790,9420,1
464,31020,34349,9420,14
465,31020,34047,9420,76
466,31020,34443,9420,49
467,31020,34138,9420,50
468,31020,33619,9420,30
469,31020,34299,9420,13
