new_index,s_time,e_time,delta_time,old_index
0,19200,23282,0,2
1,19200,23195,0,3
2,19800,24259,0,1
3,19800,22886,0,57
4,20700,28141,0,20
5,21000,25459,1200,1
6,21000,24385,0,4
7,21000,25029,0,131
8,21000,24873,0,148
9,21000,23813,0,13
10,21000,25034,0,132
11,21060,24425,0,5
12,21240,28524,0,21
13,21240,28681,540,20
14,21540,24925,540,4
15,21600,25172,0,116
16,21600,25061,0,115
17,21600,23395,0,145
18,21600,23503,0,146
19,21600,23220,0,83
20,21600,25369,0,119
21,21600,23207,0,82
22,21600,25661,0,35
23,21600,24250,0,47
24,21600,25366,0,120
25,21600,23147,0,113
26,21600,24510,0,66
27,21600,25660,0,0
28,21600,24799,0,67
29,21600,24669,0,129
30,21600,25766,0,84
31,21600,25391,0,122
32,21600,23291,0,19
33,21600,23291,0,18
34,21600,24413,600,13
35,21600,25441,0,147
36,21600,27150,0,87
37,21600,29094,0,16
38,21600,27950,0,17
39,21600,25545,0,89
40,21600,22560,0,79
41,21600,24764,0,36
42,21600,25555,0,90
43,21660,25587,0,121
44,21660,25553,0,7
45,21660,24926,0,130
46,21720,25085,660,5
47,21780,25546,180,120
48,21780,24849,180,129
49,21840,29124,600,21
50,21840,25922,2640,2
51,21840,25835,2640,3
52,21840,27568,0,88
53,21840,25606,0,6
54,21900,29341,1200,20
55,21900,25669,300,119
56,21900,25166,240,130
57,21960,25905,360,89
58,22020,25592,420,116
59,22020,25789,420,119
60,22020,26049,1020,131
61,22020,23923,420,146
62,22020,23815,420,145
63,22080,25846,480,120
64,22140,25406,480,130
65,22140,25209,540,129
66,22140,25525,1140,4
67,22140,25981,540,147
68,22140,25931,540,122
69,22200,25399,600,67
70,22200,25903,0,32
71,22200,23891,600,18
72,22200,23891,600,19
73,22200,26227,0,15
74,22200,25946,0,56
75,22200,26659,2400,1
76,22260,25721,660,115
77,22260,25625,1200,5
78,22260,26026,660,120
79,22260,25304,0,110
80,22260,26294,1260,132
81,22320,26275,720,90
82,22320,29761,1620,20
83,22320,26089,720,119
84,22380,25449,780,129
85,22380,25765,1380,4
86,22380,26253,1380,148
87,22440,25526,2640,57
88,22440,25350,840,66
89,22440,26606,840,84
90,22440,26385,840,89
91,22500,26393,840,7
92,22500,24487,0,152
93,22500,24403,900,146
94,22500,24295,900,145
95,22500,26266,900,120
96,22500,26269,900,119
97,22560,25373,1560,13
98,22620,25689,1020,129
99,22620,26649,1620,131
100,22620,25886,960,130
101,22680,26252,1080,116
102,22680,26607,1020,121
103,22740,26581,1140,147
104,22740,26509,1140,119
105,22740,26105,1680,5
106,22740,26506,1140,120
107,22800,26827,600,15
108,22800,30084,1560,21
109,22800,26591,1200,122
110,22800,26861,1200,35
111,22800,24011,0,144
112,22800,26185,1800,4
113,22800,26462,0,106
114,22800,25507,0,44
115,22800,26359,0,105
116,22800,30241,2100,20
117,22860,26805,1260,89
118,22860,24545,0,141
119,22860,25929,1260,129
120,22920,26285,1860,5
121,22920,25964,660,110
122,22920,25598,0,109
123,22920,26119,1320,67
124,22980,26935,1380,90
125,22980,26246,1320,130
126,22980,26441,1380,115
127,22980,26749,1380,119
128,22980,26746,1380,120
129,23040,24943,1440,146
130,23040,26306,1380,130
131,23040,26967,1380,121
132,23040,24835,1440,145
133,23040,26425,2040,4
134,23100,27134,2100,132
135,23100,26169,1500,129
136,23100,24648,0,114
137,23100,26866,1260,6
138,23220,26989,1620,119
139,23220,26986,1620,120
140,23220,26585,2160,5
141,23280,26852,1680,116
142,23280,26190,1680,66
143,23280,27225,1680,89
144,23280,26665,2280,4
145,23340,27506,1740,84
146,23340,27131,1740,122
147,23340,27367,1140,15
148,23340,24887,1740,113
149,23340,30624,2100,21
150,23340,27002,540,106
151,23400,25811,0,97
152,23400,27859,3600,1
153,23400,26149,0,12
154,23400,27955,0,64
155,23400,25294,0,74
156,23400,26742,0,71
157,23400,26594,0,104
158,23400,24844,0,111
159,23400,25466,0,50
160,23400,26469,1800,129
161,23400,25598,0,138
162,23400,25819,0,94
163,23400,27273,2400,148
164,23400,25960,0,137
165,23400,25310,0,73
166,23400,26462,0,103
167,23400,27955,0,65
168,23400,25791,0,98
169,23400,26247,0,85
170,23400,26219,0,86
171,23400,26078,480,109
172,23400,25886,0,123
173,23400,27284,0,33
174,23400,25234,0,124
175,23400,24883,0,154
176,23400,27241,1800,147
177,23400,25884,0,51
178,23400,25144,0,142
179,23400,25776,0,11
180,23400,27373,0,14
181,23460,27226,1860,120
182,23460,26825,2400,5
183,23520,27549,2520,131
184,23520,27079,720,105
185,23520,25423,1920,146
186,23520,27289,1920,119
187,23520,26786,1860,130
