new_index,s_time,e_time,delta_time,old_index
0,0,4365,0,220
1,0,2381,0,383
2,0,2503,0,542
3,15900,21494,0,182
4,16080,23306,0,166
5,16800,21110,0,97
6,16800,19311,0,207
7,16800,21369,0,181
8,16920,24146,840,166
9,17340,21909,540,181
10,17400,20332,0,215
11,17400,23079,0,443
12,17400,24368,0,723
13,17400,19717,0,543
14,17640,24866,1560,166
15,17880,22449,1080,181
16,17940,20257,540,543
17,18000,20265,0,523
18,18000,22453,0,706
19,18000,26156,0,419
20,18000,20113,0,333
21,18000,20122,0,697
22,18000,21454,0,656
23,18000,21658,0,119
24,18000,22227,0,277
25,18000,20825,0,243
26,18000,22640,0,518
27,18000,20495,0,722
28,18000,21360,0,367
29,18000,23087,0,299
30,18000,19994,0,588
31,18000,21384,0,531
32,18000,19909,0,589
33,18000,20265,0,721
34,18000,22740,0,319
35,18000,19996,0,138
36,18000,21189,0,607
37,18000,22167,0,362
38,18000,20507,0,601
39,18000,22297,0,708
40,18000,22005,0,524
41,18000,22996,0,375
42,18000,21217,0,530
43,18000,20457,0,529
44,18000,22399,0,549
45,18000,21258,0,358
46,18000,21968,0,121
47,18000,23521,0,665
48,18000,22667,0,512
49,18000,20346,0,384
50,18000,21433,0,313
51,18000,20834,0,623
52,18000,20049,0,227
53,18000,20005,0,667
54,18000,20974,0,689
55,18000,22361,0,513
56,18000,21347,0,690
57,18000,20838,0,221
58,18060,20406,60,384
59,18060,22975,0,664
60,18060,20532,0,148
61,18060,19865,0,609
62,18120,21249,0,311
63,18120,21192,0,274
64,18240,20241,0,541
65,18300,21517,300,530
66,18300,25526,2220,166
67,18420,20915,420,722
68,18420,22989,1620,181
69,18420,20685,420,721
70,18480,20826,480,384
71,18480,21305,480,243
72,18480,21827,480,690
73,18480,21454,480,689
74,18540,24484,0,196
75,18540,20857,1140,543
76,18600,25568,1200,723
77,18600,21148,0,674
78,18600,23709,0,145
79,18600,22931,0,155
80,18600,22370,0,686
81,18600,22484,0,640
82,18600,22335,0,611
83,18600,22363,0,185
84,18600,22667,0,382
85,18600,21317,0,337
86,18600,20639,0,238
87,18600,21174,0,204
88,18660,22887,660,277
89,18720,24241,720,665
90,18720,23360,720,518
91,18720,22153,720,313
92,18780,20776,780,138
93,18780,23447,780,512
94,18840,21335,840,722
95,18840,23007,840,362
96,18840,22200,840,367
97,18840,23201,840,513
98,18840,21772,1440,215
99,18840,21105,840,721
100,18900,22635,300,611
101,18900,20901,660,541
102,18900,22117,900,530
103,18900,21645,0,378
104,18900,24494,3000,182
105,18900,22968,0,102
106,18960,21934,960,689
107,18960,23875,900,664
108,18960,21785,960,243
109,18960,21467,960,601
110,18960,22307,960,690
111,19020,23589,2220,181
112,19020,26246,2940,166
113,19080,21918,1080,221
114,19080,25024,540,196
115,19080,24759,1680,443
116,19140,21385,0,332
117,19140,21457,1740,543
118,19140,21486,1140,384
119,19140,23856,0,556
120,19200,22963,600,185
121,19200,23212,0,525
122,19200,22297,0,357
123,19200,22884,0,194
124,19200,21672,1140,148
125,19200,22537,0,657
126,19200,21893,0,499
127,19200,21703,19200,542
128,19200,22690,0,388
129,19200,22874,0,348
130,19200,21331,0,396
131,19200,21916,0,626
132,19200,21434,0,522
133,19200,21840,0,627
134,19200,23694,0,507
135,19200,24437,0,635
136,19200,23411,0,398
137,19200,23347,0,303
138,19200,21662,0,390
139,19200,23783,0,320
140,19200,23666,0,397
141,19200,21917,600,337
142,19260,23578,0,385
143,19260,22714,1260,656
144,19260,21755,1260,722
145,19260,21525,1260,721
146,19260,22332,1140,274
147,19260,23265,1260,524
148,19260,22137,0,266
149,19320,23288,1320,121
150,19320,22929,0,229
151,19320,24053,0,180
152,19380,24901,1380,665
153,19440,22873,1440,313
154,19440,22265,1440,243
155,19440,22787,1440,690
156,19440,22414,1440,689
157,19440,23771,840,155
158,19500,24240,1500,319
159,19500,21957,1500,529
160,19500,25094,3600,182
161,19500,25111,0,183
162,19560,23707,360,303
163,19620,23383,1020,185
164,19620,23355,1020,611
165,19620,21659,1020,238
166,19680,21945,1680,721
167,19680,22175,1680,722
168,19680,23747,1080,382
169,19740,24101,1740,513
170,19740,22247,1740,601
171,19740,25684,1200,196
172,19740,23907,1740,362
173,19740,23100,1740,367
174,19740,23124,1740,531
175,19740,23273,0,29
176,19800,24272,0,335
177,19800,22301,0,497
178,19800,22413,0,537
179,19800,24986,0,503
180,19800,24887,1800,299
181,19800,24925,0,355
182,19800,24385,0,334
183,19800,23139,0,645
184,19800,21931,600,396
185,19800,22785,0,500
186,19800,23298,0,533
187,19800,23030,0,241
188,19800,24369,3000,181
189,19800,24362,0,483
190,19800,24796,1800,375
191,19800,23003,0,672
192,19800,22171,0,528
193,19800,23925,0,551
194,19800,23698,0,250
195,19800,22422,0,536
196,19800,23842,0,345
197,19800,25090,0,651
198,19800,22517,1200,337
199,19800,22573,0,323
200,19800,24929,0,453
201,19800,23332,0,544
202,19800,22782,0,273
203,19800,22419,0,373
204,19800,23477,0,246
205,19800,21919,0,698
206,19800,21797,0,668
207,19800,23355,0,410
208,19800,23557,0,275
209,19800,22117,2400,543
210,19800,22634,1800,623
211,19800,22829,0,244
212,19800,24456,0,432
213,19800,22403,0,374
214,19800,21023,0,151
215,19800,22930,0,606
216,19800,22693,0,701
217,19800,24417,0,572
218,19800,26768,2400,723
219,19800,23812,0,87
220,19800,27026,3720,166
221,19800,24106,0,279
222,19800,23848,0,256
223,19800,22762,0,505
224,19800,24317,0,57
225,19800,21796,1800,138
226,19800,22044,0,308
227,19800,24467,1800,512
228,19800,25692,0,445
229,19800,22732,2400,215
230,19800,24584,0,264
231,19860,23595,1260,611
232,19860,25381,1860,665
233,19860,22363,19860,542
234,19860,23474,0,368
235,19860,22206,1860,384
236,19860,22295,0,360
237,19860,24429,3060,181
238,19860,23077,1860,530
239,19860,24298,0,663
240,19920,23267,1920,690
241,19920,23683,1320,185
242,19920,23655,1320,611
243,19920,22894,1920,689
244,19920,24582,0,315
245,19920,22745,1920,243
246,19920,23925,1920,524
247,19920,22524,0,581
248,19920,22533,120,537
249,19980,22188,0,324
250,19980,22491,3180,207
251,19980,23109,1860,311
252,20040,25149,1440,145
253,20040,22153,2040,333
254,20040,25277,840,635
255,20040,22860,0,691
256,20040,24267,2040,277
257,20040,24773,720,180
258,20040,22285,900,332
259,20100,22852,0,74
260,20100,22793,900,499
261,20100,22365,2100,721
262,20100,24482,0,80
263,20100,22595,2100,722
264,20100,22776,0,240
265,20100,23443,0,312
266,20160,23593,2160,313
267,20160,22541,20160,383
268,20160,22199,1560,238
269,20160,24491,1560,155
270,20220,24367,1020,303
271,20220,22221,1980,541
272,20220,22537,2820,543
273,20220,25741,2220,665
274,20220,24050,0,30
275,20280,24598,1020,385
276,20280,23309,480,244
277,20280,23118,2280,221
278,20280,24507,2280,277
279,20280,24347,1680,382
280,20340,22686,2340,384
281,20340,25124,540,264
282,20340,22802,1140,390
283,20340,24308,2340,121
284,20340,25007,2340,512
285,20340,22959,540,373
286,20340,23794,2340,656
287,20340,22812,2280,148
288,20340,23949,1020,229
289,20340,23557,2340,530
290,20340,24024,1140,194
291,20340,25144,0,52
