new_index,s_time,e_time,delta_time,old_index
0,22800,25860,0,4
1,22800,25798,0,5
2,22800,25639,0,44
3,23400,26127,0,18
4,23400,26048,0,19
5,23400,25376,0,42
6,23400,25419,0,43
7,27000,27952,0,46
8,28800,31212,0,1
9,28800,31819,0,17
10,30600,31555,0,45
11,33600,36850,0,11
12,34200,37209,0,16
13,36000,38485,0,0
14,37200,40198,14400,5
15,37200,40260,14400,4
16,37200,40039,14400,44
17,37800,40448,14400,19
18,37800,40527,14400,18
19,37800,39776,14400,42
20,37800,39819,14400,43
21,41400,43812,12600,1
22,48300,50785,12300,0
23,51600,54439,28800,44
24,51600,54660,28800,4
25,51600,54598,28800,5
26,52200,54848,28800,19
27,52200,54927,28800,18
28,52200,54219,28800,43
29,52200,54176,28800,42
30,56400,59650,22800,11
31,57600,60619,28800,17
32,59400,60352,32400,46
33,61200,63612,32400,1
34,63000,63955,32400,45
35,63000,66009,28800,16
36,66000,69060,43200,4
37,66000,68998,43200,5
38,66000,68839,43200,44
39,66600,69248,43200,19
40,66600,69327,43200,18
41,66600,68576,43200,42
42,66600,68619,43200,43
43,68400,70885,32400,0
44,73800,75776,50400,42
45,73800,76527,50400,18
46,73800,75819,50400,43
47,73800,76448,50400,19
48,75600,78012,46800,1
49,80400,82885,44400,0
