new_index,s_time,e_time,delta_time,old_index
0,19200,27729,0,33
1,19800,26253,0,25
2,19800,28619,0,36
3,20400,23236,0,37
4,20400,23308,0,38
5,21000,26214,0,115
6,21000,25226,0,99
7,21600,31701,0,35
8,21600,23954,0,90
9,21600,26058,0,69
10,21600,29075,0,22
11,21600,26814,600,115
12,21600,26421,0,76
13,21600,26746,0,17
14,21600,30419,1800,36
15,21660,25886,660,99
16,21660,27300,0,6
17,21660,25099,0,86
18,21720,26554,0,11
19,21720,27836,0,26
20,21900,24766,0,62
21,21900,26302,0,65
22,21900,26397,0,7
23,21900,24218,0,63
24,21900,26013,0,64
25,22140,26366,1140,99
26,22200,27436,0,73
27,22200,28391,0,114
28,22200,29548,0,46
29,22200,28797,0,48
30,22200,25637,0,72
31,22200,30729,3000,33
32,22200,25036,1800,37
33,22200,25108,1800,38
34,22260,28713,2460,25
35,22260,25609,0,103
36,22320,27335,0,67
37,22440,26898,840,69
38,22500,26744,0,68
39,22500,27714,1500,115
40,22500,27321,900,76
41,22500,27345,0,77
42,22500,26046,0,71
43,22500,25949,0,70
44,22560,27425,0,8
45,22560,27057,660,7
46,22560,26962,660,65
47,22620,25486,720,62
48,22620,28811,420,114
49,22680,24998,780,63
50,22680,26793,780,64
51,22740,27886,1140,17
52,22800,27559,0,32
53,22800,26635,0,74
54,22800,25397,0,110
55,22800,27278,0,10
56,22800,26565,0,101
57,22800,26856,0,100
58,22800,26669,0,0
59,22800,26244,0,102
60,22800,25949,0,104
61,22800,28298,0,9
62,22800,26688,0,75
63,22800,26678,0,1
64,22800,27824,0,28
65,22800,29292,0,49
66,22800,31329,0,34
67,22860,27086,1860,99
68,22860,31561,0,45
69,22860,28096,660,73
70,22920,26717,0,105
71,22920,26357,720,72
72,22980,27995,660,67
73,23040,27818,0,66
74,23100,26672,0,98
75,23340,27584,840,68
76,23340,28008,0,27
77,23340,26394,0,87
78,23400,30875,1800,22
79,23400,30642,0,21
80,23400,26864,0,94
81,23400,25876,0,112
82,23400,27897,1500,7
83,23400,25889,0,113
84,23400,28614,2400,115
85,23400,27802,1500,65
86,23400,27667,0,59
87,23400,28245,900,77
88,23400,28057,0,80
89,23400,28060,0,81
90,23400,28221,1800,76
91,23400,32219,3600,36
92,23400,33501,1800,35
93,23400,29118,0,12
94,23400,27648,0,20
95,23400,27858,1800,69
96,23400,27280,0,19
97,23400,27836,0,58
98,23400,24501,0,85
99,23400,27690,0,41
100,23460,26899,1800,86
101,23460,29576,1740,26
102,23460,27573,1560,64
103,23460,26326,1560,62
104,23460,27750,60,41
105,23520,28385,960,8
106,23520,26869,1260,103
107,23520,25838,1620,63
108,23520,28354,1800,11
109,23580,27806,2580,99
110,23580,29134,0,4
111,23700,27137,1500,72
112,23700,28936,1500,73
113,23700,28715,1380,67
114,23760,29951,1560,114
115,23760,27557,840,105
116,23760,27209,1260,70
117,23760,27629,960,0
118,23820,27366,1320,71
119,23820,27698,1020,1
120,23820,26969,1020,104
121,23820,27552,0,128
122,23880,28658,840,66
123,23940,26416,540,112
124,24000,27026,0,111
125,24000,27572,900,98
126,24000,27529,0,14
127,24000,26597,1200,110
128,24000,26873,0,127
129,24000,26908,3600,38
130,24000,29028,0,106
131,24000,28521,0,24
132,24000,27260,0,53
133,24000,26836,3600,37
134,24060,27948,1260,75
135,24060,27895,1260,74
136,24120,27399,0,15
137,24180,28293,2280,64
138,24180,29190,0,18
139,24240,29105,1680,8
140,24240,26558,2340,63
141,24240,28737,2340,7
142,24240,27106,2340,62
143,24240,28698,2640,69
144,24240,28005,1440,101
145,24300,27744,1500,102
146,24300,28526,3300,99
147,24300,28778,1500,10
148,24300,29145,1800,77
149,24300,29840,0,2
150,24300,28356,1500,100
151,24300,28702,2400,65
152,24300,25799,0,89
153,24300,28544,1800,68
154,24300,26789,900,113
155,24360,29596,2160,73
156,24360,29181,2760,76
157,24420,29080,1020,81
158,24420,29077,1020,80
159,24420,25521,1020,85
160,24480,29978,1680,9
161,24480,28747,1080,59
162,24480,28916,1080,58
163,24480,27917,2280,72
164,24540,29318,1500,66
165,24540,29555,2220,67
166,24600,29814,3600,115
167,24600,28119,0,95
168,24600,28397,1680,105
169,24600,27749,1800,104
170,24660,31113,4860,25
171,24780,30016,2580,73
172,24840,28412,1740,98
173,24840,28709,2040,0
174,24900,29126,3900,99
175,24900,28563,0,55
176,24960,29362,3060,65
177,24960,27436,1560,112
178,24960,27826,3060,62
179,24960,29073,3060,64
180,24960,28838,2160,1
181,25020,27338,3120,63
182,25080,28529,2580,70
183,25080,30226,3480,17
184,25080,29945,2520,8
185,25080,33781,2220,45
186,25080,29901,3480,76
187,25080,28626,2580,71
188,25140,29985,2640,77
189,25140,26241,1740,85
190,25140,31256,3420,26
191,25140,28489,2880,103
192,25140,28194,1800,87
193,25140,27737,2340,110
194,25140,30164,2340,28
195,25140,29637,3240,7
196,25140,28166,1140,111
197,25140,31331,2940,114
198,25200,29479,0,97
199,25200,28869,0,60
200,25200,29177,0,61
201,25200,35808,3600,35
202,25200,29333,0,118
203,25200,27689,1800,113
204,25200,27663,0,126
205,25200,30448,2880,67
206,25200,34136,5400,36
207,25200,30058,0,107
208,25200,26710,0,88
209,25200,30240,2160,66
210,25200,29770,2700,68
211,25200,28237,0,30
212,25200,26824,0,130
213,25200,31894,0,43
214,25200,28199,0,51
215,25200,29090,2400,75
216,25200,29035,2400,74
217,25200,28639,3540,86
218,25260,29087,0,117
219,25260,32872,3660,22
220,25260,28617,0,79
221,25260,32908,1860,21
222,25260,28828,3060,72
223,25260,29918,3660,69
224,25260,29829,0,109
225,25320,30620,4320,115
226,25440,30097,2040,80
227,25440,28589,2640,104
228,25440,30100,2040,81
229,25500,30851,3300,73
230,25500,29963,2100,59
231,25560,29494,2640,105
232,25560,29456,2460,98
233,25560,30221,2160,58
234,25680,31052,1500,18
235,25680,30189,4680,99
236,25680,30488,2880,10
237,25680,30209,3780,65
238,25740,27318,0,84
239,25740,29796,2940,100
240,25740,30098,3840,64
241,25800,28118,3900,63
242,25800,34440,3000,34
243,25800,29859,3000,101
244,25800,29499,0,57
245,25800,29561,0,56
246,25800,34440,6600,33
247,25800,28666,3900,62
248,25800,28757,5400,38
249,25800,28664,5400,37
250,25860,30914,4140,11
251,25920,29364,3120,102
252,25920,30090,3120,0
253,25980,31057,3420,8
254,25980,31228,3660,67
255,25980,29548,3780,72
256,25980,30489,4980,99
257,26040,30610,3540,68
258,26040,31066,3540,77
259,26040,31178,4440,76
260,26040,30091,3240,1
261,26040,29504,2640,94
262,26040,31080,3000,66
263,26040,32303,3840,114
264,26100,30886,4200,7
265,26100,28709,2700,112
266,26100,28454,4500,90
267,26100,31598,3300,9
268,26100,31930,0,5
269,26100,27726,0,131
270,26100,29996,3000,98
271,26100,30758,4500,69
272,26100,27201,2700,85
273,26100,28589,2700,113
274,26220,31520,5220,115
275,26340,30274,3420,105
276,26340,29489,3540,104
277,26400,30791,0,108
278,26400,29411,2400,127
279,26400,29580,2400,111
280,26400,30290,3600,75
281,26400,31751,4200,73
282,26400,30098,3900,70
283,26400,29145,3600,110
284,26400,30235,3600,74
285,26400,30909,5400,99
286,26460,30818,4560,64
287,26460,30314,3960,71
288,26460,31120,3060,81
289,26460,31117,3060,80
290,26520,29386,4620,62
291,26580,28898,4680,63
292,26580,31229,0,122
293,26580,28158,840,84
294,26640,31301,3240,58
295,26640,31680,3600,66
296,26640,31103,3240,59
297,26700,31777,4140,8
298,26700,30049,4440,103
299,26700,31229,4800,65
300,26760,32008,4440,67
301,26760,30656,3660,98
302,26760,30760,1860,55
303,26820,31759,0,3
304,26820,30388,4620,72
305,26880,30549,1680,60
306,26880,31957,4320,8
307,26940,29429,3540,113
308,26940,31966,4440,77
309,26940,32240,5940,115
310,26940,31510,4440,68
311,26940,28041,3540,85
312,26940,33203,4740,114
313,26940,29549,3540,112
314,27000,37608,5400,35
315,27000,35936,7200,36
316,27000,31658,5400,69
317,27000,30672,0,129
318,27000,32138,5400,76
319,27060,31846,5160,7
320,27060,31350,3660,41
321,27060,31111,4260,1
322,27060,30499,5400,86
323,27120,31290,4320,0
324,27120,32838,3720,12
325,27120,33650,5400,26
326,27180,32531,4980,73
327,27240,31174,4320,105
328,27300,30868,5100,72
329,27300,31277,2100,61
330,27300,31359,4500,101
331,27300,30449,4500,104
332,27300,29618,5400,63
333,27360,31718,5460,64
334,27360,33935,7560,25
335,27360,30226,5460,62
336,27360,31416,4560,100
337,27360,30879,2760,95
338,27360,31889,5460,65
339,27420,30864,4620,102
340,27480,32728,5160,67
341,27480,32520,4440,66
342,27480,32140,4080,81
343,27540,35188,4140,21
344,27540,32912,3360,18
345,27540,30285,4740,110
346,27540,32197,4140,80
347,27540,31436,4440,98
348,27600,32847,4800,28
349,27600,31490,4800,75
350,27600,32109,6600,99
351,27600,30464,7200,37
352,27600,32169,2340,109
353,27600,30557,7200,38
354,27600,29178,1860,84
355,27600,30780,3600,111
356,27600,30654,4260,87
357,27600,32426,4260,27
358,27600,30063,2400,126
359,27660,32960,6660,115
360,27660,32321,4260,58
361,27660,31495,4860,74
362,27720,32183,4320,59
363,27720,31574,5220,71
364,27720,32797,5160,8
365,27720,33218,4920,9
366,27780,32588,4980,10
367,27780,31478,5280,70
368,27780,32438,6180,69
369,27840,30329,4440,113
370,27840,32866,5340,77
371,27840,32410,5340,68
372,27900,32686,6000,7
373,27900,29001,4500,85
374,27900,32772,0,31
375,27900,29410,2700,88
376,27960,33098,6360,76
377,27960,30569,4560,112
378,28080,32609,6180,65
379,28080,32131,5280,1
380,28140,31139,2940,51
381,28140,32036,5040,98
382,28140,33491,5940,73
383,28140,31177,2940,30
384,28140,32310,5340,0
385,28140,29764,2940,130
386,28140,32498,6240,64
387,28140,34403,5940,114
388,28140,31006,6240,62
389,28140,33489,6540,17
390,28200,36840,9000,33
391,28200,33448,5880,67
392,28200,30994,0,121
393,28200,33240,5160,66
394,28260,30578,6360,63
395,28260,31828,6060,72
396,28260,31409,5460,104
397,28320,32254,5400,105
398,28320,31669,6060,103
399,28380,33680,7380,115
400,28500,30078,2760,84
401,28500,33160,5100,81
402,28500,32500,3600,55
403,28500,33157,5100,80
404,28560,34823,6360,114
405,28680,33757,6120,8
406,28680,33466,6780,7
407,28680,32736,5880,100
408,28740,32636,5640,98
409,28740,32988,5340,20
410,28740,33310,6240,68
411,28740,33203,5340,59
412,28740,31229,5340,113
413,28740,33398,7140,69
414,28740,32630,5940,75
415,28740,29841,5340,85
416,28740,32620,5340,19
417,28800,37736,9000,36
418,28800,39408,7200,35
419,28800,30784,0,40
420,28800,33826,6300,77
421,28800,30701,0,39
422,28800,37440,6000,34
423,28800,32510,0,54
424,28800,29829,0,125
425,28800,32239,7140,86
426,28800,31811,4800,127
