new_index,s_time,e_time,delta_time,old_index
0,19200,24334,0,118
1,21600,24986,0,75
2,21660,25942,0,138
3,22200,25380,0,50
4,22320,27604,0,111
5,22560,26842,900,138
6,22620,26006,1020,75
7,22800,28352,0,145
8,22800,25556,0,78
9,23100,27574,0,109
10,23160,26340,960,50
11,23400,26824,0,84
12,23400,30556,0,134
13,23400,26270,0,37
14,23400,26744,0,121
15,23400,25874,0,41
16,23400,26809,0,116
17,23400,25911,0,83
18,23400,26122,0,25
19,23400,25555,0,140
20,23400,25915,0,7
21,23400,26716,0,95
22,23400,25647,0,80
23,23400,28368,0,91
24,23400,27875,0,13
25,23400,26833,0,19
26,23400,27054,0,48
27,23400,27945,0,34
28,23400,25987,0,79
29,23400,25827,0,42
30,23400,27491,0,22
31,23400,26503,0,96
32,23400,25132,0,39
33,23400,26154,0,122
34,23400,29531,0,146
35,23400,26633,0,0
36,23400,25754,0,17
37,23400,25625,0,18
38,23400,26699,0,1
39,23400,28629,0,112
40,23400,26633,0,119
41,23400,27019,0,68
42,23400,26404,0,49
43,23400,26369,0,120
44,23400,28684,1080,111
45,23400,26726,0,47
46,23400,24981,0,40
47,23400,28646,0,98
48,23400,26936,0,51
49,23460,26103,0,124
50,23460,27318,0,114
51,23460,26448,0,148
52,23460,26199,0,123
53,23520,27802,1860,138
54,23580,26966,1980,75
55,23640,26623,0,65
56,23700,27134,0,57
57,23700,26226,0,63
58,23700,28170,0,14
59,23700,26376,0,26
60,23700,26237,0,64
61,23820,29116,0,54
62,23880,29418,0,61
63,23880,25461,480,40
64,23940,26527,540,79
65,23940,26187,540,80
66,24000,27536,600,51
67,24000,29134,4800,118
68,24060,25697,0,8
69,24120,28227,0,21
70,24120,28211,720,22
71,24180,27506,780,47
72,24180,27479,780,1
73,24180,27613,780,19
74,24180,27834,780,48
75,24180,27413,780,0
76,24180,27253,0,20
77,24180,27799,780,68
78,24180,28038,720,114
79,24180,27589,780,116
80,24240,29076,0,92
81,24240,28365,0,62
82,24240,29536,420,54
83,24300,28352,0,87
84,24300,26480,0,139
85,24300,27170,900,37
86,24300,28859,0,88
87,24300,28352,0,87
88,24300,28467,0,113
89,24300,29794,0,46
90,24300,27007,0,29
91,24300,25009,0,28
92,24300,26937,0,69
93,24300,26839,0,100
94,24300,27299,0,30
95,24300,26837,0,10
96,24300,29648,0,45
97,24300,27022,900,25
98,24360,27689,0,58
99,24360,28039,0,59
100,24360,29898,480,61
101,24360,29589,960,112
102,24360,27769,0,90
103,24420,29704,2100,111
104,24420,28965,1020,34
105,24480,26061,1080,40
106,24480,28762,2820,138
107,24480,27463,840,65
108,24480,27266,0,89
109,24540,27066,840,63
110,24540,27077,840,64
111,24540,27945,0,36
112,24540,29014,1440,109
113,24600,27931,0,81
114,24600,27276,900,26
115,24600,27187,1200,79
116,24600,27243,1140,124
117,24600,30152,1800,145
118,24600,26847,1200,80
119,24600,27604,1200,49
120,24660,28196,1260,51
121,24660,26392,1260,39
122,24720,27459,1260,123
123,24840,27809,1440,120
124,24840,28668,0,52
125,24840,28931,1440,22
126,24900,28309,540,90
127,24900,28226,1500,47
128,24960,27426,0,115
129,24960,28579,1560,68
130,24960,28259,1560,1
131,24960,30454,660,46
132,24960,27129,0,73
133,24960,28193,1560,0
134,24960,28393,1560,19
135,24960,28614,1560,48
136,24960,28033,780,20
137,25020,27727,720,29
138,25020,29145,780,62
139,25020,28406,3420,75
140,25020,30368,720,45
141,25080,28489,1680,116
142,25080,29639,780,88
143,25080,27595,1680,7
144,25080,29132,780,87
145,25140,26721,1740,40
146,25140,29307,840,113
147,25140,28484,1740,121
148,25200,27164,0,104
149,25200,26578,0,153
150,25200,27408,0,136
151,25200,27495,1800,80
152,25200,28973,0,155
153,25200,31331,1800,146
154,25200,27865,0,131
155,25200,29549,0,130
156,25200,27435,0,6
157,25200,29684,1800,122
158,25200,25804,0,102
