new_index,s_time,e_time,delta_time,old_index
0,18000,20569,0,60
1,19800,21705,0,76
2,19800,22271,0,196
3,19800,23145,0,74
4,20400,23389,0,160
5,20400,21975,0,168
6,20460,23394,0,88
7,20700,25861,0,171
8,20760,23329,2760,60
9,21000,21598,0,82
10,21000,23989,600,160
11,21000,21853,0,120
12,21420,24354,960,88
13,21540,24529,1140,160
14,21600,24677,0,26
15,21600,27038,0,123
16,21600,24558,0,164
17,21600,22453,0,40
18,21600,24945,1800,74
19,21600,23974,0,200
20,21600,23465,0,201
21,21600,25921,0,144
22,21600,24815,0,143
23,21600,25298,0,66
24,21600,25188,0,67
25,21600,25057,0,119
26,21600,24417,0,179
27,21600,24297,0,178
28,21600,25135,0,96
29,21600,25300,0,118
30,21600,25901,0,90
31,21600,25558,0,91
32,21600,23516,0,198
33,21600,24327,0,191
34,21600,24830,0,186
35,21600,25026,0,72
36,21600,24348,0,135
37,21600,25280,0,92
38,21600,25087,0,20
39,21600,25642,0,78
40,21600,25007,0,21
41,21600,24925,0,35
42,21600,26704,0,38
43,21600,26390,0,42
44,21600,26555,0,104
45,21600,26739,0,13
46,21600,25939,0,152
47,21600,26855,0,103
48,21600,26366,0,158
49,21600,27326,0,153
50,21600,26654,0,102
51,21600,24680,0,165
52,21600,24473,0,190
53,21600,24715,0,166
54,21600,24435,0,59
55,21600,25469,0,174
56,21600,24011,0,181
57,21600,25082,0,49
58,21600,24641,0,145
59,21600,24271,0,93
60,21660,24989,0,73
61,21660,26923,0,122
62,21660,26707,0,105
63,21660,26727,0,12
64,21660,25247,0,128
65,21660,25258,0,187
66,21660,25075,0,146
67,21660,24919,0,97
68,21660,25107,0,79
69,21720,25935,0,43
70,21840,24607,0,136
71,22020,27458,420,123
72,22080,25487,480,21
73,22080,27343,420,122
74,22140,24811,540,93
75,22140,25129,1740,160
76,22140,25181,540,145
77,22140,25597,540,119
78,22200,26602,0,70
79,22200,25735,600,96
80,22200,25807,0,61
81,22200,24870,0,176
82,22200,27339,600,13
83,22200,24855,0,177
84,22200,26263,0,52
85,22200,25615,540,146
86,22200,26718,0,100
87,22200,25687,600,20
88,22260,25940,660,92
89,22260,27327,600,12
90,22260,26475,540,43
91,22260,25850,0,62
92,22260,26723,0,71
93,22260,26022,0,175
94,22320,27275,720,104
95,22320,26677,0,101
96,22320,25579,660,97
97,22320,27367,660,105
98,22320,26020,720,118
99,22380,25314,1920,88
100,22380,25595,780,143
101,22440,25555,840,166
102,22440,27494,840,102
103,22440,27695,840,103
104,22440,26482,840,78
105,22440,26761,840,144
106,22440,25520,840,165
107,22500,27604,900,38
108,22500,27290,900,42
109,22500,25730,900,186
110,22500,25947,840,79
111,22500,24464,0,56
112,22500,26087,840,128
113,22500,26098,840,187
114,22500,27266,900,158
115,22500,27938,900,123
116,22500,25926,900,72
117,22560,25308,960,135
118,22560,24465,2760,76
119,22560,25889,900,73
120,22560,26429,960,174
121,22560,25031,2760,196
122,22620,27883,960,122
123,22680,25721,1080,145
124,22680,26137,1080,119
125,22680,26087,1080,21
126,22740,25507,900,136
127,22740,25411,1140,93
128,22740,25151,1140,181
129,22740,26420,1140,92
130,22740,26155,1080,146
131,22800,27029,0,140
132,22800,26855,0,3
133,22800,25789,2400,160
134,22800,26944,0,51
135,22800,26147,0,106
136,22800,26171,0,107
137,22800,28001,0,117
138,22800,26761,0,64
139,22800,26744,0,170
140,22800,27201,0,139
141,22800,27275,0,98
142,22800,25977,0,80
143,22800,26863,600,52
144,22800,27584,0,116
145,22800,28336,0,39
146,22800,26335,1200,96
147,22800,26287,1200,20
148,22800,26693,0,2
149,22800,27864,0,11
150,22800,26866,0,99
151,22800,27086,0,162
152,22800,29643,0,149
153,22800,27939,1200,13
154,22800,26992,0,161
155,22800,26961,0,63
156,22800,27037,0,36
157,22860,27927,1200,12
158,22860,27765,0,37
159,22860,27075,1140,43
160,22860,26454,0,10
161,22860,29626,0,150
162,22860,27024,0,169
163,22920,27875,1320,104
164,22920,25945,0,159
165,22980,28141,2280,171
166,22980,28418,1380,123
167,22980,27498,780,100
168,23040,28087,1380,105
169,23100,26800,1500,118
170,23100,28363,1440,122
171,23100,26587,1500,20
172,23100,26445,3300,74
173,23160,26419,1500,97
174,23160,24735,2760,168
175,23220,27683,960,71
176,23220,25891,1620,93
177,23220,27622,1020,70
178,23220,26627,1620,21
179,23220,26261,1620,145
180,23280,27173,480,2
181,23280,27601,1680,144
182,23280,26695,1620,146
183,23280,26870,1020,62
184,23280,27637,960,101
185,23280,26495,1680,143
186,23340,26455,1740,166
187,23340,26420,1740,165
188,23340,28595,1740,103
189,23340,27501,540,63
190,23340,26947,1140,61
191,23340,27301,540,64
192,23340,26570,1740,186
193,23340,27020,1740,92
194,23340,26274,2880,88
195,23400,27108,0,1
196,23400,27455,600,3
197,23400,28539,1800,13
198,23400,26729,1740,73
199,23400,27637,600,36
200,23400,27269,1800,174
201,23400,24354,0,147
202,23400,25221,0,157
203,23400,26670,0,89
204,23400,24449,0,202
205,23400,26847,1740,79
206,23400,27981,0,15
207,23400,26273,1800,190
208,23400,28105,0,189
209,23400,28021,0,6
210,23400,27190,0,31
211,23400,24389,0,203
212,23400,26657,0,34
213,23400,26630,0,138
214,23400,26354,0,197
215,23400,26857,1800,119
216,23400,26826,1800,72
217,23400,24434,0,148
218,23400,28467,1740,12
219,23400,26611,0,137
220,23400,26127,1800,191
221,23400,24593,0,130
222,23400,28305,540,37
223,23400,28504,1800,38
224,23400,28166,1800,158
225,23400,24558,0,53
226,23400,24592,0,129
227,23400,26987,1740,128
228,23400,25798,0,180
229,23400,27442,1800,78
230,23400,24787,0,54
231,23400,24185,0,19
232,23400,28091,0,7
233,23400,26887,1800,20
234,23400,27805,0,25
235,23400,28190,1800,42
236,23400,28046,0,9
237,23460,27515,660,3
238,23460,28898,1860,123
239,23460,26405,0,30
240,23460,26995,1860,96
241,23460,27222,1200,175
242,23460,26379,0,29
243,23460,27058,1800,187
244,23520,28304,720,116
245,23520,28783,1860,122
246,23520,26268,1920,135
247,23520,28574,1920,102
248,23520,27583,1320,52
249,23520,26089,5520,60
250,23580,27146,0,0
251,23580,27724,780,51
252,23580,27473,780,2
253,23640,26629,3240,160
254,23640,27855,1920,43
255,23640,27706,840,99
256,23640,26665,720,159
257,23640,26407,1800,136
258,23700,28901,900,117
259,23700,27644,900,170
260,23700,29236,900,39
261,23700,27892,900,161
262,23700,26371,2100,93
263,23700,27107,2100,21
264,23700,27986,900,162
265,23700,28655,2100,104
266,23700,27071,900,107
267,23700,27380,2100,92
268,23760,24613,2760,120
269,23760,27107,960,106
270,23760,28278,1560,100
271,23760,27175,2100,146
272,23760,28235,960,98
273,23760,26801,2160,145
274,23760,27924,900,169
275,23760,27460,2160,118
276,23820,27079,2160,97
277,23820,28867,2160,105
278,23820,27781,1020,64
279,23880,27415,2280,96
280,23940,30706,1080,150
281,23940,26595,1740,177
282,23940,26610,1740,176
283,23940,28101,1140,63
284,24000,26411,2400,181
285,24000,29263,2340,122
286,24000,28055,1200,3
287,24000,29139,2400,13
288,24000,28401,1200,139
289,24000,30843,1200,149
290,24000,28229,1200,140
291,24000,29438,2400,123
292,24000,27476,0,48
293,24000,27487,2400,20
294,24060,27275,2460,143
295,24060,29127,2400,12
296,24060,29124,1260,11
297,24060,27654,1200,10
298,24120,27200,2520,165
299,24120,28836,0,188
300,24120,27235,2520,166
301,24120,28441,2520,144
302,24120,28357,1320,36
303,24120,28910,2520,42
304,24180,27114,3720,88
305,24180,26851,2580,93
306,24180,27770,1920,62
307,24180,29085,1320,37
308,24180,28582,1980,70
309,24180,28537,1860,101
310,24240,28133,1440,2
311,24240,28303,2040,52
312,24240,26376,0,125
313,24240,26376,0,124
314,24240,27920,2640,92
315,24240,27470,2640,186
316,24300,29555,2700,103
317,24300,29836,1500,39
318,24300,28342,2700,78
319,24300,28169,2700,174
320,24300,27747,2640,79
321,24300,27887,2640,128
322,24300,28444,1500,51
323,24300,29084,1500,116
324,24300,27707,2700,21
325,24300,27629,2640,73
326,24300,28515,2580,43
327,24300,27726,2700,72
328,24300,27757,2700,119
329,24300,28261,1500,64
330,24300,29066,2700,158
331,24300,27898,2640,187
332,24300,28763,2040,71
333,24300,27341,2700,145
334,24360,27195,2760,59
335,24360,28058,2760,66
336,24360,28426,1560,99
337,24360,28661,2760,90
338,24360,28318,2760,91
339,24360,29464,2760,38
340,24360,26734,2760,200
341,24360,27571,960,137
342,24360,26225,2760,201
343,24360,27630,960,89
344,24360,28122,2100,175
345,24360,27437,2760,26
346,24360,27842,2760,49
347,24360,27967,2160,61
348,24360,27057,2760,178
349,24360,29414,2760,102
350,24360,27775,2700,146
351,24360,27685,2760,35
352,24360,27948,2760,67
353,24360,27177,2760,179
354,24360,28835,1560,98
355,24360,25213,2760,40
356,24420,27168,2820,135
357,24420,29858,2820,123
358,24420,27791,1620,107
359,24480,27247,2640,136
360,24480,28015,2880,96
361,24480,29435,2880,104
362,24480,27776,0,75
363,24480,28644,1620,169
364,24480,27827,1680,106
365,24480,28180,2880,118
366,24540,29587,2880,105
367,24540,28701,1740,63
368,24540,27799,2880,97
369,24540,28459,0,17
370,24600,29801,1800,117
371,24600,29863,2940,122
372,24600,27777,1800,80
373,24600,28087,3000,20
374,24600,28886,1800,162
375,24600,28050,0,205
376,24600,29761,3900,171
377,24600,29739,3000,13
378,24600,28792,1800,161
379,24660,30255,0,172
380,24660,29727,3000,12
381,24660,28715,1860,3
382,24660,28005,4860,74
383,24660,29178,2460,100
384,24660,28340,3060,92
385,24660,27331,3060,93
386,24720,28664,1920,170
387,24720,27745,1800,159
388,24720,27709,4320,160
389,24780,28105,0,22
390,24840,28247,3240,21
391,24840,29745,1980,37
392,24840,27955,3240,166
393,24840,27920,3240,165
394,24840,28801,2040,64
395,24840,27881,3240,145
396,24840,28255,3180,146
397,24840,29630,3240,42
398,24900,28387,3300,20
399,24900,29305,1500,25
400,24900,29221,3300,144
401,24900,28914,0,24
402,24900,30338,3300,123
403,24900,29137,2100,36
404,24900,28130,1500,138
405,24900,28115,3300,143
406,24900,30436,2100,39
407,24960,28853,2160,2
408,24960,28076,0,23
409,24960,29023,2760,52
410,24960,29104,2160,51
411,24960,29361,2160,139
412,24960,28550,2700,62
413,25080,29864,2280,116
414,25080,29309,2280,140
415,25080,29437,2760,101
416,25080,30343,3420,122
417,25140,31983,2340,149
418,25140,30095,3540,104
419,25140,29355,3420,43
420,25140,28840,3540,118
