new_index,s_time,e_time,delta_time,old_index
0,0,3652,0,339
1,0,4777,0,489
2,0,2136,0,8
3,0,4826,0,437
4,0,5479,0,515
5,0,5409,0,516
6,0,4445,0,297
7,0,3117,0,1
8,0,4181,0,289
9,0,4414,0,287
10,0,2690,0,631
11,0,4865,0,488
12,0,2190,0,657
13,600,3256,0,966
14,600,4312,0,968
15,600,5175,0,888
16,900,4147,0,340
17,1080,4197,1080,1
18,1200,3961,0,0
19,1200,3890,1200,631
20,1200,5554,0,654
21,2100,5217,2100,1
22,2400,5647,1500,340
23,3000,5761,1800,0
24,3900,7017,3900,1
25,5700,8817,5700,1
26,6600,9361,5400,0
27,9300,12417,9300,1
28,10200,12961,9000,0
29,12840,15957,12840,1
30,13800,16561,12600,0
31,16140,18901,14940,0
32,16500,19617,16500,1
33,16800,26463,0,26
34,17400,22036,0,579
35,17940,20701,16740,0
36,18000,26704,0,25
37,18000,20142,0,9
38,18000,24560,0,194
39,18000,20321,0,852
40,18000,24258,0,55
41,18000,20035,0,412
42,18000,20215,0,658
43,18000,22660,0,439
44,18000,24944,0,23
45,18000,26698,0,840
46,18000,22602,0,85
47,18000,22865,18000,488
48,18000,18389,0,1077
49,18000,20018,0,851
50,18000,24350,0,58
51,18000,22828,0,582
52,18000,25872,0,19
53,18000,22371,0,440
54,18000,22030,0,51
55,18000,22777,18000,489
56,18000,20782,0,583
57,18000,21609,0,456
58,18000,20669,0,653
59,18060,21358,0,967
60,18540,23317,18540,489
61,18600,21473,0,129
62,18600,22919,0,64
63,18600,21568,0,336
64,18600,20742,600,9
65,18600,21428,0,337
66,18600,23465,18600,488
67,18600,20640,0,130
68,18600,21757,0,605
69,18720,24978,720,55
70,18840,22449,840,456
71,18840,21055,840,658
72,18840,23442,840,85
73,18840,22706,0,457
74,18840,23211,840,440
75,18900,24428,0,798
76,18900,23560,900,439
77,18900,23478,0,514
78,18900,20935,900,412
79,18900,25250,900,58
80,18900,22419,0,672
81,18900,21661,17700,0
82,18900,21569,900,653
83,18900,21958,0,627
84,18900,23536,1500,579
85,18900,21508,0,183
86,18900,20940,300,130
87,19080,25527,0,860
88,19140,24668,240,798
89,19140,23917,19140,489
90,19140,22257,19140,1
91,19200,21521,1200,852
92,19200,23648,0,290
93,19200,22373,0,919
94,19200,22498,1140,967
95,19200,22579,0,460
96,19200,21965,0,632
97,19200,22327,0,302
98,19200,21276,0,405
99,19200,21218,1200,851
100,19200,21342,1200,9
101,19200,24065,19200,488
102,19200,21543,0,612
103,19200,24115,0,887
104,19260,23708,60,290
105,19260,23997,0,121
106,19260,22387,60,302
107,19260,22869,1260,456
108,19440,22313,840,129
109,19440,22959,540,672
110,19440,21516,240,405
111,19440,25698,1440,55
112,19500,21911,0,546
113,19500,22243,0,367
114,19500,21863,0,403
115,19500,21526,0,316
116,19500,25042,0,350
117,19500,24078,600,514
118,19500,27565,0,61
119,19500,30255,0,15
120,19500,23620,0,773
121,19620,24397,19620,489
122,19620,24222,1620,85
123,19620,21696,420,405
124,19680,26127,600,860
125,19680,24545,19680,488
126,19740,23606,900,457
127,19740,23349,1740,456
128,19740,22501,18540,0
129,19740,21955,1740,658
130,19740,22348,840,183
131,19800,26716,0,871
132,19800,26140,0,532
133,19800,28249,0,837
134,19800,21794,0,661
135,19800,22748,0,523
136,19800,23958,0,503
137,19800,20976,0,1071
138,19800,24163,0,502
139,19800,22126,0,170
140,19800,26360,1800,194
141,19800,25914,0,781
142,19800,22233,0,1089
143,19800,23660,0,564
144,19800,22484,0,427
145,19800,24171,1800,440
146,19800,22920,0,604
147,19800,21762,0,942
148,19800,21800,0,1042
149,19800,27316,0,763
150,19800,24460,1800,439
151,19800,22805,0,1276
152,19800,23045,0,445
153,19800,22969,0,525
154,19800,21910,0,597
155,19800,22845,0,769
156,19800,24113,0,134
157,19800,23699,0,133
158,19800,23429,0,832
159,19800,25179,0,595
160,19800,23808,0,438
161,19800,21791,0,425
162,19800,27681,0,221
163,19800,22936,0,578
164,19800,24912,0,62
165,19800,24436,2400,579
166,19800,22401,0,68
167,19800,25284,0,40
168,19800,24497,0,808
169,19800,22858,900,627
170,19800,22418,0,705
171,19800,22711,0,628
172,19800,22469,1800,653
173,19800,23613,0,986
174,19800,24238,0,513
175,19800,23646,0,985
176,19800,26744,1800,23
177,19800,21980,0,418
178,19800,22383,0,734
179,19800,21942,1800,9
180,19800,24194,0,398
181,19800,22223,0,981
182,19800,21724,0,310
183,19800,24215,0,296
184,19800,24991,0,420
185,19800,21803,0,549
186,19800,25303,0,217
187,19800,21575,0,619
188,19800,22226,0,428
189,19800,21123,0,1014
190,19800,23471,0,588
191,19800,21390,0,1043
192,19800,23466,0,709
193,19800,21313,0,1007
194,19800,22727,0,710
195,19800,20842,0,1013
196,19800,26150,1800,58
197,19800,21658,0,1026
198,19800,23167,0,341
199,19800,21487,0,453
200,19800,21410,0,1019
201,19800,24982,0,879
202,19800,24964,0,431
203,19800,23466,0,711
204,19800,21495,0,452
205,19860,21895,1860,412
206,19860,25363,60,217
207,19860,23495,0,835
208,19860,21936,660,405
209,19860,24597,600,121
210,19860,22626,0,826
211,19920,22263,720,612
212,20040,23559,1140,672
213,20040,24642,2040,85
214,20040,24618,1140,514
215,20100,24877,20100,489
216,20100,22290,20100,657
217,20100,24220,600,773
218,20100,23479,900,460
219,20100,25163,0,203
220,20100,22865,900,632
221,20100,25628,1200,798
222,20100,23913,300,986
223,20100,27981,300,221
224,20160,22296,20160,8
225,20160,24608,960,290
226,20160,26418,2160,55
227,20160,25539,360,595
228,20160,25025,20160,488
229,20160,22236,960,405
230,20160,23287,960,302
231,20220,25411,420,420
232,20280,22898,480,705
233,20280,23889,2280,456
234,20280,25822,780,350
235,20280,26727,1200,860
236,20340,22751,840,546
237,20340,25000,2340,439
238,20340,23101,19140,0
239,20340,25843,540,217
240,20340,24239,540,133
241,20340,22482,2340,9
242,20340,25255,1140,887
243,20340,23090,0,104
244,20340,23969,540,832
245,20340,23213,1740,129
246,20400,25564,600,431
247,20400,23745,0,151
248,20400,22871,0,633
249,20400,24035,540,835
250,20400,23687,0,140
251,20400,22375,0,975
252,20400,23934,0,803
253,20400,23665,0,442
254,20400,23739,0,152
255,20400,28281,600,221
256,20400,23143,900,367
257,20400,22721,2400,852
258,20400,24754,19200,654
259,20400,22095,600,452
260,20400,23942,0,1039
261,20400,23745,0,477
262,20400,23793,0,215
263,20400,22418,2400,851
264,20400,23069,2400,653
265,20400,25969,0,551
266,20400,24845,20400,297
267,20400,25773,0,118
268,20400,24718,0,828
269,20400,23685,0,304
270,20400,25231,0,552
271,20400,22476,1200,405
272,20400,22708,0,354
273,20400,23436,0,1283
274,20400,25162,0,1205
275,20400,24395,0,186
276,20400,24560,0,246
277,20400,23759,0,411
278,20400,23668,0,413
279,20400,22853,0,807
280,20400,22763,900,403
281,20400,24196,0,521
282,20400,23286,0,1275
283,20400,23569,600,525
284,20400,23382,0,1300
285,20400,26403,0,232
286,20400,23236,0,107
287,20400,23417,0,108
288,20400,23391,0,1274
289,20400,24921,0,144
290,20400,22087,600,453
291,20400,23194,0,12
292,20400,22767,0,1287
293,20400,24003,0,157
294,20400,24260,600,564
295,20400,23698,2340,967
296,20400,23158,0,969
297,20400,23397,0,1054
298,20400,24763,600,502
299,20400,23750,0,53
300,20400,25645,0,792
301,20400,23907,0,423
302,20400,23958,0,424
303,20400,25478,0,1206
304,20400,24369,0,491
305,20400,21805,0,1063
306,20400,22440,1800,130
307,20400,27316,600,871
308,20400,22968,0,352
309,20460,25062,2460,85
310,20460,26810,2460,58
311,20460,22253,0,192
312,20460,22936,0,459
313,20460,25197,1200,121
314,20460,22675,2460,658
315,20460,22900,0,311
316,20520,22523,720,549
317,20520,23656,720,578
318,20520,24935,720,296
319,20520,25899,720,595
320,20580,22571,780,425
321,20580,25158,1680,514
322,20580,25295,0,758
323,20580,22574,780,661
324,20580,25357,20580,489
325,20580,24183,180,157
326,20640,23063,840,981
327,20640,25034,840,398
328,20640,24159,1740,672
329,20640,24798,840,503
330,20640,22716,1440,405
331,20640,24506,1800,457
332,20640,24648,840,438
333,20640,23248,1740,183
334,20640,26754,840,781
335,20640,22415,840,619
336,20640,25011,2640,440
337,20640,23698,1740,627
338,20640,25505,20640,488
339,20700,22726,1200,316
340,20700,21779,0,1009
341,20700,22373,0,965
342,20700,22461,0,900
343,20700,24366,900,709
344,20700,25336,3300,579
345,20700,23384,900,427
346,20700,25340,0,143
347,20700,22423,0,1011
348,20700,23457,0,236
349,20700,26050,0,172
350,20700,30152,0,30
351,20700,23648,900,523
352,20700,23817,20700,1
353,20700,23126,900,428
354,20700,25803,0,1128
355,20700,23611,900,628
356,20700,25891,900,420
357,20700,23026,900,170
358,20700,22735,2700,412
359,20700,23789,0,319
360,20700,23283,900,734
361,20700,23043,1500,612
362,20700,23627,900,710
363,20700,24296,0,96
364,20700,24189,0,363
365,20700,22880,900,418
366,20700,23707,0,918
367,20700,22778,0,241
368,20700,22344,0,648
369,20700,25882,900,879
370,20700,22810,900,597
371,20700,23529,0,698
372,20700,23803,0,253
