new_index,s_time,e_time,delta_time,old_index
0,18780,23909,0,16
1,19200,24058,0,113
2,19260,22768,0,31
3,19320,24449,540,16
4,19620,23128,360,31
5,19800,26212,0,203
6,19800,23285,0,12
7,19800,24658,600,113
8,19800,25954,0,204
9,19860,23460,0,195
10,19920,25049,1140,16
11,19980,26031,0,230
12,19980,23097,0,114
13,20100,22982,0,128
14,20100,24373,0,27
15,20100,23496,0,127
16,20100,23156,0,208
17,20400,23282,0,73
18,20400,24430,0,55
19,20400,25191,0,67
20,20400,23820,0,130
21,20400,24517,0,99
22,20400,24103,0,54
23,20460,23577,480,114
24,20460,22937,0,9
25,20520,24028,1260,31
26,20520,24005,720,12
27,20580,25709,1800,16
28,20640,24060,240,130
29,20640,24036,540,127
30,20700,24300,840,195
31,20700,24973,600,27
32,20700,24716,0,51
33,20700,23308,0,237
34,20700,25584,0,186
35,20700,26854,900,204
36,20700,23237,0,19
37,20700,25195,0,212
38,20760,25618,1560,113
39,20880,23762,780,128
40,20880,23936,780,208
41,20880,27292,1080,203
42,21000,24793,0,6
43,21000,25616,0,251
44,21000,25492,0,105
45,21000,24261,0,232
46,21000,23476,0,75
47,21000,23603,0,71
48,21000,24105,0,233
49,21000,24420,600,130
50,21000,23774,0,241
51,21000,23824,0,240
52,21000,25890,0,256
53,21000,24856,0,45
54,21000,24801,0,116
55,21000,24062,0,117
56,21000,25047,0,85
57,21000,25067,0,84
58,21000,25822,0,257
59,21000,24990,0,187
60,21000,25653,0,250
61,21000,24505,0,87
62,21000,24868,0,192
63,21000,23468,0,206
64,21060,24763,660,54
65,21060,23597,360,19
66,21060,25090,660,55
67,21060,24450,0,0
68,21120,24628,1860,31
69,21120,23816,0,53
70,21180,23870,0,266
71,21180,23682,0,267
72,21180,26002,180,257
73,21180,26070,180,256
74,21180,24576,1080,127
75,21240,24357,1260,114
76,21240,23936,120,53
77,21300,24549,0,147
78,21300,26429,2520,16
79,21300,25417,900,99
80,21300,25300,0,134
81,21360,24780,960,130
82,21360,24511,0,219
83,21360,26218,2160,113
84,21360,25633,1260,27
85,21420,24905,1620,12
86,21420,25436,720,51
87,21480,27634,1680,204
88,21480,23948,480,206
89,21540,24236,420,53
90,21540,24077,840,19
91,21600,24651,0,255
92,21600,24850,0,174
93,21600,23509,0,269
94,21600,23662,0,268
95,21600,24732,0,253
96,21600,24567,0,252
97,21600,26490,600,256
98,21600,24961,0,263
99,21600,26074,0,56
100,21600,24897,0,262
101,21600,26140,0,156
102,21600,24935,0,78
103,21600,26316,0,30
104,21600,24828,0,260
105,21600,24748,0,248
106,21600,24953,0,261
107,21600,25648,0,81
108,21600,25777,0,80
109,21600,26991,0,33
110,21600,27054,0,32
111,21600,24545,0,249
112,21600,23992,0,246
113,21600,24175,0,247
114,21600,26422,600,257
115,21600,28386,0,150
116,21600,25830,0,82
117,21600,25445,0,160
118,21600,25331,0,104
119,21600,24597,0,211
120,21600,23990,0,172
121,21600,24821,0,109
122,21600,24482,1500,128
123,21600,24535,0,129
124,21600,25200,1740,195
125,21600,25305,0,89
126,21600,24060,0,167
127,21600,27651,1620,230
128,21600,26631,0,102
129,21600,23982,0,229
130,21600,24921,0,149
131,21600,25020,1200,130
132,21600,26391,1200,67
133,21600,26484,900,186
134,21600,24301,0,59
135,21600,26095,900,212
136,21600,26015,0,83
137,21600,25041,0,131
138,21660,23387,0,216
139,21660,26612,0,121
140,21660,25027,0,210
141,21660,25650,660,187
142,21660,24716,1560,208
143,21720,25750,1320,55
144,21720,25116,1620,127
145,21720,25423,1320,54
146,21720,23816,0,223
147,21780,25636,780,45
148,21840,25633,840,6
149,21840,26332,840,105
150,21900,24377,1440,9
151,21900,25320,1500,130
152,21960,27089,3180,16
153,21960,25960,660,134
154,21960,24497,1260,19
155,22020,26293,1920,27
156,22020,28432,2220,203
157,22020,24488,1020,206
158,22080,25197,2100,114
159,22140,27171,540,102
160,22140,26257,1740,99
161,22140,25530,1080,0
162,22200,25784,0,44
163,22200,24896,1080,53
164,22200,25450,0,148
165,22200,26216,1500,51
166,22200,25644,0,1
167,22200,26012,0,103
168,22200,25691,0,86
169,22200,27806,0,17
170,22260,25745,2460,12
171,22260,25765,1260,87
172,22260,25680,1860,130
173,22260,25838,0,108
174,22260,25510,660,174
175,22260,25481,660,109
176,22260,25656,2160,127
177,22260,25411,900,219
178,22320,25828,3060,31
179,22320,26165,720,160
180,22320,25687,660,210
181,22320,27272,660,121
182,22320,27178,3120,113
183,22380,26083,1980,54
184,22380,26111,780,104
185,22380,29166,780,150
186,22380,26410,1980,55
187,22440,27324,1740,186
188,22440,24977,1740,19
189,22440,27231,2040,67
190,22440,25761,840,149
191,22440,25881,840,131
192,22440,25496,2340,208
193,22440,26935,1740,212
194,22500,26926,0,93
195,22500,27411,0,96
196,22500,26974,900,56
197,22500,28106,300,17
198,22500,27366,0,95
199,22500,26952,0,188
200,22500,27050,0,92
201,22500,25060,0,171
202,22500,26966,0,213
203,22500,26500,1200,134
204,22500,25382,2400,128
205,22500,27245,0,94
206,22500,26824,0,185
207,22500,24596,0,222
208,22500,26368,1500,192
209,22500,25874,0,13
210,22500,25497,900,211
211,22500,25467,900,252
212,22500,29612,0,151
213,22500,25632,900,253
214,22560,26085,0,218
215,22560,25870,0,23
216,22560,26054,0,173
217,22560,27410,0,97
218,22560,26160,2700,195
219,22560,25975,0,126
220,22560,26416,1560,45
221,22620,27336,1020,30
222,22620,25010,1020,172
223,22620,26413,1620,6
224,22620,25088,1620,206
225,22680,26100,2280,130
226,22680,27172,1680,105
227,22680,25172,0,20
228,22740,27013,2640,27
229,22740,25200,1140,167
230,22740,25441,1140,59
231,22740,25436,1620,53
232,22740,27869,3960,16
233,22800,26401,0,196
