new_index,s_time,e_time,delta_time,old_index
0,0,2857,0,505
1,0,2187,0,560
2,14400,16686,0,715
3,15000,16550,0,739
4,15000,16173,0,737
5,15300,17396,0,721
6,15300,19307,0,599
7,15300,18416,0,393
8,15420,17706,1020,715
9,15540,16713,540,737
10,15600,21377,0,632
11,15600,21200,0,968
12,15600,19784,0,833
13,15600,17150,600,739
14,15900,20361,0,947
15,15900,17773,0,707
16,16080,17253,1080,737
17,16140,21740,540,968
18,16200,17718,0,706
19,16200,18723,0,780
20,16200,19316,900,393
21,16200,16973,0,924
22,16200,17719,0,927
23,16200,20384,600,833
24,16200,18296,900,721
25,16200,21362,0,590
26,16200,19143,0,554
27,16200,19216,0,1025
28,16200,17750,1200,739
29,16200,18373,0,717
30,16200,22219,0,459
31,16500,20507,1200,599
32,16500,18786,2100,715
33,16500,20232,0,713
34,16500,19371,0,1016
35,16500,20961,600,947
36,16620,19491,120,1016
37,16620,17793,1620,737
38,16620,17393,420,924
39,16620,22220,1020,968
40,16680,18853,480,717
41,16740,18613,840,707
42,16800,18350,1800,739
43,16800,18405,0,341
44,16800,20971,0,1058
45,16800,22577,1200,632
46,16800,19974,0,867
47,16800,23093,0,1061
48,16800,18388,0,738
49,16800,19229,0,714
50,16800,18660,0,960
51,16800,18087,0,736
52,16860,18378,660,706
53,16920,21104,1320,833
54,16920,20652,420,713
55,17040,20156,1740,393
56,17040,19983,840,554
57,17040,22202,840,590
58,17100,19196,1800,721
59,17100,22700,1500,968
60,17100,20755,0,959
61,17100,20160,0,966
62,17100,18676,0,964
63,17100,18619,900,927
64,17100,18273,2100,737
65,17100,21573,0,782
66,17100,17873,900,924
67,17220,21681,1320,947
68,17220,19393,1020,717
69,17220,23513,420,1061
70,17280,18567,480,736
71,17340,19769,540,714
72,17340,21072,840,713
73,17400,21108,0,778
74,17400,21981,0,835
75,17400,18950,2400,739
76,17400,21257,0,519
77,17400,23458,0,793
78,17400,19260,600,960
79,17400,19549,0,700
80,17400,18988,600,738
81,17400,20830,0,673
82,17400,22438,0,597
83,17400,23253,0,847
84,17400,19556,0,559
85,17460,19065,660,341
