new_index,s_time,e_time,delta_time,old_index
0,19800,22656,0,176
1,19800,23405,0,303
2,19800,26876,0,29
3,19800,23628,0,212
4,19800,23447,0,213
5,19860,23001,0,200
6,20040,23183,0,201
7,20400,26625,0,115
8,20400,25328,0,65
9,20400,24512,0,108
10,20400,24361,0,109
11,20400,25711,0,39
12,20400,26480,0,14
13,20400,24444,0,67
14,20400,25267,0,49
15,20400,26583,0,116
16,20520,24125,720,303
17,20700,23841,840,200
18,20760,23616,960,176
19,20820,24467,1020,213
20,20820,24648,1020,212
21,20940,27485,0,28
22,21000,26883,0,32
23,21000,25145,0,113
24,21000,26944,0,31
25,21000,25859,0,57
26,21000,25938,0,125
27,21000,27790,0,23
28,21000,25863,0,69
29,21000,25011,0,112
30,21300,25412,900,108
31,21360,27543,960,116
32,21420,25381,1020,109
33,21480,25580,0,101
34,21540,24681,1680,200
35,21600,25465,0,119
36,21600,25970,0,120
37,21600,24333,0,148
38,21600,24635,0,175
39,21600,25628,0,210
40,21600,24752,0,294
41,21600,24443,0,209
42,21600,25671,0,45
43,21600,24858,0,164
44,21600,26680,0,211
45,21600,25640,0,199
46,21600,24421,0,235
47,21600,29170,0,47
48,21600,25616,0,1
49,21600,24580,0,208
50,21600,25013,0,207
51,21600,24998,0,228
52,21600,26071,0,123
53,21600,26001,0,64
54,21600,28161,0,79
55,21600,29138,0,61
56,21600,24860,0,206
57,21600,25136,0,0
58,21600,25070,0,248
59,21600,25025,0,247
60,21600,24413,0,158
61,21600,24635,0,157
62,21600,25618,0,71
63,21600,24715,0,189
64,21600,25057,0,151
65,21600,25633,0,229
66,21600,25419,0,188
67,21600,25737,0,96
68,21600,24135,0,293
69,21600,25724,0,159
70,21600,27497,0,53
71,21600,31448,0,19
72,21600,24131,0,8
73,21600,25800,0,222
74,21600,24945,0,105
75,21600,24934,0,104
76,21600,25537,0,223
77,21600,25660,0,92
78,21600,23789,0,84
79,21600,26166,0,93
80,21600,24058,0,9
81,21600,25327,0,234
82,21600,25093,0,233
83,21600,24554,0,225
84,21600,25655,0,198
85,21600,25054,0,180
86,21600,23759,0,83
87,21600,24613,0,161
88,21600,31692,0,6
89,21600,26222,0,150
90,21600,24274,0,224
91,21600,31687,0,7
92,21600,26350,0,149
93,21600,27884,0,55
94,21600,28192,0,88
95,21600,24102,0,218
96,21600,24655,0,78
97,21600,24853,0,98
98,21600,28786,0,25
99,21600,25486,0,160
100,21600,25064,0,187
101,21660,25307,1860,213
102,21660,25488,1860,212
103,21720,25763,0,186
104,21720,25139,0,163
105,21720,27945,1320,115
106,21720,26094,0,77
107,21780,25791,780,112
108,21780,25925,780,113
109,22020,25163,1980,201
110,22080,24936,2280,176
