new_index,s_time,e_time,delta_time,old_index
0,20400,25097,0,234
1,20460,25811,0,53
2,21600,25936,0,46
3,21600,26742,0,233
4,21600,25833,0,218
5,21600,24827,0,240
6,21660,26962,0,151
7,21660,25615,0,181
8,21660,27272,0,54
9,21660,25834,0,188
10,21660,26969,0,244
11,21660,25839,0,243
12,21660,24750,0,195
13,21660,26399,0,239
14,21660,26165,0,51
15,21660,25793,0,219
16,21660,26150,0,153
17,21660,26401,0,241
18,21660,24846,0,194
19,21780,27131,1320,53
20,21780,26902,0,152
21,21840,26553,0,242
22,21840,26537,1440,234
23,22200,25132,0,99
24,22260,26665,0,52
25,22260,25848,0,154
26,22500,23962,0,205
27,22500,26847,0,115
28,22500,26328,0,168
29,22500,26413,0,87
30,22500,24223,0,3
31,22500,26225,0,174
32,22500,26490,0,95
33,22500,26874,0,71
34,22500,25303,0,73
35,22500,25743,0,175
36,22500,26378,0,129
37,22500,26217,0,92
38,22500,26107,0,135
39,22500,27527,0,63
40,22500,26169,0,74
41,22500,26335,0,96
42,22500,25620,0,26
43,22500,26466,0,23
44,22500,26226,0,88
45,22500,24195,0,2
46,22500,26969,0,28
47,22500,25624,0,112
48,22500,26456,0,80
49,22500,26023,0,67
50,22500,26495,0,121
51,22500,27483,0,85
52,22500,25688,0,146
53,22500,27846,0,86
54,22500,25790,0,84
55,22500,27146,0,101
56,22500,26296,0,83
57,22500,25565,0,145
58,22500,26607,0,29
59,22500,26730,0,79
60,22500,27488,0,213
61,22500,24356,0,198
62,22500,27021,0,102
63,22500,25250,0,137
64,22500,27382,0,82
65,22500,25393,0,138
66,22500,26547,0,36
67,22500,26446,0,130
68,22500,26664,0,182
69,22500,26222,0,64
70,22500,25879,0,77
71,22500,27022,0,12
72,22500,26698,0,35
73,22500,26599,0,6
74,22500,27892,0,27
75,22500,26592,0,113
76,22500,25791,0,220
77,22500,26186,0,100
78,22500,26569,0,122
79,22500,24081,0,108
80,22500,25432,300,99
81,22500,26421,0,30
82,22500,27533,0,212
83,22500,26534,0,7
84,22500,26064,0,147
85,22500,24609,0,223
86,22500,25437,0,97
