new_index,s_time,e_time,delta_time,old_index
0,19800,23137,0,95
1,19800,21887,0,183
2,19800,21881,0,182
3,19800,26246,0,181
4,20100,25227,0,171
5,20400,26818,0,91
6,20400,26045,0,305
7,20400,26135,0,92
8,20400,26378,0,55
9,20400,22951,0,247
10,20400,24301,0,223
11,20400,26253,0,54
12,20460,26615,0,306
13,20880,25281,0,185
14,21000,26915,0,24
15,21000,28294,0,179
16,21000,24351,0,285
17,21000,24337,1200,95
18,21000,22020,0,335
19,21000,27704,0,172
20,21000,27187,0,103
21,21000,22084,0,336
22,21000,26512,0,157
23,21000,24576,0,244
24,21000,24743,0,245
25,21000,25858,0,402
26,21300,23413,0,233
27,21300,27906,0,8
28,21300,24534,0,159
29,21300,23594,0,232
30,21300,27718,900,91
31,21360,28499,0,101
32,21540,27695,1080,306
33,21600,24871,0,197
34,21600,23952,0,354
35,21600,23964,0,353
36,21600,26247,0,203
37,21600,27999,0,18
38,21600,23250,0,79
39,21600,23695,0,272
40,21600,23837,0,257
41,21600,23618,0,256
42,21600,27105,0,401
43,21600,25825,0,184
44,21600,24920,0,160
45,21600,23695,0,421
46,21600,24703,0,287
47,21600,24832,0,296
48,21600,24613,0,319
49,21600,25894,0,194
50,21600,25483,0,192
51,21600,24360,0,191
52,21600,27245,1200,305
53,21600,24926,0,265
54,21600,24386,0,122
55,21600,28242,0,199
56,21600,27596,0,139
57,21600,25549,0,264
58,21600,24145,0,273
59,21600,25039,0,119
60,21600,26011,0,74
61,21600,23952,0,316
62,21600,23612,0,75
63,21600,23748,0,317
64,21600,27832,0,138
65,21600,25865,0,77
66,21600,26926,0,238
67,21600,24124,0,115
68,21600,26449,0,106
69,21600,24746,0,145
70,21600,24144,0,280
71,21600,22473,0,376
72,21600,23198,0,269
73,21600,27615,0,49
74,21600,26142,0,352
75,21600,27335,1200,92
76,21600,24689,0,144
77,21600,25091,0,220
78,21600,26400,0,42
79,21600,27362,0,156
80,21600,25987,0,153
81,21600,26125,0,152
82,21600,25501,1200,223
83,21600,22111,0,333
84,21600,22450,0,340
85,21600,26163,0,219
86,21600,27179,0,85
87,21600,25289,0,120
88,21600,27245,0,86
89,21600,23323,0,343
90,21600,27261,0,50
91,21600,24671,0,284
92,21600,28069,0,167
93,21600,23511,0,292
94,21600,26662,0,11
95,21600,27023,0,51
96,21600,24121,0,116
97,21600,28882,0,10
98,21600,24485,0,111
99,21660,26321,0,386
100,21900,27665,0,391
101,21900,23275,0,440
102,21900,29194,900,179
103,21900,26413,0,37
104,21900,26663,0,302
105,21900,25935,0,301
106,21900,25251,900,285
107,21900,26328,0,130
108,21900,26301,1020,185
109,21900,23758,0,344
110,21900,26147,0,36
111,22080,27013,0,100
112,22140,25260,0,110
113,22200,25075,0,314
114,22200,28217,0,62
115,22200,28864,0,53
116,22200,24991,0,118
117,22200,25066,0,263
118,22200,25425,0,295
119,22200,24071,0,310
120,22200,26387,0,304
121,22200,25705,0,303
122,22200,24184,0,311
123,22200,24841,0,117
124,22200,25509,0,286
125,22200,26107,0,315
126,22200,23445,0,108
127,22200,30592,0,17
128,22200,26906,0,149
129,22200,23103,0,322
130,22200,25262,0,151
131,22200,28618,1800,91
132,22200,27144,0,72
133,22200,26818,0,148
134,22200,26546,0,397
135,22200,24742,0,324
136,22200,25537,2400,95
137,22260,25603,0,169
138,22260,25353,0,150
139,22320,27169,720,106
140,22380,24375,0,283
141,22380,24030,780,79
142,22440,24038,840,269
143,22440,26323,840,192
144,22500,24648,900,317
145,22500,26407,0,312
146,22500,28732,900,138
147,22500,25144,0,266
148,22500,27784,0,29
149,22500,27075,0,143
150,22500,24371,0,309
151,22500,26992,0,142
152,22500,25571,900,284
153,22500,26534,0,387
154,22500,25024,900,115
155,22500,28496,900,139
156,22500,25240,0,259
157,22500,26618,0,33
158,22500,26531,0,241
159,22500,25826,900,265
160,22500,24513,0,288
161,22500,26449,900,264
162,22500,23334,0,330
163,22500,27114,0,88
164,22500,26695,0,240
165,22500,30185,0,102
166,22500,25260,900,191
167,22500,29142,0,198
168,22500,29204,1500,172
169,22500,24218,0,360
170,22680,25201,1080,116
171,22680,26891,0,195
172,22680,25996,0,196
173,22680,25231,2280,247
174,22740,25167,0,208
175,22740,26429,1140,120
176,22800,23709,0,430
177,22800,27030,0,406
178,22800,24775,0,291
179,22800,24931,0,56
180,22800,26094,0,215
181,22800,26151,1800,285
182,22800,24547,0,254
183,22800,26543,1800,245
184,22800,23737,0,375
185,22800,26701,2400,223
