new_index,s_time,e_time,delta_time,old_index
0,17100,20535,0,126
1,17100,20566,0,125
2,17100,21848,0,127
3,18000,23522,0,205
4,18000,23130,0,116
5,18000,23787,0,131
6,18120,23687,0,209
7,18420,23942,420,205
8,18480,24047,360,209
9,18600,24090,0,67
10,18600,24292,0,236
11,18660,26968,0,242
12,18840,24362,840,205
13,18900,24762,0,97
14,18900,24467,780,209
15,18900,24231,0,93
16,19200,26360,0,65
17,19200,27508,540,242
18,19200,26360,0,63
19,19200,24627,0,421
20,19200,21363,0,13
21,19200,22836,0,270
22,19200,24999,0,341
23,19200,23488,0,277
24,19200,24722,1200,205
25,19200,25458,0,431
26,19200,26089,0,449
27,19200,26360,0,64
28,19260,24827,1140,209
29,19260,24428,0,253
30,19380,25072,780,236
31,19500,23932,0,424
32,19500,25642,0,241
33,19500,26261,0,117
34,19680,25202,1680,205
35,19680,25938,480,431
36,19680,25247,1560,209
37,19740,25167,540,421
38,19740,25539,540,341
39,19800,20977,0,274
40,19800,24646,0,223
41,19800,24864,0,234
42,19800,24484,0,304
43,19800,26446,0,2
44,19800,25499,0,114
45,19800,26960,0,66
46,19800,21574,0,77
47,19800,26689,600,449
48,19800,24505,0,90
49,19800,23161,0,330
50,19800,26143,0,27
51,19800,25058,0,321
52,19800,24877,0,320
53,19800,25970,0,432
54,19800,24723,0,402
55,19800,25047,0,183
56,19800,24864,0,234
57,19800,24968,540,253
58,19800,25453,0,235
59,19800,24437,0,240
60,19800,23837,0,252
61,19800,24226,0,244
62,19800,23250,0,358
63,19800,23109,0,359
64,19800,25286,0,258
65,19800,23260,0,269
66,19800,27827,0,29
67,19800,24718,0,180
68,19800,24157,0,282
69,19800,23921,0,316
70,19800,24178,0,41
71,19800,24604,0,317
72,19800,24024,0,42
73,19800,24315,0,426
74,19800,25210,0,178
75,19800,25757,0,179
76,19800,22878,0,15
77,19800,24822,0,351
78,19800,24913,0,182
79,19800,25578,0,422
80,19800,26123,0,32
81,19800,24743,0,310
82,19800,24088,600,277
83,19800,25662,900,97
84,19800,26960,0,62
85,19800,23266,0,430
86,19800,23670,0,290
87,19860,26621,360,117
88,19860,22709,0,331
89,19860,24636,0,474
90,19860,23775,0,369
91,19860,26978,0,334
92,19860,23506,0,328
93,19860,24227,0,461
94,19860,26122,0,118
95,19860,28168,1200,242
96,19920,23954,0,443
97,19980,24617,180,240
98,20040,25607,1920,209
99,20100,25683,0,141
100,20100,27260,900,63
101,20100,24762,0,288
102,20100,25622,2100,205
103,20100,26242,600,241
104,20100,25792,1500,236
105,20100,25230,2100,116
106,20100,24795,0,287
107,20100,23560,300,269
108,20160,26418,960,431
109,20220,27109,1020,449
110,20220,25478,420,321
111,20340,25767,1140,421
112,20340,23701,540,330
113,20340,25045,540,90
114,20340,26139,1140,341
115,20340,28648,1680,242
116,20340,27458,480,334
117,20340,23976,1140,270
118,20400,24498,0,44
119,20400,24046,540,328
120,20400,24417,0,109
121,20400,24688,1200,277
122,20400,26009,0,406
123,20400,23249,540,331
124,20400,25647,600,183
125,20400,25477,600,320
126,20400,27269,0,224
127,20400,25431,0,163
128,20400,23415,0,349
129,20400,23547,0,348
130,20400,24551,0,302
131,20400,26053,600,235
132,20400,25974,0,404
133,20400,27093,0,335
134,20400,25318,600,180
135,20400,24368,0,429
136,20400,25967,2280,209
137,20400,24461,0,491
138,20400,24797,0,239
139,20400,23709,600,359
140,20400,26018,0,427
141,20400,25421,0,293
142,20400,27353,0,202
143,20400,23685,0,156
144,20400,25343,600,310
145,20400,25552,0,384
146,20400,23917,0,367
147,20400,27366,0,448
148,20400,24021,0,366
149,20400,26896,0,249
150,20460,27222,0,340
151,20460,25097,660,240
152,20460,27924,0,203
153,20460,27392,0,250
154,20460,24494,540,443
155,20460,25982,2460,205
156,20520,25460,0,292
157,20520,25324,720,317
158,20520,26212,1920,236
159,20520,26477,720,179
160,20520,25542,720,351
161,20520,24390,720,290
162,20520,25204,720,304
163,20520,25633,720,182
164,20520,26382,1620,97
165,20520,26138,120,427
166,20580,25426,780,223
167,20640,24677,840,252
168,20640,26898,1440,431
169,20640,24997,840,282
170,20640,25808,1380,253
171,20640,25971,1740,93
172,20640,24106,840,430
173,20700,24822,0,149
174,20700,24845,0,148
175,20700,25304,0,417
176,20700,24150,900,358
177,20700,25476,840,474
178,20700,26110,900,178
179,20700,26067,0,184
180,20700,25479,0,418
181,20700,26283,600,141
182,20700,21576,0,438
183,20700,24821,900,316
184,20700,25078,900,41
185,20700,21576,0,438
186,20760,26018,960,321
187,20760,24675,900,369
188,20760,27649,1560,449
189,20760,25127,900,461
190,20760,26902,1260,241
191,20760,26459,960,114
192,20820,24280,1020,269
193,20820,29128,2160,242
194,20880,25575,780,287
195,20880,25542,780,288
196,20880,24397,480,367
197,20880,25517,1080,240
198,20880,24848,480,429
199,20880,26447,2760,209
200,20940,25164,1140,42
201,20940,25883,1140,310
202,20940,25297,1140,282
203,20940,26367,1740,421
204,20940,25863,1140,402
205,20940,26462,2940,205
206,20940,26739,1740,341
207,20940,24576,1740,270
208,21000,23917,0,346
209,21000,25194,0,441
210,21000,26653,1200,235
211,21000,27170,1200,432
212,21000,23150,0,192
213,21000,28160,1800,63
214,21000,26064,1200,234
215,21000,26609,600,406
216,21000,26368,0,204
217,21000,24361,1200,330
218,21000,26260,0,401
219,21000,26491,0,502
220,21000,26742,0,376
221,21000,24542,0,453
222,21000,25705,1200,90
223,21000,25248,0,105
224,21000,25337,0,333
225,21000,24763,0,279
226,21000,24647,0,411
227,21000,24862,0,434
228,21000,26740,0,377
229,21000,24309,1200,359
230,21000,24702,0,412
231,21000,25015,0,435
232,21000,21294,0,464
233,21000,27762,540,340
234,21000,24308,0,436
235,21000,23795,0,347
236,21000,22177,0,273
237,21000,25828,0,187
238,21000,25210,0,332
239,21000,27262,1140,118
240,21000,25937,0,319
241,21000,26216,0,254
242,21000,28058,0,225
243,21000,23849,1140,331
244,21000,25288,1800,277
245,21000,26077,1200,320
246,21000,26247,1200,183
247,21000,26080,0,408
248,21000,23804,0,267
249,21000,24542,0,363
250,21000,28118,1140,334
251,21000,24547,0,362
252,21000,23246,0,365
253,21000,25697,0,350
254,21000,26778,1200,422
255,21000,26054,0,222
256,21000,24646,1140,328
257,21000,24361,0,329
258,21000,25404,0,318
259,21060,26862,0,344
260,21060,26287,0,266
261,21060,23635,0,295
262,21060,26546,1260,258
263,21060,25486,1260,244
264,21060,26421,0,243
265,21060,26000,540,292
266,21060,25805,0,265
267,21060,24084,0,364
268,21060,26173,1260,182
269,21060,24836,0,368
270,21060,25094,1140,443
271,21060,26922,2160,97
272,21060,24319,0,326
273,21060,25229,0,303
274,21060,25632,0,43
275,21060,26985,0,428
276,21060,26740,0,248
277,21060,24961,0,289
278,21060,26206,0,257
279,21120,26378,1320,321
280,21120,25271,720,302
281,21120,27415,0,345
282,21120,25218,720,44
283,21120,27378,1920,431
284,21120,27813,720,335
285,21180,26872,2580,236
286,21180,25984,1380,317
287,21180,26211,780,163
288,21240,29548,2580,242
289,21240,25110,1440,290
290,21240,28109,840,224
291,21240,25208,840,429
292,21240,26823,1140,141
293,21240,24255,840,349
294,21240,28129,2040,449
295,21240,25924,1440,304
296,21300,25904,600,417
297,21300,26874,900,404
298,21300,28253,900,202
299,21300,27796,900,249
300,21300,23763,0,409
301,21300,24760,1500,269
302,21300,25697,900,239
303,21300,24951,0,219
304,21300,24921,900,366
305,21300,25454,0,143
306,21300,26322,1500,351
307,21300,26588,0,394
308,21300,23778,0,410
309,21300,24447,900,348
310,21300,28061,1800,117
311,21300,26081,0,99
312,21300,27112,0,488
313,21360,27502,1860,241
314,21360,27317,1560,179
315,21360,26381,960,293
316,21360,25997,1560,240
317,21360,28292,900,250
318,21360,26882,3360,205
