new_index,s_time,e_time,delta_time,old_index
0,19200,23951,0,49
1,19200,22334,0,14
2,19500,23464,0,12
3,19800,24049,0,33
4,19800,24049,0,142
5,19800,29032,0,27
6,19800,22111,0,168
7,19800,23711,0,11
8,20100,24785,0,50
9,20400,22720,0,15
10,20400,22657,0,16
11,20400,24985,0,20
12,20700,23011,900,168
13,21000,25443,0,141
14,21000,23555,0,31
15,21000,22790,0,170
16,21000,27318,0,82
17,21000,24474,0,52
18,21000,27429,0,146
19,21000,24314,0,10
20,21000,24222,0,9
21,21000,24819,0,18
22,21540,23851,1740,168
23,21600,24254,0,156
24,21600,24647,0,22
25,21600,23968,0,60
26,21600,23717,0,151
27,21600,23728,0,152
28,21600,25200,0,159
29,21600,24926,0,103
30,21600,27874,0,95
31,21600,25849,1800,142
32,21600,24719,0,54
33,21600,23787,0,204
34,21600,26896,0,69
35,21600,24396,0,35
36,21600,25747,0,182
37,21600,25179,0,17
38,21600,25505,0,106
39,21600,25611,0,107
40,21600,26716,0,55
41,22080,23870,1080,170
42,22200,25371,0,114
43,22200,25381,0,113
44,22200,27997,0,63
45,22200,25636,0,94
46,22200,25025,0,3
47,22200,26318,0,32
48,22200,26869,0,19
49,22200,26500,0,21
50,22380,24691,2580,168
51,22500,26495,0,144
52,22500,26501,0,143
53,22560,24688,960,152
54,22560,25596,0,1
55,22800,25708,0,92
56,22800,24950,0,48
57,22800,25289,0,93
58,22800,24946,0,43
59,22800,27365,0,36
60,22800,25217,0,7
61,22800,25219,0,6
62,22800,26555,0,203
63,22800,25765,0,201
64,22800,25729,0,200
65,22800,25138,0,59
66,22800,25018,0,189
67,22800,25013,0,188
68,22800,27911,0,56
69,22800,25105,0,186
70,22800,24933,0,172
71,22800,29015,0,180
72,22800,26168,0,208
73,22800,27243,1800,141
74,22800,25675,0,2
75,22800,25272,0,167
76,22800,29853,0,97
77,22800,28255,0,100
78,22800,26674,0,24
79,22800,27433,0,37
80,23100,25662,0,30
81,23100,26446,0,57
82,23100,25411,3300,168
83,23100,27247,1500,182
84,23160,26342,0,13
85,23220,25010,2220,170
86,23220,25337,1620,151
87,23400,27395,900,144
88,23400,29355,0,145
89,23400,24925,0,166
90,23400,27402,0,25
91,23400,26187,0,158
92,23400,27435,0,38
93,23400,25450,0,78
94,23400,27649,3600,142
