new_index,s_time,e_time,delta_time,old_index
0,18000,21758,0,368
1,18000,22267,0,0
2,18000,22564,0,233
3,18000,21913,0,358
4,18000,20873,0,392
5,18000,22202,0,405
6,18000,22144,0,404
7,18000,22475,0,318
8,18060,22263,0,356
9,18060,25620,0,229
10,18060,25721,0,97
11,18060,22238,0,345
12,18120,22212,0,407
13,18120,22494,0,412
14,18600,22268,0,354
15,18600,23075,600,318
16,18600,20330,0,145
17,18600,21901,0,215
18,18600,24383,0,214
19,18660,22418,660,368
20,18840,23107,840,0
21,19200,20698,0,148
22,19200,23707,0,136
23,19200,21649,0,219
24,19200,22325,0,218
25,19200,25490,0,220
26,19200,21667,0,221
27,19260,23402,0,5
28,19440,23915,1440,318
29,19500,22100,0,44
30,19740,22207,540,221
31,19740,27300,1680,229
32,19740,24007,1740,0
33,19800,23978,1740,345
34,19800,23290,0,127
35,19800,24130,0,206
36,19800,23640,0,175
37,19800,25645,0,213
38,19800,24435,0,292
39,19800,26767,0,228
40,19800,23252,0,287
41,19800,23799,0,294
42,19800,23304,0,394
43,19800,22574,0,276
44,19800,23213,0,393
45,19800,24374,0,298
46,19800,27461,1740,97
47,19800,24587,0,61
48,19800,24004,0,12
49,19800,20863,0,275
50,19800,24773,0,60
51,19800,24378,0,38
52,19800,20924,0,274
53,19800,23193,0,69
54,19800,23579,0,198
55,19800,23758,0,159
56,19800,22245,0,164
57,19800,23622,0,199
58,19800,25466,0,15
59,19800,24215,0,129
60,19800,23236,0,99
61,19800,23564,0,289
62,19800,23437,0,194
63,19860,23618,1860,368
64,19860,23633,0,325
65,19860,24485,0,344
66,19860,24052,0,144
67,19860,23279,0,239
68,19860,25645,0,225
69,19860,23830,0,11
70,19920,24427,720,136
71,19920,22520,420,44
72,19980,23604,0,415
73,20100,24439,0,256
74,20100,26390,900,220
75,20280,24484,480,12
76,20340,22807,1140,221
77,20340,22940,840,44
78,20400,26564,0,54
79,20400,25244,0,62
80,20400,23848,0,154
81,20400,23496,0,151
82,20400,23088,0,266
83,20400,25260,0,273
84,20400,24174,0,193
85,20400,24316,0,253
86,20400,25538,0,339
87,20400,23723,0,153
88,20460,23906,0,284
89,20460,23892,0,308
90,20460,23879,600,239
91,20460,24660,0,370
92,20460,23689,0,395
93,20460,24602,1200,5
94,20460,24002,0,98
95,20460,24935,2460,318
96,20460,22693,0,334
97,20460,24216,0,243
98,20520,24850,720,206
99,20580,24359,780,198
100,20640,24610,780,11
101,20640,25275,840,292
102,20640,25147,1440,136
103,20700,24337,900,194
104,20700,24967,2700,0
105,20700,24473,840,325
106,20700,24626,0,1
107,20700,24699,900,294
108,20700,24878,2640,345
109,20760,23360,1260,44
110,20760,24964,960,12
111,20820,24642,1020,199
112,20940,27230,1740,220
113,20940,23407,1740,221
114,20940,24714,540,193
115,21000,23765,0,330
116,21000,23938,0,391
117,21000,24781,0,95
118,21000,24104,0,270
