new_index,s_time,e_time,delta_time,old_index
0,0,2394,0,2593
1,0,1416,0,2224
2,0,2596,0,2227
3,0,2806,0,2202
4,0,4313,0,2453
5,0,2393,0,2594
6,0,3869,0,1539
7,0,3038,0,1396
8,60,2080,0,2232
9,60,2296,0,2108
10,60,1352,0,877
11,60,2143,0,2211
12,60,1163,0,2731
13,60,2098,0,2107
14,120,2092,0,226
15,120,2926,120,2202
16,120,2631,0,2661
17,120,4141,0,225
18,120,2384,0,1931
19,120,2174,0,1634
20,120,3679,0,1470
21,120,3392,0,2052
22,120,3720,0,2208
23,180,4644,0,1127
24,180,2402,0,2209
25,180,2020,0,1028
26,180,4201,60,225
27,180,3218,0,1395
28,180,2152,60,226
29,180,3633,0,1513
30,240,1713,0,2732
31,240,895,0,891
32,300,1951,0,57
33,360,4020,0,1143
34,360,1639,0,878
35,360,1856,0,677
36,420,4746,0,1512
37,420,2400,0,2078
38,480,5773,0,839
39,480,2089,0,2077
40,480,2494,0,459
41,480,7155,0,838
42,540,4409,0,1540
43,540,2351,0,1918
44,540,6616,0,1133
45,540,3848,0,2207
46,540,1881,0,2223
47,540,4183,0,1134
48,600,2173,0,2497
49,600,2637,0,2201
50,600,6663,0,1153
51,660,4973,660,2453
52,660,3177,0,1635
53,660,3037,0,1914
54,660,3063,0,972
55,660,2811,0,2288
56,720,4589,720,1539
57,720,2607,0,1942
58,720,2565,0,2229
59,780,2927,0,2289
60,840,2722,0,2496
61,840,4197,0,1126
62,840,3217,0,1859
63,900,3538,0,1366
64,900,3420,0,1367
65,900,3848,0,2228
66,960,2713,0,708
67,960,3377,0,2231
68,1020,4441,0,2272
69,1080,2770,0,58
70,1140,3733,0,1915
71,1140,3184,0,2230
72,1140,4189,0,2018
73,1140,3747,0,2210
74,1200,4289,0,2017
75,1260,4219,0,2660
76,1260,2676,1260,2224
77,1260,3702,0,973
78,1260,3032,0,2444
79,1320,3867,0,2051
80,1320,3795,0,1450
81,1380,3148,0,1919
82,1380,3689,0,1932
83,1440,3951,0,1858
84,1440,3345,0,2445
85,1500,3583,1440,2211
86,1500,3559,0,2212
87,1500,2779,1140,878
88,1560,4964,0,1857
89,1560,5873,1560,2453
90,1560,4003,0,2843
91,1680,4255,0,2842
92,1680,5155,0,2273
93,1740,5324,0,1469
94,1740,5134,0,1142
95,1740,3962,1560,2209
96,1800,4396,1800,2227
97,1800,3419,0,1941
98,1860,5313,1680,1513
99,1920,4340,0,1860
100,1920,4958,1920,1396
101,2040,4094,1920,1634
102,2040,4566,0,2106
103,2160,4180,2100,2232
104,2160,4243,0,1913
105,2160,3501,1620,2223
106,2220,4303,0,1912
107,2220,6546,1800,1512
108,2280,4944,0,2213
109,2460,3563,2400,2731
110,2460,5266,2460,2202
111,2460,5174,0,2105
112,2460,6060,2340,2208
113,2460,5732,2340,2052
114,2460,4724,2340,1931
115,2520,5877,1680,1126
116,2520,3993,2280,2732
117,2520,4407,1800,1942
118,2580,4391,2040,1918
119,2580,6115,0,1451
120,2640,5151,2520,2661
121,2700,5648,1800,2228
122,2760,5277,2100,1635
123,2760,4740,2340,2078
124,2820,4429,2340,2077
125,2820,6379,2700,1470
126,2820,7284,2640,1127
127,2880,6540,2520,1143
128,2880,6188,2340,2207
129,2940,4984,1800,2230
130,3000,5377,2340,1914
131,3000,4573,2400,2497
132,3000,4416,3000,2224
133,3060,4711,2760,57
134,3060,5437,2220,1859
135,3060,5535,1740,1450
136,3060,5463,2400,972
137,3060,5639,0,2214
138,3120,5537,2160,2231
139,3180,5217,2580,2201
140,3180,5787,2040,2210
141,3180,6218,3000,1395
142,3240,6329,2040,2017
143,3240,5085,2520,2229
144,3240,5751,1800,1858
145,3240,5122,2400,2496
146,3300,6704,1740,1857
147,3300,6349,2160,2018
148,3360,6754,1620,1142
149,3600,6559,2340,2660
150,3600,6196,3600,2227
151,3660,7113,3480,1513
152,3660,5969,2280,1932
153,3720,5803,3660,2211
154,3720,6267,2400,2051
155,3720,5625,2280,2445
156,3720,5492,2460,2444
157,3720,5488,2340,1919
158,3720,5871,3060,2288
159,3780,5399,1980,1941
160,3780,6002,3600,2209
161,3780,5927,3000,2289
162,3780,5470,2700,58
163,3840,5894,3720,1634
164,3900,7769,3360,1540
165,3900,6342,2640,973
166,3960,6480,3060,1367
167,3960,6598,3060,1366
168,4080,7664,2340,1469
169,4140,8466,3720,1512
170,4260,5601,3720,2223
171,4260,6280,4200,2232
172,4320,7358,4320,1396
173,4320,6913,3180,1915
174,4320,6131,3780,1918
175,4440,6860,2520,1860
176,4440,6966,2400,2106
177,4500,7448,3600,2228
178,4500,8369,4500,1539
179,4560,7224,2280,2213
180,4620,6507,3900,1942
181,4680,8215,2100,1451
182,4740,6784,3600,2230
183,4740,8400,4380,1143
184,4800,6216,4800,2224
185,4800,5903,4740,2731
186,4860,7124,4740,1931
187,4860,7666,4860,2202
188,4860,8132,4740,2052
189,4860,7377,4200,1635
190,4860,8460,4740,2208
