new_index,s_time,e_time,delta_time,old_index
0,20160,25626,0,118
1,20400,27394,0,122
2,21000,26204,0,59
3,21000,23641,0,179
4,21000,27994,600,122
5,21000,25989,0,164
6,21000,23638,0,9
7,21000,23598,0,180
8,21000,26415,0,161
9,21000,24129,0,173
10,21240,25776,0,57
11,21300,26715,300,161
12,21360,23998,360,9
13,21420,24549,420,173
14,21540,26529,540,164
15,21600,22759,0,200
16,21600,23603,0,221
17,21600,24835,0,218
18,21600,26804,600,59
19,21600,22778,0,199
20,21600,24908,0,153
21,21600,23416,0,198
22,21600,25099,0,154
23,21600,23935,0,222
24,21600,24855,0,217
25,21600,26895,0,163
26,21600,22525,0,168
27,21600,24150,0,100
28,21600,24349,0,220
29,21600,24344,0,233
30,21600,27226,0,171
31,21600,24145,0,191
32,21600,24101,0,175
33,21600,23860,0,185
34,21600,25115,0,216
35,21600,24965,0,228
36,21660,27126,1500,118
37,21660,24092,0,102
38,21660,26196,420,57
39,21720,26221,0,210
40,21780,24418,780,9
41,21780,26558,0,96
42,21780,27195,780,161
43,21780,24354,0,87
44,21840,24969,840,173
45,21900,25463,0,116
46,21900,25716,0,151
47,21900,25079,0,70
48,21960,24558,960,180
49,21960,24601,960,179
50,22080,24920,0,104
51,22080,24581,480,175
52,22140,27344,1140,59
53,22200,29194,1800,122
54,22200,26736,960,57
55,22200,24177,0,111
56,22200,26765,0,172
57,22200,24632,540,102
58,22200,25379,0,159
59,22200,24469,0,206
60,22200,24745,600,191
61,22260,25037,0,103
62,22260,27249,1260,164
63,22260,24520,660,185
64,22260,27675,1260,161
65,22260,24785,0,184
66,22320,24627,0,101
67,22320,24434,0,225
68,22380,24881,780,175
69,22380,25018,1380,9
70,22380,25509,1380,173
71,22500,25575,0,94
72,22500,25059,0,202
73,22500,25050,900,100
74,22500,25340,420,104
75,22500,25631,0,93
76,22560,25469,0,83
77,22620,25258,1620,9
78,22680,25809,1680,173
79,22740,24829,0,8
80,22740,28155,1740,161
81,22800,24433,0,109
82,22800,24775,0,110
83,22800,28908,0,49
84,22800,25619,0,43
85,22800,25762,0,127
86,22800,25640,720,104
87,22800,25859,0,160
88,22800,24842,0,195
89,22800,24994,0,196
90,22800,28340,0,162
91,22800,26479,0,108
92,22800,24616,1200,198
93,22800,29794,2400,122
94,22800,24872,0,106
95,22800,24777,600,111
96,22800,25301,1200,175
97,22800,23978,1200,199
98,22800,26441,0,72
99,22800,25615,0,42
100,22800,23959,1200,200
101,22800,27078,0,139
102,22800,26942,0,140
103,22860,27769,0,36
104,22920,28124,1920,59
105,22920,27909,1920,164
106,22920,25494,1140,87
107,22920,25518,1920,180
108,22920,25561,1920,179
109,22980,25240,1380,185
110,22980,25525,1380,191
111,22980,25757,720,103
112,23040,25309,840,206
113,23040,28335,1440,163
114,23040,25472,1380,102
115,23100,26229,2100,173
116,23100,25738,2100,9
117,23160,25467,840,101
118,23160,25053,0,204
119,23160,25661,1560,175
120,23160,27302,360,140
121,23160,27438,360,139
122,23220,26060,1140,104
123,23220,27756,1980,57
124,23280,29388,480,49
125,23280,28695,2280,161
126,23280,25369,540,8
127,23340,26030,0,174
128,23340,25914,1560,87
129,23340,25865,1080,184
130,23400,28604,2400,59
131,23400,26263,0,7
132,23400,25482,0,182
133,23400,28866,3240,118
134,23400,26723,0,53
135,23400,26632,0,52
136,23400,25212,0,181
137,23400,26262,0,6
138,23400,24366,0,167
139,23400,25901,1800,175
140,23400,25950,1800,100
141,23400,26042,0,235
142,23460,25502,660,195
143,23460,26098,2460,9
144,23460,25895,0,98
145,23460,26019,960,202
146,23460,25830,0,89
147,23460,27421,0,214
148,23460,27139,660,108
149,23460,27167,0,41
150,23520,26649,2520,173
151,23520,27662,720,140
152,23520,24679,1920,200
