new_index,s_time,e_time,delta_time,old_index
0,19200,21203,0,45
1,19200,23292,0,36
2,19740,23832,540,36
3,19800,23703,0,32
4,19800,21698,0,116
5,19800,22508,0,92
6,19800,23811,0,52
7,19800,21849,0,61
8,20100,22103,900,45
9,20160,24063,360,32
10,20280,24372,1080,36
11,20340,23048,540,92
12,20400,23414,0,73
13,20400,23082,0,25
14,20400,23685,0,54
15,20400,23471,0,53
16,20520,24423,720,32
17,20520,22418,720,116
18,20640,22689,840,61
19,20640,22720,0,46
20,20700,24597,0,15
21,20700,24414,0,14
22,20880,24972,1680,36
23,20880,24891,1080,52
24,20880,23960,0,13
25,20940,22943,1740,45
26,20940,23648,1140,92
27,21000,25576,0,63
28,21000,24020,0,10
29,21000,25096,0,2
30,21000,25439,0,30
31,21000,23519,0,66
32,21000,23976,0,37
33,21060,24253,0,38
34,21060,24963,1260,32
35,21240,24254,840,73
36,21300,23198,1500,116
37,21300,23939,0,39
38,21360,25936,360,63
39,21420,25516,420,2
40,21480,24551,1080,53
41,21480,25572,2280,36
42,21480,24162,1080,25
43,21480,24765,1080,54
44,21540,25443,1740,32
45,21540,24059,540,66
46,21540,24164,0,6
47,21540,23543,2340,45
48,21600,25198,0,112
49,21600,23649,1800,61
50,21600,25017,0,5
51,21600,24505,0,100
52,21600,23680,960,46
53,21600,25507,0,130
54,21600,25124,0,0
55,21600,24308,1800,92
56,21600,27521,0,72
57,21600,24375,0,131
58,21600,23926,0,93
59,21600,25144,0,76
60,21600,25376,0,129
61,21600,23311,0,78
62,21600,26645,0,113
63,21600,24270,0,28
64,21600,24620,600,10
65,21600,25359,0,23
66,21600,24156,0,68
67,21600,24619,0,83
68,21600,27636,0,71
69,21600,24177,0,115
70,21660,23807,0,79
71,21660,24446,0,126
72,21780,24419,480,39
73,21780,25677,1080,15
74,21780,25494,1080,14
75,21780,23474,0,62
76,21840,26279,840,30
77,21900,23798,2100,116
78,21960,25971,2160,52
79,21960,24630,360,28
80,21960,26536,960,63
81,21960,25863,2160,32
82,22020,25197,0,91
83,22020,24023,2820,45
84,22020,25100,1140,13
85,22020,26116,1020,2
86,22080,24855,480,131
87,22080,26172,2880,36
88,22080,24866,420,126
89,22080,25983,2280,32
90,22140,25022,0,99
91,22140,24848,2340,92
92,22140,28061,540,72
93,22200,24090,0,9
94,22200,24059,0,106
95,22200,26050,0,51
96,22200,24824,660,6
97,22200,28236,600,71
98,22200,25219,600,83
99,22200,25798,600,112
100,22200,24719,1200,66
101,22200,24756,600,68
102,22200,25788,0,123
103,22200,26107,600,130
104,22200,25393,1140,38
105,22200,24988,0,120
106,22200,25724,600,0
107,22200,25214,1800,73
108,22200,23911,600,78
109,22200,25220,1200,10
110,22260,25165,660,100
111,22260,24837,660,115
112,22320,24369,2520,61
113,22320,24959,1020,39
114,22380,24460,1740,46
115,22380,25050,780,28
116,22380,25356,1380,37
117,22440,27016,1440,63
118,22440,24134,660,62
119,22440,24587,780,79
120,22500,25677,480,91
121,22500,25818,0,60
122,22500,24503,3300,45
123,22500,25917,900,5
124,22560,25845,2160,54
125,22560,25335,960,131
126,22560,24886,960,93
127,22560,25631,2160,53
128,22560,25346,900,126
129,22560,25242,2160,25
130,22560,26463,2760,32
131,22620,26716,1620,2
132,22680,25700,1680,10
133,22680,27119,1680,30
134,22680,25236,1080,68
135,22680,24578,2880,116
136,22680,26439,1080,23
137,22680,28601,1080,72
138,22680,25304,1140,6
139,22680,27725,1080,113
140,22740,24741,0,7
141,22740,25448,2940,92
142,22740,26647,1140,130
143,22740,28776,1140,71
144,22740,26516,1140,129
145,22740,26832,3540,36
146,22740,25259,1740,66
147,22740,24599,540,106
148,22740,26338,1140,112
149,22800,25035,0,128
150,22800,25668,0,95
151,22800,25429,0,18
152,22800,26775,0,35
153,22800,26324,1200,0
154,22800,24511,1200,78
155,22800,26364,0,21
156,22800,24898,0,20
157,22800,25588,600,120
158,22800,25682,660,99
159,22800,25730,0,69
160,22800,25819,1200,83
161,22800,25347,0,81
162,22800,26667,0,22
163,22800,26972,0,3
164,22800,24690,600,9
165,22800,24927,0,17
166,22860,25874,2460,73
167,22860,26574,2160,14
168,22860,26762,0,31
169,22860,26757,2160,15
170,22920,25825,1320,100
171,22920,25310,0,74
172,22920,26238,420,60
173,22920,25590,1320,28
174,22920,27496,1920,63
175,22980,26883,3180,32
176,22980,25619,1680,39
177,22980,25557,1380,115
178,22980,24983,3780,45
179,23040,27051,3240,52
180,23040,25815,1440,131
181,23040,25089,3240,61
182,23040,25826,1380,126
183,23100,26277,1080,91
184,23100,26644,1500,76
185,23100,25180,2460,46
186,23100,25656,1500,68
187,23100,26120,2100,10
188,23220,26300,2340,13
189,23280,27187,1680,130
190,23280,25139,1080,106
191,23280,25904,1740,6
192,23280,27130,1080,51
193,23280,27856,2280,63
194,23280,27376,2280,2
195,23280,27372,4080,36
196,23280,29201,1680,72
197,23280,26148,480,95
198,23280,26473,2220,38
199,23340,26928,1140,123
200,23340,25859,2340,66
201,23340,26938,1740,112
202,23340,29376,1740,71
203,23340,26359,1740,83
204,23340,25034,1560,62
205,23340,26048,3540,92
206,23400,24628,0,133
207,23400,27251,0,111
208,23400,27881,0,49
209,23400,27267,600,22
210,23400,25720,0,104
211,23400,25437,0,89
212,23400,25111,1800,78
213,23400,25726,1800,93
214,23400,26349,0,96
215,23400,25811,0,70
216,23400,25503,0,58
217,23400,25947,600,81
218,23400,25930,0,56
219,23400,25290,1200,9
220,23400,26498,0,75
221,23400,26420,0,97
222,23400,26924,1800,0
223,23400,26325,0,65
224,23400,27302,540,31
225,23400,28230,0,114
226,23400,26688,0,59
227,23400,26070,1800,28
228,23400,26188,1200,120
229,23400,26964,600,21
230,23400,25547,1740,79
231,23400,26293,0,98
232,23400,25442,0,86
233,23400,26374,0,107
234,23400,26817,1800,5
235,23460,25480,0,40
236,23460,25358,3660,116
237,23460,25540,2820,46
238,23460,25463,4260,45
239,23460,26778,960,60
240,23460,26390,660,69
241,23460,27435,660,35
242,23460,26235,1860,131
243,23460,27363,3660,32
244,23460,25597,0,80
245,23460,25882,0,121
246,23580,26366,1920,126
247,23580,26594,3180,73
248,23580,26656,0,84
249,23580,26136,1980,68
250,23580,26600,2580,10
251,23640,28079,2640,30
252,23640,26322,3240,25
253,23640,26925,3240,54
254,23640,25641,900,7
255,23640,25172,0,77
256,23640,26711,3240,53
257,23640,26030,720,74
258,23700,26329,900,18
259,23700,26877,1680,91
260,23700,26430,0,67
261,23700,27872,900,3
262,23700,25779,0,27
263,23700,26605,2100,100
264,23700,26277,2100,115
265,23760,28805,2160,113
266,23760,27519,2160,23
267,23820,28396,2820,63
268,23820,25869,4020,61
269,23820,26528,4020,92
270,23820,26459,2520,39
271,23820,27722,960,31
272,23820,27916,2820,2
273,23880,26546,0,125
274,23880,26504,2340,6
275,23880,27168,480,59
276,23880,26655,2280,131
277,23880,25739,1680,106
278,23880,26856,2880,37
279,23880,26550,2280,28
280,23880,28359,0,29
281,23880,28276,0,64
282,23880,25770,1680,9
283,23880,25591,2280,78
284,23880,26399,2880,66
285,23880,26978,480,75
286,23940,27807,1140,22
287,23940,27847,2340,130
288,23940,26822,1800,99
289,23940,26959,2340,83
290,23940,25838,4140,116
291,23940,26362,480,121
292,23940,27716,2340,129
293,23940,27504,1140,21
294,23940,29976,2340,71
295,23940,27258,1440,60
296,23940,26020,3300,46
297,23940,25943,4740,45
298,23940,25787,0,8
299,23940,27538,2340,112
300,23940,26067,1140,17
301,23940,26808,1140,95
302,23940,27654,3240,14
303,23940,28032,4740,36
304,23940,26470,540,56
305,23940,27837,3240,15
306,24000,26020,540,40
307,24000,26925,600,65
308,24000,26425,0,94
309,24000,25692,0,109
310,24000,26547,1200,81
311,24000,27147,0,26
312,24000,26103,600,58
313,24000,29921,2400,72
314,24000,27903,4200,32
315,24000,27754,0,1
