new_index,s_time,e_time,delta_time,old_index
0,21600,23600,0,47
1,21600,23640,0,46
2,22800,26171,0,15
3,22860,26864,0,17
4,22860,26276,0,10
5,22920,26130,0,33
6,22980,26342,0,0
7,23040,26435,0,69
8,23040,25441,0,23
9,23040,26315,0,40
10,23100,26471,300,15
11,23100,26859,0,4
12,23160,25107,0,37
13,23160,26576,300,10
14,23280,25350,0,38
15,23280,26573,0,54
16,23280,25817,0,8
17,23340,25504,0,27
18,23340,25451,0,39
19,23340,26702,360,0
20,23400,25400,1800,47
21,23400,25440,1800,46
22,23400,24375,0,3
23,23400,24694,0,18
24,23400,25481,0,19
25,23400,26727,0,31
26,23400,25045,0,21
27,23400,27364,0,13
28,23400,26610,480,33
29,23400,26390,0,9
30,23400,29148,0,57
31,23460,25548,0,42
32,23460,26403,0,5
33,23460,26876,600,10
34,23460,27022,0,35
35,23520,27742,0,12
36,23520,26539,0,45
37,23520,27365,0,14
38,23520,26795,480,40
39,23580,26975,540,69
40,23640,27644,780,17
41,23700,29448,300,57
42,23700,25647,540,37
43,23700,27071,900,15
44,23700,26077,0,76
45,23700,26737,0,77
46,23760,27176,900,10
47,23760,27519,660,4
48,23760,26297,480,8
49,23760,26750,360,9
50,23820,25890,540,38
51,23820,27182,840,0
52,23880,27090,960,33
53,23880,26518,0,29
54,23880,24855,480,3
55,23880,27173,600,54
56,23880,25991,540,39
57,23880,27442,420,35
58,23940,25585,540,21
59,24000,26401,960,23
60,24000,27371,1200,15
61,24000,27275,960,40
62,24060,26002,0,28
63,24060,27003,600,5
64,24060,27455,1020,69
65,24060,27079,540,45
66,24060,27476,1200,10
67,24180,27170,780,9
68,24240,26187,1080,37
69,24240,27602,1260,0
70,24240,26777,960,8
71,24240,29988,840,57
72,24300,27005,0,34
73,24300,27671,1500,15
74,24300,26370,1020,38
75,24360,27922,900,35
76,24360,27570,1440,33
77,24360,27776,1500,10
78,24360,27588,0,68
79,24360,28364,1500,17
80,24360,26475,0,55
81,24360,25335,960,3
82,24360,26918,0,56
83,24420,27713,1140,54
84,24420,27125,120,34
85,24420,26508,960,42
86,24480,27755,1440,40
87,24480,28325,960,14
88,24480,28239,1380,4
89,24540,26704,1200,27
90,24540,26651,1200,39
91,24600,26826,0,26
92,24600,27962,1620,0
93,24600,26585,0,71
94,24600,26245,1200,21
95,24600,27971,1800,15
96,24660,27650,1260,9
97,24660,28076,1800,10
98,24660,27679,1140,45
99,24660,28055,1620,69
100,24720,27257,1440,8
101,24720,27663,1260,5
102,24720,27425,420,34
103,24720,28282,1260,35
104,24780,26727,1620,37
105,24840,25815,1440,3
106,24840,30588,1440,57
107,24840,28133,1560,54
108,24900,28175,1860,40
109,24900,28110,1980,33
110,24900,26970,1620,38
111,24900,28128,540,68
112,24900,28271,2100,15
113,24960,28805,1440,14
114,24960,27075,600,55
115,24960,27950,1560,9
116,24960,29182,1440,12
117,24960,27518,600,56
118,25020,28436,2160,10
119,25080,28442,2100,0
120,25080,27191,1740,39
121,25080,27718,1200,29
122,25140,26785,1740,21
123,25140,28702,1680,35
124,25200,26501,0,61
125,25200,27149,0,52
126,25200,25885,0,75
127,25200,25884,0,74
128,25200,27142,1140,28
129,25200,28756,2400,15
130,25200,28219,1680,45
131,25200,28689,2160,69
132,25200,28959,2100,4
133,25200,29358,2340,17
134,25200,27920,1920,8
135,25260,28348,1800,5
136,25260,28565,1980,54
137,25260,27433,1800,42
138,25320,28535,2400,33
139,25320,26321,1920,3
140,25320,27267,2160,37
141,25320,27546,720,26
142,25380,28864,2520,10
143,25380,31412,1980,57
144,25380,27738,0,43
145,25380,28085,1080,34
146,25440,27998,1080,56
147,25440,26434,0,2
148,25440,28819,2460,0
149,25440,27510,2160,38
150,25440,27555,1080,55
151,25440,28715,2400,40
152,25500,29058,1140,68
153,25500,28729,2100,9
154,25500,29056,2700,15
155,25560,29300,2100,35
156,25620,31426,0,11
157,25620,27265,2220,21
158,25680,28985,2400,54
159,25680,28699,2160,45
160,25680,28400,2400,8
161,25740,27821,2340,19
162,25740,29224,2880,10
163,25740,27904,2400,27
164,25740,29189,0,41
165,25740,27150,2340,18
166,25740,29229,2700,69
167,25800,27573,0,20
168,25800,31832,2400,57
169,25800,27182,0,49
170,25800,26754,0,48
171,25800,27798,0,36
172,25800,28593,0,7
173,25800,29559,2700,4
174,25800,29906,2400,13
175,25800,30164,2280,14
176,25800,29015,2880,33
177,25860,27807,2700,37
178,25860,29135,2820,40
179,25860,29089,2460,9
180,25860,29239,2880,0
181,25860,26861,2460,3
182,25860,28948,2400,5
183,25920,29660,2460,35
184,25920,26914,480,2
185,25920,27990,2640,38
186,25980,30138,3120,17
187,25980,28095,1620,55
188,25980,28538,1620,56
189,25980,28708,2100,29
190,25980,28091,2640,39
191,25980,29209,2580,9
