new_index,s_time,e_time,delta_time,old_index
0,23400,26625,0,27
1,23400,26425,0,32
2,23400,28573,0,15
3,23400,26696,0,11
4,23400,25975,0,21
5,23400,27015,0,36
6,23400,27368,0,41
7,23400,26456,0,66
8,23400,27111,0,65
9,23400,27918,0,14
10,23400,26401,0,12
11,23400,27039,0,19
12,23400,26308,0,39
13,23400,23974,0,72
14,23400,26115,0,9
15,23400,23976,0,73
16,23400,27624,0,59
17,23460,26654,0,67
18,23460,26841,0,69
19,23520,27972,0,30
20,23520,26500,0,24
21,23520,26519,0,62
22,23580,26349,0,2
23,23640,26355,240,9
24,23700,27534,0,58
25,23820,26821,420,12
26,23820,26022,0,8
27,24060,26928,0,22
28,24120,28344,720,59
29,24120,27176,720,66
30,24180,26600,0,13
31,24180,26895,780,9
32,24180,28772,0,31
33,24240,28208,840,41
34,24240,27721,0,1
35,24240,27465,840,27
36,24300,27494,840,67
37,24360,27656,960,11
38,24420,27189,840,2
39,24420,27445,1020,32
40,24420,28938,1020,14
41,24480,27961,240,1
42,24480,28095,1080,36
43,24600,27740,0,68
44,24600,27601,1200,12
45,24660,27659,1140,62
46,24720,26922,900,8
47,24780,28748,1380,41
48,24780,28614,1080,58
49,24780,28005,1380,27
50,24840,30013,1440,15
51,24900,27320,720,13
52,24960,28441,720,1
53,25020,27735,1620,9
54,25020,28076,1620,66
55,25080,27988,1680,39
56,25080,29304,1680,59
57,25080,28791,1680,65
58,25080,28274,1620,67
59,25140,27909,1560,2
60,25140,28120,1620,24
61,25200,31196,0,53
62,25200,26165,0,43
63,25200,27749,0,5
64,25200,26165,0,42
65,25200,27259,0,6
66,25200,26218,0,34
67,25200,26202,0,35
68,25200,27360,0,29
69,25200,27442,0,28
70,25200,30685,0,48
71,25200,28698,0,23
72,25200,27631,0,7
73,25200,28039,0,4
74,25200,27086,0,71
75,25200,27924,0,16
76,25320,30253,1800,30
77,25380,29096,1980,36
78,25440,30306,2040,14
79,25440,29629,1740,58
80,25440,28692,2040,12
81,25500,27907,1680,8
82,25500,28579,1440,22
83,25500,29468,2100,41
84,25500,28725,2100,27
85,25560,29345,0,0
86,25620,29599,2220,19
87,25620,29249,2160,69
88,25680,29376,1440,1
89,25740,28949,2220,62
90,25740,28946,2340,32
91,25800,29237,1200,68
92,25860,28899,2280,2
93,25860,28786,2460,9
94,25920,30283,2520,59
95,25980,29220,2460,24
96,25980,29067,2580,39
97,25980,29604,2580,66
98,26040,30184,2640,65
99,26040,29234,2580,67
100,26100,27065,900,43
101,26100,29482,0,10
102,26100,27065,900,42
103,26100,27118,900,34
104,26100,27102,900,35
105,26160,29412,2760,12
106,26220,30409,2520,58
107,26220,28976,2820,21
108,26280,29520,2760,24
109,26280,29662,180,10
110,26280,29778,2880,11
111,26340,28226,1140,71
112,26340,29777,1740,68
113,26340,27235,2940,73
114,26340,27227,2940,72
115,26400,29545,0,25
116,26400,29715,0,33
117,26400,28807,2580,8
118,26460,30156,2220,1
119,26460,29666,3060,32
120,26460,31326,3060,14
121,26460,28880,2280,13
122,26520,30488,3120,41
123,26520,29745,3120,27
124,26580,29789,3060,62
125,26580,31936,3180,15
126,26640,30619,3240,19
127,26640,29727,3240,39
128,26700,30329,3240,69
129,26700,29739,3120,2
130,26760,31123,3360,59
131,26760,29686,3360,9
132,26820,30536,3420,36
133,26880,29959,2820,22
134,26880,30848,3480,41
135,26880,30074,3420,67
136,26880,30504,3480,66
137,26880,30105,3480,27
138,26940,30192,3540,12
139,27000,27965,1800,43
140,27000,27965,1800,42
141,27000,31138,0,56
142,27000,28002,1800,35
143,27000,31933,3480,30
144,27000,31199,0,57
145,27000,30881,0,37
146,27000,28018,1800,34
147,27000,31333,0,55
148,27060,31249,3360,58
149,27060,31204,3660,65
150,27180,29587,3360,8
151,27180,29002,0,70
152,27180,30386,3780,32
153,27240,29400,2040,29
154,27240,29660,3060,13
155,27240,30936,3000,1
156,27240,29299,2040,6
157,27240,30256,0,38
158,27240,29671,2040,7
159,27240,29482,2040,28
160,27240,30079,2040,4
161,27240,30182,0,3
162,27240,29789,2040,5
163,27300,30615,900,33
164,27300,30387,3900,39
165,27360,30735,0,63
166,27360,29246,2160,71
167,27420,30918,4020,11
168,27420,31205,1860,0
169,27420,30459,3840,2
170,27480,29887,3660,8
171,27480,32346,4080,14
172,27480,30515,0,45
173,27540,30466,4140,9
174,27540,31903,4140,59
175,27540,30765,4140,27
176,27540,31508,4140,41
177,27540,31256,4140,36
178,27540,30780,4020,24
179,27600,30639,0,44
180,27600,31037,3000,68
181,27660,31569,0,40
182,27660,30416,4260,21
183,27660,30865,0,26
184,27660,30869,4140,62
185,27660,31840,0,18
186,27720,31699,4320,19
187,27720,30712,0,20
188,27840,32029,4140,58
189,27840,31092,4440,12
190,27840,31034,4380,67
191,27900,28865,2700,42
192,27900,28902,2700,35
193,27900,28918,2700,34
194,27900,28865,2700,43
195,27960,31584,4560,66
196,28020,31165,1620,25
197,28020,31716,3780,1
198,28020,30440,3840,13
199,28080,31961,1080,37
200,28080,31286,4680,32
201,28080,31320,4560,24
202,28080,31022,840,3
203,28080,33061,3900,31
204,28200,30022,1020,70
205,28200,32344,4800,65
206,28200,33133,4680,30
207,28260,31276,1020,38
208,28260,31976,4860,36
209,28260,31299,4680,2
210,28260,33616,4860,15
211,28320,31359,720,44
212,28320,32105,2760,0
213,28320,30206,3120,71
214,28380,29267,4980,72
215,28380,29275,4980,73
216,28380,31878,4980,11
217,28380,31447,0,64
218,28440,31877,3840,68
219,28440,31645,780,26
220,28440,31475,960,45
221,28440,31665,5040,27
222,28440,32349,780,40
223,28440,31366,5040,9
224,28440,32408,5040,41
225,28500,31752,5100,12
226,28500,33366,5100,14
227,28500,31875,1140,63
228,28560,32539,5160,19
229,28620,31814,5160,67
230,28620,32983,5220,59
231,28620,31707,5220,39
232,28680,32869,4980,58
233,28680,32309,5220,69
234,28740,31946,5340,32
235,28740,32920,1080,18
236,28800,30622,1620,70
237,28800,32298,3600,23
238,28800,32009,5280,62
239,28800,32115,2400,33
240,28800,30315,0,75
241,28800,29818,3600,34
242,28800,29765,3600,42
243,28800,29765,3600,43
244,28800,30299,0,74
245,28800,29802,3600,35
246,28800,31326,0,17
247,28860,31280,4680,13
248,28860,31802,1620,3
249,28860,33004,5460,65
250,28920,32616,4680,1
251,28920,31327,5100,8
252,28980,32861,1980,37
253,28980,33961,4800,31
254,28980,32220,5460,24
255,29040,32756,5640,36
256,29040,33178,2040,56
257,29040,32185,2640,25
258,29040,32079,5460,2
259,29040,33239,2040,57
260,29100,33068,5700,41
261,29100,33009,1440,40
262,29100,32325,5700,27
263,29100,32305,1440,26
264,29100,31856,5700,21
265,29160,32152,1440,20
266,29220,31042,2040,70
267,29220,32146,5820,9
268,29280,31339,4080,6
269,29280,33643,5880,59
270,29280,31829,4080,5
271,29280,31711,4080,7
272,29280,31440,4080,29
273,29280,32119,4080,4
274,29280,31522,4080,28
275,29280,32778,5880,11
276,29340,32427,5940,39
277,29340,32356,2100,38
278,29460,32835,2100,63
279,29460,33649,5760,58
280,29520,32760,6000,24
281,29520,32559,1920,44
282,29520,31940,5340,13
283,29520,34386,6120,14
284,29520,33144,6120,66
285,29520,32665,3120,25
286,29580,32895,3180,33
287,29580,32962,3480,10
288,29580,32774,6120,67
289,29580,33017,4980,68
290,29580,32789,6060,62
291,29700,30665,4500,43
292,29700,30702,4500,35
293,29700,30718,4500,34
294,29700,32767,1320,64
295,29700,33396,5460,1
296,29700,32642,2460,3
297,29700,30665,4500,42
298,29700,33679,6300,19
299,29760,32966,6360,32
300,29760,33940,2100,18
301,29760,32167,5940,8
302,29760,33389,6300,69
303,29820,33536,6420,36
304,29880,33789,2220,40
305,29880,32919,6300,2
306,29880,32915,2400,45
307,29880,33848,6480,41
308,29880,33105,6480,27
309,29880,33085,2220,26
310,29940,33027,6540,39
311,30000,33079,5940,22
312,30000,32926,6600,9
313,30000,35356,6600,15
314,30060,33312,6660,12
315,30060,34423,6660,59
316,30060,34993,6540,30
317,30060,33076,2820,38
318,30180,33678,6780,11
319,30300,33682,4200,10
320,30360,34056,6120,1
321,30360,33566,6960,32
322,30360,34549,6660,58
323,30360,33675,3960,33
324,30420,31315,7020,73
325,30420,32840,6240,13
326,30420,34301,3420,37
327,30420,31307,7020,72
328,30420,34044,7020,66
329,30420,32827,6600,8
330,30420,33362,3180,3
331,30480,32366,5280,71
332,30480,33236,7080,21
333,30480,34389,2820,40
334,30480,33685,2820,26
335,30540,33915,3180,63
336,30540,33765,7140,27
337,30540,33579,2940,44
338,30540,35406,7140,14
339,30540,34508,7140,41
340,30540,33579,6960,2
341,30600,31602,5400,35
342,30600,33809,7080,62
343,30600,33745,4200,25
344,30600,36658,0,52
345,30600,33324,5400,16
346,30600,33616,3360,38
347,30600,31565,5400,42
348,30600,36157,0,49
349,30600,31565,5400,43
350,30600,33592,2880,20
351,30600,31618,5400,34
352,30600,34717,0,47
353,30600,34913,0,46
354,30660,33747,7260,39
355,30660,33854,7200,67
356,30720,34436,7320,36
357,30720,33755,3240,45
358,30780,33847,2400,64
359,30840,32355,2040,75
360,30840,32339,2040,74
361,30900,35080,3240,18
362,30900,33826,7500,9
363,30900,34152,7500,12
364,30960,34745,5400,0
365,30960,35323,7560,59
366,30960,34589,7500,69
367,31080,34395,4680,33
368,31080,35279,4080,57
369,31080,35218,4080,56
370,31140,34345,3480,26
371,31140,33560,6960,13
372,31140,35049,3480,40
373,31140,34638,7740,11
374,31200,34896,6960,1
375,31200,35168,7800,41
376,31200,34440,7680,24
377,31200,34142,3960,3
378,31200,34425,7800,27
379,31320,34159,6120,4
380,31320,33379,6120,6
381,31320,34399,7260,22
382,31320,33142,4140,70
383,31320,33480,6120,29
384,31320,33751,6120,7
385,31320,33562,6120,28
386,31320,33869,6120,5
387,31320,35201,4320,37
388,31380,35569,7680,58
389,31380,33787,7560,8
390,31380,35004,7980,66
391,31440,34479,7860,2
392,31500,34694,8040,67
393,31500,32465,6300,42
394,31500,32502,6300,35
395,31500,32518,6300,34
396,31500,32465,6300,43
397,31560,36426,8160,14
398,31560,34935,4200,63
399,31560,36916,8160,15
400,31620,34659,4020,44
401,31620,34872,8220,12
402,31620,34707,8220,39
403,31620,35002,5520,10
404,31620,35983,8220,59
405,31680,35824,8280,65
406,31800,33686,6600,71
407,31800,35009,8280,62
408,31800,35237,7200,68
409,31860,35005,5460,25
410,31860,35576,8460,36
411,31860,35556,7620,1
412,31920,34936,4680,38
413,31920,35235,5520,33
414,31920,34912,4200,20
415,31920,35126,8520,32
416,31920,34340,7740,13
417,31980,36913,8460,30
418,31980,35220,8460,24
419,31980,34922,4740,3
420,31980,35959,8580,19
421,31980,35047,3600,64
422,31980,35861,4980,37
423,32040,35949,4380,40
424,32040,36220,4380,18
425,32040,35538,8640,11
426,32040,35245,4380,26
427,32040,34447,8220,8
428,32100,35325,8700,27
429,32100,36068,8700,41
430,32160,35789,8700,69
431,32280,35904,8880,66
432,32280,34102,5100,70
433,32280,35206,8880,9
434,32340,35375,4860,45
435,32400,33402,7200,35
436,32400,33418,7200,34
437,32400,34286,7200,71
438,32400,37285,0,51
439,32400,36614,0,54
440,32400,35380,8880,24
441,32400,37962,0,61
442,32400,36234,8700,58
443,32400,35898,7200,23
444,32400,33365,7200,43
445,32400,33365,7200,42
446,32400,35169,8820,2
447,32460,33034,9060,72
448,32460,35461,9060,12
449,32460,33036,9060,73
450,32520,36135,9120,36
451,32520,35683,6420,10
452,32580,37098,9180,14
453,32580,35579,9060,62
454,32580,35605,9180,32
455,32640,35642,5400,38
456,32640,36864,9240,59
457,32700,36382,5700,37
458,32700,35383,5460,3
459,32700,35706,6300,25
460,32700,35840,8100,68
461,32700,35120,8520,13
462,32700,36022,5340,63
463,32760,35628,8700,22
464,32760,35923,6660,10
465,32760,35795,5280,45
466,32760,35668,9360,39
467,32820,36301,8580,1
468,32820,36654,9120,58
469,32820,36531,9420,65
470,32880,35649,9300,2
471,32880,37472,8700,31
472,32880,36848,9480,41
473,32880,36039,6480,33
474,32880,34395,4080,75
475,32880,36105,9480,27
476,32880,34379,4080,74
477,33000,37452,9480,30
478,33000,35874,5400,44
479,33000,35202,9180,8
480,33000,36194,9540,67
481,33060,36062,5820,38
482,33060,37223,5400,18
483,33120,37130,6120,57
484,33120,36981,6120,56
485,33180,35989,4800,64
486,33180,36561,9720,69
487,33240,36241,9840,12
488,33300,36356,9900,66
489,33300,34265,8100,43
490,33300,36208,9900,39
491,33300,34302,8100,35
492,33300,34265,8100,42
493,33300,34318,8100,34
494,33300,38473,9900,15
495,33360,35636,8160,5
496,33360,36132,5640,20
497,33360,35813,8160,4
498,33360,35153,8160,6
499,33360,37584,9960,59
500,33360,35303,8160,29
501,33360,36385,9960,32
502,33360,35518,8160,7
503,33360,35389,8160,28
504,33420,37125,5760,40
505,33420,37131,10020,65
