new_index,s_time,e_time,delta_time,old_index
0,19800,22192,0,413
1,19800,22698,0,390
2,19800,22162,0,268
3,19800,22242,0,412
4,19800,22500,0,458
5,19800,23267,0,371
6,19800,20901,0,294
7,19800,22318,0,429
8,19800,22099,0,334
9,19860,23974,0,406
10,20280,23747,480,371
11,20400,23699,0,2
12,20400,22992,0,304
13,20400,22699,600,334
14,20400,22953,0,116
15,20460,22412,0,295
16,20460,24014,0,387
17,20520,24410,0,296
18,20580,22532,120,295
19,20640,23158,840,429
20,20640,23002,840,268
21,20700,23774,0,424
22,20700,24167,900,371
23,20760,22769,0,423
24,20880,24770,360,296
25,20940,24494,480,387
26,20940,23382,1140,412
27,20940,23239,1140,334
28,21000,22791,0,56
29,21000,23392,1200,413
30,21000,23592,600,304
31,21000,24299,600,2
32,21000,22461,0,70
33,21000,24553,0,94
34,21000,23741,0,161
35,21120,23673,720,116
36,21180,23132,720,295
37,21240,24707,1440,371
38,21240,22612,0,71
39,21240,24793,240,94
40,21360,25250,840,296
41,21420,23927,0,269
42,21480,23786,0,57
43,21480,23271,480,56
44,21540,25094,1080,387
45,21540,25007,1740,371
46,21540,24614,840,424
47,21540,26751,0,9
48,21540,23839,1740,334
49,21540,24058,1740,429
50,21600,23839,0,272
51,21600,24756,0,375
52,21600,26449,0,45
53,21600,24904,0,486
54,21600,24240,0,427
55,21600,25197,0,209
56,21600,23795,0,271
57,21600,26210,0,171
58,21600,25245,0,174
59,21600,24121,0,405
60,21600,24343,0,416
61,21600,23734,0,343
62,21600,24165,0,396
63,21600,23013,0,102
64,21600,25479,0,322
65,21600,25076,0,314
66,21600,25707,0,165
67,21600,24397,0,280
68,21600,24720,0,258
69,21600,26592,0,167
70,21600,23786,0,417
71,21600,22618,0,103
72,21600,23836,0,77
73,21600,25548,0,246
74,21600,23775,0,474
75,21600,24756,0,372
76,21600,23211,0,439
77,21600,31713,0,363
78,21600,24224,0,320
79,21600,24272,0,319
80,21600,25408,0,307
81,21600,25020,0,220
82,21600,23624,0,469
83,21600,24532,0,477
84,21600,24532,0,477
85,21600,25641,0,217
86,21600,23583,0,145
87,21600,25066,0,364
88,21600,23477,0,338
89,21600,24847,0,83
90,21600,25264,0,367
91,21600,24030,0,196
92,21600,24444,0,229
93,21600,27248,0,21
94,21600,24200,0,90
95,21600,25078,0,47
96,21600,24210,0,67
97,21600,23866,0,484
98,21600,26667,0,8
99,21600,24022,0,195
100,21600,25400,0,139
101,21600,25020,0,89
102,21600,23600,0,464
103,21600,26880,0,51
104,21600,24498,1800,390
105,21600,25132,0,352
106,21600,23997,0,415
107,21600,31164,0,362
108,21600,24277,0,421
109,21600,23617,0,274
110,21600,27078,0,35
111,21600,25861,0,234
112,21600,24005,0,78
113,21600,24961,0,159
114,21600,24325,0,313
115,21600,24193,0,84
116,21600,24293,0,285
117,21600,23234,0,432
118,21600,24693,0,317
119,21600,25735,0,289
120,21600,25074,0,211
121,21600,26770,0,129
122,21600,23711,0,452
123,21600,24069,0,86
124,21600,24293,0,287
125,21600,26023,0,157
126,21600,23852,0,476
127,21600,24368,0,446
128,21600,23908,0,457
129,21600,24899,1200,2
130,21600,24320,0,459
131,21600,24399,0,173
132,21600,24300,1800,458
133,21600,25142,0,309
134,21600,23962,1800,268
135,21600,24192,1200,304
136,21600,24865,0,64
137,21660,22371,0,431
138,21660,24683,0,95
139,21660,22846,0,358
140,21660,23945,0,290
141,21660,24580,0,277
142,21660,23035,0,370
143,21660,25213,660,94
144,21660,24757,0,147
145,21660,24452,0,184
146,21660,25774,1800,406
147,21660,23121,660,70
148,21660,24401,660,161
149,21660,24735,0,311
150,21660,23372,0,300
151,21660,24099,0,303
152,21660,24430,0,146
153,21660,27965,0,200
154,21660,23669,900,423
155,21720,22925,0,31
156,21720,25253,0,73
157,21720,27619,0,22
158,21720,26337,0,20
159,21720,24595,0,324
160,21720,27154,0,34
161,21780,24330,0,69
162,21780,23732,1320,295
163,21780,24877,120,147
164,21780,24697,0,0
165,21840,25730,1320,296
166,21840,24393,1440,116
167,21840,23916,0,62
168,21840,27421,0,26
169,21840,25194,0,158
170,21900,23272,660,71
171,21900,25367,2100,371
172,21900,26035,300,289
173,21900,26244,0,122
174,21900,25432,300,352
175,21900,23691,900,56
176,21960,25920,0,226
177,21960,24835,240,324
178,21960,25995,0,225
179,21960,24094,360,343
180,22020,24450,420,196
181,22020,24740,420,459
182,22020,24417,420,415
183,22020,24630,420,67
184,22020,25176,420,375
185,22080,26194,2220,406
186,22080,24805,480,313
187,22080,25173,480,317
188,22080,24877,480,280
189,22080,24672,1680,304
190,22080,25880,480,139
191,22080,25622,480,309
192,22080,25613,360,73
193,22080,25744,480,367
194,22080,25633,1080,94
195,22140,25163,480,95
196,22140,26275,540,289
197,22140,25948,540,307
198,22140,24658,2340,429
199,22140,25072,540,477
200,22140,24579,480,303
201,22140,23601,1140,70
202,22140,25215,480,311
203,22140,31704,540,362
204,22140,32253,540,363
205,22140,25616,540,314
206,22140,25387,540,83
207,22140,23512,900,71
208,22200,27285,0,365
209,22200,27865,0,262
210,22200,26461,600,234
211,22200,24824,600,320
212,22200,26307,600,165
213,22200,26241,600,217
214,22200,23613,600,102
215,22200,25120,540,277
216,22200,24386,600,417
217,22200,24592,2400,413
218,22200,24999,600,173
219,22200,25044,600,229
220,22200,24562,2400,268
221,22200,25499,1800,2
222,22200,24485,540,290
223,22200,26844,0,124
224,22200,25097,0,201
225,22200,24642,2400,412
226,22200,25098,2400,390
227,22200,24721,600,405
228,22200,26185,0,125
229,22200,24893,600,285
230,22200,24707,780,269
231,22200,24499,2400,334
232,22260,23635,600,370
233,22260,25621,660,159
234,22260,23972,600,300
235,22260,27327,660,8
236,22260,27430,660,129
237,22260,24269,1500,423
238,22260,25814,1800,387
239,22260,24051,1260,56
240,22260,24731,0,485
241,22260,27694,540,34
242,22260,25357,600,147
243,22260,24499,660,272
244,22260,24455,660,271
245,22320,24789,720,86
246,22320,25852,720,352
247,22320,24725,720,78
248,22320,24454,720,343
249,22320,24913,720,84
250,22320,24572,720,476
251,22320,27169,720,45
252,22320,24315,0,53
253,22320,25917,720,209
254,22320,25394,1620,424
255,22320,26210,1800,296
256,22320,24208,0,52
257,22320,25787,2520,371
258,22320,23931,720,439
259,22320,23421,2520,294
260,22380,25121,1380,161
261,22380,24332,1920,295
262,22380,26997,660,20
263,22380,24810,780,196
264,22380,25255,660,324
265,22440,24464,840,469
266,22440,24317,840,338
267,22440,23160,0,430
268,22440,24154,0,433
269,22440,25705,840,64
270,22440,24993,2040,116
271,22440,25596,840,372
272,22440,24440,840,464
273,22440,25973,720,73
274,22440,25208,840,446
275,22500,25656,900,375
276,22500,25200,2700,458
277,22500,25920,900,89
278,22500,26300,900,139
279,22500,25243,900,416
280,22500,24922,900,195
281,22500,24611,900,452
282,22500,26053,1500,94
283,22500,25220,900,459
284,22500,24134,900,432
285,22500,26635,900,289
286,22500,25100,900,90
287,22500,25172,900,319
288,22500,24483,900,145
289,22500,26042,900,309
290,22500,24518,0,435
291,22500,25292,840,184
292,22500,24147,0,386
293,22500,25177,900,421
294,22500,28399,780,22
295,22500,24063,0,420
296,22500,23872,1260,71
297,22500,25417,720,0
298,22500,27110,900,171
299,22500,24897,900,415
300,22500,23996,0,422
301,22500,25593,900,317
302,22500,24594,0,335
303,22500,25498,0,75
304,22500,23686,840,358
305,22500,24736,900,77
306,22500,25804,900,486
307,22500,25823,0,437
308,22500,27511,0,44
309,22560,27571,60,44
310,22560,26439,960,322
311,22560,25170,960,67
312,22560,25285,960,313
313,22560,25357,960,280
314,22560,24021,1560,70
315,22560,26224,960,367
316,22560,25152,2160,304
317,22560,24577,960,274
318,22560,24699,0,468
319,22560,27552,960,167
320,22620,26734,2760,406
321,22620,25059,960,303
322,22620,24696,780,62
323,22620,24411,1620,56
324,22680,26212,1080,352
325,22680,25927,1080,83
326,22680,25306,0,425
327,22680,26147,2880,371
328,22680,25755,1020,311
329,22680,24814,1080,343
330,22680,25230,900,69
331,22680,24824,0,291
332,22680,25555,960,324
333,22680,26238,0,117
334,22740,32304,1140,362
335,22740,26548,1140,307
336,22740,26206,1140,364
337,22740,32853,1140,363
338,22740,25763,1080,95
339,22740,26294,2280,387
340,22740,26094,900,158
341,22740,25687,0,481
342,22740,23758,1140,103
343,22740,25433,1140,285
344,22740,26216,1140,314
345,22740,25261,1140,405
346,22740,26039,2340,2
347,22740,25046,1260,57
348,22740,25025,1080,290
349,22740,25258,2940,429
350,22740,27807,1140,8
351,22740,25741,0,480
352,22800,25720,1140,277
353,22800,24557,0,383
354,22800,25785,0,153
355,22800,24175,1140,370
356,22800,26690,2280,296
357,22800,26274,1200,211
358,22800,26907,1200,165
359,22800,25623,0,210
360,22800,24707,0,460
361,22800,28234,1080,34
362,22800,27031,0,399
363,22800,25066,1200,484
364,22800,24986,1200,417
365,22800,25424,1200,320
366,22800,26935,1200,289
367,22800,24213,1200,102
368,22800,25644,1200,229
369,22800,24975,1200,474
370,22800,25099,3000,334
371,22800,27171,0,41
372,22800,25698,3000,390
373,22800,27061,1200,234
374,22800,25162,3000,268
375,22800,25108,1200,457
376,22800,26841,1200,217
377,22800,25732,1200,477
378,22800,24750,0,461
379,22800,25599,1200,173
380,22800,25541,1800,161
381,22860,24869,2100,423
382,22860,26354,0,3
383,22860,26282,0,187
384,22860,25957,1200,147
385,22860,26393,1140,73
386,22860,25290,1260,196
387,22860,24572,1200,300
388,22920,24308,0,30
389,22920,25716,0,230
390,22920,26473,1920,94
391,22920,25512,2520,304
392,22920,24381,1920,70
393,22920,24021,3120,294
394,22980,26780,1380,139
395,22980,26341,1380,159
396,22980,26136,1380,375
397,22980,25219,1380,272
398,22980,25606,300,425
399,22980,24932,2520,295
400,22980,27094,3120,406
401,22980,25533,2580,116
402,22980,26073,1380,317
403,22980,25700,1380,459
404,22980,24771,1980,56
405,22980,25175,1380,271
406,22980,28150,1380,129
407,22980,25377,1380,415
408,23040,25837,1440,280
409,23040,26572,1440,352
410,23040,25174,1440,343
411,23040,25650,1440,67
412,23040,27889,1440,45
413,23040,24651,1440,439
414,23040,26704,1440,367
415,23040,26114,2340,424
416,23040,25445,1440,78
417,23040,26637,1440,209
418,23040,25509,1440,86
419,23040,24381,0,369
420,23040,25827,0,212
421,23040,25765,1440,313
422,23040,25633,1440,84
423,23040,25915,1320,324
424,23040,25292,1440,476
425,23040,26582,1440,309
426,23100,26522,240,187
427,23100,25740,1500,427
428,23100,26175,1440,311
429,23100,26753,0,388
430,23100,25813,0,419
431,23100,27235,1500,289
432,23100,24472,1860,71
433,23100,26745,1500,174
434,23100,26567,3300,371
435,23160,26316,1560,372
436,23160,26693,1440,73
437,23160,26183,1500,95
438,23160,25599,1500,303
439,23160,28638,1560,35
440,23160,27120,1200,226
441,23220,26376,1620,372
442,23220,25598,0,288
443,23220,24380,0,357
444,23220,25650,1620,196
445,23220,25505,1560,290
446,23220,26467,1620,83
447,23220,25314,720,335
448,23220,27837,1500,20
449,23220,24783,720,420
450,23220,25820,0,305
451,23220,28287,1620,8
452,23280,27170,2760,296
453,23280,25490,0,354
454,23280,25872,2880,304
455,23280,25787,1860,269
456,23280,24741,2280,70
457,23340,27177,0,297
458,23340,25639,3540,334
459,23340,25858,3540,429
460,23340,27148,1740,307
461,23340,25451,1740,452
462,23340,28988,1740,21
463,23340,26807,3540,371
464,23340,27268,0,376
465,23340,25295,0,143
466,23340,26144,0,172
467,23340,27601,1740,234
468,23340,26272,1740,477
469,23340,26893,2340,94
470,23340,25980,0,389
471,23340,25058,0,438
472,23340,26081,2340,161
473,23340,28551,1800,9
474,23340,25131,2340,56
475,23340,24712,2100,71
476,23340,26108,1740,446
477,23340,25364,1740,469
478,23340,25054,900,433
479,23400,24451,0,135
480,23400,24297,0,329
481,23400,25411,0,463
482,23400,27435,1440,225
483,23400,26192,1740,184
484,23400,26125,1800,313
485,23400,26665,1800,64
486,23400,27332,0,218
487,23400,26000,1800,90
488,23400,24328,0,162
489,23400,26100,3600,458
490,23400,24638,0,350
491,23400,25822,1800,195
492,23400,27200,1800,139
493,23400,25222,0,349
494,23400,24143,0,163
495,23400,26820,1800,89
496,23400,24300,0,492
497,23400,26932,1800,352
498,23400,25400,1800,464
499,23400,25871,1140,485
500,23400,28411,900,44
501,23400,26298,3600,390
502,23400,25762,3600,268
503,23400,26040,60,389
504,23400,26199,1800,173
505,23400,25792,3600,413
506,23400,26704,1800,486
507,23400,25636,1800,77
508,23400,27180,0,202
509,23400,26954,2940,387
510,23400,26093,1800,285
511,23400,25639,0,137
512,23400,26520,1800,258
513,23400,25667,0,7
514,23400,27260,0,315
515,23400,24989,0,101
516,23400,25515,0,107
517,23400,26197,1800,280
518,23400,29299,1680,22
519,23400,23906,0,110
520,23400,26853,0,48
521,23400,26876,1800,314
522,23400,24461,0,472
523,23400,26853,0,49
524,23400,26569,0,284
525,23400,25534,1800,343
526,23400,27360,1440,226
527,23400,23907,0,378
528,23400,24944,0,28
529,23400,24808,0,100
530,23400,25112,1740,300
531,23400,25921,1800,405
532,23400,24418,1800,103
533,23400,26320,1740,277
534,23400,25715,0,394
535,23400,25842,3600,412
536,23400,27535,1800,289
537,23400,25380,0,106
538,23400,26183,0,316
539,23400,26338,0,179
540,23400,26497,1740,147
541,23400,27208,0,260
542,23400,25456,0,404
543,23400,26699,3000,2
544,23400,26520,0,178
545,23400,25417,1800,274
546,23400,25195,0,359
547,23400,27507,1800,165
548,23400,25741,0,418
549,23400,24030,0,331
550,23400,27550,0,261
551,23400,25852,0,265
552,23400,26558,0,286
553,23400,26151,0,323
554,23400,28392,1800,167
555,23400,25586,1800,417
556,23400,24006,0,121
557,23400,24350,0,466
558,23400,25883,0,11
559,23400,24813,1800,102
560,23400,25277,1800,338
561,23400,26072,1800,319
562,23400,28680,1800,51
563,23400,25878,0,490
564,23400,25383,1800,145
565,23400,26143,1800,416
566,23400,26348,0,152
567,23400,25011,0,177
568,23400,26244,1800,229
569,23400,32964,1800,362
570,23400,27489,0,407
571,23400,24789,0,498
572,23400,25358,0,440
573,23400,24202,0,228
574,23400,25119,0,441
575,23400,25395,1080,53
576,23400,24039,0,243
577,23400,25288,1080,52
578,23400,27165,0,82
579,23400,27441,1800,217
580,23400,33513,1800,363
581,23400,24943,0,292
582,23400,28485,1200,365
583,23400,24957,0,293
584,23400,26077,1800,421
585,23400,26024,1800,320
586,23460,25085,0,60
587,23460,24177,0,345
588,23460,26377,1680,0
589,23460,26063,0,428
590,23460,26920,0,326
591,23460,25094,1860,432
592,23460,24066,0,411
593,23460,26616,1860,375
594,23460,28010,0,233
595,23460,24646,1800,358
596,23460,26553,1860,317
597,23460,24561,0,282
598,23460,24171,1800,431
599,23460,26461,720,480
600,23460,29765,1800,200
601,23460,24599,0,450
602,23460,27978,0,215
603,23460,24817,0,109
604,23460,26407,720,481
605,23460,25469,2700,423
606,23460,27018,780,117
607,23460,25389,0,105
608,23460,26180,1860,459
609,23460,23951,0,410
610,23460,28070,1860,171
611,23460,25282,0,347
612,23460,26335,1740,324
613,23460,25838,240,288
614,23460,25857,1860,415
615,23460,24835,1800,370
616,23460,25412,3000,295
617,23460,28894,1740,34
618,23520,27053,1800,73
619,23520,25826,0,66
620,23520,25596,1680,62
621,23520,27062,1920,309
622,23520,27634,3660,406
623,23520,27184,1920,367
624,23520,27399,1920,322
625,23520,25826,2040,57
626,23520,26073,3120,116
627,23520,25041,0,224
628,23520,25715,1920,271
629,23520,28903,0,19
630,23520,25759,1920,272
631,23520,26130,1920,67
632,23520,25020,0,231
633,23520,27609,120,407
634,23580,27233,480,388
635,23580,26350,1920,146
636,23580,25865,1920,290
637,23580,25371,2580,56
638,23580,26130,1800,69
639,23580,26603,1920,95
640,23580,27074,720,3
641,23580,24952,2340,71
642,23580,25041,2580,70
643,23580,25692,0,275
644,23580,24206,0,197
645,23580,26934,1740,158
646,23580,25958,360,288
647,23580,24911,0,198
648,23580,25076,1080,422
649,23580,24921,540,369
650,23640,24741,3840,294
651,23640,27001,2040,159
652,23640,26109,2040,86
653,23640,25545,0,465
654,23640,26715,1980,311
655,23640,26079,1980,303
656,23640,26233,2040,84
657,23640,26070,2040,196
658,23700,26523,900,210
659,23700,28870,2100,129
660,23700,26685,900,153
661,23700,26078,480,288
662,23700,27677,0,138
663,23700,26318,0,76
664,23700,26292,3300,304
665,23700,27167,3900,371
666,23700,24905,1980,31
667,23700,28044,1800,122
668,23700,26006,2220,57
669,23700,26759,0,312
670,23700,26413,600,419
671,23700,27835,2100,289
672,23700,25793,0,456
673,23700,25521,0,327
674,23700,25839,1140,468
675,23700,27174,2100,211
676,23760,26692,2160,477
677,23760,25371,2160,439
678,23760,27357,2160,209
679,23760,27313,2760,94
680,23760,26360,540,305
681,23760,28609,2160,45
682,23760,26557,2160,280
683,23760,26165,2160,78
684,23760,27007,2160,83
685,23760,25894,2160,343
686,23760,26012,2160,476
687,23760,26834,3060,424
688,23760,25946,2160,417
689,23820,26545,2220,313
690,23820,26572,0,478
691,23820,27748,480,376
692,23820,25601,0,339
693,23820,27890,0,308
694,23820,25914,1320,335
695,23820,26561,2820,161
696,23820,27585,420,82
697,23820,25951,0,353
698,23820,26616,900,230
699,23820,26695,2100,324
700,23820,26259,2160,303
701,23820,25829,0,479
702,23820,27710,3300,296
703,23880,26679,2280,173
704,23880,26401,2280,405
705,23880,26480,2280,90
706,23880,27300,2280,89
707,23880,28490,2280,171
708,23880,26631,480,323
709,23880,26600,2280,459
710,23880,26573,2280,285
711,23880,27680,2280,139
712,23880,27987,2280,165
713,23880,26387,2460,269
714,23880,27412,2280,352
715,23880,26483,420,428
716,23880,25912,0,302
717,23940,28201,2340,234
718,23940,27473,2220,73
719,23940,34053,2340,363
720,23940,27033,2340,317
721,23940,28441,0,170
722,23940,24446,0,330
723,23940,27464,0,128
724,23940,27482,2340,309
725,23940,26838,4140,390
726,23940,27748,2340,307
727,23940,26337,2340,415
728,23940,27096,2340,372
729,23940,26206,2340,484
730,23940,26115,2340,474
731,23940,25731,2940,56
732,23940,26550,2340,67
733,23940,26963,2280,95
734,23940,33504,2340,362
735,23940,26225,2280,290
736,23940,26458,4140,429
737,23940,27800,540,315
738,23940,27037,2280,147
739,23940,25890,1140,461
740,23940,26633,2340,287
741,23940,25892,3480,295
742,23940,27416,2340,314
743,24000,26239,600,137
744,24000,26439,2340,303
745,24000,26594,0,160
746,24000,26624,2400,320
747,24000,27305,0,273
748,24000,27299,3600,2
749,24000,28114,4140,406
750,24000,28135,2400,289
751,24000,26844,2400,229
752,24000,26322,0,79
753,24000,27948,2400,246
754,24000,24460,0,242
755,24000,26311,0,475
756,24000,26236,2400,77
757,24000,26299,4200,334
758,24000,27664,2400,367
759,24000,27879,2400,322
760,24000,25413,2400,102
761,24000,26686,0,360
762,24000,26308,2400,457
763,24000,25372,2760,71
764,24000,25718,660,438
765,24000,26700,4200,458
766,24000,27156,2400,375
767,24000,25375,2340,370
768,24000,29581,2160,26
769,24000,26422,2400,195
770,24000,26362,4200,268
771,24000,26195,2400,271
772,24000,26920,2340,277
773,24000,27452,0,351
774,24000,25721,0,301
775,24000,25607,0,403
776,24000,25983,2400,145
777,24000,27466,2400,364
778,24000,26239,2400,272
779,24000,28041,2400,217
780,24000,26120,0,270
781,24000,28617,2280,20
782,24060,27554,1200,3
783,24060,26652,3660,304
784,24060,27520,600,326
785,24060,26366,540,66
786,24060,25772,2400,300
787,24060,26366,2580,57
788,24060,29494,2340,34
789,24060,27527,4260,371
790,24060,27429,0,325
791,24060,27421,2460,159
792,24060,27614,3600,387
793,24060,25220,840,357
794,24120,27673,3120,94
795,24120,26196,2280,62
796,24120,26027,1320,460
797,24120,27195,2460,311
798,24120,26917,2520,280
799,24120,26797,2520,421
800,24120,26572,720,265
801,24120,26323,0,310
802,24120,25461,1080,369
803,24120,26912,2460,184
804,24120,26254,2520,343
805,24120,26760,780,389
806,24120,26863,2520,416
807,24120,26129,3360,423
808,24120,25767,1620,386
809,24120,27179,420,312
810,24120,26306,2520,417
811,24120,26550,2520,196
812,24120,26673,3720,116
813,24120,24919,0,377
814,24120,26670,2340,69
815,24120,28048,780,376
816,24120,27059,0,276
817,24180,27738,1500,117
818,24180,26946,0,259
819,24180,28070,3660,296
820,24180,29247,2580,8
821,24180,27733,3180,94
822,24180,25108,780,162
823,24180,27055,2460,324
824,24180,24923,780,163
825,24180,25902,0,144
826,24180,27112,2580,477
827,24240,26992,420,478
828,24240,26965,2640,313
829,24240,25701,3240,70
830,24240,26249,420,479
831,24240,27772,2640,352
832,24240,27773,2520,73
833,24240,28217,540,138
834,24240,26833,2640,84
835,24240,26240,2640,464
836,24240,25258,2640,103
837,24240,25954,1800,433
838,24240,26433,0,409
839,24240,25502,0,451
840,24240,27396,2640,372
841,24240,28375,2640,289
842,24240,26351,2640,452
843,24240,26117,2640,338
844,24240,26355,840,107
845,24240,24960,1800,430
846,24240,25736,1740,422
847,24240,26525,2580,290
848,24240,25803,1740,420
849,24240,27008,2640,446
850,24240,28077,900,297
851,24240,26709,2640,86
852,24240,26384,1560,291
853,24240,26272,360,302
854,24240,26264,2640,469
855,24300,28137,960,297
856,24300,25708,900,100
857,24300,26926,1620,425
858,24300,26739,2640,303
859,24300,25857,900,293
860,24300,27547,2700,83
861,24300,28944,2100,124
862,24300,25672,3060,71
863,24300,25351,900,135
864,24300,25843,900,292
865,24300,27469,900,284
866,24300,25486,2640,358
867,24300,25250,900,466
868,24300,27070,2640,146
869,24300,28065,900,82
870,24300,27623,1800,437
871,24300,27599,3900,2
872,24300,25948,0,140
873,24300,26925,0,426
874,24300,27020,2700,459
875,24300,30199,2580,22
876,24300,25928,0,328
877,24300,26317,2700,274
878,24300,28232,900,218
879,24300,26770,0,318
880,24300,26692,4500,413
881,24300,26303,0,487
882,24300,26918,600,76
883,24300,29292,2700,167
884,24300,28285,2100,125
885,24300,27083,900,316
886,24300,26972,2700,319
887,24300,26280,900,106
888,24300,27247,1560,481
889,24300,26091,3300,56
890,24300,26121,600,327
891,24300,27565,2700,64
892,24300,25513,0,254
893,24300,25889,900,101
894,24300,28160,900,315
895,24300,26742,4500,412
896,24300,25102,900,228
897,24300,26394,1800,335
898,24300,29965,2100,262
899,24300,27604,2700,486
900,24300,25689,900,498
901,24360,27457,2700,147
902,24360,27053,2760,285
903,24360,26081,360,301
904,24360,28160,2760,139
905,24360,27780,2760,89
906,24360,28970,2760,171
907,24360,26952,3960,304
908,24360,26783,0,395
909,24360,28467,2760,165
910,24360,28910,900,233
911,24360,27383,2700,95
912,24360,27111,960,323
913,24360,28013,1260,388
914,24360,26960,2760,90
915,24360,27902,2760,309
916,24360,28239,2760,322
917,24360,29371,1860,44
918,24360,27164,1020,172
919,24360,26881,2760,405
920,24360,28320,2400,226
921,24360,27101,3360,161
922,24360,27159,2760,173
923,24360,27204,0,1
924,24420,26927,3000,269
925,24420,26659,2820,272
926,24420,26559,1860,468
927,24420,28534,4560,406
928,24420,26817,2820,415
929,24420,27092,0,188
930,24420,26726,900,66
931,24420,26761,1020,418
932,24420,26842,2820,195
933,24420,26821,0,342
934,24420,25320,0,491
935,24420,27337,2640,0
936,24420,27576,2820,375
937,24420,29590,2820,129
938,24420,24843,0,344
